{'pi': 0.22903963414634146, 'score': 0.22903963414634146, 'examples_seen': 312, 'step': 0, 'algorithm': 'bellman_ford'},
{'pi': 0.9493140243902439, 'score': 0.9493140243902439, 'examples_seen': 170506, 'step': 1050, 'algorithm': 'bellman_ford'},
{'pi': 0.944359756097561, 'score': 0.944359756097561, 'examples_seen': 178570, 'step': 1100, 'algorithm': 'bellman_ford'},
{'pi': 0.8841463414634146, 'score': 0.8841463414634146, 'examples_seen': 186847, 'step': 1150, 'algorithm': 'bellman_ford'},
{'pi': 0.948170731707317, 'score': 0.948170731707317, 'examples_seen': 194642, 'step': 1200, 'algorithm': 'bellman_ford'},
{'pi': 0.8601371951219512, 'score': 0.8601371951219512, 'examples_seen': 203073, 'step': 1250, 'algorithm': 'bellman_ford'},
{'pi': 0.9245426829268293, 'score': 0.9245426829268293, 'examples_seen': 210668, 'step': 1300, 'algorithm': 'bellman_ford'},
{'pi': 0.9550304878048781, 'score': 0.9550304878048781, 'examples_seen': 219136, 'step': 1350, 'algorithm': 'bellman_ford'},
{'pi': 0.9233993902439024, 'score': 0.9233993902439024, 'examples_seen': 227196, 'step': 1400, 'algorithm': 'bellman_ford'},
{'pi': 0.9470274390243902, 'score': 0.9470274390243902, 'examples_seen': 235245, 'step': 1450, 'algorithm': 'bellman_ford'},
{'pi': 0.8452743902439024, 'score': 0.8452743902439024, 'examples_seen': 243507, 'step': 1500, 'algorithm': 'bellman_ford'},
{'pi': 0.9523628048780488, 'score': 0.9523628048780488, 'examples_seen': 251307, 'step': 1550, 'algorithm': 'bellman_ford'},
{'pi': 0.8616615853658537, 'score': 0.8616615853658537, 'examples_seen': 259771, 'step': 1600, 'algorithm': 'bellman_ford'},
{'pi': 0.9611280487804879, 'score': 0.9611280487804879, 'examples_seen': 267431, 'step': 1650, 'algorithm': 'bellman_ford'},
{'pi': 0.8582317073170732, 'score': 0.8582317073170732, 'examples_seen': 275916, 'step': 1700, 'algorithm': 'bellman_ford'},
{'pi': 0.9329268292682927, 'score': 0.9329268292682927, 'examples_seen': 284060, 'step': 1750, 'algorithm': 'bellman_ford'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 292044, 'step': 1800, 'algorithm': 'bellman_ford'},
{'pi': 0.9565548780487805, 'score': 0.9565548780487805, 'examples_seen': 300378, 'step': 1850, 'algorithm': 'bellman_ford'},
{'pi': 0.9504573170731707, 'score': 0.9504573170731707, 'examples_seen': 308144, 'step': 1900, 'algorithm': 'bellman_ford'},
{'pi': 0.9527439024390244, 'score': 0.9527439024390244, 'examples_seen': 316632, 'step': 1950, 'algorithm': 'bellman_ford'},
{'pi': 0.9569359756097561, 'score': 0.9569359756097561, 'examples_seen': 324316, 'step': 2000, 'algorithm': 'bellman_ford'},
{'pi': 0.9001524390243902, 'score': 0.9001524390243902, 'examples_seen': 332851, 'step': 2050, 'algorithm': 'bellman_ford'},
{'pi': 0.9508384146341463, 'score': 0.9508384146341463, 'examples_seen': 340909, 'step': 2100, 'algorithm': 'bellman_ford'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 348932, 'step': 2150, 'algorithm': 'bellman_ford'},
{'pi': 0.9714176829268293, 'score': 0.9714176829268293, 'examples_seen': 357276, 'step': 2200, 'algorithm': 'bellman_ford'},
{'pi': 0.9496951219512195, 'score': 0.9496951219512195, 'examples_seen': 364965, 'step': 2250, 'algorithm': 'bellman_ford'},
{'pi': 0.9519817073170732, 'score': 0.9519817073170732, 'examples_seen': 373448, 'step': 2300, 'algorithm': 'bellman_ford'},
{'pi': 0.9622713414634146, 'score': 0.9622713414634146, 'examples_seen': 381083, 'step': 2350, 'algorithm': 'bellman_ford'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 389543, 'step': 2400, 'algorithm': 'bellman_ford'},
{'pi': 0.9634146341463414, 'score': 0.9634146341463414, 'examples_seen': 397722, 'step': 2450, 'algorithm': 'bellman_ford'},
{'pi': 0.9527439024390244, 'score': 0.9527439024390244, 'examples_seen': 405763, 'step': 2500, 'algorithm': 'bellman_ford'},
{'pi': 0.9378810975609756, 'score': 0.9378810975609756, 'examples_seen': 414021, 'step': 2550, 'algorithm': 'bellman_ford'},
{'pi': 0.9504573170731707, 'score': 0.9504573170731707, 'examples_seen': 421776, 'step': 2600, 'algorithm': 'bellman_ford'},
{'pi': 0.9664634146341463, 'score': 0.9664634146341463, 'examples_seen': 430208, 'step': 2650, 'algorithm': 'bellman_ford'},
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 437906, 'step': 2700, 'algorithm': 'bellman_ford'},
{'pi': 0.9294969512195121, 'score': 0.9294969512195121, 'examples_seen': 446316, 'step': 2750, 'algorithm': 'bellman_ford'},
{'pi': 0.9695121951219512, 'score': 0.9695121951219512, 'examples_seen': 454385, 'step': 2800, 'algorithm': 'bellman_ford'},
{'pi': 0.9561737804878049, 'score': 0.9561737804878049, 'examples_seen': 462388, 'step': 2850, 'algorithm': 'bellman_ford'},
{'pi': 0.9416920731707317, 'score': 0.9416920731707317, 'examples_seen': 470735, 'step': 2900, 'algorithm': 'bellman_ford'},
{'pi': 0.9725609756097561, 'score': 0.9725609756097561, 'examples_seen': 478468, 'step': 2950, 'algorithm': 'bellman_ford'},
{'pi': 0.9542682926829268, 'score': 0.9542682926829268, 'examples_seen': 486904, 'step': 3000, 'algorithm': 'bellman_ford'},
{'pi': 0.9397865853658537, 'score': 0.9397865853658537, 'examples_seen': 494672, 'step': 3050, 'algorithm': 'bellman_ford'},
{'pi': 0.9500762195121951, 'score': 0.9500762195121951, 'examples_seen': 503173, 'step': 3100, 'algorithm': 'bellman_ford'},
{'pi': 0.9508384146341463, 'score': 0.9508384146341463, 'examples_seen': 511265, 'step': 3150, 'algorithm': 'bellman_ford'},
{'pi': 0.9283536585365854, 'score': 0.9283536585365854, 'examples_seen': 519275, 'step': 3200, 'algorithm': 'bellman_ford'},
{'pi': 0.9428353658536586, 'score': 0.9428353658536586, 'examples_seen': 527562, 'step': 3250, 'algorithm': 'bellman_ford'},
{'pi': 0.9767530487804879, 'score': 0.9767530487804879, 'examples_seen': 535344, 'step': 3300, 'algorithm': 'bellman_ford'},
{'pi': 0.9733231707317073, 'score': 0.9733231707317073, 'examples_seen': 543807, 'step': 3350, 'algorithm': 'bellman_ford'},
{'pi': 0.9489329268292683, 'score': 0.9489329268292683, 'examples_seen': 551437, 'step': 3400, 'algorithm': 'bellman_ford'},
{'pi': 0.9649390243902439, 'score': 0.9649390243902439, 'examples_seen': 559942, 'step': 3450, 'algorithm': 'bellman_ford'},
{'pi': 0.9573170731707317, 'score': 0.9573170731707317, 'examples_seen': 568174, 'step': 3500, 'algorithm': 'bellman_ford'},
{'pi': 0.9660823170731707, 'score': 0.9660823170731707, 'examples_seen': 576167, 'step': 3550, 'algorithm': 'bellman_ford'},
{'pi': 0.8902439024390244, 'score': 0.8902439024390244, 'examples_seen': 584556, 'step': 3600, 'algorithm': 'bellman_ford'},
{'pi': 0.9413109756097561, 'score': 0.9413109756097561, 'examples_seen': 592321, 'step': 3650, 'algorithm': 'bellman_ford'},
{'pi': 0.961890243902439, 'score': 0.961890243902439, 'examples_seen': 600787, 'step': 3700, 'algorithm': 'bellman_ford'},
{'pi': 0.9798018292682927, 'score': 0.9798018292682927, 'examples_seen': 608494, 'step': 3750, 'algorithm': 'bellman_ford'},
{'pi': 0.9695121951219512, 'score': 0.9695121951219512, 'examples_seen': 617000, 'step': 3800, 'algorithm': 'bellman_ford'},
{'pi': 0.9679878048780488, 'score': 0.9679878048780488, 'examples_seen': 625137, 'step': 3850, 'algorithm': 'bellman_ford'},
{'pi': 0.9706554878048781, 'score': 0.9706554878048781, 'examples_seen': 633092, 'step': 3900, 'algorithm': 'bellman_ford'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 641433, 'step': 3950, 'algorithm': 'bellman_ford'},
{'pi': 0.9695121951219512, 'score': 0.9695121951219512, 'examples_seen': 649164, 'step': 4000, 'algorithm': 'bellman_ford'},
{'pi': 0.8608993902439024, 'score': 0.8608993902439024, 'examples_seen': 657565, 'step': 4050, 'algorithm': 'bellman_ford'},
{'pi': 0.9710365853658537, 'score': 0.9710365853658537, 'examples_seen': 665215, 'step': 4100, 'algorithm': 'bellman_ford'},
{'pi': 0.9653201219512195, 'score': 0.9653201219512195, 'examples_seen': 673729, 'step': 4150, 'algorithm': 'bellman_ford'},
{'pi': 0.9664634146341463, 'score': 0.9664634146341463, 'examples_seen': 681870, 'step': 4200, 'algorithm': 'bellman_ford'},
{'pi': 0.946265243902439, 'score': 0.946265243902439, 'examples_seen': 689836, 'step': 4250, 'algorithm': 'bellman_ford'},
{'pi': 0.963795731707317, 'score': 0.963795731707317, 'examples_seen': 698164, 'step': 4300, 'algorithm': 'bellman_ford'},
{'pi': 0.9626524390243902, 'score': 0.9626524390243902, 'examples_seen': 705935, 'step': 4350, 'algorithm': 'bellman_ford'},
{'pi': 0.958079268292683, 'score': 0.958079268292683, 'examples_seen': 714398, 'step': 4400, 'algorithm': 'bellman_ford'},
{'pi': 0.9554115853658537, 'score': 0.9554115853658537, 'examples_seen': 722068, 'step': 4450, 'algorithm': 'bellman_ford'},
{'pi': 0.9516006097560976, 'score': 0.9516006097560976, 'examples_seen': 730578, 'step': 4500, 'algorithm': 'bellman_ford'},
{'pi': 0.9653201219512195, 'score': 0.9653201219512195, 'examples_seen': 738727, 'step': 4550, 'algorithm': 'bellman_ford'},
{'pi': 0.948170731707317, 'score': 0.948170731707317, 'examples_seen': 746754, 'step': 4600, 'algorithm': 'bellman_ford'},
{'pi': 0.9676067073170732, 'score': 0.9676067073170732, 'examples_seen': 754998, 'step': 4650, 'algorithm': 'bellman_ford'},
{'pi': 0.9576981707317073, 'score': 0.9576981707317073, 'examples_seen': 762769, 'step': 4700, 'algorithm': 'bellman_ford'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 771214, 'step': 4750, 'algorithm': 'bellman_ford'},
{'pi': 0.9603658536585366, 'score': 0.9603658536585366, 'examples_seen': 778927, 'step': 4800, 'algorithm': 'bellman_ford'},
{'pi': 0.9698932926829268, 'score': 0.9698932926829268, 'examples_seen': 787442, 'step': 4850, 'algorithm': 'bellman_ford'},
{'pi': 0.9626524390243902, 'score': 0.9626524390243902, 'examples_seen': 795581, 'step': 4900, 'algorithm': 'bellman_ford'},
{'pi': 0.9603658536585366, 'score': 0.9603658536585366, 'examples_seen': 803614, 'step': 4950, 'algorithm': 'bellman_ford'},
{'pi': 0.9546493902439024, 'score': 0.9546493902439024, 'examples_seen': 811930, 'step': 5000, 'algorithm': 'bellman_ford'},
{'pi': 0.9733231707317073, 'score': 0.9733231707317073, 'examples_seen': 819725, 'step': 5050, 'algorithm': 'bellman_ford'},
{'pi': 0.9489329268292683, 'score': 0.9489329268292683, 'examples_seen': 828183, 'step': 5100, 'algorithm': 'bellman_ford'},
{'pi': 0.9321646341463414, 'score': 0.9321646341463414, 'examples_seen': 835859, 'step': 5150, 'algorithm': 'bellman_ford'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 844362, 'step': 5200, 'algorithm': 'bellman_ford'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 852484, 'step': 5250, 'algorithm': 'bellman_ford'},
{'pi': 0.9767530487804879, 'score': 0.9767530487804879, 'examples_seen': 860497, 'step': 5300, 'algorithm': 'bellman_ford'},
{'pi': 0.946265243902439, 'score': 0.946265243902439, 'examples_seen': 868857, 'step': 5350, 'algorithm': 'bellman_ford'},
{'pi': 0.9474085365853658, 'score': 0.9474085365853658, 'examples_seen': 876683, 'step': 5400, 'algorithm': 'bellman_ford'},
{'pi': 0.9576981707317073, 'score': 0.9576981707317073, 'examples_seen': 885089, 'step': 5450, 'algorithm': 'bellman_ford'},
{'pi': 0.9798018292682927, 'score': 0.9798018292682927, 'examples_seen': 892802, 'step': 5500, 'algorithm': 'bellman_ford'},
{'pi': 0.9668445121951219, 'score': 0.9668445121951219, 'examples_seen': 901289, 'step': 5550, 'algorithm': 'bellman_ford'},
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 909461, 'step': 5600, 'algorithm': 'bellman_ford'},
{'pi': 0.9275914634146342, 'score': 0.9275914634146342, 'examples_seen': 917465, 'step': 5650, 'algorithm': 'bellman_ford'},
{'pi': 0.9051067073170732, 'score': 0.9051067073170732, 'examples_seen': 925807, 'step': 5700, 'algorithm': 'bellman_ford'},
{'pi': 0.9542682926829268, 'score': 0.9542682926829268, 'examples_seen': 933488, 'step': 5750, 'algorithm': 'bellman_ford'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 941937, 'step': 5800, 'algorithm': 'bellman_ford'},
{'pi': 0.9657012195121951, 'score': 0.9657012195121951, 'examples_seen': 949567, 'step': 5850, 'algorithm': 'bellman_ford'},
{'pi': 0.9698932926829268, 'score': 0.9698932926829268, 'examples_seen': 958051, 'step': 5900, 'algorithm': 'bellman_ford'},
{'pi': 0.977515243902439, 'score': 0.977515243902439, 'examples_seen': 966244, 'step': 5950, 'algorithm': 'bellman_ford'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 974343, 'step': 6000, 'algorithm': 'bellman_ford'},
{'pi': 0.9672256097560976, 'score': 0.9672256097560976, 'examples_seen': 982663, 'step': 6050, 'algorithm': 'bellman_ford'},
{'pi': 0.8917682926829268, 'score': 0.8917682926829268, 'examples_seen': 990484, 'step': 6100, 'algorithm': 'bellman_ford'},
{'pi': 0.9592225609756098, 'score': 0.9592225609756098, 'examples_seen': 998863, 'step': 6150, 'algorithm': 'bellman_ford'},
{'pi': 0.963795731707317, 'score': 0.963795731707317, 'examples_seen': 1006520, 'step': 6200, 'algorithm': 'bellman_ford'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 1014995, 'step': 6250, 'algorithm': 'bellman_ford'},
{'pi': 0.9695121951219512, 'score': 0.9695121951219512, 'examples_seen': 1023123, 'step': 6300, 'algorithm': 'bellman_ford'},
{'pi': 0.9516006097560976, 'score': 0.9516006097560976, 'examples_seen': 1031134, 'step': 6350, 'algorithm': 'bellman_ford'},
{'pi': 0.9767530487804879, 'score': 0.9767530487804879, 'examples_seen': 1039529, 'step': 6400, 'algorithm': 'bellman_ford'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 1047368, 'step': 6450, 'algorithm': 'bellman_ford'},
{'pi': 0.9695121951219512, 'score': 0.9695121951219512, 'examples_seen': 1055888, 'step': 6500, 'algorithm': 'bellman_ford'},
{'pi': 0.9721798780487805, 'score': 0.9721798780487805, 'examples_seen': 1063528, 'step': 6550, 'algorithm': 'bellman_ford'},
{'pi': 0.9748475609756098, 'score': 0.9748475609756098, 'examples_seen': 1072031, 'step': 6600, 'algorithm': 'bellman_ford'},
{'pi': 0.9344512195121951, 'score': 0.9344512195121951, 'examples_seen': 1080115, 'step': 6650, 'algorithm': 'bellman_ford'},
{'pi': 0.9420731707317073, 'score': 0.9420731707317073, 'examples_seen': 1088153, 'step': 6700, 'algorithm': 'bellman_ford'},
{'pi': 0.9474085365853658, 'score': 0.9474085365853658, 'examples_seen': 1096515, 'step': 6750, 'algorithm': 'bellman_ford'},
{'pi': 0.928734756097561, 'score': 0.928734756097561, 'examples_seen': 1104323, 'step': 6800, 'algorithm': 'bellman_ford'},
{'pi': 0.9222560975609756, 'score': 0.9222560975609756, 'examples_seen': 1112836, 'step': 6850, 'algorithm': 'bellman_ford'},
{'pi': 0.9573170731707317, 'score': 0.9573170731707317, 'examples_seen': 1120542, 'step': 6900, 'algorithm': 'bellman_ford'},
{'pi': 0.9786585365853658, 'score': 0.9786585365853658, 'examples_seen': 1129022, 'step': 6950, 'algorithm': 'bellman_ford'},
{'pi': 0.9340701219512195, 'score': 0.9340701219512195, 'examples_seen': 1137160, 'step': 7000, 'algorithm': 'bellman_ford'},
{'pi': 0.9710365853658537, 'score': 0.9710365853658537, 'examples_seen': 1145166, 'step': 7050, 'algorithm': 'bellman_ford'},
{'pi': 0.9672256097560976, 'score': 0.9672256097560976, 'examples_seen': 1153490, 'step': 7100, 'algorithm': 'bellman_ford'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 1161296, 'step': 7150, 'algorithm': 'bellman_ford'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 1169661, 'step': 7200, 'algorithm': 'bellman_ford'},
{'pi': 0.9817073170731707, 'score': 0.9817073170731707, 'examples_seen': 1177295, 'step': 7250, 'algorithm': 'bellman_ford'},
{'pi': 0.9805640243902439, 'score': 0.9805640243902439, 'examples_seen': 1185775, 'step': 7300, 'algorithm': 'bellman_ford'},
{'pi': 0.9817073170731707, 'score': 0.9817073170731707, 'examples_seen': 1193901, 'step': 7350, 'algorithm': 'bellman_ford'},
{'pi': 0.926829268292683, 'score': 0.926829268292683, 'examples_seen': 1201923, 'step': 7400, 'algorithm': 'bellman_ford'},
{'pi': 0.9657012195121951, 'score': 0.9657012195121951, 'examples_seen': 1210240, 'step': 7450, 'algorithm': 'bellman_ford'},
{'pi': 0.9569359756097561, 'score': 0.9569359756097561, 'examples_seen': 1217932, 'step': 7500, 'algorithm': 'bellman_ford'},
{'pi': 0.932545731707317, 'score': 0.932545731707317, 'examples_seen': 1226384, 'step': 7550, 'algorithm': 'bellman_ford'},
{'pi': 0.9836128048780488, 'score': 0.9836128048780488, 'examples_seen': 1234038, 'step': 7600, 'algorithm': 'bellman_ford'},
{'pi': 0.9489329268292683, 'score': 0.9489329268292683, 'examples_seen': 1242496, 'step': 7650, 'algorithm': 'bellman_ford'},
{'pi': 0.9561737804878049, 'score': 0.9561737804878049, 'examples_seen': 1250558, 'step': 7700, 'algorithm': 'bellman_ford'},
{'pi': 0.9782774390243902, 'score': 0.9782774390243902, 'examples_seen': 1258641, 'step': 7750, 'algorithm': 'bellman_ford'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 1266935, 'step': 7800, 'algorithm': 'bellman_ford'},
{'pi': 0.9569359756097561, 'score': 0.9569359756097561, 'examples_seen': 1274791, 'step': 7850, 'algorithm': 'bellman_ford'},
{'pi': 0.9382621951219512, 'score': 0.9382621951219512, 'examples_seen': 1283291, 'step': 7900, 'algorithm': 'bellman_ford'},
{'pi': 0.9706554878048781, 'score': 0.9706554878048781, 'examples_seen': 1290994, 'step': 7950, 'algorithm': 'bellman_ford'},
{'pi': 0.9237804878048781, 'score': 0.9237804878048781, 'examples_seen': 1299515, 'step': 8000, 'algorithm': 'bellman_ford'},
{'pi': 0.9668445121951219, 'score': 0.9668445121951219, 'examples_seen': 1307612, 'step': 8050, 'algorithm': 'bellman_ford'},
{'pi': 0.9363567073170732, 'score': 0.9363567073170732, 'examples_seen': 1315655, 'step': 8100, 'algorithm': 'bellman_ford'},
{'pi': 0.9432164634146342, 'score': 0.9432164634146342, 'examples_seen': 1324016, 'step': 8150, 'algorithm': 'bellman_ford'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 1331795, 'step': 8200, 'algorithm': 'bellman_ford'},
{'pi': 0.9759908536585366, 'score': 0.9759908536585366, 'examples_seen': 1340307, 'step': 8250, 'algorithm': 'bellman_ford'},
{'pi': 0.9626524390243902, 'score': 0.9626524390243902, 'examples_seen': 1347994, 'step': 8300, 'algorithm': 'bellman_ford'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 1356470, 'step': 8350, 'algorithm': 'bellman_ford'},
{'pi': 0.9401676829268293, 'score': 0.9401676829268293, 'examples_seen': 1364591, 'step': 8400, 'algorithm': 'bellman_ford'},
{'pi': 0.9397865853658537, 'score': 0.9397865853658537, 'examples_seen': 1372592, 'step': 8450, 'algorithm': 'bellman_ford'},
{'pi': 0.9371189024390244, 'score': 0.9371189024390244, 'examples_seen': 1380919, 'step': 8500, 'algorithm': 'bellman_ford'},
{'pi': 0.9660823170731707, 'score': 0.9660823170731707, 'examples_seen': 1388705, 'step': 8550, 'algorithm': 'bellman_ford'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 1397126, 'step': 8600, 'algorithm': 'bellman_ford'},
{'pi': 0.9344512195121951, 'score': 0.9344512195121951, 'examples_seen': 1404773, 'step': 8650, 'algorithm': 'bellman_ford'},
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 1413318, 'step': 8700, 'algorithm': 'bellman_ford'},
{'pi': 0.9767530487804879, 'score': 0.9767530487804879, 'examples_seen': 1421438, 'step': 8750, 'algorithm': 'bellman_ford'},
{'pi': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 1429431, 'step': 8800, 'algorithm': 'bellman_ford'},
{'pi': 0.9611280487804879, 'score': 0.9611280487804879, 'examples_seen': 1437810, 'step': 8850, 'algorithm': 'bellman_ford'},
{'pi': 0.9153963414634146, 'score': 0.9153963414634146, 'examples_seen': 1445527, 'step': 8900, 'algorithm': 'bellman_ford'},
{'pi': 0.9138719512195121, 'score': 0.9138719512195121, 'examples_seen': 1454010, 'step': 8950, 'algorithm': 'bellman_ford'},
{'pi': 0.9813262195121951, 'score': 0.9813262195121951, 'examples_seen': 1461706, 'step': 9000, 'algorithm': 'bellman_ford'},
{'pi': 0.9576981707317073, 'score': 0.9576981707317073, 'examples_seen': 1470282, 'step': 9050, 'algorithm': 'bellman_ford'},
{'pi': 0.9298780487804879, 'score': 0.9298780487804879, 'examples_seen': 1478430, 'step': 9100, 'algorithm': 'bellman_ford'},
{'pi': 0.9504573170731707, 'score': 0.9504573170731707, 'examples_seen': 1486405, 'step': 9150, 'algorithm': 'bellman_ford'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 1494759, 'step': 9200, 'algorithm': 'bellman_ford'},
{'pi': 0.979420731707317, 'score': 0.979420731707317, 'examples_seen': 1502556, 'step': 9250, 'algorithm': 'bellman_ford'},
{'pi': 0.9458841463414634, 'score': 0.9458841463414634, 'examples_seen': 1510982, 'step': 9300, 'algorithm': 'bellman_ford'},
{'pi': 0.9496951219512195, 'score': 0.9496951219512195, 'examples_seen': 1518636, 'step': 9350, 'algorithm': 'bellman_ford'},
{'pi': 0.9249237804878049, 'score': 0.9249237804878049, 'examples_seen': 1527075, 'step': 9400, 'algorithm': 'bellman_ford'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 1535254, 'step': 9450, 'algorithm': 'bellman_ford'},
{'pi': 0.975609756097561, 'score': 0.975609756097561, 'examples_seen': 1543194, 'step': 9500, 'algorithm': 'bellman_ford'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 1551553, 'step': 9550, 'algorithm': 'bellman_ford'},
{'pi': 0.944359756097561, 'score': 0.944359756097561, 'examples_seen': 1559263, 'step': 9600, 'algorithm': 'bellman_ford'},
{'pi': 0.977515243902439, 'score': 0.977515243902439, 'examples_seen': 1567777, 'step': 9650, 'algorithm': 'bellman_ford'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 1575413, 'step': 9700, 'algorithm': 'bellman_ford'},
{'pi': 0.9759908536585366, 'score': 0.9759908536585366, 'examples_seen': 1583940, 'step': 9750, 'algorithm': 'bellman_ford'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 1592015, 'step': 9800, 'algorithm': 'bellman_ford'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 1600054, 'step': 9850, 'algorithm': 'bellman_ford'},
{'pi': 0.9336890243902439, 'score': 0.9336890243902439, 'examples_seen': 1608454, 'step': 9900, 'algorithm': 'bellman_ford'},
{'pi': 0.9817073170731707, 'score': 0.9817073170731707, 'examples_seen': 1616172, 'step': 9950, 'algorithm': 'bellman_ford'},
