{'in_hull': 0.33920972644376896, 'score': 0.33920972644376896, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'},
{'in_hull': 0.8384615384615384, 'score': 0.8384615384615384, 'examples_seen': 32955, 'step': 1900, 'algorithm': 'graham_scan'},
{'in_hull': 0.9118279569892472, 'score': 0.9118279569892472, 'examples_seen': 33909, 'step': 1950, 'algorithm': 'graham_scan'},
{'in_hull': 0.8591851322373124, 'score': 0.8591851322373124, 'examples_seen': 34662, 'step': 2000, 'algorithm': 'graham_scan'},
{'in_hull': 0.8933333333333333, 'score': 0.8933333333333333, 'examples_seen': 35610, 'step': 2050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9312544294826365, 'score': 0.9312544294826365, 'examples_seen': 36480, 'step': 2100, 'algorithm': 'graham_scan'},
{'in_hull': 0.8600143575017948, 'score': 0.8600143575017948, 'examples_seen': 37331, 'step': 2150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9286219081272084, 'score': 0.9286219081272084, 'examples_seen': 38230, 'step': 2200, 'algorithm': 'graham_scan'},
{'in_hull': 0.8922033898305085, 'score': 0.8922033898305085, 'examples_seen': 39038, 'step': 2250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9282700421940928, 'score': 0.9282700421940928, 'examples_seen': 39982, 'step': 2300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9039711191335739, 'score': 0.9039711191335739, 'examples_seen': 40738, 'step': 2350, 'algorithm': 'graham_scan'},
{'in_hull': 0.8858800773694391, 'score': 0.8858800773694391, 'examples_seen': 41680, 'step': 2400, 'algorithm': 'graham_scan'},
{'in_hull': 0.8884325804243668, 'score': 0.8884325804243668, 'examples_seen': 42555, 'step': 2450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9286239882266373, 'score': 0.9286239882266373, 'examples_seen': 43406, 'step': 2500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9045751633986929, 'score': 0.9045751633986929, 'examples_seen': 44313, 'step': 2550, 'algorithm': 'graham_scan'},
{'in_hull': 0.9279086366880799, 'score': 0.9279086366880799, 'examples_seen': 45107, 'step': 2600, 'algorithm': 'graham_scan'},
{'in_hull': 0.8967286722257858, 'score': 0.8967286722257858, 'examples_seen': 46041, 'step': 2650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9011627906976744, 'score': 0.9011627906976744, 'examples_seen': 46802, 'step': 2700, 'algorithm': 'graham_scan'},
{'in_hull': 0.9261559696342304, 'score': 0.9261559696342304, 'examples_seen': 47770, 'step': 2750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9514978601997147, 'score': 0.9514978601997147, 'examples_seen': 48632, 'step': 2800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9245674740484429, 'score': 0.9245674740484429, 'examples_seen': 49475, 'step': 2850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9367088607594937, 'score': 0.9367088607594937, 'examples_seen': 50373, 'step': 2900, 'algorithm': 'graham_scan'},
{'in_hull': 0.9317382125263898, 'score': 0.9317382125263898, 'examples_seen': 51180, 'step': 2950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9163059163059163, 'score': 0.9163059163059163, 'examples_seen': 52117, 'step': 3000, 'algorithm': 'graham_scan'},
{'in_hull': 0.8974189278623428, 'score': 0.8974189278623428, 'examples_seen': 52879, 'step': 3050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9441624365482234, 'score': 0.9441624365482234, 'examples_seen': 53841, 'step': 3100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9145728643216081, 'score': 0.9145728643216081, 'examples_seen': 54705, 'step': 3150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9305949008498583, 'score': 0.9305949008498583, 'examples_seen': 55548, 'step': 3200, 'algorithm': 'graham_scan'},
{'in_hull': 0.8952254641909815, 'score': 0.8952254641909815, 'examples_seen': 56453, 'step': 3250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9173256649892163, 'score': 0.9173256649892163, 'examples_seen': 57256, 'step': 3300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9303661162957645, 'score': 0.9303661162957645, 'examples_seen': 58193, 'step': 3350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9317382125263898, 'score': 0.9317382125263898, 'examples_seen': 58963, 'step': 3400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9192727272727274, 'score': 0.9192727272727274, 'examples_seen': 59911, 'step': 3450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9215116279069767, 'score': 0.9215116279069767, 'examples_seen': 60789, 'step': 3500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9196757553426677, 'score': 0.9196757553426677, 'examples_seen': 61620, 'step': 3550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8816155988857939, 'score': 0.8816155988857939, 'examples_seen': 62532, 'step': 3600, 'algorithm': 'graham_scan'},
{'in_hull': 0.9441340782122905, 'score': 0.9441340782122905, 'examples_seen': 63338, 'step': 3650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9193548387096774, 'score': 0.9193548387096774, 'examples_seen': 64275, 'step': 3700, 'algorithm': 'graham_scan'},
{'in_hull': 0.9240687679083094, 'score': 0.9240687679083094, 'examples_seen': 65038, 'step': 3750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9363762102351314, 'score': 0.9363762102351314, 'examples_seen': 65982, 'step': 3800, 'algorithm': 'graham_scan'},
{'in_hull': 0.8959136468774095, 'score': 0.8959136468774095, 'examples_seen': 66859, 'step': 3850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9097222222222222, 'score': 0.9097222222222222, 'examples_seen': 67715, 'step': 3900, 'algorithm': 'graham_scan'},
{'in_hull': 0.896301667875272, 'score': 0.896301667875272, 'examples_seen': 68615, 'step': 3950, 'algorithm': 'graham_scan'},
{'in_hull': 0.8654602675059009, 'score': 0.8654602675059009, 'examples_seen': 69408, 'step': 4000, 'algorithm': 'graham_scan'},
{'in_hull': 0.925207756232687, 'score': 0.925207756232687, 'examples_seen': 70347, 'step': 4050, 'algorithm': 'graham_scan'},
{'in_hull': 0.8982808022922636, 'score': 0.8982808022922636, 'examples_seen': 71105, 'step': 4100, 'algorithm': 'graham_scan'},
{'in_hull': 0.8577524893314366, 'score': 0.8577524893314366, 'examples_seen': 72057, 'step': 4150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9293361884368309, 'score': 0.9293361884368309, 'examples_seen': 72929, 'step': 4200, 'algorithm': 'graham_scan'},
{'in_hull': 0.9162629757785468, 'score': 0.9162629757785468, 'examples_seen': 73780, 'step': 4250, 'algorithm': 'graham_scan'},
{'in_hull': 0.894356005788712, 'score': 0.894356005788712, 'examples_seen': 74689, 'step': 4300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9313653136531365, 'score': 0.9313653136531365, 'examples_seen': 75479, 'step': 4350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9303977272727272, 'score': 0.9303977272727272, 'examples_seen': 76414, 'step': 4400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9135802469135802, 'score': 0.9135802469135802, 'examples_seen': 77168, 'step': 4450, 'algorithm': 'graham_scan'},
{'in_hull': 0.885317750182615, 'score': 0.885317750182615, 'examples_seen': 78129, 'step': 4500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9111266620013997, 'score': 0.9111266620013997, 'examples_seen': 79009, 'step': 4550, 'algorithm': 'graham_scan'},
{'in_hull': 0.920220082530949, 'score': 0.920220082530949, 'examples_seen': 79853, 'step': 4600, 'algorithm': 'graham_scan'},
{'in_hull': 0.8879184861717614, 'score': 0.8879184861717614, 'examples_seen': 80759, 'step': 4650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9312762973352035, 'score': 0.9312762973352035, 'examples_seen': 81557, 'step': 4700, 'algorithm': 'graham_scan'},
{'in_hull': 0.933048433048433, 'score': 0.933048433048433, 'examples_seen': 82496, 'step': 4750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9152542372881356, 'score': 0.9152542372881356, 'examples_seen': 83264, 'step': 4800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9414285714285715, 'score': 0.9414285714285715, 'examples_seen': 84204, 'step': 4850, 'algorithm': 'graham_scan'},
{'in_hull': 0.8918717375093214, 'score': 0.8918717375093214, 'examples_seen': 85079, 'step': 4900, 'algorithm': 'graham_scan'},
{'in_hull': 0.918009810791871, 'score': 0.918009810791871, 'examples_seen': 85925, 'step': 4950, 'algorithm': 'graham_scan'},
{'in_hull': 0.8783783783783783, 'score': 0.8783783783783783, 'examples_seen': 86824, 'step': 5000, 'algorithm': 'graham_scan'},
{'in_hull': 0.911825017088175, 'score': 0.911825017088175, 'examples_seen': 87633, 'step': 5050, 'algorithm': 'graham_scan'},
{'in_hull': 0.908955223880597, 'score': 0.908955223880597, 'examples_seen': 88573, 'step': 5100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9188063844552394, 'score': 0.9188063844552394, 'examples_seen': 89340, 'step': 5150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9185291997116077, 'score': 0.9185291997116077, 'examples_seen': 90285, 'step': 5200, 'algorithm': 'graham_scan'},
{'in_hull': 0.9200561009817672, 'score': 0.9200561009817672, 'examples_seen': 91155, 'step': 5250, 'algorithm': 'graham_scan'},
{'in_hull': 0.8887251289609432, 'score': 0.8887251289609432, 'examples_seen': 92002, 'step': 5300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9005083514887435, 'score': 0.9005083514887435, 'examples_seen': 92919, 'step': 5350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9260808926080892, 'score': 0.9260808926080892, 'examples_seen': 93715, 'step': 5400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9116809116809117, 'score': 0.9116809116809117, 'examples_seen': 94655, 'step': 5450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9308823529411764, 'score': 0.9308823529411764, 'examples_seen': 95420, 'step': 5500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9169096209912536, 'score': 0.9169096209912536, 'examples_seen': 96351, 'step': 5550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8716577540106951, 'score': 0.8716577540106951, 'examples_seen': 97237, 'step': 5600, 'algorithm': 'graham_scan'},
{'in_hull': 0.8940998487140696, 'score': 0.8940998487140696, 'examples_seen': 98081, 'step': 5650, 'algorithm': 'graham_scan'},
{'in_hull': 0.928032899246059, 'score': 0.928032899246059, 'examples_seen': 98992, 'step': 5700, 'algorithm': 'graham_scan'},
{'in_hull': 0.9250175192711981, 'score': 0.9250175192711981, 'examples_seen': 99782, 'step': 5750, 'algorithm': 'graham_scan'},
{'in_hull': 0.8931082981715893, 'score': 0.8931082981715893, 'examples_seen': 100723, 'step': 5800, 'algorithm': 'graham_scan'},
{'in_hull': 0.910522548317824, 'score': 0.910522548317824, 'examples_seen': 101492, 'step': 5850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9321533923303834, 'score': 0.9321533923303834, 'examples_seen': 102432, 'step': 5900, 'algorithm': 'graham_scan'},
{'in_hull': 0.894702419882276, 'score': 0.894702419882276, 'examples_seen': 103315, 'step': 5950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9339887640449438, 'score': 0.9339887640449438, 'examples_seen': 104155, 'step': 6000, 'algorithm': 'graham_scan'},
{'in_hull': 0.9440993788819876, 'score': 0.9440993788819876, 'examples_seen': 105056, 'step': 6050, 'algorithm': 'graham_scan'},
{'in_hull': 0.945480631276901, 'score': 0.945480631276901, 'examples_seen': 105853, 'step': 6100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9308084486525856, 'score': 0.9308084486525856, 'examples_seen': 106799, 'step': 6150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9053084648493545, 'score': 0.9053084648493545, 'examples_seen': 107557, 'step': 6200, 'algorithm': 'graham_scan'},
{'in_hull': 0.8995633187772926, 'score': 0.8995633187772926, 'examples_seen': 108507, 'step': 6250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9473684210526316, 'score': 0.9473684210526316, 'examples_seen': 109389, 'step': 6300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9312544294826364, 'score': 0.9312544294826364, 'examples_seen': 110230, 'step': 6350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9156452775775055, 'score': 0.9156452775775055, 'examples_seen': 111132, 'step': 6400, 'algorithm': 'graham_scan'},
{'in_hull': 0.8789514263685428, 'score': 0.8789514263685428, 'examples_seen': 111933, 'step': 6450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9289454001495887, 'score': 0.9289454001495887, 'examples_seen': 112875, 'step': 6500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9161381254404511, 'score': 0.9161381254404511, 'examples_seen': 113639, 'step': 6550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8933717579250722, 'score': 0.8933717579250722, 'examples_seen': 114590, 'step': 6600, 'algorithm': 'graham_scan'},
{'in_hull': 0.9443298969072165, 'score': 0.9443298969072165, 'examples_seen': 115465, 'step': 6650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9304886441844459, 'score': 0.9304886441844459, 'examples_seen': 116310, 'step': 6700, 'algorithm': 'graham_scan'},
{'in_hull': 0.8850072780203785, 'score': 0.8850072780203785, 'examples_seen': 117214, 'step': 6750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9304589707927677, 'score': 0.9304589707927677, 'examples_seen': 118011, 'step': 6800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9180790960451978, 'score': 0.9180790960451978, 'examples_seen': 118950, 'step': 6850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9481592787377912, 'score': 0.9481592787377912, 'examples_seen': 119712, 'step': 6900, 'algorithm': 'graham_scan'},
{'in_hull': 0.8483870967741935, 'score': 0.8483870967741935, 'examples_seen': 120655, 'step': 6950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9183673469387754, 'score': 0.9183673469387754, 'examples_seen': 121528, 'step': 7000, 'algorithm': 'graham_scan'},
{'in_hull': 0.9227614490772384, 'score': 0.9227614490772384, 'examples_seen': 122388, 'step': 7050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9324894514767933, 'score': 0.9324894514767933, 'examples_seen': 123294, 'step': 7100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9373680506685432, 'score': 0.9373680506685432, 'examples_seen': 124095, 'step': 7150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9597659107534747, 'score': 0.9597659107534747, 'examples_seen': 125030, 'step': 7200, 'algorithm': 'graham_scan'},
{'in_hull': 0.9531362653208363, 'score': 0.9531362653208363, 'examples_seen': 125787, 'step': 7250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9096340552651233, 'score': 0.9096340552651233, 'examples_seen': 126741, 'step': 7300, 'algorithm': 'graham_scan'},
{'in_hull': 0.886172650878533, 'score': 0.886172650878533, 'examples_seen': 127616, 'step': 7350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9289303661162958, 'score': 0.9289303661162958, 'examples_seen': 128465, 'step': 7400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9223367697594503, 'score': 0.9223367697594503, 'examples_seen': 129371, 'step': 7450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9116022099447514, 'score': 0.9116022099447514, 'examples_seen': 130172, 'step': 7500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9098591549295775, 'score': 0.9098591549295775, 'examples_seen': 131103, 'step': 7550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8923293455313159, 'score': 0.8923293455313159, 'examples_seen': 131865, 'step': 7600, 'algorithm': 'graham_scan'},
{'in_hull': 0.9389736477115118, 'score': 0.9389736477115118, 'examples_seen': 132814, 'step': 7650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9279411764705883, 'score': 0.9279411764705883, 'examples_seen': 133694, 'step': 7700, 'algorithm': 'graham_scan'},
{'in_hull': 0.8995873452544705, 'score': 0.8995873452544705, 'examples_seen': 134545, 'step': 7750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9172714078374455, 'score': 0.9172714078374455, 'examples_seen': 135445, 'step': 7800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9300595238095237, 'score': 0.9300595238095237, 'examples_seen': 136243, 'step': 7850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9512195121951218, 'score': 0.9512195121951218, 'examples_seen': 137181, 'step': 7900, 'algorithm': 'graham_scan'},
{'in_hull': 0.9331395348837209, 'score': 0.9331395348837209, 'examples_seen': 137944, 'step': 7950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9224011713030748, 'score': 0.9224011713030748, 'examples_seen': 138897, 'step': 8000, 'algorithm': 'graham_scan'},
{'in_hull': 0.9178082191780821, 'score': 0.9178082191780821, 'examples_seen': 139769, 'step': 8050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9426111908177905, 'score': 0.9426111908177905, 'examples_seen': 140618, 'step': 8100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9143239625167335, 'score': 0.9143239625167335, 'examples_seen': 141514, 'step': 8150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9331395348837209, 'score': 0.9331395348837209, 'examples_seen': 142315, 'step': 8200, 'algorithm': 'graham_scan'},
{'in_hull': 0.8043990573448547, 'score': 0.8043990573448547, 'examples_seen': 143257, 'step': 8250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9086956521739131, 'score': 0.9086956521739131, 'examples_seen': 144025, 'step': 8300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9202453987730062, 'score': 0.9202453987730062, 'examples_seen': 144961, 'step': 8350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9344978165938865, 'score': 0.9344978165938865, 'examples_seen': 145840, 'step': 8400, 'algorithm': 'graham_scan'},
{'in_hull': 0.8947368421052633, 'score': 0.8947368421052633, 'examples_seen': 146694, 'step': 8450, 'algorithm': 'graham_scan'},
{'in_hull': 0.8951965065502184, 'score': 0.8951965065502184, 'examples_seen': 147597, 'step': 8500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9088213491475167, 'score': 0.9088213491475167, 'examples_seen': 148395, 'step': 8550, 'algorithm': 'graham_scan'},
{'in_hull': 0.8897338403041825, 'score': 0.8897338403041825, 'examples_seen': 149335, 'step': 8600, 'algorithm': 'graham_scan'},
{'in_hull': 0.8531029065200315, 'score': 0.8531029065200315, 'examples_seen': 150099, 'step': 8650, 'algorithm': 'graham_scan'},
{'in_hull': 0.8781869688385269, 'score': 0.8781869688385269, 'examples_seen': 151050, 'step': 8700, 'algorithm': 'graham_scan'},
{'in_hull': 0.9300648882480173, 'score': 0.9300648882480173, 'examples_seen': 151914, 'step': 8750, 'algorithm': 'graham_scan'},
{'in_hull': 0.9108614232209737, 'score': 0.9108614232209737, 'examples_seen': 152761, 'step': 8800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9369241672572645, 'score': 0.9369241672572645, 'examples_seen': 153674, 'step': 8850, 'algorithm': 'graham_scan'},
{'in_hull': 0.8789237668161436, 'score': 0.8789237668161436, 'examples_seen': 154469, 'step': 8900, 'algorithm': 'graham_scan'},
{'in_hull': 0.8569277108433734, 'score': 0.8569277108433734, 'examples_seen': 155412, 'step': 8950, 'algorithm': 'graham_scan'},
{'in_hull': 0.9004149377593361, 'score': 0.9004149377593361, 'examples_seen': 156169, 'step': 9000, 'algorithm': 'graham_scan'},
{'in_hull': 0.9332415691672402, 'score': 0.9332415691672402, 'examples_seen': 157119, 'step': 9050, 'algorithm': 'graham_scan'},
{'in_hull': 0.9068767908309455, 'score': 0.9068767908309455, 'examples_seen': 157993, 'step': 9100, 'algorithm': 'graham_scan'},
{'in_hull': 0.9379900213827512, 'score': 0.9379900213827512, 'examples_seen': 158846, 'step': 9150, 'algorithm': 'graham_scan'},
{'in_hull': 0.9102384291725105, 'score': 0.9102384291725105, 'examples_seen': 159746, 'step': 9200, 'algorithm': 'graham_scan'},
{'in_hull': 0.9190311418685122, 'score': 0.9190311418685122, 'examples_seen': 160545, 'step': 9250, 'algorithm': 'graham_scan'},
{'in_hull': 0.9043231750531537, 'score': 0.9043231750531537, 'examples_seen': 161476, 'step': 9300, 'algorithm': 'graham_scan'},
{'in_hull': 0.9392265193370165, 'score': 0.9392265193370165, 'examples_seen': 162247, 'step': 9350, 'algorithm': 'graham_scan'},
{'in_hull': 0.9048951048951049, 'score': 0.9048951048951049, 'examples_seen': 163204, 'step': 9400, 'algorithm': 'graham_scan'},
{'in_hull': 0.9029593943565037, 'score': 0.9029593943565037, 'examples_seen': 164073, 'step': 9450, 'algorithm': 'graham_scan'},
{'in_hull': 0.9469331495520332, 'score': 0.9469331495520332, 'examples_seen': 164904, 'step': 9500, 'algorithm': 'graham_scan'},
{'in_hull': 0.9081481481481481, 'score': 0.9081481481481481, 'examples_seen': 165820, 'step': 9550, 'algorithm': 'graham_scan'},
{'in_hull': 0.9057437407952872, 'score': 0.9057437407952872, 'examples_seen': 166620, 'step': 9600, 'algorithm': 'graham_scan'},
{'in_hull': 0.8831710709318498, 'score': 0.8831710709318498, 'examples_seen': 167552, 'step': 9650, 'algorithm': 'graham_scan'},
{'in_hull': 0.9202540578687368, 'score': 0.9202540578687368, 'examples_seen': 168312, 'step': 9700, 'algorithm': 'graham_scan'},
{'in_hull': 0.9190404797601199, 'score': 0.9190404797601199, 'examples_seen': 169250, 'step': 9750, 'algorithm': 'graham_scan'},
{'in_hull': 0.8712121212121213, 'score': 0.8712121212121213, 'examples_seen': 170141, 'step': 9800, 'algorithm': 'graham_scan'},
{'in_hull': 0.9172714078374457, 'score': 0.9172714078374457, 'examples_seen': 170994, 'step': 9850, 'algorithm': 'graham_scan'},
{'in_hull': 0.9287226534932956, 'score': 0.9287226534932956, 'examples_seen': 171891, 'step': 9900, 'algorithm': 'graham_scan'},
{'in_hull': 0.9495798319327731, 'score': 0.9495798319327731, 'examples_seen': 172684, 'step': 9950, 'algorithm': 'graham_scan'},
