{'in_hull': 0.43545279383429675, 'score': 0.43545279383429675, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
{'in_hull': 0.9276511397423192, 'score': 0.9276511397423192, 'examples_seen': 90708, 'step': 3050, 'algorithm': 'graham_scan'}
{'in_hull': 0.934409687184662, 'score': 0.934409687184662, 'examples_seen': 92221, 'step': 3100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9268795056642636, 'score': 0.9268795056642636, 'examples_seen': 93737, 'step': 3150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9315628192032687, 'score': 0.9315628192032687, 'examples_seen': 95227, 'step': 3200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9417773237997957, 'score': 0.9417773237997957, 'examples_seen': 96716, 'step': 3250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9477054429028816, 'score': 0.9477054429028816, 'examples_seen': 98180, 'step': 3300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9551282051282052, 'score': 0.9551282051282052, 'examples_seen': 99665, 'step': 3350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9351403678606001, 'score': 0.9351403678606001, 'examples_seen': 101116, 'step': 3400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9289940828402365, 'score': 0.9289940828402365, 'examples_seen': 102633, 'step': 3450, 'algorithm': 'graham_scan'}
{'in_hull': 0.931794333683106, 'score': 0.931794333683106, 'examples_seen': 104145, 'step': 3500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9476923076923077, 'score': 0.9476923076923077, 'examples_seen': 105640, 'step': 3550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9234088457389428, 'score': 0.9234088457389428, 'examples_seen': 107127, 'step': 3600, 'algorithm': 'graham_scan'}
{'in_hull': 0.8902439024390244, 'score': 0.8902439024390244, 'examples_seen': 108590, 'step': 3650, 'algorithm': 'graham_scan'}
{'in_hull': 0.93158953722334, 'score': 0.93158953722334, 'examples_seen': 110071, 'step': 3700, 'algorithm': 'graham_scan'}
{'in_hull': 0.954356846473029, 'score': 0.954356846473029, 'examples_seen': 111534, 'step': 3750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9313131313131313, 'score': 0.9313131313131313, 'examples_seen': 113042, 'step': 3800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9560776302349336, 'score': 0.9560776302349336, 'examples_seen': 114558, 'step': 3850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9539748953974896, 'score': 0.9539748953974896, 'examples_seen': 116042, 'step': 3900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9552238805970149, 'score': 0.9552238805970149, 'examples_seen': 117533, 'step': 3950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9432773109243697, 'score': 0.9432773109243697, 'examples_seen': 119002, 'step': 4000, 'algorithm': 'graham_scan'}
{'in_hull': 0.92, 'score': 0.92, 'examples_seen': 120480, 'step': 4050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9595628415300547, 'score': 0.9595628415300547, 'examples_seen': 121940, 'step': 4100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9444444444444445, 'score': 0.9444444444444445, 'examples_seen': 123454, 'step': 4150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9148936170212767, 'score': 0.9148936170212767, 'examples_seen': 124969, 'step': 4200, 'algorithm': 'graham_scan'}
{'in_hull': 0.930930930930931, 'score': 0.930930930930931, 'examples_seen': 126456, 'step': 4250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9348268839103869, 'score': 0.9348268839103869, 'examples_seen': 127941, 'step': 4300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9398572884811417, 'score': 0.9398572884811417, 'examples_seen': 129408, 'step': 4350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9509594882729212, 'score': 0.9509594882729212, 'examples_seen': 130885, 'step': 4400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9492600422832981, 'score': 0.9492600422832981, 'examples_seen': 132344, 'step': 4450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9415448851774529, 'score': 0.9415448851774529, 'examples_seen': 133858, 'step': 4500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9547844374342797, 'score': 0.9547844374342797, 'examples_seen': 135374, 'step': 4550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9451476793248945, 'score': 0.9451476793248945, 'examples_seen': 136862, 'step': 4600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9467213114754098, 'score': 0.9467213114754098, 'examples_seen': 138346, 'step': 4650, 'algorithm': 'graham_scan'}
{'in_hull': 0.95625, 'score': 0.95625, 'examples_seen': 139817, 'step': 4700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9527720739219712, 'score': 0.9527720739219712, 'examples_seen': 141290, 'step': 4750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9752421959095803, 'score': 0.9752421959095803, 'examples_seen': 142751, 'step': 4800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9488465396188566, 'score': 0.9488465396188566, 'examples_seen': 144262, 'step': 4850, 'algorithm': 'graham_scan'}
{'in_hull': 0.94921875, 'score': 0.94921875, 'examples_seen': 145778, 'step': 4900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9351184346035015, 'score': 0.9351184346035015, 'examples_seen': 147265, 'step': 4950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9521785334750267, 'score': 0.9521785334750267, 'examples_seen': 148755, 'step': 5000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9474768280123583, 'score': 0.9474768280123583, 'examples_seen': 150216, 'step': 5050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9563365282215123, 'score': 0.9563365282215123, 'examples_seen': 151691, 'step': 5100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9486910994764399, 'score': 0.9486910994764399, 'examples_seen': 153156, 'step': 5150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9361277445109779, 'score': 0.9361277445109779, 'examples_seen': 154664, 'step': 5200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9184726522187822, 'score': 0.9184726522187822, 'examples_seen': 156178, 'step': 5250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9634273772204807, 'score': 0.9634273772204807, 'examples_seen': 157664, 'step': 5300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9494736842105262, 'score': 0.9494736842105262, 'examples_seen': 159154, 'step': 5350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9719827586206896, 'score': 0.9719827586206896, 'examples_seen': 160620, 'step': 5400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9362549800796812, 'score': 0.9362549800796812, 'examples_seen': 162099, 'step': 5450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9453781512605042, 'score': 0.9453781512605042, 'examples_seen': 163567, 'step': 5500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9240121580547113, 'score': 0.9240121580547113, 'examples_seen': 165071, 'step': 5550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9366602687140114, 'score': 0.9366602687140114, 'examples_seen': 166589, 'step': 5600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9341438703140832, 'score': 0.9341438703140832, 'examples_seen': 168073, 'step': 5650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9749478079331941, 'score': 0.9749478079331941, 'examples_seen': 169562, 'step': 5700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9403141361256545, 'score': 0.9403141361256545, 'examples_seen': 171027, 'step': 5750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9293756397134085, 'score': 0.9293756397134085, 'examples_seen': 172509, 'step': 5800, 'algorithm': 'graham_scan'}
{'in_hull': 0.912906610703043, 'score': 0.912906610703043, 'examples_seen': 173971, 'step': 5850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9334719334719335, 'score': 0.9334719334719335, 'examples_seen': 175483, 'step': 5900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9044334975369458, 'score': 0.9044334975369458, 'examples_seen': 177000, 'step': 5950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9283611383709519, 'score': 0.9283611383709519, 'examples_seen': 178480, 'step': 6000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9561586638830897, 'score': 0.9561586638830897, 'examples_seen': 179971, 'step': 6050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9619151251360173, 'score': 0.9619151251360173, 'examples_seen': 181438, 'step': 6100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9311827956989247, 'score': 0.9311827956989247, 'examples_seen': 182914, 'step': 6150, 'algorithm': 'graham_scan'}
{'in_hull': 0.945031712473573, 'score': 0.945031712473573, 'examples_seen': 184374, 'step': 6200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9552549427679501, 'score': 0.9552549427679501, 'examples_seen': 185889, 'step': 6250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9572471324296142, 'score': 0.9572471324296142, 'examples_seen': 187407, 'step': 6300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9589322381930184, 'score': 0.9589322381930184, 'examples_seen': 188890, 'step': 6350, 'algorithm': 'graham_scan'}
{'in_hull': 0.923076923076923, 'score': 0.923076923076923, 'examples_seen': 190380, 'step': 6400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9529780564263324, 'score': 0.9529780564263324, 'examples_seen': 191840, 'step': 6450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9431578947368422, 'score': 0.9431578947368422, 'examples_seen': 193326, 'step': 6500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9495365602471678, 'score': 0.9495365602471678, 'examples_seen': 194791, 'step': 6550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9508525576730189, 'score': 0.9508525576730189, 'examples_seen': 196302, 'step': 6600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9640130861504908, 'score': 0.9640130861504908, 'examples_seen': 197816, 'step': 6650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9253731343283581, 'score': 0.9253731343283581, 'examples_seen': 199307, 'step': 6700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9622437971952535, 'score': 0.9622437971952535, 'examples_seen': 200799, 'step': 6750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9709543568464729, 'score': 0.9709543568464729, 'examples_seen': 202260, 'step': 6800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9432835820895523, 'score': 0.9432835820895523, 'examples_seen': 203736, 'step': 6850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9638802889576883, 'score': 0.9638802889576883, 'examples_seen': 205202, 'step': 6900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9394261424017003, 'score': 0.9394261424017003, 'examples_seen': 206713, 'step': 6950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9264248704663212, 'score': 0.9264248704663212, 'examples_seen': 208235, 'step': 7000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9226006191950464, 'score': 0.9226006191950464, 'examples_seen': 209716, 'step': 7050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9532908704883227, 'score': 0.9532908704883227, 'examples_seen': 211208, 'step': 7100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9578059071729959, 'score': 0.9578059071729959, 'examples_seen': 212671, 'step': 7150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9486652977412731, 'score': 0.9486652977412731, 'examples_seen': 214153, 'step': 7200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9502645502645501, 'score': 0.9502645502645501, 'examples_seen': 215613, 'step': 7250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9685534591194968, 'score': 0.9685534591194968, 'examples_seen': 217135, 'step': 7300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9529780564263323, 'score': 0.9529780564263323, 'examples_seen': 218641, 'step': 7350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9437500000000001, 'score': 0.9437500000000001, 'examples_seen': 220131, 'step': 7400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9514767932489453, 'score': 0.9514767932489453, 'examples_seen': 221618, 'step': 7450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9430051813471503, 'score': 0.9430051813471503, 'examples_seen': 223086, 'step': 7500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9691817215727949, 'score': 0.9691817215727949, 'examples_seen': 224571, 'step': 7550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9446185997910137, 'score': 0.9446185997910137, 'examples_seen': 226022, 'step': 7600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9601634320735444, 'score': 0.9601634320735444, 'examples_seen': 227535, 'step': 7650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9365244536940687, 'score': 0.9365244536940687, 'examples_seen': 229053, 'step': 7700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9631966351209253, 'score': 0.9631966351209253, 'examples_seen': 230532, 'step': 7750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9353846153846154, 'score': 0.9353846153846154, 'examples_seen': 232022, 'step': 7800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9558974358974359, 'score': 0.9558974358974359, 'examples_seen': 233493, 'step': 7850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9691629955947135, 'score': 0.9691629955947135, 'examples_seen': 234967, 'step': 7900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9310344827586208, 'score': 0.9310344827586208, 'examples_seen': 236425, 'step': 7950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9524861878453038, 'score': 0.9524861878453038, 'examples_seen': 237939, 'step': 8000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9410569105691058, 'score': 0.9410569105691058, 'examples_seen': 239454, 'step': 8050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9202825428859737, 'score': 0.9202825428859737, 'examples_seen': 240942, 'step': 8100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9616204690831557, 'score': 0.9616204690831557, 'examples_seen': 242435, 'step': 8150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9530761209593326, 'score': 0.9530761209593326, 'examples_seen': 243898, 'step': 8200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9676724137931034, 'score': 0.9676724137931034, 'examples_seen': 245380, 'step': 8250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9367346938775509, 'score': 0.9367346938775509, 'examples_seen': 246841, 'step': 8300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9502645502645503, 'score': 0.9502645502645503, 'examples_seen': 248358, 'step': 8350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9531914893617022, 'score': 0.9531914893617022, 'examples_seen': 249875, 'step': 8400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9665271966527197, 'score': 0.9665271966527197, 'examples_seen': 251356, 'step': 8450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9578622816032888, 'score': 0.9578622816032888, 'examples_seen': 252846, 'step': 8500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9384288747346071, 'score': 0.9384288747346071, 'examples_seen': 254316, 'step': 8550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9529411764705882, 'score': 0.9529411764705882, 'examples_seen': 255792, 'step': 8600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9590766002098637, 'score': 0.9590766002098637, 'examples_seen': 257258, 'step': 8650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9562433297758804, 'score': 0.9562433297758804, 'examples_seen': 258772, 'step': 8700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9672650475184795, 'score': 0.9672650475184795, 'examples_seen': 260281, 'step': 8750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9494079655543596, 'score': 0.9494079655543596, 'examples_seen': 261772, 'step': 8800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9648760330578512, 'score': 0.9648760330578512, 'examples_seen': 263270, 'step': 8850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9731471535982814, 'score': 0.9731471535982814, 'examples_seen': 264731, 'step': 8900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9496981891348089, 'score': 0.9496981891348089, 'examples_seen': 266208, 'step': 8950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9755011135857461, 'score': 0.9755011135857461, 'examples_seen': 267671, 'step': 9000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9530469530469531, 'score': 0.9530469530469531, 'examples_seen': 269189, 'step': 9050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9599156118143459, 'score': 0.9599156118143459, 'examples_seen': 270708, 'step': 9100, 'algorithm': 'graham_scan'}
{'in_hull': 0.948257655755016, 'score': 0.948257655755016, 'examples_seen': 272188, 'step': 9150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9623430962343097, 'score': 0.9623430962343097, 'examples_seen': 273677, 'step': 9200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9534883720930232, 'score': 0.9534883720930232, 'examples_seen': 275148, 'step': 9250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9539748953974896, 'score': 0.9539748953974896, 'examples_seen': 276632, 'step': 9300, 'algorithm': 'graham_scan'}
{'in_hull': 0.927710843373494, 'score': 0.927710843373494, 'examples_seen': 278086, 'step': 9350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9530761209593326, 'score': 0.9530761209593326, 'examples_seen': 279597, 'step': 9400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9409326424870466, 'score': 0.9409326424870466, 'examples_seen': 281116, 'step': 9450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9497907949790795, 'score': 0.9497907949790795, 'examples_seen': 282596, 'step': 9500, 'algorithm': 'graham_scan'}
{'in_hull': 0.971608832807571, 'score': 0.971608832807571, 'examples_seen': 284090, 'step': 9550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9633620689655172, 'score': 0.9633620689655172, 'examples_seen': 285557, 'step': 9600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9542066027689031, 'score': 0.9542066027689031, 'examples_seen': 287036, 'step': 9650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9567053854276663, 'score': 0.9567053854276663, 'examples_seen': 288496, 'step': 9700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9617021276595745, 'score': 0.9617021276595745, 'examples_seen': 290006, 'step': 9750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9309989701338827, 'score': 0.9309989701338827, 'examples_seen': 291528, 'step': 9800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9341692789968652, 'score': 0.9341692789968652, 'examples_seen': 293008, 'step': 9850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9621052631578947, 'score': 0.9621052631578947, 'examples_seen': 294497, 'step': 9900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9544973544973545, 'score': 0.9544973544973545, 'examples_seen': 295963, 'step': 9950, 'algorithm': 'graham_scan'}
