{'root': 0.5055147058823529, 'score': 0.5055147058823529, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
{'root': 0.9103589965397924, 'score': 0.9103589965397924, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'optimal_bst'}
{'root': 0.9229022491349481, 'score': 0.9229022491349481, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'optimal_bst'}
{'root': 0.9483131487889274, 'score': 0.9483131487889274, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'optimal_bst'}
{'root': 0.9482590830449827, 'score': 0.9482590830449827, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'optimal_bst'}
{'root': 0.94717776816609, 'score': 0.94717776816609, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'optimal_bst'}
{'root': 0.945231401384083, 'score': 0.945231401384083, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'optimal_bst'}
{'root': 0.9470696366782007, 'score': 0.9470696366782007, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'optimal_bst'}
{'root': 0.9552335640138409, 'score': 0.9552335640138409, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'optimal_bst'}
{'root': 0.9493403979238755, 'score': 0.9493403979238755, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'optimal_bst'}
{'root': 0.9509623702422145, 'score': 0.9509623702422145, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'optimal_bst'}
{'root': 0.9463667820069204, 'score': 0.9463667820069204, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'optimal_bst'}
{'root': 0.9458801903114187, 'score': 0.9458801903114187, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'optimal_bst'}
{'root': 0.9464208477508651, 'score': 0.9464208477508651, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'optimal_bst'}
{'root': 0.9478265570934256, 'score': 0.9478265570934256, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'optimal_bst'}
{'root': 0.9427443771626297, 'score': 0.9427443771626297, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'optimal_bst'}
{'root': 0.9451773356401384, 'score': 0.9451773356401384, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'optimal_bst'}
{'root': 0.9512326989619377, 'score': 0.9512326989619377, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'optimal_bst'}
{'root': 0.933931660899654, 'score': 0.933931660899654, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'optimal_bst'}
{'root': 0.9494485294117647, 'score': 0.9494485294117647, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'optimal_bst'}
{'root': 0.9407439446366782, 'score': 0.9407439446366782, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'optimal_bst'}
{'root': 0.9298226643598616, 'score': 0.9298226643598616, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'optimal_bst'}
{'root': 0.9496107266435986, 'score': 0.9496107266435986, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'optimal_bst'}
{'root': 0.9368512110726643, 'score': 0.9368512110726643, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'optimal_bst'}
{'root': 0.9535575259515571, 'score': 0.9535575259515571, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'optimal_bst'}
{'root': 0.9530168685121108, 'score': 0.9530168685121108, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'optimal_bst'}
{'root': 0.9264705882352942, 'score': 0.9264705882352942, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'optimal_bst'}
{'root': 0.9378243944636678, 'score': 0.9378243944636678, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'optimal_bst'}
{'root': 0.9251189446366782, 'score': 0.9251189446366782, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'optimal_bst'}
{'root': 0.9437716262975778, 'score': 0.9437716262975778, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'optimal_bst'}
{'root': 0.9438256920415224, 'score': 0.9438256920415224, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'optimal_bst'}
{'root': 0.9510705017301038, 'score': 0.9510705017301038, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'optimal_bst'}
{'root': 0.951503027681661, 'score': 0.951503027681661, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'optimal_bst'}
{'root': 0.9568014705882353, 'score': 0.9568014705882353, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'optimal_bst'}
{'root': 0.9459883217993079, 'score': 0.9459883217993079, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'optimal_bst'}
{'root': 0.9396626297577855, 'score': 0.9396626297577855, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'optimal_bst'}
{'root': 0.929606401384083, 'score': 0.929606401384083, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'optimal_bst'}
{'root': 0.932742214532872, 'score': 0.932742214532872, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'optimal_bst'}
{'root': 0.9451232698961938, 'score': 0.9451232698961938, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'optimal_bst'}
{'root': 0.9426903114186851, 'score': 0.9426903114186851, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'optimal_bst'}
{'root': 0.9463667820069204, 'score': 0.9463667820069204, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'optimal_bst'}
{'root': 0.9456639273356401, 'score': 0.9456639273356401, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'optimal_bst'}
{'root': 0.9518814878892734, 'score': 0.9518814878892734, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'optimal_bst'}
{'root': 0.9484753460207612, 'score': 0.9484753460207612, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'optimal_bst'}
{'root': 0.9292820069204152, 'score': 0.9292820069204152, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'optimal_bst'}
{'root': 0.9493403979238755, 'score': 0.9493403979238755, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'optimal_bst'}
{'root': 0.9538278546712803, 'score': 0.9538278546712803, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'optimal_bst'}
{'root': 0.9510164359861591, 'score': 0.9510164359861591, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'optimal_bst'}
{'root': 0.9495025951557093, 'score': 0.9495025951557093, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'optimal_bst'}
{'root': 0.9510705017301038, 'score': 0.9510705017301038, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'optimal_bst'}
{'root': 0.9387435121107266, 'score': 0.9387435121107266, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'optimal_bst'}
{'root': 0.9558282871972318, 'score': 0.9558282871972318, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'optimal_bst'}
{'root': 0.9402573529411765, 'score': 0.9402573529411765, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'optimal_bst'}
{'root': 0.9528546712802768, 'score': 0.9528546712802768, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'optimal_bst'}
{'root': 0.9518814878892734, 'score': 0.9518814878892734, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'optimal_bst'}
{'root': 0.949556660899654, 'score': 0.949556660899654, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'optimal_bst'}
{'root': 0.9387435121107266, 'score': 0.9387435121107266, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'optimal_bst'}
{'root': 0.9517192906574394, 'score': 0.9517192906574394, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'optimal_bst'}
{'root': 0.9557742214532872, 'score': 0.9557742214532872, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'optimal_bst'}
{'root': 0.9552876297577855, 'score': 0.9552876297577855, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'optimal_bst'}
{'root': 0.9557201557093425, 'score': 0.9557201557093425, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'optimal_bst'}
{'root': 0.9493944636678201, 'score': 0.9493944636678201, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'optimal_bst'}
{'root': 0.9545307093425606, 'score': 0.9545307093425606, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'optimal_bst'}
{'root': 0.9277141003460208, 'score': 0.9277141003460208, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'optimal_bst'}
{'root': 0.9534493944636678, 'score': 0.9534493944636678, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'optimal_bst'}
{'root': 0.9505298442906575, 'score': 0.9505298442906575, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'optimal_bst'}
{'root': 0.9516111591695502, 'score': 0.9516111591695502, 'examples_seen': 258816, 'step': 6500, 'algorithm': 'optimal_bst'}
{'root': 0.9520436851211073, 'score': 0.9520436851211073, 'examples_seen': 260752, 'step': 6550, 'algorithm': 'optimal_bst'}
{'root': 0.9569096020761245, 'score': 0.9569096020761245, 'examples_seen': 262800, 'step': 6600, 'algorithm': 'optimal_bst'}
{'root': 0.9535034602076125, 'score': 0.9535034602076125, 'examples_seen': 264832, 'step': 6650, 'algorithm': 'optimal_bst'}
{'root': 0.9491241349480969, 'score': 0.9491241349480969, 'examples_seen': 266800, 'step': 6700, 'algorithm': 'optimal_bst'}
{'root': 0.9493944636678201, 'score': 0.9493944636678201, 'examples_seen': 268800, 'step': 6750, 'algorithm': 'optimal_bst'}
{'root': 0.9497188581314879, 'score': 0.9497188581314879, 'examples_seen': 270752, 'step': 6800, 'algorithm': 'optimal_bst'}
{'root': 0.9458261245674741, 'score': 0.9458261245674741, 'examples_seen': 272736, 'step': 6850, 'algorithm': 'optimal_bst'}
{'root': 0.9580990484429066, 'score': 0.9580990484429066, 'examples_seen': 274720, 'step': 6900, 'algorithm': 'optimal_bst'}
{'root': 0.9532871972318339, 'score': 0.9532871972318339, 'examples_seen': 276736, 'step': 6950, 'algorithm': 'optimal_bst'}
{'root': 0.9550713667820069, 'score': 0.9550713667820069, 'examples_seen': 278768, 'step': 7000, 'algorithm': 'optimal_bst'}
{'root': 0.9597210207612457, 'score': 0.9597210207612457, 'examples_seen': 280752, 'step': 7050, 'algorithm': 'optimal_bst'}
{'root': 0.9327962802768166, 'score': 0.9327962802768166, 'examples_seen': 282736, 'step': 7100, 'algorithm': 'optimal_bst'}
{'root': 0.9552335640138409, 'score': 0.9552335640138409, 'examples_seen': 284720, 'step': 7150, 'algorithm': 'optimal_bst'}
{'root': 0.9569636678200693, 'score': 0.9569636678200693, 'examples_seen': 286672, 'step': 7200, 'algorithm': 'optimal_bst'}
{'root': 0.9542063148788927, 'score': 0.9542063148788927, 'examples_seen': 288640, 'step': 7250, 'algorithm': 'optimal_bst'}
{'root': 0.9558823529411765, 'score': 0.9558823529411765, 'examples_seen': 290688, 'step': 7300, 'algorithm': 'optimal_bst'}
{'root': 0.9485834775086506, 'score': 0.9485834775086506, 'examples_seen': 292688, 'step': 7350, 'algorithm': 'optimal_bst'}
{'root': 0.9351211072664359, 'score': 0.9351211072664359, 'examples_seen': 294688, 'step': 7400, 'algorithm': 'optimal_bst'}
{'root': 0.9445285467128027, 'score': 0.9445285467128027, 'examples_seen': 296672, 'step': 7450, 'algorithm': 'optimal_bst'}
{'root': 0.9546388408304498, 'score': 0.9546388408304498, 'examples_seen': 298624, 'step': 7500, 'algorithm': 'optimal_bst'}
{'root': 0.951503027681661, 'score': 0.951503027681661, 'examples_seen': 300624, 'step': 7550, 'algorithm': 'optimal_bst'}
{'root': 0.9581531141868512, 'score': 0.9581531141868512, 'examples_seen': 302576, 'step': 7600, 'algorithm': 'optimal_bst'}
{'root': 0.9546929065743944, 'score': 0.9546929065743944, 'examples_seen': 304608, 'step': 7650, 'algorithm': 'optimal_bst'}
{'root': 0.9538819204152249, 'score': 0.9538819204152249, 'examples_seen': 306640, 'step': 7700, 'algorithm': 'optimal_bst'}
{'root': 0.9603698096885813, 'score': 0.9603698096885813, 'examples_seen': 308608, 'step': 7750, 'algorithm': 'optimal_bst'}
{'root': 0.9505839100346021, 'score': 0.9505839100346021, 'examples_seen': 310608, 'step': 7800, 'algorithm': 'optimal_bst'}
{'root': 0.9493944636678201, 'score': 0.9493944636678201, 'examples_seen': 312576, 'step': 7850, 'algorithm': 'optimal_bst'}
{'root': 0.951340830449827, 'score': 0.951340830449827, 'examples_seen': 314528, 'step': 7900, 'algorithm': 'optimal_bst'}
{'root': 0.954314446366782, 'score': 0.954314446366782, 'examples_seen': 316528, 'step': 7950, 'algorithm': 'optimal_bst'}
{'root': 0.9631271626297578, 'score': 0.9631271626297578, 'examples_seen': 318528, 'step': 8000, 'algorithm': 'optimal_bst'}
{'root': 0.9564230103806228, 'score': 0.9564230103806228, 'examples_seen': 320560, 'step': 8050, 'algorithm': 'optimal_bst'}
{'root': 0.9506379757785467, 'score': 0.9506379757785467, 'examples_seen': 322544, 'step': 8100, 'algorithm': 'optimal_bst'}
{'root': 0.9562067474048442, 'score': 0.9562067474048442, 'examples_seen': 324528, 'step': 8150, 'algorithm': 'optimal_bst'}
{'root': 0.9560445501730104, 'score': 0.9560445501730104, 'examples_seen': 326528, 'step': 8200, 'algorithm': 'optimal_bst'}
{'root': 0.9603157439446367, 'score': 0.9603157439446367, 'examples_seen': 328464, 'step': 8250, 'algorithm': 'optimal_bst'}
{'root': 0.9577205882352942, 'score': 0.9577205882352942, 'examples_seen': 330432, 'step': 8300, 'algorithm': 'optimal_bst'}
{'root': 0.9570177335640139, 'score': 0.9570177335640139, 'examples_seen': 332480, 'step': 8350, 'algorithm': 'optimal_bst'}
{'root': 0.9375540657439446, 'score': 0.9375540657439446, 'examples_seen': 334480, 'step': 8400, 'algorithm': 'optimal_bst'}
{'root': 0.9520436851211073, 'score': 0.9520436851211073, 'examples_seen': 336480, 'step': 8450, 'algorithm': 'optimal_bst'}
{'root': 0.9419333910034602, 'score': 0.9419333910034602, 'examples_seen': 338464, 'step': 8500, 'algorithm': 'optimal_bst'}
{'root': 0.9568555363321799, 'score': 0.9568555363321799, 'examples_seen': 340432, 'step': 8550, 'algorithm': 'optimal_bst'}
{'root': 0.9579368512110726, 'score': 0.9579368512110726, 'examples_seen': 342416, 'step': 8600, 'algorithm': 'optimal_bst'}
{'root': 0.9590181660899654, 'score': 0.9590181660899654, 'examples_seen': 344368, 'step': 8650, 'algorithm': 'optimal_bst'}
{'root': 0.9557201557093425, 'score': 0.9557201557093425, 'examples_seen': 346400, 'step': 8700, 'algorithm': 'optimal_bst'}
{'root': 0.9473940311418685, 'score': 0.9473940311418685, 'examples_seen': 348432, 'step': 8750, 'algorithm': 'optimal_bst'}
{'root': 0.9559364186851211, 'score': 0.9559364186851211, 'examples_seen': 350416, 'step': 8800, 'algorithm': 'optimal_bst'}
{'root': 0.9579909169550173, 'score': 0.9579909169550173, 'examples_seen': 352400, 'step': 8850, 'algorithm': 'optimal_bst'}
{'root': 0.9589100346020761, 'score': 0.9589100346020761, 'examples_seen': 354368, 'step': 8900, 'algorithm': 'optimal_bst'}
{'root': 0.9546388408304498, 'score': 0.9546388408304498, 'examples_seen': 356320, 'step': 8950, 'algorithm': 'optimal_bst'}
{'root': 0.9599372837370242, 'score': 0.9599372837370242, 'examples_seen': 358320, 'step': 9000, 'algorithm': 'optimal_bst'}
{'root': 0.9548551038062284, 'score': 0.9548551038062284, 'examples_seen': 360320, 'step': 9050, 'algorithm': 'optimal_bst'}
{'root': 0.9506920415224913, 'score': 0.9506920415224913, 'examples_seen': 362352, 'step': 9100, 'algorithm': 'optimal_bst'}
{'root': 0.9580990484429066, 'score': 0.9580990484429066, 'examples_seen': 364352, 'step': 9150, 'algorithm': 'optimal_bst'}
{'root': 0.9550173010380623, 'score': 0.9550173010380623, 'examples_seen': 366320, 'step': 9200, 'algorithm': 'optimal_bst'}
{'root': 0.9561526816608996, 'score': 0.9561526816608996, 'examples_seen': 368320, 'step': 9250, 'algorithm': 'optimal_bst'}
{'root': 0.9592884948096886, 'score': 0.9592884948096886, 'examples_seen': 370272, 'step': 9300, 'algorithm': 'optimal_bst'}
{'root': 0.9470696366782007, 'score': 0.9470696366782007, 'examples_seen': 372240, 'step': 9350, 'algorithm': 'optimal_bst'}
{'root': 0.9602616782006921, 'score': 0.9602616782006921, 'examples_seen': 374288, 'step': 9400, 'algorithm': 'optimal_bst'}
{'root': 0.9405817474048442, 'score': 0.9405817474048442, 'examples_seen': 376288, 'step': 9450, 'algorithm': 'optimal_bst'}
{'root': 0.9546929065743944, 'score': 0.9546929065743944, 'examples_seen': 378304, 'step': 9500, 'algorithm': 'optimal_bst'}
{'root': 0.9524221453287197, 'score': 0.9524221453287197, 'examples_seen': 380272, 'step': 9550, 'algorithm': 'optimal_bst'}
{'root': 0.9587478373702422, 'score': 0.9587478373702422, 'examples_seen': 382240, 'step': 9600, 'algorithm': 'optimal_bst'}
{'root': 0.960856401384083, 'score': 0.960856401384083, 'examples_seen': 384224, 'step': 9650, 'algorithm': 'optimal_bst'}
{'root': 0.9557742214532872, 'score': 0.9557742214532872, 'examples_seen': 386176, 'step': 9700, 'algorithm': 'optimal_bst'}
{'root': 0.9559904844290658, 'score': 0.9559904844290658, 'examples_seen': 388224, 'step': 9750, 'algorithm': 'optimal_bst'}
{'root': 0.9538278546712803, 'score': 0.9538278546712803, 'examples_seen': 390240, 'step': 9800, 'algorithm': 'optimal_bst'}
{'root': 0.9422037197231834, 'score': 0.9422037197231834, 'examples_seen': 392224, 'step': 9850, 'algorithm': 'optimal_bst'}
{'root': 0.9436634948096886, 'score': 0.9436634948096886, 'examples_seen': 394208, 'step': 9900, 'algorithm': 'optimal_bst'}
{'root': 0.9510164359861591, 'score': 0.9510164359861591, 'examples_seen': 396176, 'step': 9950, 'algorithm': 'optimal_bst'}
