I0715 18:40:27.012383 135582186747392 run.py:723] (val) algo task_scheduling step 0: {'selected': 0.0, 'score': 0.0, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
I0715 18:41:47.650228 135582186747392 run.py:723] (val) algo task_scheduling step 550: {'selected': 0.9227498228206944, 'score': 0.9227498228206944, 'examples_seen': 21920, 'step': 550, 'algorithm': 'task_scheduling'}
I0715 18:41:48.670710 135582186747392 run.py:723] (val) algo task_scheduling step 600: {'selected': 0.9171511627906976, 'score': 0.9171511627906976, 'examples_seen': 23904, 'step': 600, 'algorithm': 'task_scheduling'}
I0715 18:41:49.747987 135582186747392 run.py:723] (val) algo task_scheduling step 650: {'selected': 0.924731182795699, 'score': 0.924731182795699, 'examples_seen': 25920, 'step': 650, 'algorithm': 'task_scheduling'}
I0715 18:41:50.808632 135582186747392 run.py:723] (val) algo task_scheduling step 700: {'selected': 0.9351389878831077, 'score': 0.9351389878831077, 'examples_seen': 27952, 'step': 700, 'algorithm': 'task_scheduling'}
I0715 18:41:51.855345 135582186747392 run.py:723] (val) algo task_scheduling step 750: {'selected': 0.9198250728862974, 'score': 0.9198250728862974, 'examples_seen': 29936, 'step': 750, 'algorithm': 'task_scheduling'}
I0715 18:41:52.901089 135582186747392 run.py:723] (val) algo task_scheduling step 800: {'selected': 0.9387755102040817, 'score': 0.9387755102040817, 'examples_seen': 31920, 'step': 800, 'algorithm': 'task_scheduling'}
I0715 18:41:53.945660 135582186747392 run.py:723] (val) algo task_scheduling step 850: {'selected': 0.9393491124260355, 'score': 0.9393491124260355, 'examples_seen': 33904, 'step': 850, 'algorithm': 'task_scheduling'}
I0715 18:41:55.021826 135582186747392 run.py:723] (val) algo task_scheduling step 900: {'selected': 0.9048596851471595, 'score': 0.9048596851471595, 'examples_seen': 35856, 'step': 900, 'algorithm': 'task_scheduling'}
I0715 18:41:56.053594 135582186747392 run.py:723] (val) algo task_scheduling step 950: {'selected': 0.9151817533856023, 'score': 0.9151817533856023, 'examples_seen': 37808, 'step': 950, 'algorithm': 'task_scheduling'}
I0715 18:41:57.095637 135582186747392 run.py:723] (val) algo task_scheduling step 1000: {'selected': 0.9063492063492063, 'score': 0.9063492063492063, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'task_scheduling'}
I0715 18:41:58.140382 135582186747392 run.py:723] (val) algo task_scheduling step 1050: {'selected': 0.9390420899854863, 'score': 0.9390420899854863, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'task_scheduling'}
I0715 18:41:59.162636 135582186747392 run.py:723] (val) algo task_scheduling step 1100: {'selected': 0.9295373665480428, 'score': 0.9295373665480428, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'task_scheduling'}
I0715 18:42:00.189904 135582186747392 run.py:723] (val) algo task_scheduling step 1150: {'selected': 0.9431988041853513, 'score': 0.9431988041853513, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'task_scheduling'}
I0715 18:42:01.228427 135582186747392 run.py:723] (val) algo task_scheduling step 1200: {'selected': 0.9444444444444445, 'score': 0.9444444444444445, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'task_scheduling'}
I0715 18:42:02.269548 135582186747392 run.py:723] (val) algo task_scheduling step 1250: {'selected': 0.9049897470950102, 'score': 0.9049897470950102, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'task_scheduling'}
I0715 18:42:03.301123 135582186747392 run.py:723] (val) algo task_scheduling step 1300: {'selected': 0.9359457422758101, 'score': 0.9359457422758101, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'task_scheduling'}
I0715 18:42:04.342985 135582186747392 run.py:723] (val) algo task_scheduling step 1350: {'selected': 0.929676511954993, 'score': 0.929676511954993, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'task_scheduling'}
I0715 18:42:05.414700 135582186747392 run.py:723] (val) algo task_scheduling step 1400: {'selected': 0.9475982532751092, 'score': 0.9475982532751092, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'task_scheduling'}
I0715 18:42:06.515206 135582186747392 run.py:723] (val) algo task_scheduling step 1450: {'selected': 0.9203664552501762, 'score': 0.9203664552501762, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'task_scheduling'}
I0715 18:42:07.588885 135582186747392 run.py:723] (val) algo task_scheduling step 1500: {'selected': 0.9341142020497805, 'score': 0.9341142020497805, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'task_scheduling'}
I0715 18:42:08.667342 135582186747392 run.py:723] (val) algo task_scheduling step 1550: {'selected': 0.9370932754880694, 'score': 0.9370932754880694, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'task_scheduling'}
I0715 18:42:09.712059 135582186747392 run.py:723] (val) algo task_scheduling step 1600: {'selected': 0.9321203638908327, 'score': 0.9321203638908327, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'task_scheduling'}
I0715 18:42:10.732209 135582186747392 run.py:723] (val) algo task_scheduling step 1650: {'selected': 0.9195402298850575, 'score': 0.9195402298850575, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'task_scheduling'}
I0715 18:42:11.761617 135582186747392 run.py:723] (val) algo task_scheduling step 1700: {'selected': 0.9409190371991247, 'score': 0.9409190371991247, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'task_scheduling'}
I0715 18:42:12.811952 135582186747392 run.py:723] (val) algo task_scheduling step 1750: {'selected': 0.9092356687898089, 'score': 0.9092356687898089, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'task_scheduling'}
I0715 18:42:13.836210 135582186747392 run.py:723] (val) algo task_scheduling step 1800: {'selected': 0.934250764525994, 'score': 0.934250764525994, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'task_scheduling'}
I0715 18:42:14.878780 135582186747392 run.py:723] (val) algo task_scheduling step 1850: {'selected': 0.9224806201550387, 'score': 0.9224806201550387, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'task_scheduling'}
I0715 18:42:15.889006 135582186747392 run.py:723] (val) algo task_scheduling step 1900: {'selected': 0.9397590361445782, 'score': 0.9397590361445782, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'task_scheduling'}
I0715 18:42:16.924847 135582186747392 run.py:723] (val) algo task_scheduling step 1950: {'selected': 0.9446153846153846, 'score': 0.9446153846153846, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'task_scheduling'}
I0715 18:42:17.961398 135582186747392 run.py:723] (val) algo task_scheduling step 2000: {'selected': 0.9114331723027375, 'score': 0.9114331723027375, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'task_scheduling'}
I0715 18:42:18.979762 135582186747392 run.py:723] (val) algo task_scheduling step 2050: {'selected': 0.9333333333333333, 'score': 0.9333333333333333, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'task_scheduling'}
I0715 18:42:20.026843 135582186747392 run.py:723] (val) algo task_scheduling step 2100: {'selected': 0.9411764705882353, 'score': 0.9411764705882353, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'task_scheduling'}
I0715 18:42:21.049803 135582186747392 run.py:723] (val) algo task_scheduling step 2150: {'selected': 0.9588235294117647, 'score': 0.9588235294117647, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'task_scheduling'}
I0715 18:42:22.090534 135582186747392 run.py:723] (val) algo task_scheduling step 2200: {'selected': 0.946220930232558, 'score': 0.946220930232558, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'task_scheduling'}
I0715 18:42:23.107151 135582186747392 run.py:723] (val) algo task_scheduling step 2250: {'selected': 0.9587155963302751, 'score': 0.9587155963302751, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'task_scheduling'}
I0715 18:42:24.119540 135582186747392 run.py:723] (val) algo task_scheduling step 2300: {'selected': 0.9346451159522138, 'score': 0.9346451159522138, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'task_scheduling'}
I0715 18:42:25.165932 135582186747392 run.py:723] (val) algo task_scheduling step 2350: {'selected': 0.9298626174981924, 'score': 0.9298626174981924, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'task_scheduling'}
I0715 18:42:26.190870 135582186747392 run.py:723] (val) algo task_scheduling step 2400: {'selected': 0.9309859154929577, 'score': 0.9309859154929577, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'task_scheduling'}
I0715 18:42:27.237376 135582186747392 run.py:723] (val) algo task_scheduling step 2450: {'selected': 0.9310083396512508, 'score': 0.9310083396512508, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'task_scheduling'}
I0715 18:42:28.265280 135582186747392 run.py:723] (val) algo task_scheduling step 2500: {'selected': 0.9392655367231638, 'score': 0.9392655367231638, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'task_scheduling'}
I0715 18:42:29.284887 135582186747392 run.py:723] (val) algo task_scheduling step 2550: {'selected': 0.9408050513022889, 'score': 0.9408050513022889, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'task_scheduling'}
I0715 18:42:30.329899 135582186747392 run.py:723] (val) algo task_scheduling step 2600: {'selected': 0.9309859154929577, 'score': 0.9309859154929577, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'task_scheduling'}
I0715 18:42:31.352734 135582186747392 run.py:723] (val) algo task_scheduling step 2650: {'selected': 0.9258987527512839, 'score': 0.9258987527512839, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'task_scheduling'}
I0715 18:42:32.396243 135582186747392 run.py:723] (val) algo task_scheduling step 2700: {'selected': 0.9465431218816822, 'score': 0.9465431218816822, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'task_scheduling'}
I0715 18:42:33.430797 135582186747392 run.py:723] (val) algo task_scheduling step 2750: {'selected': 0.9176470588235294, 'score': 0.9176470588235294, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'task_scheduling'}
I0715 18:42:34.479477 135582186747392 run.py:723] (val) algo task_scheduling step 2800: {'selected': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'task_scheduling'}
I0715 18:42:35.484698 135582186747392 run.py:723] (val) algo task_scheduling step 2850: {'selected': 0.9274255156608098, 'score': 0.9274255156608098, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'task_scheduling'}
I0715 18:42:36.508592 135582186747392 run.py:723] (val) algo task_scheduling step 2900: {'selected': 0.9465317919075145, 'score': 0.9465317919075145, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'task_scheduling'}
I0715 18:42:37.520251 135582186747392 run.py:723] (val) algo task_scheduling step 2950: {'selected': 0.9478390461997019, 'score': 0.9478390461997019, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'task_scheduling'}
I0715 18:42:38.563422 135582186747392 run.py:723] (val) algo task_scheduling step 3000: {'selected': 0.941717791411043, 'score': 0.941717791411043, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'task_scheduling'}
I0715 18:42:39.592285 135582186747392 run.py:723] (val) algo task_scheduling step 3050: {'selected': 0.9520912547528516, 'score': 0.9520912547528516, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'task_scheduling'}
I0715 18:42:40.654457 135582186747392 run.py:723] (val) algo task_scheduling step 3100: {'selected': 0.91701244813278, 'score': 0.91701244813278, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'task_scheduling'}
I0715 18:42:41.686250 135582186747392 run.py:723] (val) algo task_scheduling step 3150: {'selected': 0.9352068696330992, 'score': 0.9352068696330992, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'task_scheduling'}
I0715 18:42:42.722283 135582186747392 run.py:723] (val) algo task_scheduling step 3200: {'selected': 0.9361702127659574, 'score': 0.9361702127659574, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'task_scheduling'}
I0715 18:42:43.736543 135582186747392 run.py:723] (val) algo task_scheduling step 3250: {'selected': 0.9326347305389221, 'score': 0.9326347305389221, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'task_scheduling'}
I0715 18:42:44.761764 135582186747392 run.py:723] (val) algo task_scheduling step 3300: {'selected': 0.9519450800915332, 'score': 0.9519450800915332, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'task_scheduling'}
I0715 18:42:45.783141 135582186747392 run.py:723] (val) algo task_scheduling step 3350: {'selected': 0.9567131327953046, 'score': 0.9567131327953046, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'task_scheduling'}
I0715 18:42:46.825009 135582186747392 run.py:723] (val) algo task_scheduling step 3400: {'selected': 0.9498843484965305, 'score': 0.9498843484965305, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'task_scheduling'}
I0715 18:42:47.859350 135582186747392 run.py:723] (val) algo task_scheduling step 3450: {'selected': 0.9444866920152092, 'score': 0.9444866920152092, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'task_scheduling'}
I0715 18:42:48.906052 135582186747392 run.py:723] (val) algo task_scheduling step 3500: {'selected': 0.948012232415902, 'score': 0.948012232415902, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'task_scheduling'}
I0715 18:42:49.944449 135582186747392 run.py:723] (val) algo task_scheduling step 3550: {'selected': 0.9556057185854026, 'score': 0.9556057185854026, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'task_scheduling'}
I0715 18:42:50.958328 135582186747392 run.py:723] (val) algo task_scheduling step 3600: {'selected': 0.9368575624082232, 'score': 0.9368575624082232, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'task_scheduling'}
I0715 18:42:51.990973 135582186747392 run.py:723] (val) algo task_scheduling step 3650: {'selected': 0.9310104529616726, 'score': 0.9310104529616726, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'task_scheduling'}
I0715 18:42:53.010759 135582186747392 run.py:723] (val) algo task_scheduling step 3700: {'selected': 0.9485801995395241, 'score': 0.9485801995395241, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'task_scheduling'}
I0715 18:42:54.035451 135582186747392 run.py:723] (val) algo task_scheduling step 3750: {'selected': 0.953090096798213, 'score': 0.953090096798213, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'task_scheduling'}
I0715 18:42:55.070278 135582186747392 run.py:723] (val) algo task_scheduling step 3800: {'selected': 0.938712179984484, 'score': 0.938712179984484, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'task_scheduling'}
I0715 18:42:56.104406 135582186747392 run.py:723] (val) algo task_scheduling step 3850: {'selected': 0.9410852713178294, 'score': 0.9410852713178294, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'task_scheduling'}
I0715 18:42:57.133565 135582186747392 run.py:723] (val) algo task_scheduling step 3900: {'selected': 0.9351055512118842, 'score': 0.9351055512118842, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'task_scheduling'}
I0715 18:42:58.157656 135582186747392 run.py:723] (val) algo task_scheduling step 3950: {'selected': 0.9494949494949495, 'score': 0.9494949494949495, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'task_scheduling'}
I0715 18:42:59.179969 135582186747392 run.py:723] (val) algo task_scheduling step 4000: {'selected': 0.9516616314199395, 'score': 0.9516616314199395, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'task_scheduling'}
I0715 18:43:00.198560 135582186747392 run.py:723] (val) algo task_scheduling step 4050: {'selected': 0.95144157814871, 'score': 0.95144157814871, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'task_scheduling'}
I0715 18:43:01.238862 135582186747392 run.py:723] (val) algo task_scheduling step 4100: {'selected': 0.9589442815249267, 'score': 0.9589442815249267, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'task_scheduling'}
I0715 18:43:02.311178 135582186747392 run.py:723] (val) algo task_scheduling step 4150: {'selected': 0.9426356589147287, 'score': 0.9426356589147287, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'task_scheduling'}
I0715 18:43:03.352077 135582186747392 run.py:723] (val) algo task_scheduling step 4200: {'selected': 0.9274447949526813, 'score': 0.9274447949526813, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'task_scheduling'}
I0715 18:43:04.379683 135582186747392 run.py:723] (val) algo task_scheduling step 4250: {'selected': 0.9104116222760291, 'score': 0.9104116222760291, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'task_scheduling'}
I0715 18:43:05.407727 135582186747392 run.py:723] (val) algo task_scheduling step 4300: {'selected': 0.9334353481254782, 'score': 0.9334353481254782, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'task_scheduling'}
I0715 18:43:06.447937 135582186747392 run.py:723] (val) algo task_scheduling step 4350: {'selected': 0.9480122324159022, 'score': 0.9480122324159022, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'task_scheduling'}
I0715 18:43:07.469630 135582186747392 run.py:723] (val) algo task_scheduling step 4400: {'selected': 0.95717505634861, 'score': 0.95717505634861, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'task_scheduling'}
I0715 18:43:08.502228 135582186747392 run.py:723] (val) algo task_scheduling step 4450: {'selected': 0.9497450837581938, 'score': 0.9497450837581938, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'task_scheduling'}
I0715 18:43:09.541999 135582186747392 run.py:723] (val) algo task_scheduling step 4500: {'selected': 0.9531598513011152, 'score': 0.9531598513011152, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'task_scheduling'}
I0715 18:43:10.568738 135582186747392 run.py:723] (val) algo task_scheduling step 4550: {'selected': 0.9102880658436213, 'score': 0.9102880658436213, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'task_scheduling'}
I0715 18:43:11.608407 135582186747392 run.py:723] (val) algo task_scheduling step 4600: {'selected': 0.9547892720306513, 'score': 0.9547892720306513, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'task_scheduling'}
I0715 18:43:12.619723 135582186747392 run.py:723] (val) algo task_scheduling step 4650: {'selected': 0.9391941391941391, 'score': 0.9391941391941391, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'task_scheduling'}
I0715 18:43:13.642306 135582186747392 run.py:723] (val) algo task_scheduling step 4700: {'selected': 0.9500384319754036, 'score': 0.9500384319754036, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'task_scheduling'}
I0715 18:43:14.667872 135582186747392 run.py:723] (val) algo task_scheduling step 4750: {'selected': 0.9459459459459458, 'score': 0.9459459459459458, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'task_scheduling'}
I0715 18:43:15.680594 135582186747392 run.py:723] (val) algo task_scheduling step 4800: {'selected': 0.9625275532696547, 'score': 0.9625275532696547, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'task_scheduling'}
I0715 18:43:16.764476 135582186747392 run.py:723] (val) algo task_scheduling step 4850: {'selected': 0.9583028529626921, 'score': 0.9583028529626921, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'task_scheduling'}
I0715 18:43:17.785493 135582186747392 run.py:723] (val) algo task_scheduling step 4900: {'selected': 0.9410898379970545, 'score': 0.9410898379970545, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'task_scheduling'}
I0715 18:43:18.827058 135582186747392 run.py:723] (val) algo task_scheduling step 4950: {'selected': 0.9427312775330396, 'score': 0.9427312775330396, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'task_scheduling'}
I0715 18:43:19.868701 135582186747392 run.py:723] (val) algo task_scheduling step 5000: {'selected': 0.9366479550922213, 'score': 0.9366479550922213, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'task_scheduling'}
I0715 18:43:20.904092 135582186747392 run.py:723] (val) algo task_scheduling step 5050: {'selected': 0.948137326515705, 'score': 0.948137326515705, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'task_scheduling'}
I0715 18:43:21.936488 135582186747392 run.py:723] (val) algo task_scheduling step 5100: {'selected': 0.9477451682176093, 'score': 0.9477451682176093, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'task_scheduling'}
I0715 18:43:22.958065 135582186747392 run.py:723] (val) algo task_scheduling step 5150: {'selected': 0.9587628865979382, 'score': 0.9587628865979382, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'task_scheduling'}
I0715 18:43:23.996251 135582186747392 run.py:723] (val) algo task_scheduling step 5200: {'selected': 0.9615931721194879, 'score': 0.9615931721194879, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'task_scheduling'}
I0715 18:43:25.021061 135582186747392 run.py:723] (val) algo task_scheduling step 5250: {'selected': 0.942528735632184, 'score': 0.942528735632184, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'task_scheduling'}
I0715 18:43:26.050466 135582186747392 run.py:723] (val) algo task_scheduling step 5300: {'selected': 0.9457013574660634, 'score': 0.9457013574660634, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'task_scheduling'}
I0715 18:43:27.063821 135582186747392 run.py:723] (val) algo task_scheduling step 5350: {'selected': 0.9484240687679083, 'score': 0.9484240687679083, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'task_scheduling'}
I0715 18:43:28.087357 135582186747392 run.py:723] (val) algo task_scheduling step 5400: {'selected': 0.9535740604274134, 'score': 0.9535740604274134, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'task_scheduling'}
I0715 18:43:29.108288 135582186747392 run.py:723] (val) algo task_scheduling step 5450: {'selected': 0.9427450980392156, 'score': 0.9427450980392156, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'task_scheduling'}
I0715 18:43:30.171950 135582186747392 run.py:723] (val) algo task_scheduling step 5500: {'selected': 0.9636767976278725, 'score': 0.9636767976278725, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'task_scheduling'}
I0715 18:43:31.226075 135582186747392 run.py:723] (val) algo task_scheduling step 5550: {'selected': 0.9710467706013364, 'score': 0.9710467706013364, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'task_scheduling'}
I0715 18:43:32.258189 135582186747392 run.py:723] (val) algo task_scheduling step 5600: {'selected': 0.9592894152479644, 'score': 0.9592894152479644, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'task_scheduling'}
I0715 18:43:33.294558 135582186747392 run.py:723] (val) algo task_scheduling step 5650: {'selected': 0.9469696969696969, 'score': 0.9469696969696969, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'task_scheduling'}
I0715 18:43:34.309186 135582186747392 run.py:723] (val) algo task_scheduling step 5700: {'selected': 0.9357400722021662, 'score': 0.9357400722021662, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'task_scheduling'}
I0715 18:43:35.354941 135582186747392 run.py:723] (val) algo task_scheduling step 5750: {'selected': 0.945691527878349, 'score': 0.945691527878349, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'task_scheduling'}
I0715 18:43:36.394841 135582186747392 run.py:723] (val) algo task_scheduling step 5800: {'selected': 0.9536423841059604, 'score': 0.9536423841059604, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'task_scheduling'}
I0715 18:43:37.422842 135582186747392 run.py:723] (val) algo task_scheduling step 5850: {'selected': 0.9601203912716328, 'score': 0.9601203912716328, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'task_scheduling'}
I0715 18:43:38.473126 135582186747392 run.py:723] (val) algo task_scheduling step 5900: {'selected': 0.9579955784819455, 'score': 0.9579955784819455, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'task_scheduling'}
I0715 18:43:39.490516 135582186747392 run.py:723] (val) algo task_scheduling step 5950: {'selected': 0.9508896797153026, 'score': 0.9508896797153026, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'task_scheduling'}
I0715 18:43:40.519130 135582186747392 run.py:723] (val) algo task_scheduling step 6000: {'selected': 0.9536826119969628, 'score': 0.9536826119969628, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'task_scheduling'}
I0715 18:43:41.548935 135582186747392 run.py:723] (val) algo task_scheduling step 6050: {'selected': 0.9398148148148149, 'score': 0.9398148148148149, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'task_scheduling'}
I0715 18:43:42.558366 135582186747392 run.py:723] (val) algo task_scheduling step 6100: {'selected': 0.949438202247191, 'score': 0.949438202247191, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'task_scheduling'}
I0715 18:43:43.591503 135582186747392 run.py:723] (val) algo task_scheduling step 6150: {'selected': 0.9518332135154565, 'score': 0.9518332135154565, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'task_scheduling'}
I0715 18:43:44.603370 135582186747392 run.py:723] (val) algo task_scheduling step 6200: {'selected': 0.9292307692307693, 'score': 0.9292307692307693, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'task_scheduling'}
I0715 18:43:45.648813 135582186747392 run.py:723] (val) algo task_scheduling step 6250: {'selected': 0.9557251908396946, 'score': 0.9557251908396946, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'task_scheduling'}
I0715 18:43:46.688310 135582186747392 run.py:723] (val) algo task_scheduling step 6300: {'selected': 0.9591240875912408, 'score': 0.9591240875912408, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'task_scheduling'}
I0715 18:43:47.703423 135582186747392 run.py:723] (val) algo task_scheduling step 6350: {'selected': 0.9579579579579579, 'score': 0.9579579579579579, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'task_scheduling'}
I0715 18:43:48.702847 135582186747392 run.py:723] (val) algo task_scheduling step 6400: {'selected': 0.9312762973352035, 'score': 0.9312762973352035, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'task_scheduling'}
