I0715 17:13:42.059503 135280435951104 run.py:723] (val) algo naive_string_matcher step 0: {'match': 0.103759765625, 'score': 0.103759765625, 'examples_seen': 26, 'step': 0, 'algorithm': 'naive_string_matcher'}
I0715 17:14:58.618786 135280435951104 run.py:723] (val) algo naive_string_matcher step 1950: {'match': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 44795, 'step': 1950, 'algorithm': 'naive_string_matcher'}
I0715 17:15:00.576012 135280435951104 run.py:723] (val) algo naive_string_matcher step 2000: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 45955, 'step': 2000, 'algorithm': 'naive_string_matcher'}
I0715 17:15:02.507929 135280435951104 run.py:723] (val) algo naive_string_matcher step 2050: {'match': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 47112, 'step': 2050, 'algorithm': 'naive_string_matcher'}
I0715 17:15:04.458177 135280435951104 run.py:723] (val) algo naive_string_matcher step 2100: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 48251, 'step': 2100, 'algorithm': 'naive_string_matcher'}
I0715 17:15:06.545764 135280435951104 run.py:723] (val) algo naive_string_matcher step 2150: {'match': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 49409, 'step': 2150, 'algorithm': 'naive_string_matcher'}
I0715 17:15:08.497310 135280435951104 run.py:723] (val) algo naive_string_matcher step 2200: {'match': 0.932373046875, 'score': 0.932373046875, 'examples_seen': 50569, 'step': 2200, 'algorithm': 'naive_string_matcher'}
I0715 17:15:10.458227 135280435951104 run.py:723] (val) algo naive_string_matcher step 2250: {'match': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 51698, 'step': 2250, 'algorithm': 'naive_string_matcher'}
I0715 17:15:12.388797 135280435951104 run.py:723] (val) algo naive_string_matcher step 2300: {'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 52834, 'step': 2300, 'algorithm': 'naive_string_matcher'}
I0715 17:15:14.388825 135280435951104 run.py:723] (val) algo naive_string_matcher step 2350: {'match': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 54001, 'step': 2350, 'algorithm': 'naive_string_matcher'}
I0715 17:15:16.319299 135280435951104 run.py:723] (val) algo naive_string_matcher step 2400: {'match': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 55159, 'step': 2400, 'algorithm': 'naive_string_matcher'}
I0715 17:15:18.302665 135280435951104 run.py:723] (val) algo naive_string_matcher step 2450: {'match': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 56306, 'step': 2450, 'algorithm': 'naive_string_matcher'}
I0715 17:15:20.255300 135280435951104 run.py:723] (val) algo naive_string_matcher step 2500: {'match': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 57477, 'step': 2500, 'algorithm': 'naive_string_matcher'}
I0715 17:15:22.267577 135280435951104 run.py:723] (val) algo naive_string_matcher step 2550: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 58672, 'step': 2550, 'algorithm': 'naive_string_matcher'}
I0715 17:15:24.234606 135280435951104 run.py:723] (val) algo naive_string_matcher step 2600: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 59811, 'step': 2600, 'algorithm': 'naive_string_matcher'}
I0715 17:15:26.193810 135280435951104 run.py:723] (val) algo naive_string_matcher step 2650: {'match': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 60965, 'step': 2650, 'algorithm': 'naive_string_matcher'}
I0715 17:15:28.152064 135280435951104 run.py:723] (val) algo naive_string_matcher step 2700: {'match': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 62117, 'step': 2700, 'algorithm': 'naive_string_matcher'}
I0715 17:15:30.094662 135280435951104 run.py:723] (val) algo naive_string_matcher step 2750: {'match': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 63250, 'step': 2750, 'algorithm': 'naive_string_matcher'}
I0715 17:15:32.006145 135280435951104 run.py:723] (val) algo naive_string_matcher step 2800: {'match': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 64401, 'step': 2800, 'algorithm': 'naive_string_matcher'}
I0715 17:15:33.957878 135280435951104 run.py:723] (val) algo naive_string_matcher step 2850: {'match': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 65562, 'step': 2850, 'algorithm': 'naive_string_matcher'}
I0715 17:15:35.964625 135280435951104 run.py:723] (val) algo naive_string_matcher step 2900: {'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 66702, 'step': 2900, 'algorithm': 'naive_string_matcher'}
I0715 17:15:37.942336 135280435951104 run.py:723] (val) algo naive_string_matcher step 2950: {'match': 0.974609375, 'score': 0.974609375, 'examples_seen': 67815, 'step': 2950, 'algorithm': 'naive_string_matcher'}
I0715 17:15:39.882693 135280435951104 run.py:723] (val) algo naive_string_matcher step 3000: {'match': 0.960693359375, 'score': 0.960693359375, 'examples_seen': 68967, 'step': 3000, 'algorithm': 'naive_string_matcher'}
I0715 17:15:41.849654 135280435951104 run.py:723] (val) algo naive_string_matcher step 3050: {'match': 0.978515625, 'score': 0.978515625, 'examples_seen': 70122, 'step': 3050, 'algorithm': 'naive_string_matcher'}
I0715 17:15:43.800983 135280435951104 run.py:723] (val) algo naive_string_matcher step 3100: {'match': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 71263, 'step': 3100, 'algorithm': 'naive_string_matcher'}
I0715 17:15:45.788468 135280435951104 run.py:723] (val) algo naive_string_matcher step 3150: {'match': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 72401, 'step': 3150, 'algorithm': 'naive_string_matcher'}
I0715 17:15:47.709247 135280435951104 run.py:723] (val) algo naive_string_matcher step 3200: {'match': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 73527, 'step': 3200, 'algorithm': 'naive_string_matcher'}
I0715 17:15:49.660454 135280435951104 run.py:723] (val) algo naive_string_matcher step 3250: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 74695, 'step': 3250, 'algorithm': 'naive_string_matcher'}
I0715 17:15:51.641767 135280435951104 run.py:723] (val) algo naive_string_matcher step 3300: {'match': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 75833, 'step': 3300, 'algorithm': 'naive_string_matcher'}
I0715 17:15:53.633059 135280435951104 run.py:723] (val) algo naive_string_matcher step 3350: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 76992, 'step': 3350, 'algorithm': 'naive_string_matcher'}
I0715 17:15:55.646431 135280435951104 run.py:723] (val) algo naive_string_matcher step 3400: {'match': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 78154, 'step': 3400, 'algorithm': 'naive_string_matcher'}
I0715 17:15:57.628130 135280435951104 run.py:723] (val) algo naive_string_matcher step 3450: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 79315, 'step': 3450, 'algorithm': 'naive_string_matcher'}
I0715 17:15:59.579976 135280435951104 run.py:723] (val) algo naive_string_matcher step 3500: {'match': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 80459, 'step': 3500, 'algorithm': 'naive_string_matcher'}
I0715 17:16:01.551557 135280435951104 run.py:723] (val) algo naive_string_matcher step 3550: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 81619, 'step': 3550, 'algorithm': 'naive_string_matcher'}
I0715 17:16:03.514009 135280435951104 run.py:723] (val) algo naive_string_matcher step 3600: {'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 82754, 'step': 3600, 'algorithm': 'naive_string_matcher'}
I0715 17:16:05.478842 135280435951104 run.py:723] (val) algo naive_string_matcher step 3650: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 83899, 'step': 3650, 'algorithm': 'naive_string_matcher'}
I0715 17:16:07.474647 135280435951104 run.py:723] (val) algo naive_string_matcher step 3700: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 85049, 'step': 3700, 'algorithm': 'naive_string_matcher'}
I0715 17:16:09.487954 135280435951104 run.py:723] (val) algo naive_string_matcher step 3750: {'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 86196, 'step': 3750, 'algorithm': 'naive_string_matcher'}
I0715 17:16:11.423120 135280435951104 run.py:723] (val) algo naive_string_matcher step 3800: {'match': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 87334, 'step': 3800, 'algorithm': 'naive_string_matcher'}
I0715 17:16:13.431391 135280435951104 run.py:723] (val) algo naive_string_matcher step 3850: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 88507, 'step': 3850, 'algorithm': 'naive_string_matcher'}
I0715 17:16:15.377645 135280435951104 run.py:723] (val) algo naive_string_matcher step 3900: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 89664, 'step': 3900, 'algorithm': 'naive_string_matcher'}
I0715 17:16:17.308673 135280435951104 run.py:723] (val) algo naive_string_matcher step 3950: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 90812, 'step': 3950, 'algorithm': 'naive_string_matcher'}
I0715 17:16:19.267029 135280435951104 run.py:723] (val) algo naive_string_matcher step 4000: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 91975, 'step': 4000, 'algorithm': 'naive_string_matcher'}
I0715 17:16:21.215611 135280435951104 run.py:723] (val) algo naive_string_matcher step 4050: {'match': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 93135, 'step': 4050, 'algorithm': 'naive_string_matcher'}
I0715 17:16:23.225804 135280435951104 run.py:723] (val) algo naive_string_matcher step 4100: {'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 94286, 'step': 4100, 'algorithm': 'naive_string_matcher'}
I0715 17:16:25.159311 135280435951104 run.py:723] (val) algo naive_string_matcher step 4150: {'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 95437, 'step': 4150, 'algorithm': 'naive_string_matcher'}
I0715 17:16:27.118017 135280435951104 run.py:723] (val) algo naive_string_matcher step 4200: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 96573, 'step': 4200, 'algorithm': 'naive_string_matcher'}
I0715 17:16:29.055369 135280435951104 run.py:723] (val) algo naive_string_matcher step 4250: {'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 97748, 'step': 4250, 'algorithm': 'naive_string_matcher'}
I0715 17:16:31.044417 135280435951104 run.py:723] (val) algo naive_string_matcher step 4300: {'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 98921, 'step': 4300, 'algorithm': 'naive_string_matcher'}
I0715 17:16:33.013598 135280435951104 run.py:723] (val) algo naive_string_matcher step 4350: {'match': 0.990234375, 'score': 0.990234375, 'examples_seen': 100063, 'step': 4350, 'algorithm': 'naive_string_matcher'}
I0715 17:16:34.971384 135280435951104 run.py:723] (val) algo naive_string_matcher step 4400: {'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 101231, 'step': 4400, 'algorithm': 'naive_string_matcher'}
I0715 17:16:36.937402 135280435951104 run.py:723] (val) algo naive_string_matcher step 4450: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 102381, 'step': 4450, 'algorithm': 'naive_string_matcher'}
I0715 17:16:38.917622 135280435951104 run.py:723] (val) algo naive_string_matcher step 4500: {'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 103533, 'step': 4500, 'algorithm': 'naive_string_matcher'}
I0715 17:16:40.864493 135280435951104 run.py:723] (val) algo naive_string_matcher step 4550: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 104695, 'step': 4550, 'algorithm': 'naive_string_matcher'}
I0715 17:16:42.822879 135280435951104 run.py:723] (val) algo naive_string_matcher step 4600: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 105853, 'step': 4600, 'algorithm': 'naive_string_matcher'}
I0715 17:16:44.832642 135280435951104 run.py:723] (val) algo naive_string_matcher step 4650: {'match': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 106995, 'step': 4650, 'algorithm': 'naive_string_matcher'}
I0715 17:16:46.794398 135280435951104 run.py:723] (val) algo naive_string_matcher step 4700: {'match': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 108139, 'step': 4700, 'algorithm': 'naive_string_matcher'}
I0715 17:16:48.754953 135280435951104 run.py:723] (val) algo naive_string_matcher step 4750: {'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 109298, 'step': 4750, 'algorithm': 'naive_string_matcher'}
I0715 17:16:50.741294 135280435951104 run.py:723] (val) algo naive_string_matcher step 4800: {'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 110433, 'step': 4800, 'algorithm': 'naive_string_matcher'}
I0715 17:16:52.688225 135280435951104 run.py:723] (val) algo naive_string_matcher step 4850: {'match': 0.99560546875, 'score': 0.99560546875, 'examples_seen': 111572, 'step': 4850, 'algorithm': 'naive_string_matcher'}
I0715 17:16:54.776978 135280435951104 run.py:723] (val) algo naive_string_matcher step 4900: {'match': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 112721, 'step': 4900, 'algorithm': 'naive_string_matcher'}
I0715 17:16:56.744177 135280435951104 run.py:723] (val) algo naive_string_matcher step 4950: {'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 113881, 'step': 4950, 'algorithm': 'naive_string_matcher'}
I0715 17:16:58.721818 135280435951104 run.py:723] (val) algo naive_string_matcher step 5000: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 115026, 'step': 5000, 'algorithm': 'naive_string_matcher'}
I0715 17:17:00.653088 135280435951104 run.py:723] (val) algo naive_string_matcher step 5050: {'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 116173, 'step': 5050, 'algorithm': 'naive_string_matcher'}
I0715 17:17:02.611906 135280435951104 run.py:723] (val) algo naive_string_matcher step 5100: {'match': 0.99658203125, 'score': 0.99658203125, 'examples_seen': 117311, 'step': 5100, 'algorithm': 'naive_string_matcher'}
I0715 17:17:04.579291 135280435951104 run.py:723] (val) algo naive_string_matcher step 5150: {'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 118459, 'step': 5150, 'algorithm': 'naive_string_matcher'}
I0715 17:17:06.528354 135280435951104 run.py:723] (val) algo naive_string_matcher step 5200: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 119626, 'step': 5200, 'algorithm': 'naive_string_matcher'}
I0715 17:17:08.493206 135280435951104 run.py:723] (val) algo naive_string_matcher step 5250: {'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 120787, 'step': 5250, 'algorithm': 'naive_string_matcher'}
I0715 17:17:10.447667 135280435951104 run.py:723] (val) algo naive_string_matcher step 5300: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 121932, 'step': 5300, 'algorithm': 'naive_string_matcher'}
I0715 17:17:12.448057 135280435951104 run.py:723] (val) algo naive_string_matcher step 5350: {'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 123085, 'step': 5350, 'algorithm': 'naive_string_matcher'}
I0715 17:17:14.394820 135280435951104 run.py:723] (val) algo naive_string_matcher step 5400: {'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 124243, 'step': 5400, 'algorithm': 'naive_string_matcher'}
I0715 17:17:16.329069 135280435951104 run.py:723] (val) algo naive_string_matcher step 5450: {'match': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 125371, 'step': 5450, 'algorithm': 'naive_string_matcher'}
I0715 17:17:18.281257 135280435951104 run.py:723] (val) algo naive_string_matcher step 5500: {'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 126525, 'step': 5500, 'algorithm': 'naive_string_matcher'}
I0715 17:17:20.250910 135280435951104 run.py:723] (val) algo naive_string_matcher step 5550: {'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 127678, 'step': 5550, 'algorithm': 'naive_string_matcher'}
I0715 17:17:22.238348 135280435951104 run.py:723] (val) algo naive_string_matcher step 5600: {'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 128828, 'step': 5600, 'algorithm': 'naive_string_matcher'}
I0715 17:17:24.180809 135280435951104 run.py:723] (val) algo naive_string_matcher step 5650: {'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 130014, 'step': 5650, 'algorithm': 'naive_string_matcher'}
I0715 17:17:26.117422 135280435951104 run.py:723] (val) algo naive_string_matcher step 5700: {'match': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 131174, 'step': 5700, 'algorithm': 'naive_string_matcher'}
I0715 17:17:28.093203 135280435951104 run.py:723] (val) algo naive_string_matcher step 5750: {'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 132300, 'step': 5750, 'algorithm': 'naive_string_matcher'}
I0715 17:17:30.036380 135280435951104 run.py:723] (val) algo naive_string_matcher step 5800: {'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 133439, 'step': 5800, 'algorithm': 'naive_string_matcher'}
I0715 17:17:31.997015 135280435951104 run.py:723] (val) algo naive_string_matcher step 5850: {'match': 0.99755859375, 'score': 0.99755859375, 'examples_seen': 134591, 'step': 5850, 'algorithm': 'naive_string_matcher'}
I0715 17:17:33.980224 135280435951104 run.py:723] (val) algo naive_string_matcher step 5900: {'match': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 135760, 'step': 5900, 'algorithm': 'naive_string_matcher'}
I0715 17:17:35.962845 135280435951104 run.py:723] (val) algo naive_string_matcher step 5950: {'match': 0.9921875, 'score': 0.9921875, 'examples_seen': 136902, 'step': 5950, 'algorithm': 'naive_string_matcher'}
I0715 17:17:37.967523 135280435951104 run.py:723] (val) algo naive_string_matcher step 6000: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 138057, 'step': 6000, 'algorithm': 'naive_string_matcher'}
I0715 17:17:39.995999 135280435951104 run.py:723] (val) algo naive_string_matcher step 6050: {'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 139197, 'step': 6050, 'algorithm': 'naive_string_matcher'}
I0715 17:17:41.994049 135280435951104 run.py:723] (val) algo naive_string_matcher step 6100: {'match': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 140347, 'step': 6100, 'algorithm': 'naive_string_matcher'}
I0715 17:17:43.932860 135280435951104 run.py:723] (val) algo naive_string_matcher step 6150: {'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 141485, 'step': 6150, 'algorithm': 'naive_string_matcher'}
I0715 17:17:45.844543 135280435951104 run.py:723] (val) algo naive_string_matcher step 6200: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 142605, 'step': 6200, 'algorithm': 'naive_string_matcher'}
I0715 17:17:47.795860 135280435951104 run.py:723] (val) algo naive_string_matcher step 6250: {'match': 0.99853515625, 'score': 0.99853515625, 'examples_seen': 143758, 'step': 6250, 'algorithm': 'naive_string_matcher'}
I0715 17:17:49.808069 135280435951104 run.py:723] (val) algo naive_string_matcher step 6300: {'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 144928, 'step': 6300, 'algorithm': 'naive_string_matcher'}
I0715 17:17:51.813235 135280435951104 run.py:723] (val) algo naive_string_matcher step 6350: {'match': 0.997802734375, 'score': 0.997802734375, 'examples_seen': 146083, 'step': 6350, 'algorithm': 'naive_string_matcher'}
I0715 17:17:53.767287 135280435951104 run.py:723] (val) algo naive_string_matcher step 6400: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 147225, 'step': 6400, 'algorithm': 'naive_string_matcher'}
I0715 17:17:55.751687 135280435951104 run.py:723] (val) algo naive_string_matcher step 6450: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 148373, 'step': 6450, 'algorithm': 'naive_string_matcher'}
