{'Pi': 0.0855712890625, 'score': 0.0855712890625, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
{'Pi': 0.66827392578125, 'score': 0.66827392578125, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.58203125, 'score': 0.58203125, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.603759765625, 'score': 0.603759765625, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63232421875, 'score': 0.63232421875, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63250732421875, 'score': 0.63250732421875, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63824462890625, 'score': 0.63824462890625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63897705078125, 'score': 0.63897705078125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.628173828125, 'score': 0.628173828125, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63043212890625, 'score': 0.63043212890625, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.697021484375, 'score': 0.697021484375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6051025390625, 'score': 0.6051025390625, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.69158935546875, 'score': 0.69158935546875, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.633544921875, 'score': 0.633544921875, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.62786865234375, 'score': 0.62786865234375, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68231201171875, 'score': 0.68231201171875, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7076416015625, 'score': 0.7076416015625, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68646240234375, 'score': 0.68646240234375, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.69232177734375, 'score': 0.69232177734375, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6759033203125, 'score': 0.6759033203125, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68572998046875, 'score': 0.68572998046875, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.71795654296875, 'score': 0.71795654296875, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68023681640625, 'score': 0.68023681640625, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.69061279296875, 'score': 0.69061279296875, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6400146484375, 'score': 0.6400146484375, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.70318603515625, 'score': 0.70318603515625, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.65362548828125, 'score': 0.65362548828125, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.69488525390625, 'score': 0.69488525390625, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75189208984375, 'score': 0.75189208984375, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75347900390625, 'score': 0.75347900390625, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74139404296875, 'score': 0.74139404296875, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.65264892578125, 'score': 0.65264892578125, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7222900390625, 'score': 0.7222900390625, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.72235107421875, 'score': 0.72235107421875, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74951171875, 'score': 0.74951171875, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7288818359375, 'score': 0.7288818359375, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.73309326171875, 'score': 0.73309326171875, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77020263671875, 'score': 0.77020263671875, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7064208984375, 'score': 0.7064208984375, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74212646484375, 'score': 0.74212646484375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75115966796875, 'score': 0.75115966796875, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.736083984375, 'score': 0.736083984375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.76971435546875, 'score': 0.76971435546875, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79547119140625, 'score': 0.79547119140625, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77349853515625, 'score': 0.77349853515625, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.72467041015625, 'score': 0.72467041015625, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.70892333984375, 'score': 0.70892333984375, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7713623046875, 'score': 0.7713623046875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.71221923828125, 'score': 0.71221923828125, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77294921875, 'score': 0.77294921875, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78375244140625, 'score': 0.78375244140625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78900146484375, 'score': 0.78900146484375, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.72271728515625, 'score': 0.72271728515625, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77691650390625, 'score': 0.77691650390625, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7532958984375, 'score': 0.7532958984375, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82196044921875, 'score': 0.82196044921875, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.73944091796875, 'score': 0.73944091796875, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.783935546875, 'score': 0.783935546875, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77978515625, 'score': 0.77978515625, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.751708984375, 'score': 0.751708984375, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79833984375, 'score': 0.79833984375, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.802001953125, 'score': 0.802001953125, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7449951171875, 'score': 0.7449951171875, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8045654296875, 'score': 0.8045654296875, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78179931640625, 'score': 0.78179931640625, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.812744140625, 'score': 0.812744140625, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8160400390625, 'score': 0.8160400390625, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80279541015625, 'score': 0.80279541015625, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.760009765625, 'score': 0.760009765625, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7635498046875, 'score': 0.7635498046875, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80413818359375, 'score': 0.80413818359375, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82000732421875, 'score': 0.82000732421875, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8094482421875, 'score': 0.8094482421875, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81878662109375, 'score': 0.81878662109375, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7994384765625, 'score': 0.7994384765625, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7637939453125, 'score': 0.7637939453125, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8236083984375, 'score': 0.8236083984375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80352783203125, 'score': 0.80352783203125, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8216552734375, 'score': 0.8216552734375, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82763671875, 'score': 0.82763671875, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79449462890625, 'score': 0.79449462890625, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82806396484375, 'score': 0.82806396484375, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78814697265625, 'score': 0.78814697265625, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81695556640625, 'score': 0.81695556640625, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84844970703125, 'score': 0.84844970703125, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8192138671875, 'score': 0.8192138671875, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8536376953125, 'score': 0.8536376953125, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80206298828125, 'score': 0.80206298828125, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8336181640625, 'score': 0.8336181640625, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79547119140625, 'score': 0.79547119140625, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83673095703125, 'score': 0.83673095703125, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8248291015625, 'score': 0.8248291015625, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8057861328125, 'score': 0.8057861328125, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.822998046875, 'score': 0.822998046875, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7591552734375, 'score': 0.7591552734375, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84869384765625, 'score': 0.84869384765625, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83056640625, 'score': 0.83056640625, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8250732421875, 'score': 0.8250732421875, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.87530517578125, 'score': 0.87530517578125, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8409423828125, 'score': 0.8409423828125, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8177490234375, 'score': 0.8177490234375, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83624267578125, 'score': 0.83624267578125, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83160400390625, 'score': 0.83160400390625, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80548095703125, 'score': 0.80548095703125, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85321044921875, 'score': 0.85321044921875, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83642578125, 'score': 0.83642578125, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85223388671875, 'score': 0.85223388671875, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.845947265625, 'score': 0.845947265625, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81280517578125, 'score': 0.81280517578125, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83746337890625, 'score': 0.83746337890625, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.846435546875, 'score': 0.846435546875, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.835205078125, 'score': 0.835205078125, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85748291015625, 'score': 0.85748291015625, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.830322265625, 'score': 0.830322265625, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81549072265625, 'score': 0.81549072265625, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.827880859375, 'score': 0.827880859375, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83074951171875, 'score': 0.83074951171875, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83990478515625, 'score': 0.83990478515625, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 372896, 'step': 7250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86962890625, 'score': 0.86962890625, 'examples_seen': 375536, 'step': 7300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84576416015625, 'score': 0.84576416015625, 'examples_seen': 378144, 'step': 7350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83843994140625, 'score': 0.83843994140625, 'examples_seen': 380720, 'step': 7400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.840087890625, 'score': 0.840087890625, 'examples_seen': 383280, 'step': 7450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84149169921875, 'score': 0.84149169921875, 'examples_seen': 385808, 'step': 7500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 388368, 'step': 7550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 390896, 'step': 7600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82696533203125, 'score': 0.82696533203125, 'examples_seen': 393536, 'step': 7650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86968994140625, 'score': 0.86968994140625, 'examples_seen': 396160, 'step': 7700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.845458984375, 'score': 0.845458984375, 'examples_seen': 398704, 'step': 7750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8609619140625, 'score': 0.8609619140625, 'examples_seen': 401280, 'step': 7800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86212158203125, 'score': 0.86212158203125, 'examples_seen': 403808, 'step': 7850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85943603515625, 'score': 0.85943603515625, 'examples_seen': 406352, 'step': 7900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84259033203125, 'score': 0.84259033203125, 'examples_seen': 408896, 'step': 7950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86944580078125, 'score': 0.86944580078125, 'examples_seen': 411552, 'step': 8000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8399658203125, 'score': 0.8399658203125, 'examples_seen': 414160, 'step': 8050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84100341796875, 'score': 0.84100341796875, 'examples_seen': 416720, 'step': 8100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86572265625, 'score': 0.86572265625, 'examples_seen': 419280, 'step': 8150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8572998046875, 'score': 0.8572998046875, 'examples_seen': 421840, 'step': 8200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.88311767578125, 'score': 0.88311767578125, 'examples_seen': 424384, 'step': 8250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86895751953125, 'score': 0.86895751953125, 'examples_seen': 426896, 'step': 8300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.830810546875, 'score': 0.830810546875, 'examples_seen': 429552, 'step': 8350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84307861328125, 'score': 0.84307861328125, 'examples_seen': 432160, 'step': 8400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85614013671875, 'score': 0.85614013671875, 'examples_seen': 434736, 'step': 8450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8475341796875, 'score': 0.8475341796875, 'examples_seen': 437296, 'step': 8500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.839599609375, 'score': 0.839599609375, 'examples_seen': 439824, 'step': 8550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84112548828125, 'score': 0.84112548828125, 'examples_seen': 442384, 'step': 8600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.88214111328125, 'score': 0.88214111328125, 'examples_seen': 444912, 'step': 8650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.89398193359375, 'score': 0.89398193359375, 'examples_seen': 447552, 'step': 8700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86962890625, 'score': 0.86962890625, 'examples_seen': 450160, 'step': 8750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85809326171875, 'score': 0.85809326171875, 'examples_seen': 452720, 'step': 8800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85723876953125, 'score': 0.85723876953125, 'examples_seen': 455296, 'step': 8850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8380126953125, 'score': 0.8380126953125, 'examples_seen': 457824, 'step': 8900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8707275390625, 'score': 0.8707275390625, 'examples_seen': 460368, 'step': 8950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85723876953125, 'score': 0.85723876953125, 'examples_seen': 462928, 'step': 9000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8380126953125, 'score': 0.8380126953125, 'examples_seen': 465552, 'step': 9050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 468176, 'step': 9100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85504150390625, 'score': 0.85504150390625, 'examples_seen': 470720, 'step': 9150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.860107421875, 'score': 0.860107421875, 'examples_seen': 473296, 'step': 9200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84149169921875, 'score': 0.84149169921875, 'examples_seen': 475856, 'step': 9250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8560791015625, 'score': 0.8560791015625, 'examples_seen': 478384, 'step': 9300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86968994140625, 'score': 0.86968994140625, 'examples_seen': 480912, 'step': 9350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85687255859375, 'score': 0.85687255859375, 'examples_seen': 483568, 'step': 9400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85601806640625, 'score': 0.85601806640625, 'examples_seen': 486176, 'step': 9450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85540771484375, 'score': 0.85540771484375, 'examples_seen': 488752, 'step': 9500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86553955078125, 'score': 0.86553955078125, 'examples_seen': 491312, 'step': 9550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.87261962890625, 'score': 0.87261962890625, 'examples_seen': 493840, 'step': 9600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86883544921875, 'score': 0.86883544921875, 'examples_seen': 496400, 'step': 9650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.889404296875, 'score': 0.889404296875, 'examples_seen': 498928, 'step': 9700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85052490234375, 'score': 0.85052490234375, 'examples_seen': 501552, 'step': 9750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.86407470703125, 'score': 0.86407470703125, 'examples_seen': 504176, 'step': 9800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8497314453125, 'score': 0.8497314453125, 'examples_seen': 506736, 'step': 9850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.875, 'score': 0.875, 'examples_seen': 509312, 'step': 9900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8736572265625, 'score': 0.8736572265625, 'examples_seen': 511840, 'step': 9950, 'algorithm': 'floyd_warshall'}
