{'median': 0.029052734375, 'score': 0.029052734375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
{'median': 0.117431640625, 'score': 0.117431640625, 'examples_seen': 187413, 'step': 5800, 'algorithm': 'quickselect'}
{'median': 0.11083984375, 'score': 0.11083984375, 'examples_seen': 188997, 'step': 5850, 'algorithm': 'quickselect'}
{'median': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 190694, 'step': 5900, 'algorithm': 'quickselect'}
{'median': 0.130859375, 'score': 0.130859375, 'examples_seen': 192329, 'step': 5950, 'algorithm': 'quickselect'}
{'median': 0.145751953125, 'score': 0.145751953125, 'examples_seen': 193942, 'step': 6000, 'algorithm': 'quickselect'}
{'median': 0.11767578125, 'score': 0.11767578125, 'examples_seen': 195545, 'step': 6050, 'algorithm': 'quickselect'}
{'median': 0.177978515625, 'score': 0.177978515625, 'examples_seen': 197150, 'step': 6100, 'algorithm': 'quickselect'}
{'median': 0.13720703125, 'score': 0.13720703125, 'examples_seen': 198720, 'step': 6150, 'algorithm': 'quickselect'}
{'median': 0.196044921875, 'score': 0.196044921875, 'examples_seen': 200319, 'step': 6200, 'algorithm': 'quickselect'}
{'median': 0.138427734375, 'score': 0.138427734375, 'examples_seen': 202013, 'step': 6250, 'algorithm': 'quickselect'}
{'median': 0.115234375, 'score': 0.115234375, 'examples_seen': 203632, 'step': 6300, 'algorithm': 'quickselect'}
{'median': 0.1376953125, 'score': 0.1376953125, 'examples_seen': 205239, 'step': 6350, 'algorithm': 'quickselect'}
{'median': 0.190185546875, 'score': 0.190185546875, 'examples_seen': 206847, 'step': 6400, 'algorithm': 'quickselect'}
{'median': 0.15380859375, 'score': 0.15380859375, 'examples_seen': 208441, 'step': 6450, 'algorithm': 'quickselect'}
{'median': 0.15771484375, 'score': 0.15771484375, 'examples_seen': 210064, 'step': 6500, 'algorithm': 'quickselect'}
{'median': 0.23876953125, 'score': 0.23876953125, 'examples_seen': 211631, 'step': 6550, 'algorithm': 'quickselect'}
{'median': 0.24853515625, 'score': 0.24853515625, 'examples_seen': 213334, 'step': 6600, 'algorithm': 'quickselect'}
{'median': 0.24658203125, 'score': 0.24658203125, 'examples_seen': 214950, 'step': 6650, 'algorithm': 'quickselect'}
{'median': 0.2060546875, 'score': 0.2060546875, 'examples_seen': 216539, 'step': 6700, 'algorithm': 'quickselect'}
{'median': 0.201904296875, 'score': 0.201904296875, 'examples_seen': 218141, 'step': 6750, 'algorithm': 'quickselect'}
{'median': 0.150146484375, 'score': 0.150146484375, 'examples_seen': 219741, 'step': 6800, 'algorithm': 'quickselect'}
{'median': 0.2939453125, 'score': 0.2939453125, 'examples_seen': 221321, 'step': 6850, 'algorithm': 'quickselect'}
{'median': 0.164794921875, 'score': 0.164794921875, 'examples_seen': 222895, 'step': 6900, 'algorithm': 'quickselect'}
{'median': 0.158203125, 'score': 0.158203125, 'examples_seen': 224590, 'step': 6950, 'algorithm': 'quickselect'}
{'median': 0.17822265625, 'score': 0.17822265625, 'examples_seen': 226237, 'step': 7000, 'algorithm': 'quickselect'}
{'median': 0.239990234375, 'score': 0.239990234375, 'examples_seen': 227850, 'step': 7050, 'algorithm': 'quickselect'}
{'median': 0.245361328125, 'score': 0.245361328125, 'examples_seen': 229450, 'step': 7100, 'algorithm': 'quickselect'}
{'median': 0.21826171875, 'score': 0.21826171875, 'examples_seen': 231046, 'step': 7150, 'algorithm': 'quickselect'}
{'median': 0.18994140625, 'score': 0.18994140625, 'examples_seen': 232652, 'step': 7200, 'algorithm': 'quickselect'}
{'median': 0.156982421875, 'score': 0.156982421875, 'examples_seen': 234226, 'step': 7250, 'algorithm': 'quickselect'}
{'median': 0.234619140625, 'score': 0.234619140625, 'examples_seen': 235894, 'step': 7300, 'algorithm': 'quickselect'}
{'median': 0.176513671875, 'score': 0.176513671875, 'examples_seen': 237531, 'step': 7350, 'algorithm': 'quickselect'}
{'median': 0.153564453125, 'score': 0.153564453125, 'examples_seen': 239131, 'step': 7400, 'algorithm': 'quickselect'}
{'median': 0.201416015625, 'score': 0.201416015625, 'examples_seen': 240724, 'step': 7450, 'algorithm': 'quickselect'}
{'median': 0.127197265625, 'score': 0.127197265625, 'examples_seen': 242301, 'step': 7500, 'algorithm': 'quickselect'}
{'median': 0.20849609375, 'score': 0.20849609375, 'examples_seen': 243893, 'step': 7550, 'algorithm': 'quickselect'}
{'median': 0.291015625, 'score': 0.291015625, 'examples_seen': 245478, 'step': 7600, 'algorithm': 'quickselect'}
{'median': 0.283447265625, 'score': 0.283447265625, 'examples_seen': 247169, 'step': 7650, 'algorithm': 'quickselect'}
{'median': 0.22216796875, 'score': 0.22216796875, 'examples_seen': 248817, 'step': 7700, 'algorithm': 'quickselect'}
{'median': 0.20458984375, 'score': 0.20458984375, 'examples_seen': 250443, 'step': 7750, 'algorithm': 'quickselect'}
{'median': 0.18408203125, 'score': 0.18408203125, 'examples_seen': 252043, 'step': 7800, 'algorithm': 'quickselect'}
{'median': 0.154541015625, 'score': 0.154541015625, 'examples_seen': 253616, 'step': 7850, 'algorithm': 'quickselect'}
{'median': 0.208251953125, 'score': 0.208251953125, 'examples_seen': 255202, 'step': 7900, 'algorithm': 'quickselect'}
{'median': 0.223876953125, 'score': 0.223876953125, 'examples_seen': 256806, 'step': 7950, 'algorithm': 'quickselect'}
{'median': 0.13916015625, 'score': 0.13916015625, 'examples_seen': 258486, 'step': 8000, 'algorithm': 'quickselect'}
{'median': 0.1689453125, 'score': 0.1689453125, 'examples_seen': 260113, 'step': 8050, 'algorithm': 'quickselect'}
{'median': 0.16162109375, 'score': 0.16162109375, 'examples_seen': 261722, 'step': 8100, 'algorithm': 'quickselect'}
{'median': 0.189453125, 'score': 0.189453125, 'examples_seen': 263319, 'step': 8150, 'algorithm': 'quickselect'}
{'median': 0.219970703125, 'score': 0.219970703125, 'examples_seen': 264916, 'step': 8200, 'algorithm': 'quickselect'}
{'median': 0.1728515625, 'score': 0.1728515625, 'examples_seen': 266510, 'step': 8250, 'algorithm': 'quickselect'}
{'median': 0.14453125, 'score': 0.14453125, 'examples_seen': 268103, 'step': 8300, 'algorithm': 'quickselect'}
{'median': 0.187255859375, 'score': 0.187255859375, 'examples_seen': 269787, 'step': 8350, 'algorithm': 'quickselect'}
{'median': 0.20654296875, 'score': 0.20654296875, 'examples_seen': 271438, 'step': 8400, 'algorithm': 'quickselect'}
{'median': 0.142822265625, 'score': 0.142822265625, 'examples_seen': 273037, 'step': 8450, 'algorithm': 'quickselect'}
{'median': 0.229736328125, 'score': 0.229736328125, 'examples_seen': 274658, 'step': 8500, 'algorithm': 'quickselect'}
{'median': 0.150634765625, 'score': 0.150634765625, 'examples_seen': 276254, 'step': 8550, 'algorithm': 'quickselect'}
{'median': 0.16259765625, 'score': 0.16259765625, 'examples_seen': 277855, 'step': 8600, 'algorithm': 'quickselect'}
{'median': 0.15771484375, 'score': 0.15771484375, 'examples_seen': 279434, 'step': 8650, 'algorithm': 'quickselect'}
{'median': 0.16259765625, 'score': 0.16259765625, 'examples_seen': 281121, 'step': 8700, 'algorithm': 'quickselect'}
{'median': 0.2802734375, 'score': 0.2802734375, 'examples_seen': 282741, 'step': 8750, 'algorithm': 'quickselect'}
{'median': 0.171875, 'score': 0.171875, 'examples_seen': 284348, 'step': 8800, 'algorithm': 'quickselect'}
{'median': 0.133544921875, 'score': 0.133544921875, 'examples_seen': 285958, 'step': 8850, 'algorithm': 'quickselect'}
{'median': 0.23583984375, 'score': 0.23583984375, 'examples_seen': 287546, 'step': 8900, 'algorithm': 'quickselect'}
{'median': 0.22509765625, 'score': 0.22509765625, 'examples_seen': 289137, 'step': 8950, 'algorithm': 'quickselect'}
{'median': 0.192626953125, 'score': 0.192626953125, 'examples_seen': 290728, 'step': 9000, 'algorithm': 'quickselect'}
{'median': 0.147705078125, 'score': 0.147705078125, 'examples_seen': 292431, 'step': 9050, 'algorithm': 'quickselect'}
{'median': 0.207763671875, 'score': 0.207763671875, 'examples_seen': 294069, 'step': 9100, 'algorithm': 'quickselect'}
{'median': 0.15771484375, 'score': 0.15771484375, 'examples_seen': 295667, 'step': 9150, 'algorithm': 'quickselect'}
{'median': 0.267822265625, 'score': 0.267822265625, 'examples_seen': 297284, 'step': 9200, 'algorithm': 'quickselect'}
{'median': 0.15234375, 'score': 0.15234375, 'examples_seen': 298888, 'step': 9250, 'algorithm': 'quickselect'}
{'median': 0.20751953125, 'score': 0.20751953125, 'examples_seen': 300484, 'step': 9300, 'algorithm': 'quickselect'}
{'median': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 302085, 'step': 9350, 'algorithm': 'quickselect'}
{'median': 0.166259765625, 'score': 0.166259765625, 'examples_seen': 303777, 'step': 9400, 'algorithm': 'quickselect'}
{'median': 0.203857421875, 'score': 0.203857421875, 'examples_seen': 305410, 'step': 9450, 'algorithm': 'quickselect'}
{'median': 0.189208984375, 'score': 0.189208984375, 'examples_seen': 307022, 'step': 9500, 'algorithm': 'quickselect'}
{'median': 0.157470703125, 'score': 0.157470703125, 'examples_seen': 308634, 'step': 9550, 'algorithm': 'quickselect'}
{'median': 0.22265625, 'score': 0.22265625, 'examples_seen': 310214, 'step': 9600, 'algorithm': 'quickselect'}
{'median': 0.1962890625, 'score': 0.1962890625, 'examples_seen': 311822, 'step': 9650, 'algorithm': 'quickselect'}
{'median': 0.1787109375, 'score': 0.1787109375, 'examples_seen': 313408, 'step': 9700, 'algorithm': 'quickselect'}
{'median': 0.221435546875, 'score': 0.221435546875, 'examples_seen': 315087, 'step': 9750, 'algorithm': 'quickselect'}
{'median': 0.12939453125, 'score': 0.12939453125, 'examples_seen': 316722, 'step': 9800, 'algorithm': 'quickselect'}
{'median': 0.230712890625, 'score': 0.230712890625, 'examples_seen': 318323, 'step': 9850, 'algorithm': 'quickselect'}
{'median': 0.20068359375, 'score': 0.20068359375, 'examples_seen': 319940, 'step': 9900, 'algorithm': 'quickselect'}
{'median': 0.19580078125, 'score': 0.19580078125, 'examples_seen': 321518, 'step': 9950, 'algorithm': 'quickselect'}
