{'min': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
{'min': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'minimum'}
{'min': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'minimum'}
{'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'minimum'}
{'min': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'minimum'}
{'min': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'minimum'}
{'min': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'minimum'}
{'min': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'minimum'}
{'min': 0.986328125, 'score': 0.986328125, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'minimum'}
{'min': 0.98583984375, 'score': 0.98583984375, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'minimum'}
{'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'minimum'}
{'min': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'minimum'}
{'min': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'minimum'}
{'min': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'minimum'}
{'min': 0.96923828125, 'score': 0.96923828125, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'minimum'}
{'min': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'minimum'}
{'min': 0.968994140625, 'score': 0.968994140625, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'minimum'}
{'min': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'minimum'}
{'min': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 372896, 'step': 7250, 'algorithm': 'minimum'}
{'min': 0.932373046875, 'score': 0.932373046875, 'examples_seen': 375536, 'step': 7300, 'algorithm': 'minimum'}
{'min': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 378144, 'step': 7350, 'algorithm': 'minimum'}
{'min': 0.959716796875, 'score': 0.959716796875, 'examples_seen': 380720, 'step': 7400, 'algorithm': 'minimum'}
{'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 383280, 'step': 7450, 'algorithm': 'minimum'}
{'min': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 385808, 'step': 7500, 'algorithm': 'minimum'}
{'min': 0.95556640625, 'score': 0.95556640625, 'examples_seen': 388368, 'step': 7550, 'algorithm': 'minimum'}
{'min': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 390896, 'step': 7600, 'algorithm': 'minimum'}
{'min': 0.97998046875, 'score': 0.97998046875, 'examples_seen': 393536, 'step': 7650, 'algorithm': 'minimum'}
{'min': 0.950439453125, 'score': 0.950439453125, 'examples_seen': 396160, 'step': 7700, 'algorithm': 'minimum'}
{'min': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 398704, 'step': 7750, 'algorithm': 'minimum'}
{'min': 0.96875, 'score': 0.96875, 'examples_seen': 401280, 'step': 7800, 'algorithm': 'minimum'}
{'min': 0.96875, 'score': 0.96875, 'examples_seen': 403808, 'step': 7850, 'algorithm': 'minimum'}
{'min': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 406352, 'step': 7900, 'algorithm': 'minimum'}
{'min': 0.966796875, 'score': 0.966796875, 'examples_seen': 408896, 'step': 7950, 'algorithm': 'minimum'}
{'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 411552, 'step': 8000, 'algorithm': 'minimum'}
{'min': 0.986328125, 'score': 0.986328125, 'examples_seen': 414160, 'step': 8050, 'algorithm': 'minimum'}
{'min': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 416720, 'step': 8100, 'algorithm': 'minimum'}
{'min': 0.982421875, 'score': 0.982421875, 'examples_seen': 419280, 'step': 8150, 'algorithm': 'minimum'}
{'min': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 421840, 'step': 8200, 'algorithm': 'minimum'}
{'min': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 424384, 'step': 8250, 'algorithm': 'minimum'}
{'min': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 426896, 'step': 8300, 'algorithm': 'minimum'}
{'min': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 429552, 'step': 8350, 'algorithm': 'minimum'}
{'min': 0.96484375, 'score': 0.96484375, 'examples_seen': 432160, 'step': 8400, 'algorithm': 'minimum'}
{'min': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 434736, 'step': 8450, 'algorithm': 'minimum'}
{'min': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 437296, 'step': 8500, 'algorithm': 'minimum'}
{'min': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 439824, 'step': 8550, 'algorithm': 'minimum'}
{'min': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 442384, 'step': 8600, 'algorithm': 'minimum'}
{'min': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 444912, 'step': 8650, 'algorithm': 'minimum'}
{'min': 0.99365234375, 'score': 0.99365234375, 'examples_seen': 447552, 'step': 8700, 'algorithm': 'minimum'}
{'min': 0.990234375, 'score': 0.990234375, 'examples_seen': 450160, 'step': 8750, 'algorithm': 'minimum'}
{'min': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 452720, 'step': 8800, 'algorithm': 'minimum'}
{'min': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 455296, 'step': 8850, 'algorithm': 'minimum'}
{'min': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 457824, 'step': 8900, 'algorithm': 'minimum'}
{'min': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 460368, 'step': 8950, 'algorithm': 'minimum'}
{'min': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 462928, 'step': 9000, 'algorithm': 'minimum'}
{'min': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 465552, 'step': 9050, 'algorithm': 'minimum'}
{'min': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 468176, 'step': 9100, 'algorithm': 'minimum'}
{'min': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 470720, 'step': 9150, 'algorithm': 'minimum'}
{'min': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 473296, 'step': 9200, 'algorithm': 'minimum'}
{'min': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 475856, 'step': 9250, 'algorithm': 'minimum'}
{'min': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 478384, 'step': 9300, 'algorithm': 'minimum'}
{'min': 0.986572265625, 'score': 0.986572265625, 'examples_seen': 480912, 'step': 9350, 'algorithm': 'minimum'}
{'min': 0.990234375, 'score': 0.990234375, 'examples_seen': 483568, 'step': 9400, 'algorithm': 'minimum'}
{'min': 0.9765625, 'score': 0.9765625, 'examples_seen': 486176, 'step': 9450, 'algorithm': 'minimum'}
{'min': 0.98583984375, 'score': 0.98583984375, 'examples_seen': 488752, 'step': 9500, 'algorithm': 'minimum'}
{'min': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 491312, 'step': 9550, 'algorithm': 'minimum'}
{'min': 0.99267578125, 'score': 0.99267578125, 'examples_seen': 493840, 'step': 9600, 'algorithm': 'minimum'}
{'min': 0.98828125, 'score': 0.98828125, 'examples_seen': 496400, 'step': 9650, 'algorithm': 'minimum'}
{'min': 0.96875, 'score': 0.96875, 'examples_seen': 498928, 'step': 9700, 'algorithm': 'minimum'}
{'min': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 501552, 'step': 9750, 'algorithm': 'minimum'}
{'min': 0.964599609375, 'score': 0.964599609375, 'examples_seen': 504176, 'step': 9800, 'algorithm': 'minimum'}
{'min': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 506736, 'step': 9850, 'algorithm': 'minimum'}
{'min': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 509312, 'step': 9900, 'algorithm': 'minimum'}
{'min': 0.97265625, 'score': 0.97265625, 'examples_seen': 511840, 'step': 9950, 'algorithm': 'minimum'}
