I0716 12:24:08.881639 140714243360256 run.py:722] (val) algo activity_selector step 0: {'selected': 0.42130365659777425, 'score': 0.42130365659777425, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
I0716 12:25:31.464227 140714243360256 run.py:722] (val) algo activity_selector step 800: {'selected': 0.7973856209150326, 'score': 0.7973856209150326, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
I0716 12:25:32.479323 140714243360256 run.py:722] (val) algo activity_selector step 850: {'selected': 0.9080459770114943, 'score': 0.9080459770114943, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
I0716 12:25:33.532292 140714243360256 run.py:722] (val) algo activity_selector step 900: {'selected': 0.8702290076335878, 'score': 0.8702290076335878, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
I0716 12:25:34.555908 140714243360256 run.py:722] (val) algo activity_selector step 950: {'selected': 0.8660194174757281, 'score': 0.8660194174757281, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
I0716 12:25:35.596905 140714243360256 run.py:722] (val) algo activity_selector step 1000: {'selected': 0.8664259927797834, 'score': 0.8664259927797834, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'activity_selector'}
I0716 12:25:36.639875 140714243360256 run.py:722] (val) algo activity_selector step 1050: {'selected': 0.8721804511278195, 'score': 0.8721804511278195, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'activity_selector'}
I0716 12:25:37.663531 140714243360256 run.py:722] (val) algo activity_selector step 1100: {'selected': 0.8587570621468927, 'score': 0.8587570621468927, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'activity_selector'}
I0716 12:25:38.693013 140714243360256 run.py:722] (val) algo activity_selector step 1150: {'selected': 0.9197080291970804, 'score': 0.9197080291970804, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'activity_selector'}
I0716 12:25:39.721016 140714243360256 run.py:722] (val) algo activity_selector step 1200: {'selected': 0.9398496240601504, 'score': 0.9398496240601504, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'activity_selector'}
I0716 12:25:40.749565 140714243360256 run.py:722] (val) algo activity_selector step 1250: {'selected': 0.8649789029535866, 'score': 0.8649789029535866, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'activity_selector'}
I0716 12:25:41.774018 140714243360256 run.py:722] (val) algo activity_selector step 1300: {'selected': 0.87984496124031, 'score': 0.87984496124031, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'activity_selector'}
I0716 12:25:42.806727 140714243360256 run.py:722] (val) algo activity_selector step 1350: {'selected': 0.9016100178890876, 'score': 0.9016100178890876, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'activity_selector'}
I0716 12:25:43.830403 140714243360256 run.py:722] (val) algo activity_selector step 1400: {'selected': 0.8854368932038835, 'score': 0.8854368932038835, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'activity_selector'}
I0716 12:25:44.853246 140714243360256 run.py:722] (val) algo activity_selector step 1450: {'selected': 0.9304174950298212, 'score': 0.9304174950298212, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'activity_selector'}
I0716 12:25:45.866167 140714243360256 run.py:722] (val) algo activity_selector step 1500: {'selected': 0.9294755877034359, 'score': 0.9294755877034359, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'activity_selector'}
I0716 12:25:46.879812 140714243360256 run.py:722] (val) algo activity_selector step 1550: {'selected': 0.8953488372093024, 'score': 0.8953488372093024, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'activity_selector'}
I0716 12:25:47.912806 140714243360256 run.py:722] (val) algo activity_selector step 1600: {'selected': 0.8793774319066148, 'score': 0.8793774319066148, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'activity_selector'}
I0716 12:25:48.936861 140714243360256 run.py:722] (val) algo activity_selector step 1650: {'selected': 0.9245647969052225, 'score': 0.9245647969052225, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'activity_selector'}
I0716 12:25:49.963445 140714243360256 run.py:722] (val) algo activity_selector step 1700: {'selected': 0.9228007181328546, 'score': 0.9228007181328546, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'activity_selector'}
I0716 12:25:50.988163 140714243360256 run.py:722] (val) algo activity_selector step 1750: {'selected': 0.8972972972972973, 'score': 0.8972972972972973, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'activity_selector'}
I0716 12:25:51.993846 140714243360256 run.py:722] (val) algo activity_selector step 1800: {'selected': 0.8983364140480592, 'score': 0.8983364140480592, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'activity_selector'}
I0716 12:25:53.025213 140714243360256 run.py:722] (val) algo activity_selector step 1850: {'selected': 0.9158512720156555, 'score': 0.9158512720156555, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'activity_selector'}
I0716 12:25:54.033285 140714243360256 run.py:722] (val) algo activity_selector step 1900: {'selected': 0.9413988657844992, 'score': 0.9413988657844992, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'activity_selector'}
I0716 12:25:55.084351 140714243360256 run.py:722] (val) algo activity_selector step 1950: {'selected': 0.9613899613899615, 'score': 0.9613899613899615, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'activity_selector'}
I0716 12:25:56.132603 140714243360256 run.py:722] (val) algo activity_selector step 2000: {'selected': 0.9576923076923077, 'score': 0.9576923076923077, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'activity_selector'}
I0716 12:25:57.159026 140714243360256 run.py:722] (val) algo activity_selector step 2050: {'selected': 0.9242424242424241, 'score': 0.9242424242424241, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'activity_selector'}
I0716 12:25:58.204027 140714243360256 run.py:722] (val) algo activity_selector step 2100: {'selected': 0.8710359408033826, 'score': 0.8710359408033826, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'activity_selector'}
I0716 12:25:59.225760 140714243360256 run.py:722] (val) algo activity_selector step 2150: {'selected': 0.8637992831541218, 'score': 0.8637992831541218, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'activity_selector'}
I0716 12:26:00.255751 140714243360256 run.py:722] (val) algo activity_selector step 2200: {'selected': 0.9236641221374047, 'score': 0.9236641221374047, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'activity_selector'}
I0716 12:26:01.290812 140714243360256 run.py:722] (val) algo activity_selector step 2250: {'selected': 0.95703125, 'score': 0.95703125, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'activity_selector'}
I0716 12:26:02.313217 140714243360256 run.py:722] (val) algo activity_selector step 2300: {'selected': 0.9577981651376147, 'score': 0.9577981651376147, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'activity_selector'}
I0716 12:26:03.364953 140714243360256 run.py:722] (val) algo activity_selector step 2350: {'selected': 0.9570093457943926, 'score': 0.9570093457943926, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'activity_selector'}
I0716 12:26:04.401807 140714243360256 run.py:722] (val) algo activity_selector step 2400: {'selected': 0.9359223300970874, 'score': 0.9359223300970874, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'activity_selector'}
I0716 12:26:05.436210 140714243360256 run.py:722] (val) algo activity_selector step 2450: {'selected': 0.9063829787234042, 'score': 0.9063829787234042, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'activity_selector'}
I0716 12:26:06.460413 140714243360256 run.py:722] (val) algo activity_selector step 2500: {'selected': 0.9252525252525251, 'score': 0.9252525252525251, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'activity_selector'}
I0716 12:26:07.482659 140714243360256 run.py:722] (val) algo activity_selector step 2550: {'selected': 0.9340866290018832, 'score': 0.9340866290018832, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'activity_selector'}
I0716 12:26:08.514301 140714243360256 run.py:722] (val) algo activity_selector step 2600: {'selected': 0.9483747609942638, 'score': 0.9483747609942638, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'activity_selector'}
I0716 12:26:09.526783 140714243360256 run.py:722] (val) algo activity_selector step 2650: {'selected': 0.9581056466302368, 'score': 0.9581056466302368, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'activity_selector'}
I0716 12:26:10.549480 140714243360256 run.py:722] (val) algo activity_selector step 2700: {'selected': 0.9, 'score': 0.9, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'activity_selector'}
I0716 12:26:11.577268 140714243360256 run.py:722] (val) algo activity_selector step 2750: {'selected': 0.9104477611940298, 'score': 0.9104477611940298, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'activity_selector'}
I0716 12:26:12.604617 140714243360256 run.py:722] (val) algo activity_selector step 2800: {'selected': 0.9540229885057471, 'score': 0.9540229885057471, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'activity_selector'}
I0716 12:26:13.613803 140714243360256 run.py:722] (val) algo activity_selector step 2850: {'selected': 0.9251968503937008, 'score': 0.9251968503937008, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'activity_selector'}
I0716 12:26:14.645433 140714243360256 run.py:722] (val) algo activity_selector step 2900: {'selected': 0.9548872180451128, 'score': 0.9548872180451128, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'activity_selector'}
I0716 12:26:15.660953 140714243360256 run.py:722] (val) algo activity_selector step 2950: {'selected': 0.9169960474308301, 'score': 0.9169960474308301, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'activity_selector'}
I0716 12:26:16.686807 140714243360256 run.py:722] (val) algo activity_selector step 3000: {'selected': 0.933572710951526, 'score': 0.933572710951526, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'activity_selector'}
I0716 12:26:17.722957 140714243360256 run.py:722] (val) algo activity_selector step 3050: {'selected': 0.9340866290018833, 'score': 0.9340866290018833, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'activity_selector'}
I0716 12:26:18.751219 140714243360256 run.py:722] (val) algo activity_selector step 3100: {'selected': 0.8791208791208791, 'score': 0.8791208791208791, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'activity_selector'}
I0716 12:26:19.792950 140714243360256 run.py:722] (val) algo activity_selector step 3150: {'selected': 0.9328214971209213, 'score': 0.9328214971209213, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'activity_selector'}
I0716 12:26:20.816388 140714243360256 run.py:722] (val) algo activity_selector step 3200: {'selected': 0.9828571428571429, 'score': 0.9828571428571429, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'activity_selector'}
I0716 12:26:21.846019 140714243360256 run.py:722] (val) algo activity_selector step 3250: {'selected': 0.9645669291338581, 'score': 0.9645669291338581, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'activity_selector'}
I0716 12:26:22.871891 140714243360256 run.py:722] (val) algo activity_selector step 3300: {'selected': 0.9638095238095239, 'score': 0.9638095238095239, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'activity_selector'}
I0716 12:26:23.879387 140714243360256 run.py:722] (val) algo activity_selector step 3350: {'selected': 0.9545454545454545, 'score': 0.9545454545454545, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'activity_selector'}
I0716 12:26:24.933432 140714243360256 run.py:722] (val) algo activity_selector step 3400: {'selected': 0.9333333333333335, 'score': 0.9333333333333335, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'activity_selector'}
I0716 12:26:25.958262 140714243360256 run.py:722] (val) algo activity_selector step 3450: {'selected': 0.9539594843462247, 'score': 0.9539594843462247, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'activity_selector'}
I0716 12:26:26.985198 140714243360256 run.py:722] (val) algo activity_selector step 3500: {'selected': 0.965931863727455, 'score': 0.965931863727455, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'activity_selector'}
I0716 12:26:28.018111 140714243360256 run.py:722] (val) algo activity_selector step 3550: {'selected': 0.953125, 'score': 0.953125, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'activity_selector'}
I0716 12:26:29.026417 140714243360256 run.py:722] (val) algo activity_selector step 3600: {'selected': 0.9633911368015413, 'score': 0.9633911368015413, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'activity_selector'}
I0716 12:26:30.067082 140714243360256 run.py:722] (val) algo activity_selector step 3650: {'selected': 0.9636711281070744, 'score': 0.9636711281070744, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'activity_selector'}
I0716 12:26:31.080627 140714243360256 run.py:722] (val) algo activity_selector step 3700: {'selected': 0.9592233009708738, 'score': 0.9592233009708738, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'activity_selector'}
I0716 12:26:32.109852 140714243360256 run.py:722] (val) algo activity_selector step 3750: {'selected': 0.9773584905660377, 'score': 0.9773584905660377, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'activity_selector'}
I0716 12:26:33.152452 140714243360256 run.py:722] (val) algo activity_selector step 3800: {'selected': 0.9604743083003953, 'score': 0.9604743083003953, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'activity_selector'}
I0716 12:26:34.197244 140714243360256 run.py:722] (val) algo activity_selector step 3850: {'selected': 0.9401088929219601, 'score': 0.9401088929219601, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'activity_selector'}
I0716 12:26:35.250043 140714243360256 run.py:722] (val) algo activity_selector step 3900: {'selected': 0.9561904761904763, 'score': 0.9561904761904763, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'activity_selector'}
I0716 12:26:36.271261 140714243360256 run.py:722] (val) algo activity_selector step 3950: {'selected': 0.946983546617916, 'score': 0.946983546617916, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'activity_selector'}
I0716 12:26:37.299444 140714243360256 run.py:722] (val) algo activity_selector step 4000: {'selected': 0.9521988527724665, 'score': 0.9521988527724665, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'activity_selector'}
I0716 12:26:38.328128 140714243360256 run.py:722] (val) algo activity_selector step 4050: {'selected': 0.9502982107355865, 'score': 0.9502982107355865, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'activity_selector'}
I0716 12:26:39.369964 140714243360256 run.py:722] (val) algo activity_selector step 4100: {'selected': 0.9638095238095238, 'score': 0.9638095238095238, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'activity_selector'}
I0716 12:26:40.415216 140714243360256 run.py:722] (val) algo activity_selector step 4150: {'selected': 0.9710982658959537, 'score': 0.9710982658959537, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'activity_selector'}
I0716 12:26:41.448053 140714243360256 run.py:722] (val) algo activity_selector step 4200: {'selected': 0.9277566539923954, 'score': 0.9277566539923954, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'activity_selector'}
I0716 12:26:42.484085 140714243360256 run.py:722] (val) algo activity_selector step 4250: {'selected': 0.9558541266794626, 'score': 0.9558541266794626, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'activity_selector'}
I0716 12:26:43.507299 140714243360256 run.py:722] (val) algo activity_selector step 4300: {'selected': 0.9300567107750473, 'score': 0.9300567107750473, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'activity_selector'}
I0716 12:26:44.545923 140714243360256 run.py:722] (val) algo activity_selector step 4350: {'selected': 0.9368635437881874, 'score': 0.9368635437881874, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'activity_selector'}
I0716 12:26:45.570306 140714243360256 run.py:722] (val) algo activity_selector step 4400: {'selected': 0.9611451942740287, 'score': 0.9611451942740287, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'activity_selector'}
I0716 12:26:46.610926 140714243360256 run.py:722] (val) algo activity_selector step 4450: {'selected': 0.9461538461538461, 'score': 0.9461538461538461, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'activity_selector'}
I0716 12:26:47.653409 140714243360256 run.py:722] (val) algo activity_selector step 4500: {'selected': 0.9246435845213848, 'score': 0.9246435845213848, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'activity_selector'}
I0716 12:26:48.676785 140714243360256 run.py:722] (val) algo activity_selector step 4550: {'selected': 0.9330783938814532, 'score': 0.9330783938814532, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'activity_selector'}
I0716 12:26:49.715256 140714243360256 run.py:722] (val) algo activity_selector step 4600: {'selected': 0.9510763209393346, 'score': 0.9510763209393346, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'activity_selector'}
I0716 12:26:50.730801 140714243360256 run.py:722] (val) algo activity_selector step 4650: {'selected': 0.9471698113207547, 'score': 0.9471698113207547, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'activity_selector'}
I0716 12:26:51.766891 140714243360256 run.py:722] (val) algo activity_selector step 4700: {'selected': 0.9644268774703557, 'score': 0.9644268774703557, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'activity_selector'}
I0716 12:26:52.803549 140714243360256 run.py:722] (val) algo activity_selector step 4750: {'selected': 0.9467680608365018, 'score': 0.9467680608365018, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'activity_selector'}
I0716 12:26:53.830374 140714243360256 run.py:722] (val) algo activity_selector step 4800: {'selected': 0.980544747081712, 'score': 0.980544747081712, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'activity_selector'}
I0716 12:26:54.882851 140714243360256 run.py:722] (val) algo activity_selector step 4850: {'selected': 0.9704797047970479, 'score': 0.9704797047970479, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'activity_selector'}
I0716 12:26:55.935961 140714243360256 run.py:722] (val) algo activity_selector step 4900: {'selected': 0.9585798816568047, 'score': 0.9585798816568047, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'activity_selector'}
I0716 12:26:56.983634 140714243360256 run.py:722] (val) algo activity_selector step 4950: {'selected': 0.9633911368015414, 'score': 0.9633911368015414, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'activity_selector'}
I0716 12:26:58.018385 140714243360256 run.py:722] (val) algo activity_selector step 5000: {'selected': 0.9603174603174603, 'score': 0.9603174603174603, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'activity_selector'}
I0716 12:26:59.048707 140714243360256 run.py:722] (val) algo activity_selector step 5050: {'selected': 0.9568627450980391, 'score': 0.9568627450980391, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'activity_selector'}
I0716 12:27:00.080134 140714243360256 run.py:722] (val) algo activity_selector step 5100: {'selected': 0.9639468690702088, 'score': 0.9639468690702088, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'activity_selector'}
I0716 12:27:01.116418 140714243360256 run.py:722] (val) algo activity_selector step 5150: {'selected': 0.9663366336633663, 'score': 0.9663366336633663, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'activity_selector'}
I0716 12:27:02.154323 140714243360256 run.py:722] (val) algo activity_selector step 5200: {'selected': 0.9275929549902151, 'score': 0.9275929549902151, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'activity_selector'}
I0716 12:27:03.183732 140714243360256 run.py:722] (val) algo activity_selector step 5250: {'selected': 0.9570093457943926, 'score': 0.9570093457943926, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'activity_selector'}
I0716 12:27:04.215351 140714243360256 run.py:722] (val) algo activity_selector step 5300: {'selected': 0.9437751004016064, 'score': 0.9437751004016064, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'activity_selector'}
I0716 12:27:05.239172 140714243360256 run.py:722] (val) algo activity_selector step 5350: {'selected': 0.9593810444874274, 'score': 0.9593810444874274, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'activity_selector'}
I0716 12:27:06.287876 140714243360256 run.py:722] (val) algo activity_selector step 5400: {'selected': 0.9728682170542635, 'score': 0.9728682170542635, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'activity_selector'}
I0716 12:27:07.315226 140714243360256 run.py:722] (val) algo activity_selector step 5450: {'selected': 0.9743589743589745, 'score': 0.9743589743589745, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'activity_selector'}
I0716 12:27:08.352232 140714243360256 run.py:722] (val) algo activity_selector step 5500: {'selected': 0.9692307692307692, 'score': 0.9692307692307692, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'activity_selector'}
I0716 12:27:09.396548 140714243360256 run.py:722] (val) algo activity_selector step 5550: {'selected': 0.9354207436399217, 'score': 0.9354207436399217, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'activity_selector'}
I0716 12:27:10.422964 140714243360256 run.py:722] (val) algo activity_selector step 5600: {'selected': 0.953125, 'score': 0.953125, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'activity_selector'}
I0716 12:27:11.465731 140714243360256 run.py:722] (val) algo activity_selector step 5650: {'selected': 0.9579158316633266, 'score': 0.9579158316633266, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'activity_selector'}
I0716 12:27:12.483735 140714243360256 run.py:722] (val) algo activity_selector step 5700: {'selected': 0.9368029739776951, 'score': 0.9368029739776951, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'activity_selector'}
I0716 12:27:13.512020 140714243360256 run.py:722] (val) algo activity_selector step 5750: {'selected': 0.9589041095890412, 'score': 0.9589041095890412, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'activity_selector'}
I0716 12:27:14.550934 140714243360256 run.py:722] (val) algo activity_selector step 5800: {'selected': 0.9655172413793104, 'score': 0.9655172413793104, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'activity_selector'}
I0716 12:27:15.576431 140714243360256 run.py:722] (val) algo activity_selector step 5850: {'selected': 0.9338677354709419, 'score': 0.9338677354709419, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'activity_selector'}
I0716 12:27:16.637352 140714243360256 run.py:722] (val) algo activity_selector step 5900: {'selected': 0.9354207436399218, 'score': 0.9354207436399218, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'activity_selector'}
I0716 12:27:17.670764 140714243360256 run.py:722] (val) algo activity_selector step 5950: {'selected': 0.9423076923076923, 'score': 0.9423076923076923, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'activity_selector'}
I0716 12:27:18.703630 140714243360256 run.py:722] (val) algo activity_selector step 6000: {'selected': 0.934108527131783, 'score': 0.934108527131783, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'activity_selector'}
I0716 12:27:19.732743 140714243360256 run.py:722] (val) algo activity_selector step 6050: {'selected': 0.9820359281437125, 'score': 0.9820359281437125, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'activity_selector'}
I0716 12:27:20.737926 140714243360256 run.py:722] (val) algo activity_selector step 6100: {'selected': 0.969258589511754, 'score': 0.969258589511754, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'activity_selector'}
I0716 12:27:21.775146 140714243360256 run.py:722] (val) algo activity_selector step 6150: {'selected': 0.952741020793951, 'score': 0.952741020793951, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'activity_selector'}
I0716 12:27:22.797246 140714243360256 run.py:722] (val) algo activity_selector step 6200: {'selected': 0.9942857142857142, 'score': 0.9942857142857142, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'activity_selector'}
I0716 12:27:23.858297 140714243360256 run.py:722] (val) algo activity_selector step 6250: {'selected': 0.9643527204502814, 'score': 0.9643527204502814, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'activity_selector'}
I0716 12:27:24.894382 140714243360256 run.py:722] (val) algo activity_selector step 6300: {'selected': 0.9646569646569646, 'score': 0.9646569646569646, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'activity_selector'}
I0716 12:27:25.923154 140714243360256 run.py:722] (val) algo activity_selector step 6350: {'selected': 0.9774436090225563, 'score': 0.9774436090225563, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'activity_selector'}
I0716 12:27:26.959636 140714243360256 run.py:722] (val) algo activity_selector step 6400: {'selected': 0.9480000000000001, 'score': 0.9480000000000001, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'activity_selector'}
I0716 12:27:27.984808 140714243360256 run.py:722] (val) algo activity_selector step 6450: {'selected': 0.960747663551402, 'score': 0.960747663551402, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'activity_selector'}
I0716 12:27:29.008228 140714243360256 run.py:722] (val) algo activity_selector step 6500: {'selected': 0.9824561403508771, 'score': 0.9824561403508771, 'examples_seen': 258816, 'step': 6500, 'algorithm': 'activity_selector'}
