{'pi': 0.05859375, 'score': 0.05859375, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
{'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 18032, 'step': 1050, 'algorithm': 'dfs'}
{'pi': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 18864, 'step': 1100, 'algorithm': 'dfs'}
{'pi': 0.427734375, 'score': 0.427734375, 'examples_seen': 19744, 'step': 1150, 'algorithm': 'dfs'}
{'pi': 0.447265625, 'score': 0.447265625, 'examples_seen': 20560, 'step': 1200, 'algorithm': 'dfs'}
{'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 21440, 'step': 1250, 'algorithm': 'dfs'}
{'pi': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 22256, 'step': 1300, 'algorithm': 'dfs'}
{'pi': 0.4609375, 'score': 0.4609375, 'examples_seen': 23136, 'step': 1350, 'algorithm': 'dfs'}
{'pi': 0.451171875, 'score': 0.451171875, 'examples_seen': 24032, 'step': 1400, 'algorithm': 'dfs'}
{'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 24864, 'step': 1450, 'algorithm': 'dfs'}
{'pi': 0.4814453125, 'score': 0.4814453125, 'examples_seen': 25744, 'step': 1500, 'algorithm': 'dfs'}
{'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 26576, 'step': 1550, 'algorithm': 'dfs'}
{'pi': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 27424, 'step': 1600, 'algorithm': 'dfs'}
{'pi': 0.50390625, 'score': 0.50390625, 'examples_seen': 28272, 'step': 1650, 'algorithm': 'dfs'}
{'pi': 0.4560546875, 'score': 0.4560546875, 'examples_seen': 29152, 'step': 1700, 'algorithm': 'dfs'}
{'pi': 0.498046875, 'score': 0.498046875, 'examples_seen': 30016, 'step': 1750, 'algorithm': 'dfs'}
{'pi': 0.548828125, 'score': 0.548828125, 'examples_seen': 30880, 'step': 1800, 'algorithm': 'dfs'}
{'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 31712, 'step': 1850, 'algorithm': 'dfs'}
{'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 32592, 'step': 1900, 'algorithm': 'dfs'}
{'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 33408, 'step': 1950, 'algorithm': 'dfs'}
{'pi': 0.517578125, 'score': 0.517578125, 'examples_seen': 34272, 'step': 2000, 'algorithm': 'dfs'}
{'pi': 0.4951171875, 'score': 0.4951171875, 'examples_seen': 35152, 'step': 2050, 'algorithm': 'dfs'}
{'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 36016, 'step': 2100, 'algorithm': 'dfs'}
{'pi': 0.5126953125, 'score': 0.5126953125, 'examples_seen': 36880, 'step': 2150, 'algorithm': 'dfs'}
{'pi': 0.466796875, 'score': 0.466796875, 'examples_seen': 37728, 'step': 2200, 'algorithm': 'dfs'}
{'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 38592, 'step': 2250, 'algorithm': 'dfs'}
{'pi': 0.478515625, 'score': 0.478515625, 'examples_seen': 39440, 'step': 2300, 'algorithm': 'dfs'}
{'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 40272, 'step': 2350, 'algorithm': 'dfs'}
{'pi': 0.529296875, 'score': 0.529296875, 'examples_seen': 41152, 'step': 2400, 'algorithm': 'dfs'}
{'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 42032, 'step': 2450, 'algorithm': 'dfs'}
{'pi': 0.49609375, 'score': 0.49609375, 'examples_seen': 42864, 'step': 2500, 'algorithm': 'dfs'}
{'pi': 0.490234375, 'score': 0.490234375, 'examples_seen': 43712, 'step': 2550, 'algorithm': 'dfs'}
{'pi': 0.529296875, 'score': 0.529296875, 'examples_seen': 44576, 'step': 2600, 'algorithm': 'dfs'}
{'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 45424, 'step': 2650, 'algorithm': 'dfs'}
{'pi': 0.482421875, 'score': 0.482421875, 'examples_seen': 46272, 'step': 2700, 'algorithm': 'dfs'}
{'pi': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 47168, 'step': 2750, 'algorithm': 'dfs'}
{'pi': 0.5166015625, 'score': 0.5166015625, 'examples_seen': 48016, 'step': 2800, 'algorithm': 'dfs'}
{'pi': 0.5615234375, 'score': 0.5615234375, 'examples_seen': 48880, 'step': 2850, 'algorithm': 'dfs'}
{'pi': 0.447265625, 'score': 0.447265625, 'examples_seen': 49728, 'step': 2900, 'algorithm': 'dfs'}
{'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 50608, 'step': 2950, 'algorithm': 'dfs'}
{'pi': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 51424, 'step': 3000, 'algorithm': 'dfs'}
{'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 52256, 'step': 3050, 'algorithm': 'dfs'}
{'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 53168, 'step': 3100, 'algorithm': 'dfs'}
{'pi': 0.52734375, 'score': 0.52734375, 'examples_seen': 54032, 'step': 3150, 'algorithm': 'dfs'}
{'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 54880, 'step': 3200, 'algorithm': 'dfs'}
{'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 55744, 'step': 3250, 'algorithm': 'dfs'}
{'pi': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 56576, 'step': 3300, 'algorithm': 'dfs'}
{'pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 57424, 'step': 3350, 'algorithm': 'dfs'}
{'pi': 0.521484375, 'score': 0.521484375, 'examples_seen': 58272, 'step': 3400, 'algorithm': 'dfs'}
{'pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 59152, 'step': 3450, 'algorithm': 'dfs'}
{'pi': 0.544921875, 'score': 0.544921875, 'examples_seen': 60016, 'step': 3500, 'algorithm': 'dfs'}
{'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 60880, 'step': 3550, 'algorithm': 'dfs'}
{'pi': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 61744, 'step': 3600, 'algorithm': 'dfs'}
{'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 62576, 'step': 3650, 'algorithm': 'dfs'}
{'pi': 0.55078125, 'score': 0.55078125, 'examples_seen': 63424, 'step': 3700, 'algorithm': 'dfs'}
{'pi': 0.556640625, 'score': 0.556640625, 'examples_seen': 64288, 'step': 3750, 'algorithm': 'dfs'}
{'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 65168, 'step': 3800, 'algorithm': 'dfs'}
{'pi': 0.556640625, 'score': 0.556640625, 'examples_seen': 66032, 'step': 3850, 'algorithm': 'dfs'}
{'pi': 0.53515625, 'score': 0.53515625, 'examples_seen': 66880, 'step': 3900, 'algorithm': 'dfs'}
{'pi': 0.52734375, 'score': 0.52734375, 'examples_seen': 67728, 'step': 3950, 'algorithm': 'dfs'}
{'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 68576, 'step': 4000, 'algorithm': 'dfs'}
{'pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 69424, 'step': 4050, 'algorithm': 'dfs'}
{'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 70272, 'step': 4100, 'algorithm': 'dfs'}
{'pi': 0.544921875, 'score': 0.544921875, 'examples_seen': 71168, 'step': 4150, 'algorithm': 'dfs'}
{'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 72032, 'step': 4200, 'algorithm': 'dfs'}
{'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 72880, 'step': 4250, 'algorithm': 'dfs'}
{'pi': 0.591796875, 'score': 0.591796875, 'examples_seen': 73760, 'step': 4300, 'algorithm': 'dfs'}
{'pi': 0.568359375, 'score': 0.568359375, 'examples_seen': 74592, 'step': 4350, 'algorithm': 'dfs'}
{'pi': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 75456, 'step': 4400, 'algorithm': 'dfs'}
{'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 76272, 'step': 4450, 'algorithm': 'dfs'}
{'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 77152, 'step': 4500, 'algorithm': 'dfs'}
{'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 78048, 'step': 4550, 'algorithm': 'dfs'}
{'pi': 0.5703125, 'score': 0.5703125, 'examples_seen': 78880, 'step': 4600, 'algorithm': 'dfs'}
{'pi': 0.50390625, 'score': 0.50390625, 'examples_seen': 79744, 'step': 4650, 'algorithm': 'dfs'}
{'pi': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 80576, 'step': 4700, 'algorithm': 'dfs'}
{'pi': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 81424, 'step': 4750, 'algorithm': 'dfs'}
{'pi': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 82288, 'step': 4800, 'algorithm': 'dfs'}
{'pi': 0.57421875, 'score': 0.57421875, 'examples_seen': 83152, 'step': 4850, 'algorithm': 'dfs'}
{'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 84032, 'step': 4900, 'algorithm': 'dfs'}
{'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 84896, 'step': 4950, 'algorithm': 'dfs'}
{'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 85728, 'step': 5000, 'algorithm': 'dfs'}
{'pi': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 86592, 'step': 5050, 'algorithm': 'dfs'}
{'pi': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 87424, 'step': 5100, 'algorithm': 'dfs'}
{'pi': 0.53515625, 'score': 0.53515625, 'examples_seen': 88288, 'step': 5150, 'algorithm': 'dfs'}
{'pi': 0.578125, 'score': 0.578125, 'examples_seen': 89152, 'step': 5200, 'algorithm': 'dfs'}
{'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 90048, 'step': 5250, 'algorithm': 'dfs'}
{'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 90880, 'step': 5300, 'algorithm': 'dfs'}
{'pi': 0.583984375, 'score': 0.583984375, 'examples_seen': 91728, 'step': 5350, 'algorithm': 'dfs'}
{'pi': 0.521484375, 'score': 0.521484375, 'examples_seen': 92576, 'step': 5400, 'algorithm': 'dfs'}
{'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 93456, 'step': 5450, 'algorithm': 'dfs'}
{'pi': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 94272, 'step': 5500, 'algorithm': 'dfs'}
{'pi': 0.5166015625, 'score': 0.5166015625, 'examples_seen': 95136, 'step': 5550, 'algorithm': 'dfs'}
{'pi': 0.521484375, 'score': 0.521484375, 'examples_seen': 96032, 'step': 5600, 'algorithm': 'dfs'}
{'pi': 0.59765625, 'score': 0.59765625, 'examples_seen': 96880, 'step': 5650, 'algorithm': 'dfs'}
{'pi': 0.5966796875, 'score': 0.5966796875, 'examples_seen': 97744, 'step': 5700, 'algorithm': 'dfs'}
{'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 98608, 'step': 5750, 'algorithm': 'dfs'}
{'pi': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 99440, 'step': 5800, 'algorithm': 'dfs'}
{'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 100288, 'step': 5850, 'algorithm': 'dfs'}
{'pi': 0.591796875, 'score': 0.591796875, 'examples_seen': 101184, 'step': 5900, 'algorithm': 'dfs'}
{'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 102032, 'step': 5950, 'algorithm': 'dfs'}
{'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 102912, 'step': 6000, 'algorithm': 'dfs'}
{'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 103728, 'step': 6050, 'algorithm': 'dfs'}
{'pi': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 104608, 'step': 6100, 'algorithm': 'dfs'}
{'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 105440, 'step': 6150, 'algorithm': 'dfs'}
{'pi': 0.580078125, 'score': 0.580078125, 'examples_seen': 106272, 'step': 6200, 'algorithm': 'dfs'}
{'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 107168, 'step': 6250, 'algorithm': 'dfs'}
{'pi': 0.603515625, 'score': 0.603515625, 'examples_seen': 108032, 'step': 6300, 'algorithm': 'dfs'}
{'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 108896, 'step': 6350, 'algorithm': 'dfs'}
{'pi': 0.580078125, 'score': 0.580078125, 'examples_seen': 109744, 'step': 6400, 'algorithm': 'dfs'}
{'pi': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 110592, 'step': 6450, 'algorithm': 'dfs'}
{'pi': 0.58984375, 'score': 0.58984375, 'examples_seen': 111440, 'step': 6500, 'algorithm': 'dfs'}
{'pi': 0.5, 'score': 0.5, 'examples_seen': 112272, 'step': 6550, 'algorithm': 'dfs'}
{'pi': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 113168, 'step': 6600, 'algorithm': 'dfs'}
{'pi': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 114048, 'step': 6650, 'algorithm': 'dfs'}
{'pi': 0.611328125, 'score': 0.611328125, 'examples_seen': 114880, 'step': 6700, 'algorithm': 'dfs'}
{'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 115744, 'step': 6750, 'algorithm': 'dfs'}
{'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 116576, 'step': 6800, 'algorithm': 'dfs'}
{'pi': 0.63671875, 'score': 0.63671875, 'examples_seen': 117456, 'step': 6850, 'algorithm': 'dfs'}
{'pi': 0.58984375, 'score': 0.58984375, 'examples_seen': 118288, 'step': 6900, 'algorithm': 'dfs'}
{'pi': 0.603515625, 'score': 0.603515625, 'examples_seen': 119168, 'step': 6950, 'algorithm': 'dfs'}
{'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 120032, 'step': 7000, 'algorithm': 'dfs'}
{'pi': 0.5859375, 'score': 0.5859375, 'examples_seen': 120896, 'step': 7050, 'algorithm': 'dfs'}
{'pi': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 121760, 'step': 7100, 'algorithm': 'dfs'}
{'pi': 0.609375, 'score': 0.609375, 'examples_seen': 122608, 'step': 7150, 'algorithm': 'dfs'}
{'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 123440, 'step': 7200, 'algorithm': 'dfs'}
{'pi': 0.5390625, 'score': 0.5390625, 'examples_seen': 124288, 'step': 7250, 'algorithm': 'dfs'}
{'pi': 0.54296875, 'score': 0.54296875, 'examples_seen': 125184, 'step': 7300, 'algorithm': 'dfs'}
{'pi': 0.609375, 'score': 0.609375, 'examples_seen': 126048, 'step': 7350, 'algorithm': 'dfs'}
{'pi': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 126896, 'step': 7400, 'algorithm': 'dfs'}
{'pi': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 127760, 'step': 7450, 'algorithm': 'dfs'}
{'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 128592, 'step': 7500, 'algorithm': 'dfs'}
{'pi': 0.56640625, 'score': 0.56640625, 'examples_seen': 129456, 'step': 7550, 'algorithm': 'dfs'}
{'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 130288, 'step': 7600, 'algorithm': 'dfs'}
{'pi': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 131152, 'step': 7650, 'algorithm': 'dfs'}
{'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 132032, 'step': 7700, 'algorithm': 'dfs'}
{'pi': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 132896, 'step': 7750, 'algorithm': 'dfs'}
{'pi': 0.572265625, 'score': 0.572265625, 'examples_seen': 133760, 'step': 7800, 'algorithm': 'dfs'}
{'pi': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 134592, 'step': 7850, 'algorithm': 'dfs'}
{'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 135424, 'step': 7900, 'algorithm': 'dfs'}
{'pi': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 136304, 'step': 7950, 'algorithm': 'dfs'}
{'pi': 0.576171875, 'score': 0.576171875, 'examples_seen': 137168, 'step': 8000, 'algorithm': 'dfs'}
{'pi': 0.525390625, 'score': 0.525390625, 'examples_seen': 138048, 'step': 8050, 'algorithm': 'dfs'}
{'pi': 0.578125, 'score': 0.578125, 'examples_seen': 138912, 'step': 8100, 'algorithm': 'dfs'}
{'pi': 0.537109375, 'score': 0.537109375, 'examples_seen': 139728, 'step': 8150, 'algorithm': 'dfs'}
{'pi': 0.630859375, 'score': 0.630859375, 'examples_seen': 140592, 'step': 8200, 'algorithm': 'dfs'}
{'pi': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 141456, 'step': 8250, 'algorithm': 'dfs'}
{'pi': 0.5869140625, 'score': 0.5869140625, 'examples_seen': 142288, 'step': 8300, 'algorithm': 'dfs'}
{'pi': 0.587890625, 'score': 0.587890625, 'examples_seen': 143152, 'step': 8350, 'algorithm': 'dfs'}
{'pi': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 144048, 'step': 8400, 'algorithm': 'dfs'}
{'pi': 0.55859375, 'score': 0.55859375, 'examples_seen': 144896, 'step': 8450, 'algorithm': 'dfs'}
{'pi': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 145760, 'step': 8500, 'algorithm': 'dfs'}
{'pi': 0.62109375, 'score': 0.62109375, 'examples_seen': 146592, 'step': 8550, 'algorithm': 'dfs'}
{'pi': 0.56640625, 'score': 0.56640625, 'examples_seen': 147456, 'step': 8600, 'algorithm': 'dfs'}
{'pi': 0.556640625, 'score': 0.556640625, 'examples_seen': 148288, 'step': 8650, 'algorithm': 'dfs'}
{'pi': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 149168, 'step': 8700, 'algorithm': 'dfs'}
{'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 150048, 'step': 8750, 'algorithm': 'dfs'}
{'pi': 0.578125, 'score': 0.578125, 'examples_seen': 150896, 'step': 8800, 'algorithm': 'dfs'}
{'pi': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 151744, 'step': 8850, 'algorithm': 'dfs'}
{'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 152592, 'step': 8900, 'algorithm': 'dfs'}
{'pi': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 153456, 'step': 8950, 'algorithm': 'dfs'}
{'pi': 0.650390625, 'score': 0.650390625, 'examples_seen': 154320, 'step': 9000, 'algorithm': 'dfs'}
{'pi': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 155168, 'step': 9050, 'algorithm': 'dfs'}
{'pi': 0.482421875, 'score': 0.482421875, 'examples_seen': 156032, 'step': 9100, 'algorithm': 'dfs'}
{'pi': 0.623046875, 'score': 0.623046875, 'examples_seen': 156912, 'step': 9150, 'algorithm': 'dfs'}
{'pi': 0.64453125, 'score': 0.64453125, 'examples_seen': 157744, 'step': 9200, 'algorithm': 'dfs'}
{'pi': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 158624, 'step': 9250, 'algorithm': 'dfs'}
{'pi': 0.53515625, 'score': 0.53515625, 'examples_seen': 159440, 'step': 9300, 'algorithm': 'dfs'}
{'pi': 0.599609375, 'score': 0.599609375, 'examples_seen': 160288, 'step': 9350, 'algorithm': 'dfs'}
{'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 161184, 'step': 9400, 'algorithm': 'dfs'}
{'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 162064, 'step': 9450, 'algorithm': 'dfs'}
{'pi': 0.5390625, 'score': 0.5390625, 'examples_seen': 162912, 'step': 9500, 'algorithm': 'dfs'}
{'pi': 0.544921875, 'score': 0.544921875, 'examples_seen': 163760, 'step': 9550, 'algorithm': 'dfs'}
{'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 164592, 'step': 9600, 'algorithm': 'dfs'}
{'pi': 0.59375, 'score': 0.59375, 'examples_seen': 165472, 'step': 9650, 'algorithm': 'dfs'}
{'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 166288, 'step': 9700, 'algorithm': 'dfs'}
{'pi': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 167168, 'step': 9750, 'algorithm': 'dfs'}
{'pi': 0.53125, 'score': 0.53125, 'examples_seen': 168048, 'step': 9800, 'algorithm': 'dfs'}
{'pi': 0.537109375, 'score': 0.537109375, 'examples_seen': 168880, 'step': 9850, 'algorithm': 'dfs'}
{'pi': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 169760, 'step': 9900, 'algorithm': 'dfs'}
{'pi': 0.537109375, 'score': 0.537109375, 'examples_seen': 170592, 'step': 9950, 'algorithm': 'dfs'}
