I0716 12:38:58.956633 135562045462016 run.py:722] (val) algo bellman_ford step 0: {'pi': 0.3876953125, 'score': 0.3876953125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
I0716 12:41:06.310793 135562045462016 run.py:722] (val) algo bellman_ford step 650: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 71917, 'step': 650, 'algorithm': 'bellman_ford'}
I0716 12:41:09.194203 135562045462016 run.py:722] (val) algo bellman_ford step 700: {'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 77495, 'step': 700, 'algorithm': 'bellman_ford'}
I0716 12:41:12.057037 135562045462016 run.py:722] (val) algo bellman_ford step 750: {'pi': 0.8828125, 'score': 0.8828125, 'examples_seen': 83095, 'step': 750, 'algorithm': 'bellman_ford'}
I0716 12:41:14.856484 135562045462016 run.py:722] (val) algo bellman_ford step 800: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 88565, 'step': 800, 'algorithm': 'bellman_ford'}
I0716 12:41:17.693906 135562045462016 run.py:722] (val) algo bellman_ford step 850: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 94046, 'step': 850, 'algorithm': 'bellman_ford'}
I0716 12:41:20.578289 135562045462016 run.py:722] (val) algo bellman_ford step 900: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 99550, 'step': 900, 'algorithm': 'bellman_ford'}
I0716 12:41:23.513405 135562045462016 run.py:722] (val) algo bellman_ford step 950: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 105079, 'step': 950, 'algorithm': 'bellman_ford'}
I0716 12:41:26.352566 135562045462016 run.py:722] (val) algo bellman_ford step 1000: {'pi': 0.826171875, 'score': 0.826171875, 'examples_seen': 110658, 'step': 1000, 'algorithm': 'bellman_ford'}
I0716 12:41:29.225311 135562045462016 run.py:722] (val) algo bellman_ford step 1050: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 116243, 'step': 1050, 'algorithm': 'bellman_ford'}
I0716 12:41:32.112621 135562045462016 run.py:722] (val) algo bellman_ford step 1100: {'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 121826, 'step': 1100, 'algorithm': 'bellman_ford'}
I0716 12:41:35.045667 135562045462016 run.py:722] (val) algo bellman_ford step 1150: {'pi': 0.8515625, 'score': 0.8515625, 'examples_seen': 127423, 'step': 1150, 'algorithm': 'bellman_ford'}
I0716 12:41:37.919806 135562045462016 run.py:722] (val) algo bellman_ford step 1200: {'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 132913, 'step': 1200, 'algorithm': 'bellman_ford'}
I0716 12:41:40.751251 135562045462016 run.py:722] (val) algo bellman_ford step 1250: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 138408, 'step': 1250, 'algorithm': 'bellman_ford'}
I0716 12:41:43.625966 135562045462016 run.py:722] (val) algo bellman_ford step 1300: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 143905, 'step': 1300, 'algorithm': 'bellman_ford'}
I0716 12:41:46.488603 135562045462016 run.py:722] (val) algo bellman_ford step 1350: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 149507, 'step': 1350, 'algorithm': 'bellman_ford'}
I0716 12:41:49.400385 135562045462016 run.py:722] (val) algo bellman_ford step 1400: {'pi': 0.890625, 'score': 0.890625, 'examples_seen': 155075, 'step': 1400, 'algorithm': 'bellman_ford'}
I0716 12:41:52.242076 135562045462016 run.py:722] (val) algo bellman_ford step 1450: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 160654, 'step': 1450, 'algorithm': 'bellman_ford'}
I0716 12:41:55.157326 135562045462016 run.py:722] (val) algo bellman_ford step 1500: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 166176, 'step': 1500, 'algorithm': 'bellman_ford'}
I0716 12:41:57.947395 135562045462016 run.py:722] (val) algo bellman_ford step 1550: {'pi': 0.859375, 'score': 0.859375, 'examples_seen': 171700, 'step': 1550, 'algorithm': 'bellman_ford'}
I0716 12:42:00.820856 135562045462016 run.py:722] (val) algo bellman_ford step 1600: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 177167, 'step': 1600, 'algorithm': 'bellman_ford'}
I0716 12:42:03.747719 135562045462016 run.py:722] (val) algo bellman_ford step 1650: {'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 182675, 'step': 1650, 'algorithm': 'bellman_ford'}
I0716 12:42:06.559108 135562045462016 run.py:722] (val) algo bellman_ford step 1700: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 188316, 'step': 1700, 'algorithm': 'bellman_ford'}
I0716 12:42:09.484361 135562045462016 run.py:722] (val) algo bellman_ford step 1750: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 193924, 'step': 1750, 'algorithm': 'bellman_ford'}
I0716 12:42:12.401551 135562045462016 run.py:722] (val) algo bellman_ford step 1800: {'pi': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 199489, 'step': 1800, 'algorithm': 'bellman_ford'}
I0716 12:42:15.272942 135562045462016 run.py:722] (val) algo bellman_ford step 1850: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 205007, 'step': 1850, 'algorithm': 'bellman_ford'}
I0716 12:42:18.372800 135562045462016 run.py:722] (val) algo bellman_ford step 1900: {'pi': 0.794921875, 'score': 0.794921875, 'examples_seen': 210510, 'step': 1900, 'algorithm': 'bellman_ford'}
I0716 12:42:21.305001 135562045462016 run.py:722] (val) algo bellman_ford step 1950: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 216076, 'step': 1950, 'algorithm': 'bellman_ford'}
I0716 12:42:24.149505 135562045462016 run.py:722] (val) algo bellman_ford step 2000: {'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 221590, 'step': 2000, 'algorithm': 'bellman_ford'}
I0716 12:42:27.027122 135562045462016 run.py:722] (val) algo bellman_ford step 2050: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 227223, 'step': 2050, 'algorithm': 'bellman_ford'}
I0716 12:42:29.959968 135562045462016 run.py:722] (val) algo bellman_ford step 2100: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 232750, 'step': 2100, 'algorithm': 'bellman_ford'}
I0716 12:42:32.829428 135562045462016 run.py:722] (val) algo bellman_ford step 2150: {'pi': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 238309, 'step': 2150, 'algorithm': 'bellman_ford'}
I0716 12:42:35.693771 135562045462016 run.py:722] (val) algo bellman_ford step 2200: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 243852, 'step': 2200, 'algorithm': 'bellman_ford'}
I0716 12:42:38.593156 135562045462016 run.py:722] (val) algo bellman_ford step 2250: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 249333, 'step': 2250, 'algorithm': 'bellman_ford'}
I0716 12:42:41.391047 135562045462016 run.py:722] (val) algo bellman_ford step 2300: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 254851, 'step': 2300, 'algorithm': 'bellman_ford'}
I0716 12:42:44.284104 135562045462016 run.py:722] (val) algo bellman_ford step 2350: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 260383, 'step': 2350, 'algorithm': 'bellman_ford'}
I0716 12:42:47.174749 135562045462016 run.py:722] (val) algo bellman_ford step 2400: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 266005, 'step': 2400, 'algorithm': 'bellman_ford'}
I0716 12:42:49.944801 135562045462016 run.py:722] (val) algo bellman_ford step 2450: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 271583, 'step': 2450, 'algorithm': 'bellman_ford'}
I0716 12:42:52.809636 135562045462016 run.py:722] (val) algo bellman_ford step 2500: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 277131, 'step': 2500, 'algorithm': 'bellman_ford'}
I0716 12:42:55.667732 135562045462016 run.py:722] (val) algo bellman_ford step 2550: {'pi': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 282651, 'step': 2550, 'algorithm': 'bellman_ford'}
I0716 12:42:58.554683 135562045462016 run.py:722] (val) algo bellman_ford step 2600: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 288177, 'step': 2600, 'algorithm': 'bellman_ford'}
I0716 12:43:01.400618 135562045462016 run.py:722] (val) algo bellman_ford step 2650: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 293701, 'step': 2650, 'algorithm': 'bellman_ford'}
I0716 12:43:04.290869 135562045462016 run.py:722] (val) algo bellman_ford step 2700: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 299203, 'step': 2700, 'algorithm': 'bellman_ford'}
I0716 12:43:07.138342 135562045462016 run.py:722] (val) algo bellman_ford step 2750: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 304830, 'step': 2750, 'algorithm': 'bellman_ford'}
I0716 12:43:09.981051 135562045462016 run.py:722] (val) algo bellman_ford step 2800: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 310344, 'step': 2800, 'algorithm': 'bellman_ford'}
I0716 12:43:12.872673 135562045462016 run.py:722] (val) algo bellman_ford step 2850: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 315834, 'step': 2850, 'algorithm': 'bellman_ford'}
I0716 12:43:15.711168 135562045462016 run.py:722] (val) algo bellman_ford step 2900: {'pi': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 321402, 'step': 2900, 'algorithm': 'bellman_ford'}
I0716 12:43:18.631438 135562045462016 run.py:722] (val) algo bellman_ford step 2950: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 326918, 'step': 2950, 'algorithm': 'bellman_ford'}
I0716 12:43:21.495653 135562045462016 run.py:722] (val) algo bellman_ford step 3000: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 332466, 'step': 3000, 'algorithm': 'bellman_ford'}
I0716 12:43:24.479195 135562045462016 run.py:722] (val) algo bellman_ford step 3050: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 338063, 'step': 3050, 'algorithm': 'bellman_ford'}
I0716 12:43:27.480670 135562045462016 run.py:722] (val) algo bellman_ford step 3100: {'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 343709, 'step': 3100, 'algorithm': 'bellman_ford'}
I0716 12:43:30.328816 135562045462016 run.py:722] (val) algo bellman_ford step 3150: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 349282, 'step': 3150, 'algorithm': 'bellman_ford'}
I0716 12:43:33.179836 135562045462016 run.py:722] (val) algo bellman_ford step 3200: {'pi': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 354813, 'step': 3200, 'algorithm': 'bellman_ford'}
I0716 12:43:35.999147 135562045462016 run.py:722] (val) algo bellman_ford step 3250: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 360359, 'step': 3250, 'algorithm': 'bellman_ford'}
I0716 12:43:38.891638 135562045462016 run.py:722] (val) algo bellman_ford step 3300: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 365832, 'step': 3300, 'algorithm': 'bellman_ford'}
I0716 12:43:41.814000 135562045462016 run.py:722] (val) algo bellman_ford step 3350: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 371362, 'step': 3350, 'algorithm': 'bellman_ford'}
I0716 12:43:44.661669 135562045462016 run.py:722] (val) algo bellman_ford step 3400: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 376863, 'step': 3400, 'algorithm': 'bellman_ford'}
I0716 12:43:47.448174 135562045462016 run.py:722] (val) algo bellman_ford step 3450: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 382492, 'step': 3450, 'algorithm': 'bellman_ford'}
I0716 12:43:50.356460 135562045462016 run.py:722] (val) algo bellman_ford step 3500: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 388134, 'step': 3500, 'algorithm': 'bellman_ford'}
I0716 12:43:53.260406 135562045462016 run.py:722] (val) algo bellman_ford step 3550: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 393696, 'step': 3550, 'algorithm': 'bellman_ford'}
I0716 12:43:56.115064 135562045462016 run.py:722] (val) algo bellman_ford step 3600: {'pi': 0.794921875, 'score': 0.794921875, 'examples_seen': 399225, 'step': 3600, 'algorithm': 'bellman_ford'}
I0716 12:43:58.898452 135562045462016 run.py:722] (val) algo bellman_ford step 3650: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 404771, 'step': 3650, 'algorithm': 'bellman_ford'}
I0716 12:44:01.824948 135562045462016 run.py:722] (val) algo bellman_ford step 3700: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 410258, 'step': 3700, 'algorithm': 'bellman_ford'}
I0716 12:44:04.803652 135562045462016 run.py:722] (val) algo bellman_ford step 3750: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 415744, 'step': 3750, 'algorithm': 'bellman_ford'}
I0716 12:44:07.783454 135562045462016 run.py:722] (val) algo bellman_ford step 3800: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 421408, 'step': 3800, 'algorithm': 'bellman_ford'}
I0716 12:44:10.703338 135562045462016 run.py:722] (val) algo bellman_ford step 3850: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 426972, 'step': 3850, 'algorithm': 'bellman_ford'}
I0716 12:44:13.597645 135562045462016 run.py:722] (val) algo bellman_ford step 3900: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 432519, 'step': 3900, 'algorithm': 'bellman_ford'}
I0716 12:44:16.529650 135562045462016 run.py:722] (val) algo bellman_ford step 3950: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 438056, 'step': 3950, 'algorithm': 'bellman_ford'}
I0716 12:44:19.385720 135562045462016 run.py:722] (val) algo bellman_ford step 4000: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 443551, 'step': 4000, 'algorithm': 'bellman_ford'}
I0716 12:44:22.313025 135562045462016 run.py:722] (val) algo bellman_ford step 4050: {'pi': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 449039, 'step': 4050, 'algorithm': 'bellman_ford'}
I0716 12:44:25.273710 135562045462016 run.py:722] (val) algo bellman_ford step 4100: {'pi': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 454526, 'step': 4100, 'algorithm': 'bellman_ford'}
I0716 12:44:28.222271 135562045462016 run.py:722] (val) algo bellman_ford step 4150: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 460199, 'step': 4150, 'algorithm': 'bellman_ford'}
I0716 12:44:31.164345 135562045462016 run.py:722] (val) algo bellman_ford step 4200: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 465775, 'step': 4200, 'algorithm': 'bellman_ford'}
I0716 12:44:34.113095 135562045462016 run.py:722] (val) algo bellman_ford step 4250: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 471273, 'step': 4250, 'algorithm': 'bellman_ford'}
I0716 12:44:37.067877 135562045462016 run.py:722] (val) algo bellman_ford step 4300: {'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 476803, 'step': 4300, 'algorithm': 'bellman_ford'}
I0716 12:44:39.916702 135562045462016 run.py:722] (val) algo bellman_ford step 4350: {'pi': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 482276, 'step': 4350, 'algorithm': 'bellman_ford'}
I0716 12:44:42.844241 135562045462016 run.py:722] (val) algo bellman_ford step 4400: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 487796, 'step': 4400, 'algorithm': 'bellman_ford'}
I0716 12:44:45.677682 135562045462016 run.py:722] (val) algo bellman_ford step 4450: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 493235, 'step': 4450, 'algorithm': 'bellman_ford'}
I0716 12:44:48.598845 135562045462016 run.py:722] (val) algo bellman_ford step 4500: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 498891, 'step': 4500, 'algorithm': 'bellman_ford'}
I0716 12:44:51.549611 135562045462016 run.py:722] (val) algo bellman_ford step 4550: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 504461, 'step': 4550, 'algorithm': 'bellman_ford'}
I0716 12:44:54.474028 135562045462016 run.py:722] (val) algo bellman_ford step 4600: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 510047, 'step': 4600, 'algorithm': 'bellman_ford'}
I0716 12:44:57.272442 135562045462016 run.py:722] (val) algo bellman_ford step 4650: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 515528, 'step': 4650, 'algorithm': 'bellman_ford'}
I0716 12:45:00.122181 135562045462016 run.py:722] (val) algo bellman_ford step 4700: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 521055, 'step': 4700, 'algorithm': 'bellman_ford'}
I0716 12:45:02.979583 135562045462016 run.py:722] (val) algo bellman_ford step 4750: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 526537, 'step': 4750, 'algorithm': 'bellman_ford'}
I0716 12:45:05.936401 135562045462016 run.py:722] (val) algo bellman_ford step 4800: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 532074, 'step': 4800, 'algorithm': 'bellman_ford'}
I0716 12:45:08.798714 135562045462016 run.py:722] (val) algo bellman_ford step 4850: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 537684, 'step': 4850, 'algorithm': 'bellman_ford'}
I0716 12:45:11.754708 135562045462016 run.py:722] (val) algo bellman_ford step 4900: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 543323, 'step': 4900, 'algorithm': 'bellman_ford'}
I0716 12:45:14.642956 135562045462016 run.py:722] (val) algo bellman_ford step 4950: {'pi': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 548827, 'step': 4950, 'algorithm': 'bellman_ford'}
I0716 12:45:17.540708 135562045462016 run.py:722] (val) algo bellman_ford step 5000: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 554310, 'step': 5000, 'algorithm': 'bellman_ford'}
I0716 12:45:20.420207 135562045462016 run.py:722] (val) algo bellman_ford step 5050: {'pi': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 559822, 'step': 5050, 'algorithm': 'bellman_ford'}
I0716 12:45:23.338195 135562045462016 run.py:722] (val) algo bellman_ford step 5100: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 565306, 'step': 5100, 'algorithm': 'bellman_ford'}
I0716 12:45:26.280584 135562045462016 run.py:722] (val) algo bellman_ford step 5150: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 570802, 'step': 5150, 'algorithm': 'bellman_ford'}
I0716 12:45:29.203113 135562045462016 run.py:722] (val) algo bellman_ford step 5200: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 576481, 'step': 5200, 'algorithm': 'bellman_ford'}
I0716 12:45:32.087342 135562045462016 run.py:722] (val) algo bellman_ford step 5250: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 582016, 'step': 5250, 'algorithm': 'bellman_ford'}
I0716 12:45:34.959542 135562045462016 run.py:722] (val) algo bellman_ford step 5300: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 587542, 'step': 5300, 'algorithm': 'bellman_ford'}
I0716 12:45:37.809094 135562045462016 run.py:722] (val) algo bellman_ford step 5350: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 593046, 'step': 5350, 'algorithm': 'bellman_ford'}
I0716 12:45:40.725669 135562045462016 run.py:722] (val) algo bellman_ford step 5400: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 598638, 'step': 5400, 'algorithm': 'bellman_ford'}
I0716 12:45:43.642860 135562045462016 run.py:722] (val) algo bellman_ford step 5450: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 604182, 'step': 5450, 'algorithm': 'bellman_ford'}
I0716 12:45:46.590860 135562045462016 run.py:722] (val) algo bellman_ford step 5500: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 609662, 'step': 5500, 'algorithm': 'bellman_ford'}
I0716 12:45:49.482013 135562045462016 run.py:722] (val) algo bellman_ford step 5550: {'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 615297, 'step': 5550, 'algorithm': 'bellman_ford'}
I0716 12:45:52.435440 135562045462016 run.py:722] (val) algo bellman_ford step 5600: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 620946, 'step': 5600, 'algorithm': 'bellman_ford'}
I0716 12:45:55.287787 135562045462016 run.py:722] (val) algo bellman_ford step 5650: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 626443, 'step': 5650, 'algorithm': 'bellman_ford'}
I0716 12:45:58.212529 135562045462016 run.py:722] (val) algo bellman_ford step 5700: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 632007, 'step': 5700, 'algorithm': 'bellman_ford'}
I0716 12:46:01.015819 135562045462016 run.py:722] (val) algo bellman_ford step 5750: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 637523, 'step': 5750, 'algorithm': 'bellman_ford'}
I0716 12:46:03.901193 135562045462016 run.py:722] (val) algo bellman_ford step 5800: {'pi': 0.927734375, 'score': 0.927734375, 'examples_seen': 642958, 'step': 5800, 'algorithm': 'bellman_ford'}
I0716 12:46:06.852842 135562045462016 run.py:722] (val) algo bellman_ford step 5850: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 648439, 'step': 5850, 'algorithm': 'bellman_ford'}
I0716 12:46:09.759972 135562045462016 run.py:722] (val) algo bellman_ford step 5900: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 654090, 'step': 5900, 'algorithm': 'bellman_ford'}
I0716 12:46:12.655393 135562045462016 run.py:722] (val) algo bellman_ford step 5950: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 659651, 'step': 5950, 'algorithm': 'bellman_ford'}
I0716 12:46:15.596946 135562045462016 run.py:722] (val) algo bellman_ford step 6000: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 665285, 'step': 6000, 'algorithm': 'bellman_ford'}
I0716 12:46:18.478886 135562045462016 run.py:722] (val) algo bellman_ford step 6050: {'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 670848, 'step': 6050, 'algorithm': 'bellman_ford'}
I0716 12:46:21.394780 135562045462016 run.py:722] (val) algo bellman_ford step 6100: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 676349, 'step': 6100, 'algorithm': 'bellman_ford'}
I0716 12:46:24.378646 135562045462016 run.py:722] (val) algo bellman_ford step 6150: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 681805, 'step': 6150, 'algorithm': 'bellman_ford'}
I0716 12:46:27.282196 135562045462016 run.py:722] (val) algo bellman_ford step 6200: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 687312, 'step': 6200, 'algorithm': 'bellman_ford'}
I0716 12:46:30.143145 135562045462016 run.py:722] (val) algo bellman_ford step 6250: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 692910, 'step': 6250, 'algorithm': 'bellman_ford'}
I0716 12:46:33.067788 135562045462016 run.py:722] (val) algo bellman_ford step 6300: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 698517, 'step': 6300, 'algorithm': 'bellman_ford'}
I0716 12:46:36.019568 135562045462016 run.py:722] (val) algo bellman_ford step 6350: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 704138, 'step': 6350, 'algorithm': 'bellman_ford'}
I0716 12:46:38.976343 135562045462016 run.py:722] (val) algo bellman_ford step 6400: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 709693, 'step': 6400, 'algorithm': 'bellman_ford'}
I0716 12:46:41.937882 135562045462016 run.py:722] (val) algo bellman_ford step 6450: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 715239, 'step': 6450, 'algorithm': 'bellman_ford'}
I0716 12:46:44.742920 135562045462016 run.py:722] (val) algo bellman_ford step 6500: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 720770, 'step': 6500, 'algorithm': 'bellman_ford'}
I0716 12:46:47.714977 135562045462016 run.py:722] (val) algo bellman_ford step 6550: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 726304, 'step': 6550, 'algorithm': 'bellman_ford'}
I0716 12:46:50.662425 135562045462016 run.py:722] (val) algo bellman_ford step 6600: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 731920, 'step': 6600, 'algorithm': 'bellman_ford'}
I0716 12:46:53.597268 135562045462016 run.py:722] (val) algo bellman_ford step 6650: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 737510, 'step': 6650, 'algorithm': 'bellman_ford'}
I0716 12:46:56.476817 135562045462016 run.py:722] (val) algo bellman_ford step 6700: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 743042, 'step': 6700, 'algorithm': 'bellman_ford'}
