{'b': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
{'b': 0.91064453125, 'score': 0.91064453125, 'examples_seen': 160350, 'step': 1350, 'algorithm': 'lcs_length'}
{'b': 0.884765625, 'score': 0.884765625, 'examples_seen': 166429, 'step': 1400, 'algorithm': 'lcs_length'}
{'b': 0.925537109375, 'score': 0.925537109375, 'examples_seen': 172381, 'step': 1450, 'algorithm': 'lcs_length'}
{'b': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 178280, 'step': 1500, 'algorithm': 'lcs_length'}
{'b': 0.885986328125, 'score': 0.885986328125, 'examples_seen': 184122, 'step': 1550, 'algorithm': 'lcs_length'}
{'b': 0.93603515625, 'score': 0.93603515625, 'examples_seen': 189972, 'step': 1600, 'algorithm': 'lcs_length'}
{'b': 0.934814453125, 'score': 0.934814453125, 'examples_seen': 195809, 'step': 1650, 'algorithm': 'lcs_length'}
{'b': 0.91845703125, 'score': 0.91845703125, 'examples_seen': 201878, 'step': 1700, 'algorithm': 'lcs_length'}
{'b': 0.93603515625, 'score': 0.93603515625, 'examples_seen': 207960, 'step': 1750, 'algorithm': 'lcs_length'}
{'b': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 213897, 'step': 1800, 'algorithm': 'lcs_length'}
{'b': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 219807, 'step': 1850, 'algorithm': 'lcs_length'}
{'b': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 225667, 'step': 1900, 'algorithm': 'lcs_length'}
{'b': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 231520, 'step': 1950, 'algorithm': 'lcs_length'}
{'b': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 237346, 'step': 2000, 'algorithm': 'lcs_length'}
{'b': 0.921875, 'score': 0.921875, 'examples_seen': 243405, 'step': 2050, 'algorithm': 'lcs_length'}
{'b': 0.921142578125, 'score': 0.921142578125, 'examples_seen': 249464, 'step': 2100, 'algorithm': 'lcs_length'}
{'b': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 255412, 'step': 2150, 'algorithm': 'lcs_length'}
{'b': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 261294, 'step': 2200, 'algorithm': 'lcs_length'}
{'b': 0.934326171875, 'score': 0.934326171875, 'examples_seen': 267156, 'step': 2250, 'algorithm': 'lcs_length'}
{'b': 0.94775390625, 'score': 0.94775390625, 'examples_seen': 273020, 'step': 2300, 'algorithm': 'lcs_length'}
{'b': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 278853, 'step': 2350, 'algorithm': 'lcs_length'}
{'b': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 284935, 'step': 2400, 'algorithm': 'lcs_length'}
{'b': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 290997, 'step': 2450, 'algorithm': 'lcs_length'}
{'b': 0.941162109375, 'score': 0.941162109375, 'examples_seen': 296927, 'step': 2500, 'algorithm': 'lcs_length'}
{'b': 0.943359375, 'score': 0.943359375, 'examples_seen': 302816, 'step': 2550, 'algorithm': 'lcs_length'}
{'b': 0.92724609375, 'score': 0.92724609375, 'examples_seen': 308663, 'step': 2600, 'algorithm': 'lcs_length'}
{'b': 0.9375, 'score': 0.9375, 'examples_seen': 314523, 'step': 2650, 'algorithm': 'lcs_length'}
{'b': 0.949462890625, 'score': 0.949462890625, 'examples_seen': 320355, 'step': 2700, 'algorithm': 'lcs_length'}
{'b': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 326414, 'step': 2750, 'algorithm': 'lcs_length'}
{'b': 0.93115234375, 'score': 0.93115234375, 'examples_seen': 332487, 'step': 2800, 'algorithm': 'lcs_length'}
{'b': 0.95166015625, 'score': 0.95166015625, 'examples_seen': 338424, 'step': 2850, 'algorithm': 'lcs_length'}
{'b': 0.955078125, 'score': 0.955078125, 'examples_seen': 344321, 'step': 2900, 'algorithm': 'lcs_length'}
{'b': 0.95849609375, 'score': 0.95849609375, 'examples_seen': 350177, 'step': 2950, 'algorithm': 'lcs_length'}
{'b': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 356031, 'step': 3000, 'algorithm': 'lcs_length'}
{'b': 0.95703125, 'score': 0.95703125, 'examples_seen': 361859, 'step': 3050, 'algorithm': 'lcs_length'}
{'b': 0.937255859375, 'score': 0.937255859375, 'examples_seen': 367912, 'step': 3100, 'algorithm': 'lcs_length'}
{'b': 0.947265625, 'score': 0.947265625, 'examples_seen': 373971, 'step': 3150, 'algorithm': 'lcs_length'}
{'b': 0.957763671875, 'score': 0.957763671875, 'examples_seen': 379910, 'step': 3200, 'algorithm': 'lcs_length'}
{'b': 0.95263671875, 'score': 0.95263671875, 'examples_seen': 385821, 'step': 3250, 'algorithm': 'lcs_length'}
{'b': 0.947021484375, 'score': 0.947021484375, 'examples_seen': 391664, 'step': 3300, 'algorithm': 'lcs_length'}
{'b': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 397497, 'step': 3350, 'algorithm': 'lcs_length'}
{'b': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 403337, 'step': 3400, 'algorithm': 'lcs_length'}
{'b': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 409397, 'step': 3450, 'algorithm': 'lcs_length'}
{'b': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 415462, 'step': 3500, 'algorithm': 'lcs_length'}
{'b': 0.94384765625, 'score': 0.94384765625, 'examples_seen': 421427, 'step': 3550, 'algorithm': 'lcs_length'}
{'b': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 427311, 'step': 3600, 'algorithm': 'lcs_length'}
{'b': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 433168, 'step': 3650, 'algorithm': 'lcs_length'}
{'b': 0.962890625, 'score': 0.962890625, 'examples_seen': 439011, 'step': 3700, 'algorithm': 'lcs_length'}
{'b': 0.950927734375, 'score': 0.950927734375, 'examples_seen': 444838, 'step': 3750, 'algorithm': 'lcs_length'}
{'b': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 450898, 'step': 3800, 'algorithm': 'lcs_length'}
{'b': 0.951904296875, 'score': 0.951904296875, 'examples_seen': 456989, 'step': 3850, 'algorithm': 'lcs_length'}
{'b': 0.962890625, 'score': 0.962890625, 'examples_seen': 462949, 'step': 3900, 'algorithm': 'lcs_length'}
{'b': 0.951904296875, 'score': 0.951904296875, 'examples_seen': 468820, 'step': 3950, 'algorithm': 'lcs_length'}
{'b': 0.96630859375, 'score': 0.96630859375, 'examples_seen': 474697, 'step': 4000, 'algorithm': 'lcs_length'}
{'b': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 480552, 'step': 4050, 'algorithm': 'lcs_length'}
{'b': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 486384, 'step': 4100, 'algorithm': 'lcs_length'}
{'b': 0.96044921875, 'score': 0.96044921875, 'examples_seen': 492455, 'step': 4150, 'algorithm': 'lcs_length'}
{'b': 0.962158203125, 'score': 0.962158203125, 'examples_seen': 498525, 'step': 4200, 'algorithm': 'lcs_length'}
{'b': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 504448, 'step': 4250, 'algorithm': 'lcs_length'}
{'b': 0.958251953125, 'score': 0.958251953125, 'examples_seen': 510327, 'step': 4300, 'algorithm': 'lcs_length'}
{'b': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 516201, 'step': 4350, 'algorithm': 'lcs_length'}
{'b': 0.96435546875, 'score': 0.96435546875, 'examples_seen': 522055, 'step': 4400, 'algorithm': 'lcs_length'}
{'b': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 527889, 'step': 4450, 'algorithm': 'lcs_length'}
{'b': 0.96875, 'score': 0.96875, 'examples_seen': 533952, 'step': 4500, 'algorithm': 'lcs_length'}
{'b': 0.967041015625, 'score': 0.967041015625, 'examples_seen': 540017, 'step': 4550, 'algorithm': 'lcs_length'}
{'b': 0.963134765625, 'score': 0.963134765625, 'examples_seen': 545967, 'step': 4600, 'algorithm': 'lcs_length'}
{'b': 0.970703125, 'score': 0.970703125, 'examples_seen': 551858, 'step': 4650, 'algorithm': 'lcs_length'}
{'b': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 557710, 'step': 4700, 'algorithm': 'lcs_length'}
{'b': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 563539, 'step': 4750, 'algorithm': 'lcs_length'}
{'b': 0.957275390625, 'score': 0.957275390625, 'examples_seen': 569386, 'step': 4800, 'algorithm': 'lcs_length'}
{'b': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 575465, 'step': 4850, 'algorithm': 'lcs_length'}
{'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 581539, 'step': 4900, 'algorithm': 'lcs_length'}
{'b': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 587482, 'step': 4950, 'algorithm': 'lcs_length'}
{'b': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 593373, 'step': 5000, 'algorithm': 'lcs_length'}
{'b': 0.965087890625, 'score': 0.965087890625, 'examples_seen': 599228, 'step': 5050, 'algorithm': 'lcs_length'}
{'b': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 605078, 'step': 5100, 'algorithm': 'lcs_length'}
{'b': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 610921, 'step': 5150, 'algorithm': 'lcs_length'}
{'b': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 616995, 'step': 5200, 'algorithm': 'lcs_length'}
{'b': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 623074, 'step': 5250, 'algorithm': 'lcs_length'}
{'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 629015, 'step': 5300, 'algorithm': 'lcs_length'}
{'b': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 634903, 'step': 5350, 'algorithm': 'lcs_length'}
{'b': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 640743, 'step': 5400, 'algorithm': 'lcs_length'}
{'b': 0.966796875, 'score': 0.966796875, 'examples_seen': 646565, 'step': 5450, 'algorithm': 'lcs_length'}
{'b': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 652408, 'step': 5500, 'algorithm': 'lcs_length'}
{'b': 0.97412109375, 'score': 0.97412109375, 'examples_seen': 658487, 'step': 5550, 'algorithm': 'lcs_length'}
{'b': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 664565, 'step': 5600, 'algorithm': 'lcs_length'}
{'b': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 670508, 'step': 5650, 'algorithm': 'lcs_length'}
{'b': 0.96875, 'score': 0.96875, 'examples_seen': 676388, 'step': 5700, 'algorithm': 'lcs_length'}
{'b': 0.96875, 'score': 0.96875, 'examples_seen': 682224, 'step': 5750, 'algorithm': 'lcs_length'}
{'b': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 688090, 'step': 5800, 'algorithm': 'lcs_length'}
{'b': 0.966796875, 'score': 0.966796875, 'examples_seen': 693931, 'step': 5850, 'algorithm': 'lcs_length'}
{'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 699994, 'step': 5900, 'algorithm': 'lcs_length'}
{'b': 0.96875, 'score': 0.96875, 'examples_seen': 706072, 'step': 5950, 'algorithm': 'lcs_length'}
{'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 711999, 'step': 6000, 'algorithm': 'lcs_length'}
{'b': 0.970703125, 'score': 0.970703125, 'examples_seen': 717906, 'step': 6050, 'algorithm': 'lcs_length'}
{'b': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 723767, 'step': 6100, 'algorithm': 'lcs_length'}
{'b': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 729619, 'step': 6150, 'algorithm': 'lcs_length'}
{'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 735454, 'step': 6200, 'algorithm': 'lcs_length'}
{'b': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 741514, 'step': 6250, 'algorithm': 'lcs_length'}
{'b': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 747584, 'step': 6300, 'algorithm': 'lcs_length'}
{'b': 0.967529296875, 'score': 0.967529296875, 'examples_seen': 753519, 'step': 6350, 'algorithm': 'lcs_length'}
{'b': 0.96533203125, 'score': 0.96533203125, 'examples_seen': 759415, 'step': 6400, 'algorithm': 'lcs_length'}
{'b': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 765300, 'step': 6450, 'algorithm': 'lcs_length'}
{'b': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 771141, 'step': 6500, 'algorithm': 'lcs_length'}
{'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 776986, 'step': 6550, 'algorithm': 'lcs_length'}
{'b': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 783051, 'step': 6600, 'algorithm': 'lcs_length'}
{'b': 0.974609375, 'score': 0.974609375, 'examples_seen': 789121, 'step': 6650, 'algorithm': 'lcs_length'}
{'b': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 795055, 'step': 6700, 'algorithm': 'lcs_length'}
{'b': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 800948, 'step': 6750, 'algorithm': 'lcs_length'}
{'b': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 806801, 'step': 6800, 'algorithm': 'lcs_length'}
{'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 812662, 'step': 6850, 'algorithm': 'lcs_length'}
{'b': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 818498, 'step': 6900, 'algorithm': 'lcs_length'}
{'b': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 824566, 'step': 6950, 'algorithm': 'lcs_length'}
{'b': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 830642, 'step': 7000, 'algorithm': 'lcs_length'}
{'b': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 836581, 'step': 7050, 'algorithm': 'lcs_length'}
{'b': 0.98046875, 'score': 0.98046875, 'examples_seen': 842479, 'step': 7100, 'algorithm': 'lcs_length'}
{'b': 0.946044921875, 'score': 0.946044921875, 'examples_seen': 848321, 'step': 7150, 'algorithm': 'lcs_length'}
{'b': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 854180, 'step': 7200, 'algorithm': 'lcs_length'}
{'b': 0.97509765625, 'score': 0.97509765625, 'examples_seen': 860019, 'step': 7250, 'algorithm': 'lcs_length'}
{'b': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 866098, 'step': 7300, 'algorithm': 'lcs_length'}
{'b': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 872170, 'step': 7350, 'algorithm': 'lcs_length'}
{'b': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 878116, 'step': 7400, 'algorithm': 'lcs_length'}
{'b': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 884023, 'step': 7450, 'algorithm': 'lcs_length'}
{'b': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 889862, 'step': 7500, 'algorithm': 'lcs_length'}
{'b': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 895720, 'step': 7550, 'algorithm': 'lcs_length'}
{'b': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 901554, 'step': 7600, 'algorithm': 'lcs_length'}
{'b': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 907603, 'step': 7650, 'algorithm': 'lcs_length'}
{'b': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 913683, 'step': 7700, 'algorithm': 'lcs_length'}
{'b': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 919657, 'step': 7750, 'algorithm': 'lcs_length'}
{'b': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 925545, 'step': 7800, 'algorithm': 'lcs_length'}
{'b': 0.974609375, 'score': 0.974609375, 'examples_seen': 931403, 'step': 7850, 'algorithm': 'lcs_length'}
{'b': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 937257, 'step': 7900, 'algorithm': 'lcs_length'}
{'b': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 943112, 'step': 7950, 'algorithm': 'lcs_length'}
{'b': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 949192, 'step': 8000, 'algorithm': 'lcs_length'}
{'b': 0.980712890625, 'score': 0.980712890625, 'examples_seen': 955267, 'step': 8050, 'algorithm': 'lcs_length'}
{'b': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 961221, 'step': 8100, 'algorithm': 'lcs_length'}
{'b': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 967132, 'step': 8150, 'algorithm': 'lcs_length'}
{'b': 0.9765625, 'score': 0.9765625, 'examples_seen': 972997, 'step': 8200, 'algorithm': 'lcs_length'}
{'b': 0.97998046875, 'score': 0.97998046875, 'examples_seen': 978858, 'step': 8250, 'algorithm': 'lcs_length'}
{'b': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 984709, 'step': 8300, 'algorithm': 'lcs_length'}
{'b': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 990785, 'step': 8350, 'algorithm': 'lcs_length'}
{'b': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 996840, 'step': 8400, 'algorithm': 'lcs_length'}
{'b': 0.97998046875, 'score': 0.97998046875, 'examples_seen': 1002785, 'step': 8450, 'algorithm': 'lcs_length'}
{'b': 0.97265625, 'score': 0.97265625, 'examples_seen': 1008690, 'step': 8500, 'algorithm': 'lcs_length'}
{'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 1014549, 'step': 8550, 'algorithm': 'lcs_length'}
{'b': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 1020397, 'step': 8600, 'algorithm': 'lcs_length'}
{'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 1026245, 'step': 8650, 'algorithm': 'lcs_length'}
{'b': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 1032315, 'step': 8700, 'algorithm': 'lcs_length'}
{'b': 0.980712890625, 'score': 0.980712890625, 'examples_seen': 1038394, 'step': 8750, 'algorithm': 'lcs_length'}
{'b': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 1044347, 'step': 8800, 'algorithm': 'lcs_length'}
{'b': 0.971923828125, 'score': 0.971923828125, 'examples_seen': 1050242, 'step': 8850, 'algorithm': 'lcs_length'}
{'b': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 1056101, 'step': 8900, 'algorithm': 'lcs_length'}
{'b': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 1061953, 'step': 8950, 'algorithm': 'lcs_length'}
{'b': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 1067810, 'step': 9000, 'algorithm': 'lcs_length'}
{'b': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 1073877, 'step': 9050, 'algorithm': 'lcs_length'}
{'b': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 1079949, 'step': 9100, 'algorithm': 'lcs_length'}
{'b': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 1085884, 'step': 9150, 'algorithm': 'lcs_length'}
{'b': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 1091781, 'step': 9200, 'algorithm': 'lcs_length'}
{'b': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 1097649, 'step': 9250, 'algorithm': 'lcs_length'}
{'b': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 1103504, 'step': 9300, 'algorithm': 'lcs_length'}
{'b': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 1109357, 'step': 9350, 'algorithm': 'lcs_length'}
{'b': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 1115423, 'step': 9400, 'algorithm': 'lcs_length'}
{'b': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 1121494, 'step': 9450, 'algorithm': 'lcs_length'}
{'b': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 1127444, 'step': 9500, 'algorithm': 'lcs_length'}
{'b': 0.979248046875, 'score': 0.979248046875, 'examples_seen': 1133347, 'step': 9550, 'algorithm': 'lcs_length'}
{'b': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 1139190, 'step': 9600, 'algorithm': 'lcs_length'}
{'b': 0.98046875, 'score': 0.98046875, 'examples_seen': 1145061, 'step': 9650, 'algorithm': 'lcs_length'}
{'b': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 1150908, 'step': 9700, 'algorithm': 'lcs_length'}
{'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 1156968, 'step': 9750, 'algorithm': 'lcs_length'}
{'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 1163043, 'step': 9800, 'algorithm': 'lcs_length'}
{'b': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 1168992, 'step': 9850, 'algorithm': 'lcs_length'}
{'b': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 1174894, 'step': 9900, 'algorithm': 'lcs_length'}
{'b': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 1180727, 'step': 9950, 'algorithm': 'lcs_length'}
