{'pred': 0.1083984375, 'score': 0.1083984375, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
{'pred': 0.4306640625, 'score': 0.4306640625, 'examples_seen': 15534, 'step': 1000, 'algorithm': 'heapsort'}
{'pred': 0.376953125, 'score': 0.376953125, 'examples_seen': 16334, 'step': 1050, 'algorithm': 'heapsort'}
{'pred': 0.3974609375, 'score': 0.3974609375, 'examples_seen': 17112, 'step': 1100, 'algorithm': 'heapsort'}
{'pred': 0.43359375, 'score': 0.43359375, 'examples_seen': 17875, 'step': 1150, 'algorithm': 'heapsort'}
{'pred': 0.51171875, 'score': 0.51171875, 'examples_seen': 18637, 'step': 1200, 'algorithm': 'heapsort'}
{'pred': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 19405, 'step': 1250, 'algorithm': 'heapsort'}
{'pred': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 20168, 'step': 1300, 'algorithm': 'heapsort'}
{'pred': 0.5078125, 'score': 0.5078125, 'examples_seen': 20979, 'step': 1350, 'algorithm': 'heapsort'}
{'pred': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 21765, 'step': 1400, 'algorithm': 'heapsort'}
{'pred': 0.541015625, 'score': 0.541015625, 'examples_seen': 22539, 'step': 1450, 'algorithm': 'heapsort'}
{'pred': 0.501953125, 'score': 0.501953125, 'examples_seen': 23308, 'step': 1500, 'algorithm': 'heapsort'}
{'pred': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 24080, 'step': 1550, 'algorithm': 'heapsort'}
{'pred': 0.595703125, 'score': 0.595703125, 'examples_seen': 24844, 'step': 1600, 'algorithm': 'heapsort'}
{'pred': 0.580078125, 'score': 0.580078125, 'examples_seen': 25612, 'step': 1650, 'algorithm': 'heapsort'}
{'pred': 0.5234375, 'score': 0.5234375, 'examples_seen': 26424, 'step': 1700, 'algorithm': 'heapsort'}
{'pred': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 27208, 'step': 1750, 'algorithm': 'heapsort'}
{'pred': 0.4560546875, 'score': 0.4560546875, 'examples_seen': 27990, 'step': 1800, 'algorithm': 'heapsort'}
{'pred': 0.50390625, 'score': 0.50390625, 'examples_seen': 28760, 'step': 1850, 'algorithm': 'heapsort'}
{'pred': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 29522, 'step': 1900, 'algorithm': 'heapsort'}
{'pred': 0.48828125, 'score': 0.48828125, 'examples_seen': 30291, 'step': 1950, 'algorithm': 'heapsort'}
{'pred': 0.50390625, 'score': 0.50390625, 'examples_seen': 31053, 'step': 2000, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 31854, 'step': 2050, 'algorithm': 'heapsort'}
{'pred': 0.4921875, 'score': 0.4921875, 'examples_seen': 32652, 'step': 2100, 'algorithm': 'heapsort'}
{'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 33422, 'step': 2150, 'algorithm': 'heapsort'}
{'pred': 0.45703125, 'score': 0.45703125, 'examples_seen': 34192, 'step': 2200, 'algorithm': 'heapsort'}
{'pred': 0.56640625, 'score': 0.56640625, 'examples_seen': 34967, 'step': 2250, 'algorithm': 'heapsort'}
{'pred': 0.6083984375, 'score': 0.6083984375, 'examples_seen': 35730, 'step': 2300, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 36499, 'step': 2350, 'algorithm': 'heapsort'}
{'pred': 0.650390625, 'score': 0.650390625, 'examples_seen': 37310, 'step': 2400, 'algorithm': 'heapsort'}
{'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 38092, 'step': 2450, 'algorithm': 'heapsort'}
{'pred': 0.625, 'score': 0.625, 'examples_seen': 38867, 'step': 2500, 'algorithm': 'heapsort'}
{'pred': 0.646484375, 'score': 0.646484375, 'examples_seen': 39634, 'step': 2550, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 40404, 'step': 2600, 'algorithm': 'heapsort'}
{'pred': 0.615234375, 'score': 0.615234375, 'examples_seen': 41170, 'step': 2650, 'algorithm': 'heapsort'}
{'pred': 0.611328125, 'score': 0.611328125, 'examples_seen': 41939, 'step': 2700, 'algorithm': 'heapsort'}
{'pred': 0.587890625, 'score': 0.587890625, 'examples_seen': 42744, 'step': 2750, 'algorithm': 'heapsort'}
{'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 43535, 'step': 2800, 'algorithm': 'heapsort'}
{'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 44306, 'step': 2850, 'algorithm': 'heapsort'}
{'pred': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 45084, 'step': 2900, 'algorithm': 'heapsort'}
{'pred': 0.61328125, 'score': 0.61328125, 'examples_seen': 45859, 'step': 2950, 'algorithm': 'heapsort'}
{'pred': 0.619140625, 'score': 0.619140625, 'examples_seen': 46614, 'step': 3000, 'algorithm': 'heapsort'}
{'pred': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 47387, 'step': 3050, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 48195, 'step': 3100, 'algorithm': 'heapsort'}
{'pred': 0.62109375, 'score': 0.62109375, 'examples_seen': 48984, 'step': 3150, 'algorithm': 'heapsort'}
{'pred': 0.619140625, 'score': 0.619140625, 'examples_seen': 49757, 'step': 3200, 'algorithm': 'heapsort'}
{'pred': 0.6201171875, 'score': 0.6201171875, 'examples_seen': 50526, 'step': 3250, 'algorithm': 'heapsort'}
{'pred': 0.6953125, 'score': 0.6953125, 'examples_seen': 51295, 'step': 3300, 'algorithm': 'heapsort'}
{'pred': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 52062, 'step': 3350, 'algorithm': 'heapsort'}
{'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 52822, 'step': 3400, 'algorithm': 'heapsort'}
{'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 53633, 'step': 3450, 'algorithm': 'heapsort'}
{'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 54426, 'step': 3500, 'algorithm': 'heapsort'}
{'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 55208, 'step': 3550, 'algorithm': 'heapsort'}
{'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 55975, 'step': 3600, 'algorithm': 'heapsort'}
{'pred': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 56745, 'step': 3650, 'algorithm': 'heapsort'}
{'pred': 0.6171875, 'score': 0.6171875, 'examples_seen': 57521, 'step': 3700, 'algorithm': 'heapsort'}
{'pred': 0.548828125, 'score': 0.548828125, 'examples_seen': 58286, 'step': 3750, 'algorithm': 'heapsort'}
{'pred': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 59100, 'step': 3800, 'algorithm': 'heapsort'}
{'pred': 0.578125, 'score': 0.578125, 'examples_seen': 59884, 'step': 3850, 'algorithm': 'heapsort'}
{'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 60660, 'step': 3900, 'algorithm': 'heapsort'}
{'pred': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 61426, 'step': 3950, 'algorithm': 'heapsort'}
{'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 62192, 'step': 4000, 'algorithm': 'heapsort'}
{'pred': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 62969, 'step': 4050, 'algorithm': 'heapsort'}
{'pred': 0.615234375, 'score': 0.615234375, 'examples_seen': 63730, 'step': 4100, 'algorithm': 'heapsort'}
{'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 64533, 'step': 4150, 'algorithm': 'heapsort'}
{'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 65327, 'step': 4200, 'algorithm': 'heapsort'}
{'pred': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 66098, 'step': 4250, 'algorithm': 'heapsort'}
{'pred': 0.6943359375, 'score': 0.6943359375, 'examples_seen': 66876, 'step': 4300, 'algorithm': 'heapsort'}
{'pred': 0.71875, 'score': 0.71875, 'examples_seen': 67643, 'step': 4350, 'algorithm': 'heapsort'}
{'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 68404, 'step': 4400, 'algorithm': 'heapsort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 69164, 'step': 4450, 'algorithm': 'heapsort'}
{'pred': 0.6982421875, 'score': 0.6982421875, 'examples_seen': 69977, 'step': 4500, 'algorithm': 'heapsort'}
{'pred': 0.673828125, 'score': 0.673828125, 'examples_seen': 70772, 'step': 4550, 'algorithm': 'heapsort'}
{'pred': 0.6572265625, 'score': 0.6572265625, 'examples_seen': 71550, 'step': 4600, 'algorithm': 'heapsort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 72317, 'step': 4650, 'algorithm': 'heapsort'}
{'pred': 0.685546875, 'score': 0.685546875, 'examples_seen': 73080, 'step': 4700, 'algorithm': 'heapsort'}
{'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 73846, 'step': 4750, 'algorithm': 'heapsort'}
{'pred': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 74610, 'step': 4800, 'algorithm': 'heapsort'}
{'pred': 0.6171875, 'score': 0.6171875, 'examples_seen': 75420, 'step': 4850, 'algorithm': 'heapsort'}
{'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 76209, 'step': 4900, 'algorithm': 'heapsort'}
{'pred': 0.748046875, 'score': 0.748046875, 'examples_seen': 76983, 'step': 4950, 'algorithm': 'heapsort'}
{'pred': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 77752, 'step': 5000, 'algorithm': 'heapsort'}
{'pred': 0.640625, 'score': 0.640625, 'examples_seen': 78514, 'step': 5050, 'algorithm': 'heapsort'}
{'pred': 0.66796875, 'score': 0.66796875, 'examples_seen': 79281, 'step': 5100, 'algorithm': 'heapsort'}
{'pred': 0.5888671875, 'score': 0.5888671875, 'examples_seen': 80044, 'step': 5150, 'algorithm': 'heapsort'}
{'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 80849, 'step': 5200, 'algorithm': 'heapsort'}
{'pred': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 81638, 'step': 5250, 'algorithm': 'heapsort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 82414, 'step': 5300, 'algorithm': 'heapsort'}
{'pred': 0.630859375, 'score': 0.630859375, 'examples_seen': 83180, 'step': 5350, 'algorithm': 'heapsort'}
{'pred': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 83948, 'step': 5400, 'algorithm': 'heapsort'}
{'pred': 0.65625, 'score': 0.65625, 'examples_seen': 84712, 'step': 5450, 'algorithm': 'heapsort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 85472, 'step': 5500, 'algorithm': 'heapsort'}
{'pred': 0.71484375, 'score': 0.71484375, 'examples_seen': 86284, 'step': 5550, 'algorithm': 'heapsort'}
{'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 87069, 'step': 5600, 'algorithm': 'heapsort'}
{'pred': 0.60546875, 'score': 0.60546875, 'examples_seen': 87846, 'step': 5650, 'algorithm': 'heapsort'}
{'pred': 0.6875, 'score': 0.6875, 'examples_seen': 88621, 'step': 5700, 'algorithm': 'heapsort'}
{'pred': 0.650390625, 'score': 0.650390625, 'examples_seen': 89387, 'step': 5750, 'algorithm': 'heapsort'}
{'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 90154, 'step': 5800, 'algorithm': 'heapsort'}
{'pred': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 90918, 'step': 5850, 'algorithm': 'heapsort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 91727, 'step': 5900, 'algorithm': 'heapsort'}
{'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 92521, 'step': 5950, 'algorithm': 'heapsort'}
{'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 93296, 'step': 6000, 'algorithm': 'heapsort'}
{'pred': 0.6943359375, 'score': 0.6943359375, 'examples_seen': 94068, 'step': 6050, 'algorithm': 'heapsort'}
{'pred': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 94820, 'step': 6100, 'algorithm': 'heapsort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 95590, 'step': 6150, 'algorithm': 'heapsort'}
{'pred': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 96360, 'step': 6200, 'algorithm': 'heapsort'}
{'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 97167, 'step': 6250, 'algorithm': 'heapsort'}
{'pred': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 97952, 'step': 6300, 'algorithm': 'heapsort'}
{'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 98725, 'step': 6350, 'algorithm': 'heapsort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 99505, 'step': 6400, 'algorithm': 'heapsort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 100275, 'step': 6450, 'algorithm': 'heapsort'}
{'pred': 0.61328125, 'score': 0.61328125, 'examples_seen': 101030, 'step': 6500, 'algorithm': 'heapsort'}
{'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 101794, 'step': 6550, 'algorithm': 'heapsort'}
{'pred': 0.6259765625, 'score': 0.6259765625, 'examples_seen': 102606, 'step': 6600, 'algorithm': 'heapsort'}
{'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 103398, 'step': 6650, 'algorithm': 'heapsort'}
{'pred': 0.6875, 'score': 0.6875, 'examples_seen': 104173, 'step': 6700, 'algorithm': 'heapsort'}
{'pred': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 104942, 'step': 6750, 'algorithm': 'heapsort'}
{'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 105711, 'step': 6800, 'algorithm': 'heapsort'}
{'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 106478, 'step': 6850, 'algorithm': 'heapsort'}
{'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 107244, 'step': 6900, 'algorithm': 'heapsort'}
{'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 108043, 'step': 6950, 'algorithm': 'heapsort'}
{'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 108837, 'step': 7000, 'algorithm': 'heapsort'}
{'pred': 0.728515625, 'score': 0.728515625, 'examples_seen': 109604, 'step': 7050, 'algorithm': 'heapsort'}
{'pred': 0.7509765625, 'score': 0.7509765625, 'examples_seen': 110373, 'step': 7100, 'algorithm': 'heapsort'}
{'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 111144, 'step': 7150, 'algorithm': 'heapsort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 111911, 'step': 7200, 'algorithm': 'heapsort'}
{'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 112667, 'step': 7250, 'algorithm': 'heapsort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 113477, 'step': 7300, 'algorithm': 'heapsort'}
{'pred': 0.748046875, 'score': 0.748046875, 'examples_seen': 114265, 'step': 7350, 'algorithm': 'heapsort'}
{'pred': 0.65234375, 'score': 0.65234375, 'examples_seen': 115037, 'step': 7400, 'algorithm': 'heapsort'}
{'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 115809, 'step': 7450, 'algorithm': 'heapsort'}
{'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 116575, 'step': 7500, 'algorithm': 'heapsort'}
{'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 117334, 'step': 7550, 'algorithm': 'heapsort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 118096, 'step': 7600, 'algorithm': 'heapsort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 118905, 'step': 7650, 'algorithm': 'heapsort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 119697, 'step': 7700, 'algorithm': 'heapsort'}
{'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 120477, 'step': 7750, 'algorithm': 'heapsort'}
{'pred': 0.7763671875, 'score': 0.7763671875, 'examples_seen': 121238, 'step': 7800, 'algorithm': 'heapsort'}
{'pred': 0.76953125, 'score': 0.76953125, 'examples_seen': 122006, 'step': 7850, 'algorithm': 'heapsort'}
{'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 122769, 'step': 7900, 'algorithm': 'heapsort'}
{'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 123525, 'step': 7950, 'algorithm': 'heapsort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 124336, 'step': 8000, 'algorithm': 'heapsort'}
{'pred': 0.74609375, 'score': 0.74609375, 'examples_seen': 125125, 'step': 8050, 'algorithm': 'heapsort'}
{'pred': 0.7490234375, 'score': 0.7490234375, 'examples_seen': 125903, 'step': 8100, 'algorithm': 'heapsort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 126671, 'step': 8150, 'algorithm': 'heapsort'}
{'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 127435, 'step': 8200, 'algorithm': 'heapsort'}
{'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 128197, 'step': 8250, 'algorithm': 'heapsort'}
{'pred': 0.71484375, 'score': 0.71484375, 'examples_seen': 128970, 'step': 8300, 'algorithm': 'heapsort'}
{'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 129777, 'step': 8350, 'algorithm': 'heapsort'}
{'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 130566, 'step': 8400, 'algorithm': 'heapsort'}
{'pred': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 131338, 'step': 8450, 'algorithm': 'heapsort'}
{'pred': 0.74609375, 'score': 0.74609375, 'examples_seen': 132114, 'step': 8500, 'algorithm': 'heapsort'}
{'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 132882, 'step': 8550, 'algorithm': 'heapsort'}
{'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 133653, 'step': 8600, 'algorithm': 'heapsort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 134407, 'step': 8650, 'algorithm': 'heapsort'}
{'pred': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 135221, 'step': 8700, 'algorithm': 'heapsort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 136012, 'step': 8750, 'algorithm': 'heapsort'}
{'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 136793, 'step': 8800, 'algorithm': 'heapsort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 137560, 'step': 8850, 'algorithm': 'heapsort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 138332, 'step': 8900, 'algorithm': 'heapsort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 139086, 'step': 8950, 'algorithm': 'heapsort'}
{'pred': 0.642578125, 'score': 0.642578125, 'examples_seen': 139858, 'step': 9000, 'algorithm': 'heapsort'}
{'pred': 0.646484375, 'score': 0.646484375, 'examples_seen': 140655, 'step': 9050, 'algorithm': 'heapsort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 141445, 'step': 9100, 'algorithm': 'heapsort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 142226, 'step': 9150, 'algorithm': 'heapsort'}
{'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 142996, 'step': 9200, 'algorithm': 'heapsort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 143758, 'step': 9250, 'algorithm': 'heapsort'}
{'pred': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 144526, 'step': 9300, 'algorithm': 'heapsort'}
{'pred': 0.7734375, 'score': 0.7734375, 'examples_seen': 145295, 'step': 9350, 'algorithm': 'heapsort'}
{'pred': 0.7265625, 'score': 0.7265625, 'examples_seen': 146103, 'step': 9400, 'algorithm': 'heapsort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 146891, 'step': 9450, 'algorithm': 'heapsort'}
{'pred': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 147664, 'step': 9500, 'algorithm': 'heapsort'}
{'pred': 0.6787109375, 'score': 0.6787109375, 'examples_seen': 148443, 'step': 9550, 'algorithm': 'heapsort'}
{'pred': 0.693359375, 'score': 0.693359375, 'examples_seen': 149211, 'step': 9600, 'algorithm': 'heapsort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 149979, 'step': 9650, 'algorithm': 'heapsort'}
{'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 150738, 'step': 9700, 'algorithm': 'heapsort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 151554, 'step': 9750, 'algorithm': 'heapsort'}
{'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 152337, 'step': 9800, 'algorithm': 'heapsort'}
{'pred': 0.57421875, 'score': 0.57421875, 'examples_seen': 153118, 'step': 9850, 'algorithm': 'heapsort'}
{'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 153884, 'step': 9900, 'algorithm': 'heapsort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 154648, 'step': 9950, 'algorithm': 'heapsort'}
