I0716 12:51:35.359011 125797712770560 run.py:722] (val) algo bfs step 0: {'pi': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'}
I0716 12:54:35.688470 125797712770560 run.py:722] (val) algo bfs step 1700: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 203152, 'step': 1700, 'algorithm': 'bfs'}
I0716 12:54:38.347874 125797712770560 run.py:722] (val) algo bfs step 1750: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 209170, 'step': 1750, 'algorithm': 'bfs'}
I0716 12:54:41.105793 125797712770560 run.py:722] (val) algo bfs step 1800: {'pi': 1.0, 'score': 1.0, 'examples_seen': 215146, 'step': 1800, 'algorithm': 'bfs'}
I0716 12:54:43.782686 125797712770560 run.py:722] (val) algo bfs step 1850: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 221156, 'step': 1850, 'algorithm': 'bfs'}
I0716 12:54:46.469993 125797712770560 run.py:722] (val) algo bfs step 1900: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 227154, 'step': 1900, 'algorithm': 'bfs'}
I0716 12:54:49.107432 125797712770560 run.py:722] (val) algo bfs step 1950: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 233027, 'step': 1950, 'algorithm': 'bfs'}
I0716 12:54:51.763784 125797712770560 run.py:722] (val) algo bfs step 2000: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 238942, 'step': 2000, 'algorithm': 'bfs'}
I0716 12:54:54.467666 125797712770560 run.py:722] (val) algo bfs step 2050: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 245016, 'step': 2050, 'algorithm': 'bfs'}
I0716 12:54:57.205555 125797712770560 run.py:722] (val) algo bfs step 2100: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 250993, 'step': 2100, 'algorithm': 'bfs'}
I0716 12:54:59.836979 125797712770560 run.py:722] (val) algo bfs step 2150: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 256997, 'step': 2150, 'algorithm': 'bfs'}
I0716 12:55:02.473903 125797712770560 run.py:722] (val) algo bfs step 2200: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 262904, 'step': 2200, 'algorithm': 'bfs'}
I0716 12:55:05.115146 125797712770560 run.py:722] (val) algo bfs step 2250: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 268867, 'step': 2250, 'algorithm': 'bfs'}
I0716 12:55:07.844624 125797712770560 run.py:722] (val) algo bfs step 2300: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 274815, 'step': 2300, 'algorithm': 'bfs'}
I0716 12:55:10.558393 125797712770560 run.py:722] (val) algo bfs step 2350: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 280754, 'step': 2350, 'algorithm': 'bfs'}
I0716 12:55:13.288812 125797712770560 run.py:722] (val) algo bfs step 2400: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 286844, 'step': 2400, 'algorithm': 'bfs'}
I0716 12:55:15.970508 125797712770560 run.py:722] (val) algo bfs step 2450: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 292875, 'step': 2450, 'algorithm': 'bfs'}
I0716 12:55:18.682326 125797712770560 run.py:722] (val) algo bfs step 2500: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 298865, 'step': 2500, 'algorithm': 'bfs'}
I0716 12:55:21.324986 125797712770560 run.py:722] (val) algo bfs step 2550: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 304830, 'step': 2550, 'algorithm': 'bfs'}
I0716 12:55:24.005024 125797712770560 run.py:722] (val) algo bfs step 2600: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 310780, 'step': 2600, 'algorithm': 'bfs'}
I0716 12:55:26.656334 125797712770560 run.py:722] (val) algo bfs step 2650: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 316660, 'step': 2650, 'algorithm': 'bfs'}
I0716 12:55:29.347542 125797712770560 run.py:722] (val) algo bfs step 2700: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 322588, 'step': 2700, 'algorithm': 'bfs'}
I0716 12:55:32.112537 125797712770560 run.py:722] (val) algo bfs step 2750: {'pi': 1.0, 'score': 1.0, 'examples_seen': 328602, 'step': 2750, 'algorithm': 'bfs'}
I0716 12:55:34.772873 125797712770560 run.py:722] (val) algo bfs step 2800: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 334613, 'step': 2800, 'algorithm': 'bfs'}
I0716 12:55:37.487923 125797712770560 run.py:722] (val) algo bfs step 2850: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 340593, 'step': 2850, 'algorithm': 'bfs'}
I0716 12:55:40.043959 125797712770560 run.py:722] (val) algo bfs step 2900: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 346562, 'step': 2900, 'algorithm': 'bfs'}
I0716 12:55:42.663689 125797712770560 run.py:722] (val) algo bfs step 2950: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 352493, 'step': 2950, 'algorithm': 'bfs'}
I0716 12:55:45.347688 125797712770560 run.py:722] (val) algo bfs step 3000: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 358374, 'step': 3000, 'algorithm': 'bfs'}
I0716 12:55:48.033729 125797712770560 run.py:722] (val) algo bfs step 3050: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 364271, 'step': 3050, 'algorithm': 'bfs'}
I0716 12:55:50.749234 125797712770560 run.py:722] (val) algo bfs step 3100: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 370336, 'step': 3100, 'algorithm': 'bfs'}
I0716 12:55:53.434355 125797712770560 run.py:722] (val) algo bfs step 3150: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 376325, 'step': 3150, 'algorithm': 'bfs'}
I0716 12:55:56.103030 125797712770560 run.py:722] (val) algo bfs step 3200: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 382314, 'step': 3200, 'algorithm': 'bfs'}
I0716 12:55:58.809791 125797712770560 run.py:722] (val) algo bfs step 3250: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 388274, 'step': 3250, 'algorithm': 'bfs'}
I0716 12:56:01.521726 125797712770560 run.py:722] (val) algo bfs step 3300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 394205, 'step': 3300, 'algorithm': 'bfs'}
I0716 12:56:04.235205 125797712770560 run.py:722] (val) algo bfs step 3350: {'pi': 1.0, 'score': 1.0, 'examples_seen': 400138, 'step': 3350, 'algorithm': 'bfs'}
I0716 12:56:06.941689 125797712770560 run.py:722] (val) algo bfs step 3400: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 406028, 'step': 3400, 'algorithm': 'bfs'}
I0716 12:56:09.571569 125797712770560 run.py:722] (val) algo bfs step 3450: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 412088, 'step': 3450, 'algorithm': 'bfs'}
I0716 12:56:12.315918 125797712770560 run.py:722] (val) algo bfs step 3500: {'pi': 1.0, 'score': 1.0, 'examples_seen': 418140, 'step': 3500, 'algorithm': 'bfs'}
I0716 12:56:15.073682 125797712770560 run.py:722] (val) algo bfs step 3550: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 424145, 'step': 3550, 'algorithm': 'bfs'}
I0716 12:56:17.811088 125797712770560 run.py:722] (val) algo bfs step 3600: {'pi': 1.0, 'score': 1.0, 'examples_seen': 430113, 'step': 3600, 'algorithm': 'bfs'}
I0716 12:56:20.412178 125797712770560 run.py:722] (val) algo bfs step 3650: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 436016, 'step': 3650, 'algorithm': 'bfs'}
I0716 12:56:23.138463 125797712770560 run.py:722] (val) algo bfs step 3700: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 441945, 'step': 3700, 'algorithm': 'bfs'}
I0716 12:56:25.830715 125797712770560 run.py:722] (val) algo bfs step 3750: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 447801, 'step': 3750, 'algorithm': 'bfs'}
I0716 12:56:28.567043 125797712770560 run.py:722] (val) algo bfs step 3800: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 453834, 'step': 3800, 'algorithm': 'bfs'}
I0716 12:56:31.264069 125797712770560 run.py:722] (val) algo bfs step 3850: {'pi': 1.0, 'score': 1.0, 'examples_seen': 459840, 'step': 3850, 'algorithm': 'bfs'}
I0716 12:56:33.935167 125797712770560 run.py:722] (val) algo bfs step 3900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 465830, 'step': 3900, 'algorithm': 'bfs'}
I0716 12:56:36.608256 125797712770560 run.py:722] (val) algo bfs step 3950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 471794, 'step': 3950, 'algorithm': 'bfs'}
I0716 12:56:39.271174 125797712770560 run.py:722] (val) algo bfs step 4000: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 477684, 'step': 4000, 'algorithm': 'bfs'}
I0716 12:56:42.058034 125797712770560 run.py:722] (val) algo bfs step 4050: {'pi': 1.0, 'score': 1.0, 'examples_seen': 483682, 'step': 4050, 'algorithm': 'bfs'}
I0716 12:56:44.744016 125797712770560 run.py:722] (val) algo bfs step 4100: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 489647, 'step': 4100, 'algorithm': 'bfs'}
I0716 12:56:47.684359 125797712770560 run.py:722] (val) algo bfs step 4150: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 495677, 'step': 4150, 'algorithm': 'bfs'}
I0716 12:56:50.402228 125797712770560 run.py:722] (val) algo bfs step 4200: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 501663, 'step': 4200, 'algorithm': 'bfs'}
I0716 12:56:53.085034 125797712770560 run.py:722] (val) algo bfs step 4250: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 507682, 'step': 4250, 'algorithm': 'bfs'}
I0716 12:56:55.772686 125797712770560 run.py:722] (val) algo bfs step 4300: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 513631, 'step': 4300, 'algorithm': 'bfs'}
I0716 12:56:58.502214 125797712770560 run.py:722] (val) algo bfs step 4350: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 519556, 'step': 4350, 'algorithm': 'bfs'}
I0716 12:57:01.210865 125797712770560 run.py:722] (val) algo bfs step 4400: {'pi': 1.0, 'score': 1.0, 'examples_seen': 525486, 'step': 4400, 'algorithm': 'bfs'}
I0716 12:57:03.951039 125797712770560 run.py:722] (val) algo bfs step 4450: {'pi': 1.0, 'score': 1.0, 'examples_seen': 531423, 'step': 4450, 'algorithm': 'bfs'}
I0716 12:57:06.665855 125797712770560 run.py:722] (val) algo bfs step 4500: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 537498, 'step': 4500, 'algorithm': 'bfs'}
I0716 12:57:09.407836 125797712770560 run.py:722] (val) algo bfs step 4550: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 543463, 'step': 4550, 'algorithm': 'bfs'}
I0716 12:57:12.075515 125797712770560 run.py:722] (val) algo bfs step 4600: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 549413, 'step': 4600, 'algorithm': 'bfs'}
I0716 12:57:14.809058 125797712770560 run.py:722] (val) algo bfs step 4650: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 555401, 'step': 4650, 'algorithm': 'bfs'}
I0716 12:57:17.508387 125797712770560 run.py:722] (val) algo bfs step 4700: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 561294, 'step': 4700, 'algorithm': 'bfs'}
I0716 12:57:20.261241 125797712770560 run.py:722] (val) algo bfs step 4750: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 567237, 'step': 4750, 'algorithm': 'bfs'}
I0716 12:57:22.909808 125797712770560 run.py:722] (val) algo bfs step 4800: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 573142, 'step': 4800, 'algorithm': 'bfs'}
I0716 12:57:25.644282 125797712770560 run.py:722] (val) algo bfs step 4850: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 579169, 'step': 4850, 'algorithm': 'bfs'}
I0716 12:57:28.349515 125797712770560 run.py:722] (val) algo bfs step 4900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 585186, 'step': 4900, 'algorithm': 'bfs'}
I0716 12:57:31.038691 125797712770560 run.py:722] (val) algo bfs step 4950: {'pi': 1.0, 'score': 1.0, 'examples_seen': 591155, 'step': 4950, 'algorithm': 'bfs'}
I0716 12:57:33.731249 125797712770560 run.py:722] (val) algo bfs step 5000: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 597117, 'step': 5000, 'algorithm': 'bfs'}
I0716 12:57:36.504617 125797712770560 run.py:722] (val) algo bfs step 5050: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 603110, 'step': 5050, 'algorithm': 'bfs'}
I0716 12:57:39.209892 125797712770560 run.py:722] (val) algo bfs step 5100: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 609041, 'step': 5100, 'algorithm': 'bfs'}
I0716 12:57:42.020456 125797712770560 run.py:722] (val) algo bfs step 5150: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 615001, 'step': 5150, 'algorithm': 'bfs'}
I0716 12:57:44.782125 125797712770560 run.py:722] (val) algo bfs step 5200: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 621072, 'step': 5200, 'algorithm': 'bfs'}
I0716 12:57:47.556029 125797712770560 run.py:722] (val) algo bfs step 5250: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 627068, 'step': 5250, 'algorithm': 'bfs'}
I0716 12:57:50.231824 125797712770560 run.py:722] (val) algo bfs step 5300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 633086, 'step': 5300, 'algorithm': 'bfs'}
I0716 12:57:52.878549 125797712770560 run.py:722] (val) algo bfs step 5350: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 639045, 'step': 5350, 'algorithm': 'bfs'}
I0716 12:57:55.505574 125797712770560 run.py:722] (val) algo bfs step 5400: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 645016, 'step': 5400, 'algorithm': 'bfs'}
I0716 12:57:58.204822 125797712770560 run.py:722] (val) algo bfs step 5450: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 650958, 'step': 5450, 'algorithm': 'bfs'}
I0716 12:58:00.873624 125797712770560 run.py:722] (val) algo bfs step 5500: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 656844, 'step': 5500, 'algorithm': 'bfs'}
I0716 12:58:03.542832 125797712770560 run.py:722] (val) algo bfs step 5550: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 662918, 'step': 5550, 'algorithm': 'bfs'}
I0716 12:58:06.157661 125797712770560 run.py:722] (val) algo bfs step 5600: {'pi': 1.0, 'score': 1.0, 'examples_seen': 668891, 'step': 5600, 'algorithm': 'bfs'}
I0716 12:58:08.914379 125797712770560 run.py:722] (val) algo bfs step 5650: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 674844, 'step': 5650, 'algorithm': 'bfs'}
I0716 12:58:11.540912 125797712770560 run.py:722] (val) algo bfs step 5700: {'pi': 1.0, 'score': 1.0, 'examples_seen': 680768, 'step': 5700, 'algorithm': 'bfs'}
I0716 12:58:14.285327 125797712770560 run.py:722] (val) algo bfs step 5750: {'pi': 1.0, 'score': 1.0, 'examples_seen': 686740, 'step': 5750, 'algorithm': 'bfs'}
I0716 12:58:16.951660 125797712770560 run.py:722] (val) algo bfs step 5800: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 692652, 'step': 5800, 'algorithm': 'bfs'}
I0716 12:58:19.697185 125797712770560 run.py:722] (val) algo bfs step 5850: {'pi': 1.0, 'score': 1.0, 'examples_seen': 698619, 'step': 5850, 'algorithm': 'bfs'}
I0716 12:58:22.412600 125797712770560 run.py:722] (val) algo bfs step 5900: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 704702, 'step': 5900, 'algorithm': 'bfs'}
I0716 12:58:25.121378 125797712770560 run.py:722] (val) algo bfs step 5950: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 710762, 'step': 5950, 'algorithm': 'bfs'}
I0716 12:58:27.828684 125797712770560 run.py:722] (val) algo bfs step 6000: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 716744, 'step': 6000, 'algorithm': 'bfs'}
I0716 12:58:30.531427 125797712770560 run.py:722] (val) algo bfs step 6050: {'pi': 1.0, 'score': 1.0, 'examples_seen': 722681, 'step': 6050, 'algorithm': 'bfs'}
I0716 12:58:33.184812 125797712770560 run.py:722] (val) algo bfs step 6100: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 728575, 'step': 6100, 'algorithm': 'bfs'}
I0716 12:58:35.858645 125797712770560 run.py:722] (val) algo bfs step 6150: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 734546, 'step': 6150, 'algorithm': 'bfs'}
I0716 12:58:38.656615 125797712770560 run.py:722] (val) algo bfs step 6200: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 740503, 'step': 6200, 'algorithm': 'bfs'}
I0716 12:58:41.388914 125797712770560 run.py:722] (val) algo bfs step 6250: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 746564, 'step': 6250, 'algorithm': 'bfs'}
I0716 12:58:44.095075 125797712770560 run.py:722] (val) algo bfs step 6300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 752614, 'step': 6300, 'algorithm': 'bfs'}
I0716 12:58:46.803658 125797712770560 run.py:722] (val) algo bfs step 6350: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 758584, 'step': 6350, 'algorithm': 'bfs'}
I0716 12:58:49.521926 125797712770560 run.py:722] (val) algo bfs step 6400: {'pi': 1.0, 'score': 1.0, 'examples_seen': 764622, 'step': 6400, 'algorithm': 'bfs'}
I0716 12:58:52.259741 125797712770560 run.py:722] (val) algo bfs step 6450: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 770635, 'step': 6450, 'algorithm': 'bfs'}
I0716 12:58:54.962862 125797712770560 run.py:722] (val) algo bfs step 6500: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 776540, 'step': 6500, 'algorithm': 'bfs'}
I0716 12:58:57.732689 125797712770560 run.py:722] (val) algo bfs step 6550: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 782467, 'step': 6550, 'algorithm': 'bfs'}
I0716 12:59:00.459369 125797712770560 run.py:722] (val) algo bfs step 6600: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 788563, 'step': 6600, 'algorithm': 'bfs'}
I0716 12:59:03.187013 125797712770560 run.py:722] (val) algo bfs step 6650: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 794579, 'step': 6650, 'algorithm': 'bfs'}
I0716 12:59:05.876634 125797712770560 run.py:722] (val) algo bfs step 6700: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 800565, 'step': 6700, 'algorithm': 'bfs'}
I0716 12:59:08.549411 125797712770560 run.py:722] (val) algo bfs step 6750: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 806549, 'step': 6750, 'algorithm': 'bfs'}
I0716 12:59:11.180734 125797712770560 run.py:722] (val) algo bfs step 6800: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 812466, 'step': 6800, 'algorithm': 'bfs'}
I0716 12:59:13.871074 125797712770560 run.py:722] (val) algo bfs step 6850: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 818395, 'step': 6850, 'algorithm': 'bfs'}
I0716 12:59:16.559125 125797712770560 run.py:722] (val) algo bfs step 6900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 824270, 'step': 6900, 'algorithm': 'bfs'}
I0716 12:59:19.361021 125797712770560 run.py:722] (val) algo bfs step 6950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 830340, 'step': 6950, 'algorithm': 'bfs'}
I0716 12:59:21.969327 125797712770560 run.py:722] (val) algo bfs step 7000: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 836376, 'step': 7000, 'algorithm': 'bfs'}
I0716 12:59:24.730530 125797712770560 run.py:722] (val) algo bfs step 7050: {'pi': 1.0, 'score': 1.0, 'examples_seen': 842403, 'step': 7050, 'algorithm': 'bfs'}
I0716 12:59:27.525766 125797712770560 run.py:722] (val) algo bfs step 7100: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 848387, 'step': 7100, 'algorithm': 'bfs'}
I0716 12:59:30.294387 125797712770560 run.py:722] (val) algo bfs step 7150: {'pi': 1.0, 'score': 1.0, 'examples_seen': 854378, 'step': 7150, 'algorithm': 'bfs'}
