I0716 14:26:12.428631 137316556228096 run.py:722] (val) algo graham_scan step 0: {'in_hull': 0.44968944099378877, 'score': 0.44968944099378877, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
I0716 14:28:29.668211 137316556228096 run.py:722] (val) algo graham_scan step 1850: {'in_hull': 0.9415322580645161, 'score': 0.9415322580645161, 'examples_seen': 55070, 'step': 1850, 'algorithm': 'graham_scan'}
I0716 14:28:30.897394 137316556228096 run.py:722] (val) algo graham_scan step 1900: {'in_hull': 0.95525494276795, 'score': 0.95525494276795, 'examples_seen': 56541, 'step': 1900, 'algorithm': 'graham_scan'}
I0716 14:28:32.106348 137316556228096 run.py:722] (val) algo graham_scan step 1950: {'in_hull': 0.9682702149437052, 'score': 0.9682702149437052, 'examples_seen': 58020, 'step': 1950, 'algorithm': 'graham_scan'}
I0716 14:28:33.360724 137316556228096 run.py:722] (val) algo graham_scan step 2000: {'in_hull': 0.96760710553814, 'score': 0.96760710553814, 'examples_seen': 59479, 'step': 2000, 'algorithm': 'graham_scan'}
I0716 14:28:34.606588 137316556228096 run.py:722] (val) algo graham_scan step 2050: {'in_hull': 0.9463917525773197, 'score': 0.9463917525773197, 'examples_seen': 60998, 'step': 2050, 'algorithm': 'graham_scan'}
I0716 14:28:35.846574 137316556228096 run.py:722] (val) algo graham_scan step 2100: {'in_hull': 0.9311740890688258, 'score': 0.9311740890688258, 'examples_seen': 62513, 'step': 2100, 'algorithm': 'graham_scan'}
I0716 14:28:37.050827 137316556228096 run.py:722] (val) algo graham_scan step 2150: {'in_hull': 0.9137380191693292, 'score': 0.9137380191693292, 'examples_seen': 63994, 'step': 2150, 'algorithm': 'graham_scan'}
I0716 14:28:38.271600 137316556228096 run.py:722] (val) algo graham_scan step 2200: {'in_hull': 0.9282786885245902, 'score': 0.9282786885245902, 'examples_seen': 65487, 'step': 2200, 'algorithm': 'graham_scan'}
I0716 14:28:39.486966 137316556228096 run.py:722] (val) algo graham_scan step 2250: {'in_hull': 0.9090909090909091, 'score': 0.9090909090909091, 'examples_seen': 66954, 'step': 2250, 'algorithm': 'graham_scan'}
I0716 14:28:40.694952 137316556228096 run.py:722] (val) algo graham_scan step 2300: {'in_hull': 0.9317023445463812, 'score': 0.9317023445463812, 'examples_seen': 68427, 'step': 2300, 'algorithm': 'graham_scan'}
I0716 14:28:41.950162 137316556228096 run.py:722] (val) algo graham_scan step 2350: {'in_hull': 0.9235474006116209, 'score': 0.9235474006116209, 'examples_seen': 69890, 'step': 2350, 'algorithm': 'graham_scan'}
I0716 14:28:43.190666 137316556228096 run.py:722] (val) algo graham_scan step 2400: {'in_hull': 0.9359104781281791, 'score': 0.9359104781281791, 'examples_seen': 71400, 'step': 2400, 'algorithm': 'graham_scan'}
I0716 14:28:44.430331 137316556228096 run.py:722] (val) algo graham_scan step 2450: {'in_hull': 0.9619732785200411, 'score': 0.9619732785200411, 'examples_seen': 72919, 'step': 2450, 'algorithm': 'graham_scan'}
I0716 14:28:45.635456 137316556228096 run.py:722] (val) algo graham_scan step 2500: {'in_hull': 0.9408163265306122, 'score': 0.9408163265306122, 'examples_seen': 74399, 'step': 2500, 'algorithm': 'graham_scan'}
I0716 14:28:46.840178 137316556228096 run.py:722] (val) algo graham_scan step 2550: {'in_hull': 0.9572649572649573, 'score': 0.9572649572649573, 'examples_seen': 75887, 'step': 2550, 'algorithm': 'graham_scan'}
I0716 14:28:48.066535 137316556228096 run.py:722] (val) algo graham_scan step 2600: {'in_hull': 0.9299999999999999, 'score': 0.9299999999999999, 'examples_seen': 77360, 'step': 2600, 'algorithm': 'graham_scan'}
I0716 14:28:49.266726 137316556228096 run.py:722] (val) algo graham_scan step 2650: {'in_hull': 0.93125, 'score': 0.93125, 'examples_seen': 78838, 'step': 2650, 'algorithm': 'graham_scan'}
I0716 14:28:50.501108 137316556228096 run.py:722] (val) algo graham_scan step 2700: {'in_hull': 0.9610115911485775, 'score': 0.9610115911485775, 'examples_seen': 80301, 'step': 2700, 'algorithm': 'graham_scan'}
I0716 14:28:51.732563 137316556228096 run.py:722] (val) algo graham_scan step 2750: {'in_hull': 0.9551020408163265, 'score': 0.9551020408163265, 'examples_seen': 81809, 'step': 2750, 'algorithm': 'graham_scan'}
I0716 14:28:52.969636 137316556228096 run.py:722] (val) algo graham_scan step 2800: {'in_hull': 0.9663865546218487, 'score': 0.9663865546218487, 'examples_seen': 83331, 'step': 2800, 'algorithm': 'graham_scan'}
I0716 14:28:54.182902 137316556228096 run.py:722] (val) algo graham_scan step 2850: {'in_hull': 0.9342105263157894, 'score': 0.9342105263157894, 'examples_seen': 84814, 'step': 2850, 'algorithm': 'graham_scan'}
I0716 14:28:55.378360 137316556228096 run.py:722] (val) algo graham_scan step 2900: {'in_hull': 0.9297725024727992, 'score': 0.9297725024727992, 'examples_seen': 86299, 'step': 2900, 'algorithm': 'graham_scan'}
I0716 14:28:56.611198 137316556228096 run.py:722] (val) algo graham_scan step 2950: {'in_hull': 0.9394871794871795, 'score': 0.9394871794871795, 'examples_seen': 87770, 'step': 2950, 'algorithm': 'graham_scan'}
I0716 14:28:57.822155 137316556228096 run.py:722] (val) algo graham_scan step 3000: {'in_hull': 0.9602577873254565, 'score': 0.9602577873254565, 'examples_seen': 89249, 'step': 3000, 'algorithm': 'graham_scan'}
I0716 14:28:59.064644 137316556228096 run.py:722] (val) algo graham_scan step 3050: {'in_hull': 0.9215896885069819, 'score': 0.9215896885069819, 'examples_seen': 90708, 'step': 3050, 'algorithm': 'graham_scan'}
I0716 14:29:00.303072 137316556228096 run.py:722] (val) algo graham_scan step 3100: {'in_hull': 0.9458023379383634, 'score': 0.9458023379383634, 'examples_seen': 92221, 'step': 3100, 'algorithm': 'graham_scan'}
I0716 14:29:01.511860 137316556228096 run.py:722] (val) algo graham_scan step 3150: {'in_hull': 0.9517684887459807, 'score': 0.9517684887459807, 'examples_seen': 93737, 'step': 3150, 'algorithm': 'graham_scan'}
I0716 14:29:02.737395 137316556228096 run.py:722] (val) algo graham_scan step 3200: {'in_hull': 0.9577754891864058, 'score': 0.9577754891864058, 'examples_seen': 95227, 'step': 3200, 'algorithm': 'graham_scan'}
I0716 14:29:03.959871 137316556228096 run.py:722] (val) algo graham_scan step 3250: {'in_hull': 0.9241952232606437, 'score': 0.9241952232606437, 'examples_seen': 96716, 'step': 3250, 'algorithm': 'graham_scan'}
I0716 14:29:05.171852 137316556228096 run.py:722] (val) algo graham_scan step 3300: {'in_hull': 0.9470338983050848, 'score': 0.9470338983050848, 'examples_seen': 98180, 'step': 3300, 'algorithm': 'graham_scan'}
I0716 14:29:06.387045 137316556228096 run.py:722] (val) algo graham_scan step 3350: {'in_hull': 0.9509269356597602, 'score': 0.9509269356597602, 'examples_seen': 99665, 'step': 3350, 'algorithm': 'graham_scan'}
I0716 14:29:07.629984 137316556228096 run.py:722] (val) algo graham_scan step 3400: {'in_hull': 0.9715447154471545, 'score': 0.9715447154471545, 'examples_seen': 101116, 'step': 3400, 'algorithm': 'graham_scan'}
I0716 14:29:08.883828 137316556228096 run.py:722] (val) algo graham_scan step 3450: {'in_hull': 0.9386056191467221, 'score': 0.9386056191467221, 'examples_seen': 102633, 'step': 3450, 'algorithm': 'graham_scan'}
I0716 14:29:10.121160 137316556228096 run.py:722] (val) algo graham_scan step 3500: {'in_hull': 0.9445628997867804, 'score': 0.9445628997867804, 'examples_seen': 104145, 'step': 3500, 'algorithm': 'graham_scan'}
I0716 14:29:11.323192 137316556228096 run.py:722] (val) algo graham_scan step 3550: {'in_hull': 0.9559748427672956, 'score': 0.9559748427672956, 'examples_seen': 105640, 'step': 3550, 'algorithm': 'graham_scan'}
I0716 14:29:12.532045 137316556228096 run.py:722] (val) algo graham_scan step 3600: {'in_hull': 0.9343936381709741, 'score': 0.9343936381709741, 'examples_seen': 107127, 'step': 3600, 'algorithm': 'graham_scan'}
I0716 14:29:13.757016 137316556228096 run.py:722] (val) algo graham_scan step 3650: {'in_hull': 0.951063829787234, 'score': 0.951063829787234, 'examples_seen': 108590, 'step': 3650, 'algorithm': 'graham_scan'}
I0716 14:29:14.978471 137316556228096 run.py:722] (val) algo graham_scan step 3700: {'in_hull': 0.9214208826695371, 'score': 0.9214208826695371, 'examples_seen': 110071, 'step': 3700, 'algorithm': 'graham_scan'}
I0716 14:29:16.215392 137316556228096 run.py:722] (val) algo graham_scan step 3750: {'in_hull': 0.9717277486910995, 'score': 0.9717277486910995, 'examples_seen': 111534, 'step': 3750, 'algorithm': 'graham_scan'}
I0716 14:29:17.471212 137316556228096 run.py:722] (val) algo graham_scan step 3800: {'in_hull': 0.9418960244648317, 'score': 0.9418960244648317, 'examples_seen': 113042, 'step': 3800, 'algorithm': 'graham_scan'}
I0716 14:29:18.690234 137316556228096 run.py:722] (val) algo graham_scan step 3850: {'in_hull': 0.9273285568065507, 'score': 0.9273285568065507, 'examples_seen': 114558, 'step': 3850, 'algorithm': 'graham_scan'}
I0716 14:29:19.895042 137316556228096 run.py:722] (val) algo graham_scan step 3900: {'in_hull': 0.9426751592356688, 'score': 0.9426751592356688, 'examples_seen': 116042, 'step': 3900, 'algorithm': 'graham_scan'}
I0716 14:29:21.128258 137316556228096 run.py:722] (val) algo graham_scan step 3950: {'in_hull': 0.9446185997910136, 'score': 0.9446185997910136, 'examples_seen': 117533, 'step': 3950, 'algorithm': 'graham_scan'}
I0716 14:29:22.357012 137316556228096 run.py:722] (val) algo graham_scan step 4000: {'in_hull': 0.9636963696369637, 'score': 0.9636963696369637, 'examples_seen': 119002, 'step': 4000, 'algorithm': 'graham_scan'}
I0716 14:29:23.563352 137316556228096 run.py:722] (val) algo graham_scan step 4050: {'in_hull': 0.9508196721311475, 'score': 0.9508196721311475, 'examples_seen': 120480, 'step': 4050, 'algorithm': 'graham_scan'}
I0716 14:29:24.819803 137316556228096 run.py:722] (val) algo graham_scan step 4100: {'in_hull': 0.9567966280295047, 'score': 0.9567966280295047, 'examples_seen': 121940, 'step': 4100, 'algorithm': 'graham_scan'}
I0716 14:29:26.054516 137316556228096 run.py:722] (val) algo graham_scan step 4150: {'in_hull': 0.9375661375661376, 'score': 0.9375661375661376, 'examples_seen': 123454, 'step': 4150, 'algorithm': 'graham_scan'}
I0716 14:29:27.286839 137316556228096 run.py:722] (val) algo graham_scan step 4200: {'in_hull': 0.9545957918050941, 'score': 0.9545957918050941, 'examples_seen': 124969, 'step': 4200, 'algorithm': 'graham_scan'}
I0716 14:29:28.507448 137316556228096 run.py:722] (val) algo graham_scan step 4250: {'in_hull': 0.9158316633266534, 'score': 0.9158316633266534, 'examples_seen': 126456, 'step': 4250, 'algorithm': 'graham_scan'}
I0716 14:29:29.707277 137316556228096 run.py:722] (val) algo graham_scan step 4300: {'in_hull': 0.9628865979381444, 'score': 0.9628865979381444, 'examples_seen': 127941, 'step': 4300, 'algorithm': 'graham_scan'}
I0716 14:29:30.933915 137316556228096 run.py:722] (val) algo graham_scan step 4350: {'in_hull': 0.9317023445463812, 'score': 0.9317023445463812, 'examples_seen': 129408, 'step': 4350, 'algorithm': 'graham_scan'}
I0716 14:29:32.161101 137316556228096 run.py:722] (val) algo graham_scan step 4400: {'in_hull': 0.9331896551724137, 'score': 0.9331896551724137, 'examples_seen': 130885, 'step': 4400, 'algorithm': 'graham_scan'}
I0716 14:29:33.389660 137316556228096 run.py:722] (val) algo graham_scan step 4450: {'in_hull': 0.9573560767590618, 'score': 0.9573560767590618, 'examples_seen': 132344, 'step': 4450, 'algorithm': 'graham_scan'}
I0716 14:29:34.632611 137316556228096 run.py:722] (val) algo graham_scan step 4500: {'in_hull': 0.942857142857143, 'score': 0.942857142857143, 'examples_seen': 133858, 'step': 4500, 'algorithm': 'graham_scan'}
I0716 14:29:35.848472 137316556228096 run.py:722] (val) algo graham_scan step 4550: {'in_hull': 0.9368635437881874, 'score': 0.9368635437881874, 'examples_seen': 135374, 'step': 4550, 'algorithm': 'graham_scan'}
I0716 14:29:37.067849 137316556228096 run.py:722] (val) algo graham_scan step 4600: {'in_hull': 0.9215086646279308, 'score': 0.9215086646279308, 'examples_seen': 136862, 'step': 4600, 'algorithm': 'graham_scan'}
I0716 14:29:38.268203 137316556228096 run.py:722] (val) algo graham_scan step 4650: {'in_hull': 0.9622641509433963, 'score': 0.9622641509433963, 'examples_seen': 138346, 'step': 4650, 'algorithm': 'graham_scan'}
I0716 14:29:39.491585 137316556228096 run.py:722] (val) algo graham_scan step 4700: {'in_hull': 0.9517684887459807, 'score': 0.9517684887459807, 'examples_seen': 139817, 'step': 4700, 'algorithm': 'graham_scan'}
I0716 14:29:40.716177 137316556228096 run.py:722] (val) algo graham_scan step 4750: {'in_hull': 0.949685534591195, 'score': 0.949685534591195, 'examples_seen': 141290, 'step': 4750, 'algorithm': 'graham_scan'}
I0716 14:29:41.965068 137316556228096 run.py:722] (val) algo graham_scan step 4800: {'in_hull': 0.9607635206786851, 'score': 0.9607635206786851, 'examples_seen': 142751, 'step': 4800, 'algorithm': 'graham_scan'}
I0716 14:29:43.206235 137316556228096 run.py:722] (val) algo graham_scan step 4850: {'in_hull': 0.9612565445026178, 'score': 0.9612565445026178, 'examples_seen': 144262, 'step': 4850, 'algorithm': 'graham_scan'}
I0716 14:29:44.427811 137316556228096 run.py:722] (val) algo graham_scan step 4900: {'in_hull': 0.9421157684630739, 'score': 0.9421157684630739, 'examples_seen': 145778, 'step': 4900, 'algorithm': 'graham_scan'}
I0716 14:29:45.641514 137316556228096 run.py:722] (val) algo graham_scan step 4950: {'in_hull': 0.9596602972399151, 'score': 0.9596602972399151, 'examples_seen': 147265, 'step': 4950, 'algorithm': 'graham_scan'}
I0716 14:29:46.877772 137316556228096 run.py:722] (val) algo graham_scan step 5000: {'in_hull': 0.9574468085106383, 'score': 0.9574468085106383, 'examples_seen': 148755, 'step': 5000, 'algorithm': 'graham_scan'}
I0716 14:29:48.086812 137316556228096 run.py:722] (val) algo graham_scan step 5050: {'in_hull': 0.9648562300319489, 'score': 0.9648562300319489, 'examples_seen': 150216, 'step': 5050, 'algorithm': 'graham_scan'}
I0716 14:29:49.311917 137316556228096 run.py:722] (val) algo graham_scan step 5100: {'in_hull': 0.9170040485829959, 'score': 0.9170040485829959, 'examples_seen': 151691, 'step': 5100, 'algorithm': 'graham_scan'}
I0716 14:29:50.546407 137316556228096 run.py:722] (val) algo graham_scan step 5150: {'in_hull': 0.9580712788259959, 'score': 0.9580712788259959, 'examples_seen': 153156, 'step': 5150, 'algorithm': 'graham_scan'}
I0716 14:29:51.765098 137316556228096 run.py:722] (val) algo graham_scan step 5200: {'in_hull': 0.9452332657200813, 'score': 0.9452332657200813, 'examples_seen': 154664, 'step': 5200, 'algorithm': 'graham_scan'}
I0716 14:29:52.980451 137316556228096 run.py:722] (val) algo graham_scan step 5250: {'in_hull': 0.9614961496149614, 'score': 0.9614961496149614, 'examples_seen': 156178, 'step': 5250, 'algorithm': 'graham_scan'}
I0716 14:29:54.196902 137316556228096 run.py:722] (val) algo graham_scan step 5300: {'in_hull': 0.9656607700312175, 'score': 0.9656607700312175, 'examples_seen': 157664, 'step': 5300, 'algorithm': 'graham_scan'}
I0716 14:29:55.395627 137316556228096 run.py:722] (val) algo graham_scan step 5350: {'in_hull': 0.9376299376299376, 'score': 0.9376299376299376, 'examples_seen': 159154, 'step': 5350, 'algorithm': 'graham_scan'}
I0716 14:29:56.609406 137316556228096 run.py:722] (val) algo graham_scan step 5400: {'in_hull': 0.9258098223615465, 'score': 0.9258098223615465, 'examples_seen': 160620, 'step': 5400, 'algorithm': 'graham_scan'}
I0716 14:29:57.817650 137316556228096 run.py:722] (val) algo graham_scan step 5450: {'in_hull': 0.9293139293139292, 'score': 0.9293139293139292, 'examples_seen': 162099, 'step': 5450, 'algorithm': 'graham_scan'}
I0716 14:29:59.050776 137316556228096 run.py:722] (val) algo graham_scan step 5500: {'in_hull': 0.9659574468085106, 'score': 0.9659574468085106, 'examples_seen': 163567, 'step': 5500, 'algorithm': 'graham_scan'}
I0716 14:30:00.281251 137316556228096 run.py:722] (val) algo graham_scan step 5550: {'in_hull': 0.9593147751605996, 'score': 0.9593147751605996, 'examples_seen': 165071, 'step': 5550, 'algorithm': 'graham_scan'}
I0716 14:30:01.510359 137316556228096 run.py:722] (val) algo graham_scan step 5600: {'in_hull': 0.9357622243528284, 'score': 0.9357622243528284, 'examples_seen': 166589, 'step': 5600, 'algorithm': 'graham_scan'}
I0716 14:30:02.711894 137316556228096 run.py:722] (val) algo graham_scan step 5650: {'in_hull': 0.9428571428571428, 'score': 0.9428571428571428, 'examples_seen': 168073, 'step': 5650, 'algorithm': 'graham_scan'}
I0716 14:30:03.916848 137316556228096 run.py:722] (val) algo graham_scan step 5700: {'in_hull': 0.9574468085106382, 'score': 0.9574468085106382, 'examples_seen': 169562, 'step': 5700, 'algorithm': 'graham_scan'}
I0716 14:30:05.149470 137316556228096 run.py:722] (val) algo graham_scan step 5750: {'in_hull': 0.948936170212766, 'score': 0.948936170212766, 'examples_seen': 171027, 'step': 5750, 'algorithm': 'graham_scan'}
I0716 14:30:06.373596 137316556228096 run.py:722] (val) algo graham_scan step 5800: {'in_hull': 0.9432773109243696, 'score': 0.9432773109243696, 'examples_seen': 172509, 'step': 5800, 'algorithm': 'graham_scan'}
I0716 14:30:07.620625 137316556228096 run.py:722] (val) algo graham_scan step 5850: {'in_hull': 0.9394261424017003, 'score': 0.9394261424017003, 'examples_seen': 173971, 'step': 5850, 'algorithm': 'graham_scan'}
I0716 14:30:08.878611 137316556228096 run.py:722] (val) algo graham_scan step 5900: {'in_hull': 0.9370485036119711, 'score': 0.9370485036119711, 'examples_seen': 175483, 'step': 5900, 'algorithm': 'graham_scan'}
I0716 14:30:10.106168 137316556228096 run.py:722] (val) algo graham_scan step 5950: {'in_hull': 0.9559748427672956, 'score': 0.9559748427672956, 'examples_seen': 177000, 'step': 5950, 'algorithm': 'graham_scan'}
I0716 14:30:11.308487 137316556228096 run.py:722] (val) algo graham_scan step 6000: {'in_hull': 0.9588477366255144, 'score': 0.9588477366255144, 'examples_seen': 178480, 'step': 6000, 'algorithm': 'graham_scan'}
I0716 14:30:12.540286 137316556228096 run.py:722] (val) algo graham_scan step 6050: {'in_hull': 0.9430051813471503, 'score': 0.9430051813471503, 'examples_seen': 179971, 'step': 6050, 'algorithm': 'graham_scan'}
I0716 14:30:13.759551 137316556228096 run.py:722] (val) algo graham_scan step 6100: {'in_hull': 0.9294871794871794, 'score': 0.9294871794871794, 'examples_seen': 181438, 'step': 6100, 'algorithm': 'graham_scan'}
I0716 14:30:14.988624 137316556228096 run.py:722] (val) algo graham_scan step 6150: {'in_hull': 0.9618834080717489, 'score': 0.9618834080717489, 'examples_seen': 182914, 'step': 6150, 'algorithm': 'graham_scan'}
I0716 14:30:16.217429 137316556228096 run.py:722] (val) algo graham_scan step 6200: {'in_hull': 0.9631966351209253, 'score': 0.9631966351209253, 'examples_seen': 184374, 'step': 6200, 'algorithm': 'graham_scan'}
I0716 14:30:17.437582 137316556228096 run.py:722] (val) algo graham_scan step 6250: {'in_hull': 0.9443254817987152, 'score': 0.9443254817987152, 'examples_seen': 185889, 'step': 6250, 'algorithm': 'graham_scan'}
I0716 14:30:18.648463 137316556228096 run.py:722] (val) algo graham_scan step 6300: {'in_hull': 0.9430051813471503, 'score': 0.9430051813471503, 'examples_seen': 187407, 'step': 6300, 'algorithm': 'graham_scan'}
I0716 14:30:19.867648 137316556228096 run.py:722] (val) algo graham_scan step 6350: {'in_hull': 0.9573361082206037, 'score': 0.9573361082206037, 'examples_seen': 188890, 'step': 6350, 'algorithm': 'graham_scan'}
I0716 14:30:21.078742 137316556228096 run.py:722] (val) algo graham_scan step 6400: {'in_hull': 0.9135300101729401, 'score': 0.9135300101729401, 'examples_seen': 190380, 'step': 6400, 'algorithm': 'graham_scan'}
