{'is_bridge': 0.5953788285867814, 'score': 0.5953788285867814, 'examples_seen': 16, 'step': 0, 'algorithm': 'bridges'}
{'is_bridge': 0.8204651162790697, 'score': 0.8204651162790697, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'bridges'}
{'is_bridge': 0.779291553133515, 'score': 0.779291553133515, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'bridges'}
{'is_bridge': 0.8307692307692308, 'score': 0.8307692307692308, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'bridges'}
{'is_bridge': 0.802784222737819, 'score': 0.802784222737819, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'bridges'}
{'is_bridge': 0.8186195826645265, 'score': 0.8186195826645265, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'bridges'}
{'is_bridge': 0.7364864864864866, 'score': 0.7364864864864866, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'bridges'}
{'is_bridge': 0.8046181172291298, 'score': 0.8046181172291298, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'bridges'}
{'is_bridge': 0.7802313354363828, 'score': 0.7802313354363828, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'bridges'}
{'is_bridge': 0.7437275985663082, 'score': 0.7437275985663082, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'bridges'}
{'is_bridge': 0.8527551942186088, 'score': 0.8527551942186088, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'bridges'}
{'is_bridge': 0.8277634961439588, 'score': 0.8277634961439588, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'bridges'}
{'is_bridge': 0.9137792103142627, 'score': 0.9137792103142627, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'bridges'}
{'is_bridge': 0.7906574394463668, 'score': 0.7906574394463668, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'bridges'}
{'is_bridge': 0.774793388429752, 'score': 0.774793388429752, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'bridges'}
{'is_bridge': 0.7957405614714423, 'score': 0.7957405614714423, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'bridges'}
{'is_bridge': 0.8456790123456791, 'score': 0.8456790123456791, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'bridges'}
{'is_bridge': 0.9042769857433809, 'score': 0.9042769857433809, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'bridges'}
{'is_bridge': 0.8043956043956043, 'score': 0.8043956043956043, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'bridges'}
{'is_bridge': 0.8166849615806806, 'score': 0.8166849615806806, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'bridges'}
{'is_bridge': 0.7873210633946831, 'score': 0.7873210633946831, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'bridges'}
{'is_bridge': 0.8158168574401664, 'score': 0.8158168574401664, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'bridges'}
{'is_bridge': 0.7746341463414634, 'score': 0.7746341463414634, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'bridges'}
{'is_bridge': 0.7514124293785309, 'score': 0.7514124293785309, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'bridges'}
{'is_bridge': 0.7248157248157249, 'score': 0.7248157248157249, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'bridges'}
{'is_bridge': 0.7601476014760149, 'score': 0.7601476014760149, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'bridges'}
{'is_bridge': 0.8448275862068966, 'score': 0.8448275862068966, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'bridges'}
{'is_bridge': 0.8121212121212122, 'score': 0.8121212121212122, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'bridges'}
{'is_bridge': 0.8111332007952287, 'score': 0.8111332007952287, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'bridges'}
{'is_bridge': 0.875268817204301, 'score': 0.875268817204301, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'bridges'}
{'is_bridge': 0.7778738115816767, 'score': 0.7778738115816767, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'bridges'}
{'is_bridge': 0.8145896656534954, 'score': 0.8145896656534954, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'bridges'}
{'is_bridge': 0.7747196738022426, 'score': 0.7747196738022426, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'bridges'}
{'is_bridge': 0.8014247551202138, 'score': 0.8014247551202138, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'bridges'}
{'is_bridge': 0.736842105263158, 'score': 0.736842105263158, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'bridges'}
{'is_bridge': 0.802469135802469, 'score': 0.802469135802469, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'bridges'}
{'is_bridge': 0.7957405614714426, 'score': 0.7957405614714426, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'bridges'}
{'is_bridge': 0.8116469517743403, 'score': 0.8116469517743403, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'bridges'}
{'is_bridge': 0.7751479289940828, 'score': 0.7751479289940828, 'examples_seen': 46798, 'step': 2950, 'algorithm': 'bridges'}
{'is_bridge': 0.8276436303080766, 'score': 0.8276436303080766, 'examples_seen': 47573, 'step': 3000, 'algorithm': 'bridges'}
{'is_bridge': 0.7929515418502203, 'score': 0.7929515418502203, 'examples_seen': 48348, 'step': 3050, 'algorithm': 'bridges'}
{'is_bridge': 0.8779599271402551, 'score': 0.8779599271402551, 'examples_seen': 49166, 'step': 3100, 'algorithm': 'bridges'}
{'is_bridge': 0.8348909657320872, 'score': 0.8348909657320872, 'examples_seen': 49966, 'step': 3150, 'algorithm': 'bridges'}
{'is_bridge': 0.8089171974522293, 'score': 0.8089171974522293, 'examples_seen': 50766, 'step': 3200, 'algorithm': 'bridges'}
{'is_bridge': 0.8530405405405405, 'score': 0.8530405405405405, 'examples_seen': 51550, 'step': 3250, 'algorithm': 'bridges'}
{'is_bridge': 0.8092948717948719, 'score': 0.8092948717948719, 'examples_seen': 52341, 'step': 3300, 'algorithm': 'bridges'}
{'is_bridge': 0.7808930425752856, 'score': 0.7808930425752856, 'examples_seen': 53125, 'step': 3350, 'algorithm': 'bridges'}
{'is_bridge': 0.8586723768736616, 'score': 0.8586723768736616, 'examples_seen': 53899, 'step': 3400, 'algorithm': 'bridges'}
{'is_bridge': 0.8501872659176031, 'score': 0.8501872659176031, 'examples_seen': 54732, 'step': 3450, 'algorithm': 'bridges'}
{'is_bridge': 0.8236380424746076, 'score': 0.8236380424746076, 'examples_seen': 55530, 'step': 3500, 'algorithm': 'bridges'}
{'is_bridge': 0.8253968253968254, 'score': 0.8253968253968254, 'examples_seen': 56331, 'step': 3550, 'algorithm': 'bridges'}
{'is_bridge': 0.7014341590612777, 'score': 0.7014341590612777, 'examples_seen': 57113, 'step': 3600, 'algorithm': 'bridges'}
{'is_bridge': 0.8032345013477089, 'score': 0.8032345013477089, 'examples_seen': 57901, 'step': 3650, 'algorithm': 'bridges'}
{'is_bridge': 0.8301886792452832, 'score': 0.8301886792452832, 'examples_seen': 58688, 'step': 3700, 'algorithm': 'bridges'}
{'is_bridge': 0.7771010962241169, 'score': 0.7771010962241169, 'examples_seen': 59466, 'step': 3750, 'algorithm': 'bridges'}
{'is_bridge': 0.8050193050193051, 'score': 0.8050193050193051, 'examples_seen': 60287, 'step': 3800, 'algorithm': 'bridges'}
{'is_bridge': 0.8030634573304157, 'score': 0.8030634573304157, 'examples_seen': 61091, 'step': 3850, 'algorithm': 'bridges'}
{'is_bridge': 0.8170731707317074, 'score': 0.8170731707317074, 'examples_seen': 61882, 'step': 3900, 'algorithm': 'bridges'}
{'is_bridge': 0.7596899224806201, 'score': 0.7596899224806201, 'examples_seen': 62670, 'step': 3950, 'algorithm': 'bridges'}
{'is_bridge': 0.7811764705882352, 'score': 0.7811764705882352, 'examples_seen': 63455, 'step': 4000, 'algorithm': 'bridges'}
{'is_bridge': 0.7626168224299065, 'score': 0.7626168224299065, 'examples_seen': 64233, 'step': 4050, 'algorithm': 'bridges'}
{'is_bridge': 0.8215613382899628, 'score': 0.8215613382899628, 'examples_seen': 65016, 'step': 4100, 'algorithm': 'bridges'}
{'is_bridge': 0.7793427230046949, 'score': 0.7793427230046949, 'examples_seen': 65832, 'step': 4150, 'algorithm': 'bridges'}
{'is_bridge': 0.8022181146025877, 'score': 0.8022181146025877, 'examples_seen': 66636, 'step': 4200, 'algorithm': 'bridges'}
{'is_bridge': 0.816220880069025, 'score': 0.816220880069025, 'examples_seen': 67428, 'step': 4250, 'algorithm': 'bridges'}
{'is_bridge': 0.7735618115055078, 'score': 0.7735618115055078, 'examples_seen': 68211, 'step': 4300, 'algorithm': 'bridges'}
{'is_bridge': 0.7900092506938019, 'score': 0.7900092506938019, 'examples_seen': 68994, 'step': 4350, 'algorithm': 'bridges'}
{'is_bridge': 0.7490494296577948, 'score': 0.7490494296577948, 'examples_seen': 69775, 'step': 4400, 'algorithm': 'bridges'}
{'is_bridge': 0.8039041703637977, 'score': 0.8039041703637977, 'examples_seen': 70558, 'step': 4450, 'algorithm': 'bridges'}
{'is_bridge': 0.8192771084337349, 'score': 0.8192771084337349, 'examples_seen': 71376, 'step': 4500, 'algorithm': 'bridges'}
{'is_bridge': 0.8052208835341366, 'score': 0.8052208835341366, 'examples_seen': 72190, 'step': 4550, 'algorithm': 'bridges'}
{'is_bridge': 0.843322818086225, 'score': 0.843322818086225, 'examples_seen': 72975, 'step': 4600, 'algorithm': 'bridges'}
{'is_bridge': 0.7220630372492837, 'score': 0.7220630372492837, 'examples_seen': 73768, 'step': 4650, 'algorithm': 'bridges'}
{'is_bridge': 0.7710843373493975, 'score': 0.7710843373493975, 'examples_seen': 74547, 'step': 4700, 'algorithm': 'bridges'}
{'is_bridge': 0.8172413793103448, 'score': 0.8172413793103448, 'examples_seen': 75326, 'step': 4750, 'algorithm': 'bridges'}
{'is_bridge': 0.7843494085532303, 'score': 0.7843494085532303, 'examples_seen': 76108, 'step': 4800, 'algorithm': 'bridges'}
{'is_bridge': 0.7931363203050524, 'score': 0.7931363203050524, 'examples_seen': 76931, 'step': 4850, 'algorithm': 'bridges'}
{'is_bridge': 0.7980487804878049, 'score': 0.7980487804878049, 'examples_seen': 77727, 'step': 4900, 'algorithm': 'bridges'}
{'is_bridge': 0.7895167895167894, 'score': 0.7895167895167894, 'examples_seen': 78527, 'step': 4950, 'algorithm': 'bridges'}
{'is_bridge': 0.7010989010989012, 'score': 0.7010989010989012, 'examples_seen': 79314, 'step': 5000, 'algorithm': 'bridges'}
{'is_bridge': 0.8162816281628164, 'score': 0.8162816281628164, 'examples_seen': 80101, 'step': 5050, 'algorithm': 'bridges'}
{'is_bridge': 0.8173178458289334, 'score': 0.8173178458289334, 'examples_seen': 80879, 'step': 5100, 'algorithm': 'bridges'}
{'is_bridge': 0.7696078431372549, 'score': 0.7696078431372549, 'examples_seen': 81662, 'step': 5150, 'algorithm': 'bridges'}
{'is_bridge': 0.7375132837407015, 'score': 0.7375132837407015, 'examples_seen': 82480, 'step': 5200, 'algorithm': 'bridges'}
{'is_bridge': 0.8489483747609943, 'score': 0.8489483747609943, 'examples_seen': 83294, 'step': 5250, 'algorithm': 'bridges'}
{'is_bridge': 0.8185880250223414, 'score': 0.8185880250223414, 'examples_seen': 84080, 'step': 5300, 'algorithm': 'bridges'}
{'is_bridge': 0.7687224669603524, 'score': 0.7687224669603524, 'examples_seen': 84873, 'step': 5350, 'algorithm': 'bridges'}
{'is_bridge': 0.7774420946626385, 'score': 0.7774420946626385, 'examples_seen': 85657, 'step': 5400, 'algorithm': 'bridges'}
{'is_bridge': 0.8169811320754717, 'score': 0.8169811320754717, 'examples_seen': 86431, 'step': 5450, 'algorithm': 'bridges'}
{'is_bridge': 0.7654320987654321, 'score': 0.7654320987654321, 'examples_seen': 87219, 'step': 5500, 'algorithm': 'bridges'}
{'is_bridge': 0.8160597572362278, 'score': 0.8160597572362278, 'examples_seen': 88046, 'step': 5550, 'algorithm': 'bridges'}
{'is_bridge': 0.8061316501352569, 'score': 0.8061316501352569, 'examples_seen': 88846, 'step': 5600, 'algorithm': 'bridges'}
{'is_bridge': 0.7861715749039694, 'score': 0.7861715749039694, 'examples_seen': 89638, 'step': 5650, 'algorithm': 'bridges'}
{'is_bridge': 0.8856589147286822, 'score': 0.8856589147286822, 'examples_seen': 90427, 'step': 5700, 'algorithm': 'bridges'}
{'is_bridge': 0.8243093922651934, 'score': 0.8243093922651934, 'examples_seen': 91206, 'step': 5750, 'algorithm': 'bridges'}
{'is_bridge': 0.8193916349809885, 'score': 0.8193916349809885, 'examples_seen': 91993, 'step': 5800, 'algorithm': 'bridges'}
{'is_bridge': 0.8289473684210525, 'score': 0.8289473684210525, 'examples_seen': 92776, 'step': 5850, 'algorithm': 'bridges'}
{'is_bridge': 0.7946058091286308, 'score': 0.7946058091286308, 'examples_seen': 93595, 'step': 5900, 'algorithm': 'bridges'}
{'is_bridge': 0.7706945765937202, 'score': 0.7706945765937202, 'examples_seen': 94394, 'step': 5950, 'algorithm': 'bridges'}
{'is_bridge': 0.8053007135575942, 'score': 0.8053007135575942, 'examples_seen': 95185, 'step': 6000, 'algorithm': 'bridges'}
{'is_bridge': 0.803809523809524, 'score': 0.803809523809524, 'examples_seen': 95970, 'step': 6050, 'algorithm': 'bridges'}
{'is_bridge': 0.8582834331337326, 'score': 0.8582834331337326, 'examples_seen': 96745, 'step': 6100, 'algorithm': 'bridges'}
{'is_bridge': 0.8486140724946695, 'score': 0.8486140724946695, 'examples_seen': 97528, 'step': 6150, 'algorithm': 'bridges'}
{'is_bridge': 0.8534258456201214, 'score': 0.8534258456201214, 'examples_seen': 98310, 'step': 6200, 'algorithm': 'bridges'}
{'is_bridge': 0.759825327510917, 'score': 0.759825327510917, 'examples_seen': 99125, 'step': 6250, 'algorithm': 'bridges'}
{'is_bridge': 0.8223463687150838, 'score': 0.8223463687150838, 'examples_seen': 99930, 'step': 6300, 'algorithm': 'bridges'}
{'is_bridge': 0.7995824634655533, 'score': 0.7995824634655533, 'examples_seen': 100714, 'step': 6350, 'algorithm': 'bridges'}
{'is_bridge': 0.8233082706766918, 'score': 0.8233082706766918, 'examples_seen': 101505, 'step': 6400, 'algorithm': 'bridges'}
{'is_bridge': 0.7978378378378379, 'score': 0.7978378378378379, 'examples_seen': 102293, 'step': 6450, 'algorithm': 'bridges'}
{'is_bridge': 0.7442307692307691, 'score': 0.7442307692307691, 'examples_seen': 103075, 'step': 6500, 'algorithm': 'bridges'}
{'is_bridge': 0.7809734513274337, 'score': 0.7809734513274337, 'examples_seen': 103854, 'step': 6550, 'algorithm': 'bridges'}
{'is_bridge': 0.831314072693383, 'score': 0.831314072693383, 'examples_seen': 104682, 'step': 6600, 'algorithm': 'bridges'}
{'is_bridge': 0.8491228070175437, 'score': 0.8491228070175437, 'examples_seen': 105484, 'step': 6650, 'algorithm': 'bridges'}
{'is_bridge': 0.8663212435233162, 'score': 0.8663212435233162, 'examples_seen': 106273, 'step': 6700, 'algorithm': 'bridges'}
{'is_bridge': 0.8586171310629515, 'score': 0.8586171310629515, 'examples_seen': 107058, 'step': 6750, 'algorithm': 'bridges'}
{'is_bridge': 0.8184383819379116, 'score': 0.8184383819379116, 'examples_seen': 107837, 'step': 6800, 'algorithm': 'bridges'}
{'is_bridge': 0.8032454361054767, 'score': 0.8032454361054767, 'examples_seen': 108619, 'step': 6850, 'algorithm': 'bridges'}
{'is_bridge': 0.8152295632698768, 'score': 0.8152295632698768, 'examples_seen': 109394, 'step': 6900, 'algorithm': 'bridges'}
{'is_bridge': 0.8614157527417747, 'score': 0.8614157527417747, 'examples_seen': 110221, 'step': 6950, 'algorithm': 'bridges'}
{'is_bridge': 0.8405797101449276, 'score': 0.8405797101449276, 'examples_seen': 111023, 'step': 7000, 'algorithm': 'bridges'}
{'is_bridge': 0.884318766066838, 'score': 0.884318766066838, 'examples_seen': 111818, 'step': 7050, 'algorithm': 'bridges'}
{'is_bridge': 0.7569803516028956, 'score': 0.7569803516028956, 'examples_seen': 112603, 'step': 7100, 'algorithm': 'bridges'}
{'is_bridge': 0.7686567164179106, 'score': 0.7686567164179106, 'examples_seen': 113385, 'step': 7150, 'algorithm': 'bridges'}
{'is_bridge': 0.7483870967741937, 'score': 0.7483870967741937, 'examples_seen': 114163, 'step': 7200, 'algorithm': 'bridges'}
{'is_bridge': 0.76905311778291, 'score': 0.76905311778291, 'examples_seen': 114957, 'step': 7250, 'algorithm': 'bridges'}
{'is_bridge': 0.7876588021778584, 'score': 0.7876588021778584, 'examples_seen': 115775, 'step': 7300, 'algorithm': 'bridges'}
{'is_bridge': 0.8253319713993871, 'score': 0.8253319713993871, 'examples_seen': 116585, 'step': 7350, 'algorithm': 'bridges'}
{'is_bridge': 0.8464566929133859, 'score': 0.8464566929133859, 'examples_seen': 117369, 'step': 7400, 'algorithm': 'bridges'}
{'is_bridge': 0.7551569506726458, 'score': 0.7551569506726458, 'examples_seen': 118150, 'step': 7450, 'algorithm': 'bridges'}
{'is_bridge': 0.7637969094922737, 'score': 0.7637969094922737, 'examples_seen': 118931, 'step': 7500, 'algorithm': 'bridges'}
{'is_bridge': 0.7415929203539823, 'score': 0.7415929203539823, 'examples_seen': 119715, 'step': 7550, 'algorithm': 'bridges'}
{'is_bridge': 0.8126801152737753, 'score': 0.8126801152737753, 'examples_seen': 120499, 'step': 7600, 'algorithm': 'bridges'}
{'is_bridge': 0.7790973871733967, 'score': 0.7790973871733967, 'examples_seen': 121320, 'step': 7650, 'algorithm': 'bridges'}
{'is_bridge': 0.8795074758135444, 'score': 0.8795074758135444, 'examples_seen': 122120, 'step': 7700, 'algorithm': 'bridges'}
{'is_bridge': 0.8698817106460418, 'score': 0.8698817106460418, 'examples_seen': 122916, 'step': 7750, 'algorithm': 'bridges'}
{'is_bridge': 0.8193832599118943, 'score': 0.8193832599118943, 'examples_seen': 123694, 'step': 7800, 'algorithm': 'bridges'}
{'is_bridge': 0.8333333333333334, 'score': 0.8333333333333334, 'examples_seen': 124473, 'step': 7850, 'algorithm': 'bridges'}
{'is_bridge': 0.7928888888888889, 'score': 0.7928888888888889, 'examples_seen': 125257, 'step': 7900, 'algorithm': 'bridges'}
{'is_bridge': 0.8731617647058824, 'score': 0.8731617647058824, 'examples_seen': 126040, 'step': 7950, 'algorithm': 'bridges'}
{'is_bridge': 0.7941176470588236, 'score': 0.7941176470588236, 'examples_seen': 126860, 'step': 8000, 'algorithm': 'bridges'}
{'is_bridge': 0.8364279398762158, 'score': 0.8364279398762158, 'examples_seen': 127654, 'step': 8050, 'algorithm': 'bridges'}
{'is_bridge': 0.8183520599250936, 'score': 0.8183520599250936, 'examples_seen': 128447, 'step': 8100, 'algorithm': 'bridges'}
{'is_bridge': 0.8102658111824015, 'score': 0.8102658111824015, 'examples_seen': 129242, 'step': 8150, 'algorithm': 'bridges'}
{'is_bridge': 0.7720848056537102, 'score': 0.7720848056537102, 'examples_seen': 130027, 'step': 8200, 'algorithm': 'bridges'}
{'is_bridge': 0.7928994082840236, 'score': 0.7928994082840236, 'examples_seen': 130806, 'step': 8250, 'algorithm': 'bridges'}
{'is_bridge': 0.8031809145129225, 'score': 0.8031809145129225, 'examples_seen': 131584, 'step': 8300, 'algorithm': 'bridges'}
{'is_bridge': 0.8426573426573427, 'score': 0.8426573426573427, 'examples_seen': 132407, 'step': 8350, 'algorithm': 'bridges'}
{'is_bridge': 0.743820224719101, 'score': 0.743820224719101, 'examples_seen': 133208, 'step': 8400, 'algorithm': 'bridges'}
{'is_bridge': 0.8312439729990357, 'score': 0.8312439729990357, 'examples_seen': 133997, 'step': 8450, 'algorithm': 'bridges'}
{'is_bridge': 0.8194594594594595, 'score': 0.8194594594594595, 'examples_seen': 134780, 'step': 8500, 'algorithm': 'bridges'}
{'is_bridge': 0.8098591549295775, 'score': 0.8098591549295775, 'examples_seen': 135570, 'step': 8550, 'algorithm': 'bridges'}
{'is_bridge': 0.7322611163670767, 'score': 0.7322611163670767, 'examples_seen': 136362, 'step': 8600, 'algorithm': 'bridges'}
{'is_bridge': 0.7829977628635347, 'score': 0.7829977628635347, 'examples_seen': 137135, 'step': 8650, 'algorithm': 'bridges'}
{'is_bridge': 0.7566137566137566, 'score': 0.7566137566137566, 'examples_seen': 137954, 'step': 8700, 'algorithm': 'bridges'}
{'is_bridge': 0.7712287712287713, 'score': 0.7712287712287713, 'examples_seen': 138756, 'step': 8750, 'algorithm': 'bridges'}
{'is_bridge': 0.805019305019305, 'score': 0.805019305019305, 'examples_seen': 139540, 'step': 8800, 'algorithm': 'bridges'}
{'is_bridge': 0.8407960199004975, 'score': 0.8407960199004975, 'examples_seen': 140330, 'step': 8850, 'algorithm': 'bridges'}
{'is_bridge': 0.7976539589442815, 'score': 0.7976539589442815, 'examples_seen': 141109, 'step': 8900, 'algorithm': 'bridges'}
{'is_bridge': 0.7967479674796748, 'score': 0.7967479674796748, 'examples_seen': 141899, 'step': 8950, 'algorithm': 'bridges'}
{'is_bridge': 0.8250000000000002, 'score': 0.8250000000000002, 'examples_seen': 142677, 'step': 9000, 'algorithm': 'bridges'}
{'is_bridge': 0.8035320088300221, 'score': 0.8035320088300221, 'examples_seen': 143489, 'step': 9050, 'algorithm': 'bridges'}
{'is_bridge': 0.8293963254593175, 'score': 0.8293963254593175, 'examples_seen': 144301, 'step': 9100, 'algorithm': 'bridges'}
{'is_bridge': 0.8629550321199143, 'score': 0.8629550321199143, 'examples_seen': 145094, 'step': 9150, 'algorithm': 'bridges'}
{'is_bridge': 0.8444902162718847, 'score': 0.8444902162718847, 'examples_seen': 145880, 'step': 9200, 'algorithm': 'bridges'}
{'is_bridge': 0.808134394341291, 'score': 0.808134394341291, 'examples_seen': 146666, 'step': 9250, 'algorithm': 'bridges'}
{'is_bridge': 0.7982300884955753, 'score': 0.7982300884955753, 'examples_seen': 147448, 'step': 9300, 'algorithm': 'bridges'}
{'is_bridge': 0.7740492170022372, 'score': 0.7740492170022372, 'examples_seen': 148230, 'step': 9350, 'algorithm': 'bridges'}
{'is_bridge': 0.8284389489953633, 'score': 0.8284389489953633, 'examples_seen': 149047, 'step': 9400, 'algorithm': 'bridges'}
{'is_bridge': 0.867075664621677, 'score': 0.867075664621677, 'examples_seen': 149855, 'step': 9450, 'algorithm': 'bridges'}
{'is_bridge': 0.8301486199575372, 'score': 0.8301486199575372, 'examples_seen': 150644, 'step': 9500, 'algorithm': 'bridges'}
{'is_bridge': 0.8160152526215443, 'score': 0.8160152526215443, 'examples_seen': 151437, 'step': 9550, 'algorithm': 'bridges'}
{'is_bridge': 0.803088803088803, 'score': 0.803088803088803, 'examples_seen': 152222, 'step': 9600, 'algorithm': 'bridges'}
{'is_bridge': 0.8320158102766798, 'score': 0.8320158102766798, 'examples_seen': 153008, 'step': 9650, 'algorithm': 'bridges'}
{'is_bridge': 0.8571428571428571, 'score': 0.8571428571428571, 'examples_seen': 153803, 'step': 9700, 'algorithm': 'bridges'}
{'is_bridge': 0.8393686165273909, 'score': 0.8393686165273909, 'examples_seen': 154616, 'step': 9750, 'algorithm': 'bridges'}
{'is_bridge': 0.7964125560538117, 'score': 0.7964125560538117, 'examples_seen': 155420, 'step': 9800, 'algorithm': 'bridges'}
{'is_bridge': 0.8116504854368932, 'score': 0.8116504854368932, 'examples_seen': 156214, 'step': 9850, 'algorithm': 'bridges'}
{'is_bridge': 0.8197802197802199, 'score': 0.8197802197802199, 'examples_seen': 157002, 'step': 9900, 'algorithm': 'bridges'}
{'is_bridge': 0.7982261640798226, 'score': 0.7982261640798226, 'examples_seen': 157775, 'step': 9950, 'algorithm': 'bridges'}
