{'match': 0.111328125, 'score': 0.111328125, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
{'match': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 20257, 'step': 1200, 'algorithm': 'kmp_matcher'}
{'match': 0.843994140625, 'score': 0.843994140625, 'examples_seen': 21105, 'step': 1250, 'algorithm': 'kmp_matcher'}
{'match': 0.886474609375, 'score': 0.886474609375, 'examples_seen': 21944, 'step': 1300, 'algorithm': 'kmp_matcher'}
{'match': 0.873291015625, 'score': 0.873291015625, 'examples_seen': 22800, 'step': 1350, 'algorithm': 'kmp_matcher'}
{'match': 0.88720703125, 'score': 0.88720703125, 'examples_seen': 23642, 'step': 1400, 'algorithm': 'kmp_matcher'}
{'match': 0.958740234375, 'score': 0.958740234375, 'examples_seen': 24494, 'step': 1450, 'algorithm': 'kmp_matcher'}
{'match': 0.915283203125, 'score': 0.915283203125, 'examples_seen': 25334, 'step': 1500, 'algorithm': 'kmp_matcher'}
{'match': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 26173, 'step': 1550, 'algorithm': 'kmp_matcher'}
{'match': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 27021, 'step': 1600, 'algorithm': 'kmp_matcher'}
{'match': 0.87353515625, 'score': 0.87353515625, 'examples_seen': 27864, 'step': 1650, 'algorithm': 'kmp_matcher'}
{'match': 0.880859375, 'score': 0.880859375, 'examples_seen': 28701, 'step': 1700, 'algorithm': 'kmp_matcher'}
{'match': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 29542, 'step': 1750, 'algorithm': 'kmp_matcher'}
{'match': 0.96630859375, 'score': 0.96630859375, 'examples_seen': 30375, 'step': 1800, 'algorithm': 'kmp_matcher'}
{'match': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 31226, 'step': 1850, 'algorithm': 'kmp_matcher'}
{'match': 0.948486328125, 'score': 0.948486328125, 'examples_seen': 32069, 'step': 1900, 'algorithm': 'kmp_matcher'}
{'match': 0.96044921875, 'score': 0.96044921875, 'examples_seen': 32914, 'step': 1950, 'algorithm': 'kmp_matcher'}
{'match': 0.937744140625, 'score': 0.937744140625, 'examples_seen': 33752, 'step': 2000, 'algorithm': 'kmp_matcher'}
{'match': 0.962890625, 'score': 0.962890625, 'examples_seen': 34598, 'step': 2050, 'algorithm': 'kmp_matcher'}
{'match': 0.895263671875, 'score': 0.895263671875, 'examples_seen': 35446, 'step': 2100, 'algorithm': 'kmp_matcher'}
{'match': 0.95556640625, 'score': 0.95556640625, 'examples_seen': 36280, 'step': 2150, 'algorithm': 'kmp_matcher'}
{'match': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 37130, 'step': 2200, 'algorithm': 'kmp_matcher'}
{'match': 0.945556640625, 'score': 0.945556640625, 'examples_seen': 37970, 'step': 2250, 'algorithm': 'kmp_matcher'}
{'match': 0.921875, 'score': 0.921875, 'examples_seen': 38807, 'step': 2300, 'algorithm': 'kmp_matcher'}
{'match': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 39662, 'step': 2350, 'algorithm': 'kmp_matcher'}
{'match': 0.950439453125, 'score': 0.950439453125, 'examples_seen': 40496, 'step': 2400, 'algorithm': 'kmp_matcher'}
{'match': 0.963623046875, 'score': 0.963623046875, 'examples_seen': 41335, 'step': 2450, 'algorithm': 'kmp_matcher'}
{'match': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 42168, 'step': 2500, 'algorithm': 'kmp_matcher'}
{'match': 0.943603515625, 'score': 0.943603515625, 'examples_seen': 43016, 'step': 2550, 'algorithm': 'kmp_matcher'}
{'match': 0.961669921875, 'score': 0.961669921875, 'examples_seen': 43857, 'step': 2600, 'algorithm': 'kmp_matcher'}
{'match': 0.83349609375, 'score': 0.83349609375, 'examples_seen': 44700, 'step': 2650, 'algorithm': 'kmp_matcher'}
{'match': 0.871826171875, 'score': 0.871826171875, 'examples_seen': 45549, 'step': 2700, 'algorithm': 'kmp_matcher'}
{'match': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 46395, 'step': 2750, 'algorithm': 'kmp_matcher'}
{'match': 0.97265625, 'score': 0.97265625, 'examples_seen': 47240, 'step': 2800, 'algorithm': 'kmp_matcher'}
{'match': 0.93115234375, 'score': 0.93115234375, 'examples_seen': 48079, 'step': 2850, 'algorithm': 'kmp_matcher'}
{'match': 0.94580078125, 'score': 0.94580078125, 'examples_seen': 48930, 'step': 2900, 'algorithm': 'kmp_matcher'}
{'match': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 49769, 'step': 2950, 'algorithm': 'kmp_matcher'}
{'match': 0.945556640625, 'score': 0.945556640625, 'examples_seen': 50618, 'step': 3000, 'algorithm': 'kmp_matcher'}
{'match': 0.96630859375, 'score': 0.96630859375, 'examples_seen': 51445, 'step': 3050, 'algorithm': 'kmp_matcher'}
{'match': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 52292, 'step': 3100, 'algorithm': 'kmp_matcher'}
{'match': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 53143, 'step': 3150, 'algorithm': 'kmp_matcher'}
{'match': 0.965087890625, 'score': 0.965087890625, 'examples_seen': 53984, 'step': 3200, 'algorithm': 'kmp_matcher'}
{'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 54836, 'step': 3250, 'algorithm': 'kmp_matcher'}
{'match': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 55677, 'step': 3300, 'algorithm': 'kmp_matcher'}
{'match': 0.93603515625, 'score': 0.93603515625, 'examples_seen': 56525, 'step': 3350, 'algorithm': 'kmp_matcher'}
{'match': 0.96435546875, 'score': 0.96435546875, 'examples_seen': 57384, 'step': 3400, 'algorithm': 'kmp_matcher'}
{'match': 0.927001953125, 'score': 0.927001953125, 'examples_seen': 58253, 'step': 3450, 'algorithm': 'kmp_matcher'}
{'match': 0.96484375, 'score': 0.96484375, 'examples_seen': 59103, 'step': 3500, 'algorithm': 'kmp_matcher'}
{'match': 0.946044921875, 'score': 0.946044921875, 'examples_seen': 59943, 'step': 3550, 'algorithm': 'kmp_matcher'}
{'match': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 60789, 'step': 3600, 'algorithm': 'kmp_matcher'}
{'match': 0.96484375, 'score': 0.96484375, 'examples_seen': 61627, 'step': 3650, 'algorithm': 'kmp_matcher'}
{'match': 0.94677734375, 'score': 0.94677734375, 'examples_seen': 62469, 'step': 3700, 'algorithm': 'kmp_matcher'}
{'match': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 63306, 'step': 3750, 'algorithm': 'kmp_matcher'}
{'match': 0.946533203125, 'score': 0.946533203125, 'examples_seen': 64149, 'step': 3800, 'algorithm': 'kmp_matcher'}
{'match': 0.962890625, 'score': 0.962890625, 'examples_seen': 65000, 'step': 3850, 'algorithm': 'kmp_matcher'}
{'match': 0.952392578125, 'score': 0.952392578125, 'examples_seen': 65853, 'step': 3900, 'algorithm': 'kmp_matcher'}
{'match': 0.95947265625, 'score': 0.95947265625, 'examples_seen': 66681, 'step': 3950, 'algorithm': 'kmp_matcher'}
{'match': 0.957275390625, 'score': 0.957275390625, 'examples_seen': 67505, 'step': 4000, 'algorithm': 'kmp_matcher'}
{'match': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 68348, 'step': 4050, 'algorithm': 'kmp_matcher'}
{'match': 0.947265625, 'score': 0.947265625, 'examples_seen': 69198, 'step': 4100, 'algorithm': 'kmp_matcher'}
{'match': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 70036, 'step': 4150, 'algorithm': 'kmp_matcher'}
{'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 70881, 'step': 4200, 'algorithm': 'kmp_matcher'}
{'match': 0.951416015625, 'score': 0.951416015625, 'examples_seen': 71723, 'step': 4250, 'algorithm': 'kmp_matcher'}
{'match': 0.95703125, 'score': 0.95703125, 'examples_seen': 72559, 'step': 4300, 'algorithm': 'kmp_matcher'}
{'match': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 73393, 'step': 4350, 'algorithm': 'kmp_matcher'}
{'match': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 74241, 'step': 4400, 'algorithm': 'kmp_matcher'}
{'match': 0.962890625, 'score': 0.962890625, 'examples_seen': 75087, 'step': 4450, 'algorithm': 'kmp_matcher'}
{'match': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 75932, 'step': 4500, 'algorithm': 'kmp_matcher'}
{'match': 0.948486328125, 'score': 0.948486328125, 'examples_seen': 76785, 'step': 4550, 'algorithm': 'kmp_matcher'}
{'match': 0.936279296875, 'score': 0.936279296875, 'examples_seen': 77637, 'step': 4600, 'algorithm': 'kmp_matcher'}
{'match': 0.950927734375, 'score': 0.950927734375, 'examples_seen': 78473, 'step': 4650, 'algorithm': 'kmp_matcher'}
{'match': 0.93798828125, 'score': 0.93798828125, 'examples_seen': 79325, 'step': 4700, 'algorithm': 'kmp_matcher'}
{'match': 0.9453125, 'score': 0.9453125, 'examples_seen': 80163, 'step': 4750, 'algorithm': 'kmp_matcher'}
{'match': 0.945068359375, 'score': 0.945068359375, 'examples_seen': 81011, 'step': 4800, 'algorithm': 'kmp_matcher'}
{'match': 0.950439453125, 'score': 0.950439453125, 'examples_seen': 81862, 'step': 4850, 'algorithm': 'kmp_matcher'}
{'match': 0.92041015625, 'score': 0.92041015625, 'examples_seen': 82704, 'step': 4900, 'algorithm': 'kmp_matcher'}
{'match': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 83547, 'step': 4950, 'algorithm': 'kmp_matcher'}
{'match': 0.922119140625, 'score': 0.922119140625, 'examples_seen': 84383, 'step': 5000, 'algorithm': 'kmp_matcher'}
{'match': 0.941162109375, 'score': 0.941162109375, 'examples_seen': 85229, 'step': 5050, 'algorithm': 'kmp_matcher'}
{'match': 0.921142578125, 'score': 0.921142578125, 'examples_seen': 86072, 'step': 5100, 'algorithm': 'kmp_matcher'}
{'match': 0.951171875, 'score': 0.951171875, 'examples_seen': 86907, 'step': 5150, 'algorithm': 'kmp_matcher'}
{'match': 0.933349609375, 'score': 0.933349609375, 'examples_seen': 87761, 'step': 5200, 'algorithm': 'kmp_matcher'}
{'match': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 88606, 'step': 5250, 'algorithm': 'kmp_matcher'}
{'match': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 89449, 'step': 5300, 'algorithm': 'kmp_matcher'}
{'match': 0.951416015625, 'score': 0.951416015625, 'examples_seen': 90305, 'step': 5350, 'algorithm': 'kmp_matcher'}
{'match': 0.95751953125, 'score': 0.95751953125, 'examples_seen': 91146, 'step': 5400, 'algorithm': 'kmp_matcher'}
{'match': 0.9375, 'score': 0.9375, 'examples_seen': 91994, 'step': 5450, 'algorithm': 'kmp_matcher'}
{'match': 0.938232421875, 'score': 0.938232421875, 'examples_seen': 92844, 'step': 5500, 'algorithm': 'kmp_matcher'}
{'match': 0.92578125, 'score': 0.92578125, 'examples_seen': 93696, 'step': 5550, 'algorithm': 'kmp_matcher'}
{'match': 0.943359375, 'score': 0.943359375, 'examples_seen': 94530, 'step': 5600, 'algorithm': 'kmp_matcher'}
{'match': 0.935791015625, 'score': 0.935791015625, 'examples_seen': 95379, 'step': 5650, 'algorithm': 'kmp_matcher'}
{'match': 0.939208984375, 'score': 0.939208984375, 'examples_seen': 96214, 'step': 5700, 'algorithm': 'kmp_matcher'}
{'match': 0.926513671875, 'score': 0.926513671875, 'examples_seen': 97058, 'step': 5750, 'algorithm': 'kmp_matcher'}
{'match': 0.927001953125, 'score': 0.927001953125, 'examples_seen': 97918, 'step': 5800, 'algorithm': 'kmp_matcher'}
{'match': 0.912841796875, 'score': 0.912841796875, 'examples_seen': 98776, 'step': 5850, 'algorithm': 'kmp_matcher'}
{'match': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 99617, 'step': 5900, 'algorithm': 'kmp_matcher'}
{'match': 0.875244140625, 'score': 0.875244140625, 'examples_seen': 100462, 'step': 5950, 'algorithm': 'kmp_matcher'}
{'match': 0.93310546875, 'score': 0.93310546875, 'examples_seen': 101316, 'step': 6000, 'algorithm': 'kmp_matcher'}
{'match': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 102158, 'step': 6050, 'algorithm': 'kmp_matcher'}
{'match': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 103004, 'step': 6100, 'algorithm': 'kmp_matcher'}
{'match': 0.922607421875, 'score': 0.922607421875, 'examples_seen': 103852, 'step': 6150, 'algorithm': 'kmp_matcher'}
{'match': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 104697, 'step': 6200, 'algorithm': 'kmp_matcher'}
{'match': 0.915771484375, 'score': 0.915771484375, 'examples_seen': 105544, 'step': 6250, 'algorithm': 'kmp_matcher'}
{'match': 0.88671875, 'score': 0.88671875, 'examples_seen': 106382, 'step': 6300, 'algorithm': 'kmp_matcher'}
{'match': 0.913818359375, 'score': 0.913818359375, 'examples_seen': 107237, 'step': 6350, 'algorithm': 'kmp_matcher'}
{'match': 0.911865234375, 'score': 0.911865234375, 'examples_seen': 108076, 'step': 6400, 'algorithm': 'kmp_matcher'}
{'match': 0.897216796875, 'score': 0.897216796875, 'examples_seen': 108929, 'step': 6450, 'algorithm': 'kmp_matcher'}
{'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 109776, 'step': 6500, 'algorithm': 'kmp_matcher'}
{'match': 0.917236328125, 'score': 0.917236328125, 'examples_seen': 110609, 'step': 6550, 'algorithm': 'kmp_matcher'}
{'match': 0.823974609375, 'score': 0.823974609375, 'examples_seen': 111445, 'step': 6600, 'algorithm': 'kmp_matcher'}
{'match': 0.872314453125, 'score': 0.872314453125, 'examples_seen': 112294, 'step': 6650, 'algorithm': 'kmp_matcher'}
{'match': 0.88525390625, 'score': 0.88525390625, 'examples_seen': 113136, 'step': 6700, 'algorithm': 'kmp_matcher'}
{'match': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 113994, 'step': 6750, 'algorithm': 'kmp_matcher'}
{'match': 0.853515625, 'score': 0.853515625, 'examples_seen': 114832, 'step': 6800, 'algorithm': 'kmp_matcher'}
{'match': 0.867431640625, 'score': 0.867431640625, 'examples_seen': 115679, 'step': 6850, 'algorithm': 'kmp_matcher'}
{'match': 0.888427734375, 'score': 0.888427734375, 'examples_seen': 116517, 'step': 6900, 'algorithm': 'kmp_matcher'}
{'match': 0.92822265625, 'score': 0.92822265625, 'examples_seen': 117358, 'step': 6950, 'algorithm': 'kmp_matcher'}
{'match': 0.88525390625, 'score': 0.88525390625, 'examples_seen': 118196, 'step': 7000, 'algorithm': 'kmp_matcher'}
{'match': 0.883544921875, 'score': 0.883544921875, 'examples_seen': 119054, 'step': 7050, 'algorithm': 'kmp_matcher'}
{'match': 0.860595703125, 'score': 0.860595703125, 'examples_seen': 119905, 'step': 7100, 'algorithm': 'kmp_matcher'}
{'match': 0.791015625, 'score': 0.791015625, 'examples_seen': 120751, 'step': 7150, 'algorithm': 'kmp_matcher'}
{'match': 0.8828125, 'score': 0.8828125, 'examples_seen': 121588, 'step': 7200, 'algorithm': 'kmp_matcher'}
{'match': 0.813720703125, 'score': 0.813720703125, 'examples_seen': 122447, 'step': 7250, 'algorithm': 'kmp_matcher'}
{'match': 0.886962890625, 'score': 0.886962890625, 'examples_seen': 123287, 'step': 7300, 'algorithm': 'kmp_matcher'}
{'match': 0.886474609375, 'score': 0.886474609375, 'examples_seen': 124134, 'step': 7350, 'algorithm': 'kmp_matcher'}
{'match': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 124977, 'step': 7400, 'algorithm': 'kmp_matcher'}
{'match': 0.870361328125, 'score': 0.870361328125, 'examples_seen': 125808, 'step': 7450, 'algorithm': 'kmp_matcher'}
{'match': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 126651, 'step': 7500, 'algorithm': 'kmp_matcher'}
{'match': 0.905517578125, 'score': 0.905517578125, 'examples_seen': 127507, 'step': 7550, 'algorithm': 'kmp_matcher'}
{'match': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 128343, 'step': 7600, 'algorithm': 'kmp_matcher'}
{'match': 0.77197265625, 'score': 0.77197265625, 'examples_seen': 129198, 'step': 7650, 'algorithm': 'kmp_matcher'}
{'match': 0.80419921875, 'score': 0.80419921875, 'examples_seen': 130059, 'step': 7700, 'algorithm': 'kmp_matcher'}
{'match': 0.80859375, 'score': 0.80859375, 'examples_seen': 130915, 'step': 7750, 'algorithm': 'kmp_matcher'}
{'match': 0.771484375, 'score': 0.771484375, 'examples_seen': 131747, 'step': 7800, 'algorithm': 'kmp_matcher'}
{'match': 0.738525390625, 'score': 0.738525390625, 'examples_seen': 132583, 'step': 7850, 'algorithm': 'kmp_matcher'}
{'match': 0.823974609375, 'score': 0.823974609375, 'examples_seen': 133421, 'step': 7900, 'algorithm': 'kmp_matcher'}
{'match': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 134269, 'step': 7950, 'algorithm': 'kmp_matcher'}
{'match': 0.875732421875, 'score': 0.875732421875, 'examples_seen': 135114, 'step': 8000, 'algorithm': 'kmp_matcher'}
{'match': 0.816162109375, 'score': 0.816162109375, 'examples_seen': 135971, 'step': 8050, 'algorithm': 'kmp_matcher'}
{'match': 0.830078125, 'score': 0.830078125, 'examples_seen': 136803, 'step': 8100, 'algorithm': 'kmp_matcher'}
{'match': 0.81103515625, 'score': 0.81103515625, 'examples_seen': 137654, 'step': 8150, 'algorithm': 'kmp_matcher'}
{'match': 0.86962890625, 'score': 0.86962890625, 'examples_seen': 138499, 'step': 8200, 'algorithm': 'kmp_matcher'}
{'match': 0.830810546875, 'score': 0.830810546875, 'examples_seen': 139342, 'step': 8250, 'algorithm': 'kmp_matcher'}
{'match': 0.824951171875, 'score': 0.824951171875, 'examples_seen': 140180, 'step': 8300, 'algorithm': 'kmp_matcher'}
{'match': 0.816650390625, 'score': 0.816650390625, 'examples_seen': 141018, 'step': 8350, 'algorithm': 'kmp_matcher'}
{'match': 0.87255859375, 'score': 0.87255859375, 'examples_seen': 141853, 'step': 8400, 'algorithm': 'kmp_matcher'}
{'match': 0.753662109375, 'score': 0.753662109375, 'examples_seen': 142690, 'step': 8450, 'algorithm': 'kmp_matcher'}
{'match': 0.814208984375, 'score': 0.814208984375, 'examples_seen': 143537, 'step': 8500, 'algorithm': 'kmp_matcher'}
{'match': 0.772705078125, 'score': 0.772705078125, 'examples_seen': 144375, 'step': 8550, 'algorithm': 'kmp_matcher'}
{'match': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 145235, 'step': 8600, 'algorithm': 'kmp_matcher'}
{'match': 0.737548828125, 'score': 0.737548828125, 'examples_seen': 146076, 'step': 8650, 'algorithm': 'kmp_matcher'}
{'match': 0.67822265625, 'score': 0.67822265625, 'examples_seen': 146925, 'step': 8700, 'algorithm': 'kmp_matcher'}
{'match': 0.812744140625, 'score': 0.812744140625, 'examples_seen': 147751, 'step': 8750, 'algorithm': 'kmp_matcher'}
{'match': 0.710693359375, 'score': 0.710693359375, 'examples_seen': 148600, 'step': 8800, 'algorithm': 'kmp_matcher'}
{'match': 0.85009765625, 'score': 0.85009765625, 'examples_seen': 149457, 'step': 8850, 'algorithm': 'kmp_matcher'}
{'match': 0.794189453125, 'score': 0.794189453125, 'examples_seen': 150302, 'step': 8900, 'algorithm': 'kmp_matcher'}
{'match': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 151146, 'step': 8950, 'algorithm': 'kmp_matcher'}
{'match': 0.797607421875, 'score': 0.797607421875, 'examples_seen': 152007, 'step': 9000, 'algorithm': 'kmp_matcher'}
{'match': 0.75927734375, 'score': 0.75927734375, 'examples_seen': 152844, 'step': 9050, 'algorithm': 'kmp_matcher'}
{'match': 0.60302734375, 'score': 0.60302734375, 'examples_seen': 153689, 'step': 9100, 'algorithm': 'kmp_matcher'}
{'match': 0.62109375, 'score': 0.62109375, 'examples_seen': 154535, 'step': 9150, 'algorithm': 'kmp_matcher'}
{'match': 0.728271484375, 'score': 0.728271484375, 'examples_seen': 155379, 'step': 9200, 'algorithm': 'kmp_matcher'}
{'match': 0.704345703125, 'score': 0.704345703125, 'examples_seen': 156225, 'step': 9250, 'algorithm': 'kmp_matcher'}
{'match': 0.823974609375, 'score': 0.823974609375, 'examples_seen': 157063, 'step': 9300, 'algorithm': 'kmp_matcher'}
{'match': 0.730712890625, 'score': 0.730712890625, 'examples_seen': 157919, 'step': 9350, 'algorithm': 'kmp_matcher'}
{'match': 0.73193359375, 'score': 0.73193359375, 'examples_seen': 158754, 'step': 9400, 'algorithm': 'kmp_matcher'}
{'match': 0.6474609375, 'score': 0.6474609375, 'examples_seen': 159590, 'step': 9450, 'algorithm': 'kmp_matcher'}
{'match': 0.773681640625, 'score': 0.773681640625, 'examples_seen': 160432, 'step': 9500, 'algorithm': 'kmp_matcher'}
{'match': 0.681396484375, 'score': 0.681396484375, 'examples_seen': 161274, 'step': 9550, 'algorithm': 'kmp_matcher'}
{'match': 0.607666015625, 'score': 0.607666015625, 'examples_seen': 162118, 'step': 9600, 'algorithm': 'kmp_matcher'}
{'match': 0.649169921875, 'score': 0.649169921875, 'examples_seen': 162956, 'step': 9650, 'algorithm': 'kmp_matcher'}
{'match': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 163814, 'step': 9700, 'algorithm': 'kmp_matcher'}
{'match': 0.67138671875, 'score': 0.67138671875, 'examples_seen': 164657, 'step': 9750, 'algorithm': 'kmp_matcher'}
{'match': 0.759765625, 'score': 0.759765625, 'examples_seen': 165507, 'step': 9800, 'algorithm': 'kmp_matcher'}
{'match': 0.719970703125, 'score': 0.719970703125, 'examples_seen': 166351, 'step': 9850, 'algorithm': 'kmp_matcher'}
{'match': 0.79150390625, 'score': 0.79150390625, 'examples_seen': 167181, 'step': 9900, 'algorithm': 'kmp_matcher'}
{'match': 0.749755859375, 'score': 0.749755859375, 'examples_seen': 168023, 'step': 9950, 'algorithm': 'kmp_matcher'}
