{'selected': 0.0, 'score': 0.0, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
{'selected': 0.9425287356321839, 'score': 0.9425287356321839, 'examples_seen': 278768, 'step': 7000, 'algorithm': 'task_scheduling'}
{'selected': 0.9541697971450037, 'score': 0.9541697971450037, 'examples_seen': 280752, 'step': 7050, 'algorithm': 'task_scheduling'}
{'selected': 0.9586410635155096, 'score': 0.9586410635155096, 'examples_seen': 282736, 'step': 7100, 'algorithm': 'task_scheduling'}
{'selected': 0.9394572025052191, 'score': 0.9394572025052191, 'examples_seen': 284720, 'step': 7150, 'algorithm': 'task_scheduling'}
{'selected': 0.9687964338781574, 'score': 0.9687964338781574, 'examples_seen': 286672, 'step': 7200, 'algorithm': 'task_scheduling'}
{'selected': 0.958924570575056, 'score': 0.958924570575056, 'examples_seen': 288640, 'step': 7250, 'algorithm': 'task_scheduling'}
{'selected': 0.9669172932330827, 'score': 0.9669172932330827, 'examples_seen': 290688, 'step': 7300, 'algorithm': 'task_scheduling'}
{'selected': 0.9463722397476341, 'score': 0.9463722397476341, 'examples_seen': 292688, 'step': 7350, 'algorithm': 'task_scheduling'}
{'selected': 0.9570909090909091, 'score': 0.9570909090909091, 'examples_seen': 294688, 'step': 7400, 'algorithm': 'task_scheduling'}
{'selected': 0.9592290585618978, 'score': 0.9592290585618978, 'examples_seen': 296672, 'step': 7450, 'algorithm': 'task_scheduling'}
{'selected': 0.9513742071881606, 'score': 0.9513742071881606, 'examples_seen': 298624, 'step': 7500, 'algorithm': 'task_scheduling'}
{'selected': 0.9486623282718728, 'score': 0.9486623282718728, 'examples_seen': 300624, 'step': 7550, 'algorithm': 'task_scheduling'}
{'selected': 0.9565217391304349, 'score': 0.9565217391304349, 'examples_seen': 302576, 'step': 7600, 'algorithm': 'task_scheduling'}
{'selected': 0.954307116104869, 'score': 0.954307116104869, 'examples_seen': 304608, 'step': 7650, 'algorithm': 'task_scheduling'}
{'selected': 0.9723076923076923, 'score': 0.9723076923076923, 'examples_seen': 306640, 'step': 7700, 'algorithm': 'task_scheduling'}
{'selected': 0.9561815336463223, 'score': 0.9561815336463223, 'examples_seen': 308608, 'step': 7750, 'algorithm': 'task_scheduling'}
{'selected': 0.9447310243183493, 'score': 0.9447310243183493, 'examples_seen': 310608, 'step': 7800, 'algorithm': 'task_scheduling'}
{'selected': 0.9444444444444445, 'score': 0.9444444444444445, 'examples_seen': 312576, 'step': 7850, 'algorithm': 'task_scheduling'}
{'selected': 0.9612856099342585, 'score': 0.9612856099342585, 'examples_seen': 314528, 'step': 7900, 'algorithm': 'task_scheduling'}
{'selected': 0.9538461538461539, 'score': 0.9538461538461539, 'examples_seen': 316528, 'step': 7950, 'algorithm': 'task_scheduling'}
{'selected': 0.9462209302325582, 'score': 0.9462209302325582, 'examples_seen': 318528, 'step': 8000, 'algorithm': 'task_scheduling'}
{'selected': 0.9600591715976332, 'score': 0.9600591715976332, 'examples_seen': 320560, 'step': 8050, 'algorithm': 'task_scheduling'}
{'selected': 0.9631205673758866, 'score': 0.9631205673758866, 'examples_seen': 322544, 'step': 8100, 'algorithm': 'task_scheduling'}
{'selected': 0.9569811320754718, 'score': 0.9569811320754718, 'examples_seen': 324528, 'step': 8150, 'algorithm': 'task_scheduling'}
{'selected': 0.9692423105776445, 'score': 0.9692423105776445, 'examples_seen': 326528, 'step': 8200, 'algorithm': 'task_scheduling'}
{'selected': 0.9593023255813953, 'score': 0.9593023255813953, 'examples_seen': 328464, 'step': 8250, 'algorithm': 'task_scheduling'}
{'selected': 0.9495677233429396, 'score': 0.9495677233429396, 'examples_seen': 330432, 'step': 8300, 'algorithm': 'task_scheduling'}
{'selected': 0.95679012345679, 'score': 0.95679012345679, 'examples_seen': 332480, 'step': 8350, 'algorithm': 'task_scheduling'}
{'selected': 0.96602658788774, 'score': 0.96602658788774, 'examples_seen': 334480, 'step': 8400, 'algorithm': 'task_scheduling'}
{'selected': 0.9688888888888889, 'score': 0.9688888888888889, 'examples_seen': 336480, 'step': 8450, 'algorithm': 'task_scheduling'}
{'selected': 0.9711684370257966, 'score': 0.9711684370257966, 'examples_seen': 338464, 'step': 8500, 'algorithm': 'task_scheduling'}
{'selected': 0.9514563106796117, 'score': 0.9514563106796117, 'examples_seen': 340432, 'step': 8550, 'algorithm': 'task_scheduling'}
{'selected': 0.9628550619082301, 'score': 0.9628550619082301, 'examples_seen': 342416, 'step': 8600, 'algorithm': 'task_scheduling'}
{'selected': 0.962962962962963, 'score': 0.962962962962963, 'examples_seen': 344368, 'step': 8650, 'algorithm': 'task_scheduling'}
{'selected': 0.9686783804430863, 'score': 0.9686783804430863, 'examples_seen': 346400, 'step': 8700, 'algorithm': 'task_scheduling'}
{'selected': 0.9453237410071943, 'score': 0.9453237410071943, 'examples_seen': 348432, 'step': 8750, 'algorithm': 'task_scheduling'}
{'selected': 0.9528795811518324, 'score': 0.9528795811518324, 'examples_seen': 350416, 'step': 8800, 'algorithm': 'task_scheduling'}
{'selected': 0.9730134932533733, 'score': 0.9730134932533733, 'examples_seen': 352400, 'step': 8850, 'algorithm': 'task_scheduling'}
{'selected': 0.9641255605381166, 'score': 0.9641255605381166, 'examples_seen': 354368, 'step': 8900, 'algorithm': 'task_scheduling'}
{'selected': 0.967982129560685, 'score': 0.967982129560685, 'examples_seen': 356320, 'step': 8950, 'algorithm': 'task_scheduling'}
{'selected': 0.9655688622754491, 'score': 0.9655688622754491, 'examples_seen': 358320, 'step': 9000, 'algorithm': 'task_scheduling'}
{'selected': 0.9617083946980854, 'score': 0.9617083946980854, 'examples_seen': 360320, 'step': 9050, 'algorithm': 'task_scheduling'}
{'selected': 0.9626436781609194, 'score': 0.9626436781609194, 'examples_seen': 362352, 'step': 9100, 'algorithm': 'task_scheduling'}
{'selected': 0.9486623282718727, 'score': 0.9486623282718727, 'examples_seen': 364352, 'step': 9150, 'algorithm': 'task_scheduling'}
{'selected': 0.9640718562874252, 'score': 0.9640718562874252, 'examples_seen': 366320, 'step': 9200, 'algorithm': 'task_scheduling'}
{'selected': 0.9479090242112985, 'score': 0.9479090242112985, 'examples_seen': 368320, 'step': 9250, 'algorithm': 'task_scheduling'}
{'selected': 0.9609432571849668, 'score': 0.9609432571849668, 'examples_seen': 370272, 'step': 9300, 'algorithm': 'task_scheduling'}
{'selected': 0.9593869731800766, 'score': 0.9593869731800766, 'examples_seen': 372240, 'step': 9350, 'algorithm': 'task_scheduling'}
{'selected': 0.9673676577229876, 'score': 0.9673676577229876, 'examples_seen': 374288, 'step': 9400, 'algorithm': 'task_scheduling'}
{'selected': 0.9575671852899575, 'score': 0.9575671852899575, 'examples_seen': 376288, 'step': 9450, 'algorithm': 'task_scheduling'}
{'selected': 0.9659090909090909, 'score': 0.9659090909090909, 'examples_seen': 378304, 'step': 9500, 'algorithm': 'task_scheduling'}
{'selected': 0.9689629068887206, 'score': 0.9689629068887206, 'examples_seen': 380272, 'step': 9550, 'algorithm': 'task_scheduling'}
{'selected': 0.9527836504580691, 'score': 0.9527836504580691, 'examples_seen': 382240, 'step': 9600, 'algorithm': 'task_scheduling'}
{'selected': 0.9488103821196827, 'score': 0.9488103821196827, 'examples_seen': 384224, 'step': 9650, 'algorithm': 'task_scheduling'}
{'selected': 0.9588447653429604, 'score': 0.9588447653429604, 'examples_seen': 386176, 'step': 9700, 'algorithm': 'task_scheduling'}
{'selected': 0.9647577092511013, 'score': 0.9647577092511013, 'examples_seen': 388224, 'step': 9750, 'algorithm': 'task_scheduling'}
{'selected': 0.9696531791907514, 'score': 0.9696531791907514, 'examples_seen': 390240, 'step': 9800, 'algorithm': 'task_scheduling'}
{'selected': 0.9543754674644728, 'score': 0.9543754674644728, 'examples_seen': 392224, 'step': 9850, 'algorithm': 'task_scheduling'}
{'selected': 0.9491790461297888, 'score': 0.9491790461297888, 'examples_seen': 394208, 'step': 9900, 'algorithm': 'task_scheduling'}
{'selected': 0.9595885378398237, 'score': 0.9595885378398237, 'examples_seen': 396176, 'step': 9950, 'algorithm': 'task_scheduling'}
