{'match': 0.103759765625, 'score': 0.103759765625, 'examples_seen': 26, 'step': 0, 'algorithm': 'naive_string_matcher'}
{'match': 0.97412109375, 'score': 0.97412109375, 'examples_seen': 40229, 'step': 1750, 'algorithm': 'naive_string_matcher'}
{'match': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 41362, 'step': 1800, 'algorithm': 'naive_string_matcher'}
{'match': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 42500, 'step': 1850, 'algorithm': 'naive_string_matcher'}
{'match': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 43646, 'step': 1900, 'algorithm': 'naive_string_matcher'}
{'match': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 44795, 'step': 1950, 'algorithm': 'naive_string_matcher'}
{'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 45955, 'step': 2000, 'algorithm': 'naive_string_matcher'}
{'match': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 47112, 'step': 2050, 'algorithm': 'naive_string_matcher'}
{'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 48251, 'step': 2100, 'algorithm': 'naive_string_matcher'}
{'match': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 49409, 'step': 2150, 'algorithm': 'naive_string_matcher'}
{'match': 0.932373046875, 'score': 0.932373046875, 'examples_seen': 50569, 'step': 2200, 'algorithm': 'naive_string_matcher'}
{'match': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 51698, 'step': 2250, 'algorithm': 'naive_string_matcher'}
{'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 52834, 'step': 2300, 'algorithm': 'naive_string_matcher'}
{'match': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 54001, 'step': 2350, 'algorithm': 'naive_string_matcher'}
{'match': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 55159, 'step': 2400, 'algorithm': 'naive_string_matcher'}
{'match': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 56306, 'step': 2450, 'algorithm': 'naive_string_matcher'}
{'match': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 57477, 'step': 2500, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 58672, 'step': 2550, 'algorithm': 'naive_string_matcher'}
{'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 59811, 'step': 2600, 'algorithm': 'naive_string_matcher'}
{'match': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 60965, 'step': 2650, 'algorithm': 'naive_string_matcher'}
{'match': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 62117, 'step': 2700, 'algorithm': 'naive_string_matcher'}
{'match': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 63250, 'step': 2750, 'algorithm': 'naive_string_matcher'}
{'match': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 64401, 'step': 2800, 'algorithm': 'naive_string_matcher'}
{'match': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 65562, 'step': 2850, 'algorithm': 'naive_string_matcher'}
{'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 66702, 'step': 2900, 'algorithm': 'naive_string_matcher'}
{'match': 0.974609375, 'score': 0.974609375, 'examples_seen': 67815, 'step': 2950, 'algorithm': 'naive_string_matcher'}
{'match': 0.960693359375, 'score': 0.960693359375, 'examples_seen': 68967, 'step': 3000, 'algorithm': 'naive_string_matcher'}
{'match': 0.978515625, 'score': 0.978515625, 'examples_seen': 70122, 'step': 3050, 'algorithm': 'naive_string_matcher'}
{'match': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 71263, 'step': 3100, 'algorithm': 'naive_string_matcher'}
{'match': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 72401, 'step': 3150, 'algorithm': 'naive_string_matcher'}
{'match': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 73527, 'step': 3200, 'algorithm': 'naive_string_matcher'}
{'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 74695, 'step': 3250, 'algorithm': 'naive_string_matcher'}
{'match': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 75833, 'step': 3300, 'algorithm': 'naive_string_matcher'}
{'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 76992, 'step': 3350, 'algorithm': 'naive_string_matcher'}
{'match': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 78154, 'step': 3400, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 79315, 'step': 3450, 'algorithm': 'naive_string_matcher'}
{'match': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 80459, 'step': 3500, 'algorithm': 'naive_string_matcher'}
{'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 81619, 'step': 3550, 'algorithm': 'naive_string_matcher'}
{'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 82754, 'step': 3600, 'algorithm': 'naive_string_matcher'}
{'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 83899, 'step': 3650, 'algorithm': 'naive_string_matcher'}
{'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 85049, 'step': 3700, 'algorithm': 'naive_string_matcher'}
{'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 86196, 'step': 3750, 'algorithm': 'naive_string_matcher'}
{'match': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 87334, 'step': 3800, 'algorithm': 'naive_string_matcher'}
{'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 88507, 'step': 3850, 'algorithm': 'naive_string_matcher'}
{'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 89664, 'step': 3900, 'algorithm': 'naive_string_matcher'}
{'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 90812, 'step': 3950, 'algorithm': 'naive_string_matcher'}
{'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 91975, 'step': 4000, 'algorithm': 'naive_string_matcher'}
{'match': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 93135, 'step': 4050, 'algorithm': 'naive_string_matcher'}
{'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 94286, 'step': 4100, 'algorithm': 'naive_string_matcher'}
{'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 95437, 'step': 4150, 'algorithm': 'naive_string_matcher'}
{'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 96573, 'step': 4200, 'algorithm': 'naive_string_matcher'}
{'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 97748, 'step': 4250, 'algorithm': 'naive_string_matcher'}
{'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 98921, 'step': 4300, 'algorithm': 'naive_string_matcher'}
{'match': 0.990234375, 'score': 0.990234375, 'examples_seen': 100063, 'step': 4350, 'algorithm': 'naive_string_matcher'}
{'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 101231, 'step': 4400, 'algorithm': 'naive_string_matcher'}
{'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 102381, 'step': 4450, 'algorithm': 'naive_string_matcher'}
{'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 103533, 'step': 4500, 'algorithm': 'naive_string_matcher'}
{'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 104695, 'step': 4550, 'algorithm': 'naive_string_matcher'}
{'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 105853, 'step': 4600, 'algorithm': 'naive_string_matcher'}
{'match': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 106995, 'step': 4650, 'algorithm': 'naive_string_matcher'}
{'match': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 108139, 'step': 4700, 'algorithm': 'naive_string_matcher'}
{'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 109298, 'step': 4750, 'algorithm': 'naive_string_matcher'}
{'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 110433, 'step': 4800, 'algorithm': 'naive_string_matcher'}
{'match': 0.99560546875, 'score': 0.99560546875, 'examples_seen': 111572, 'step': 4850, 'algorithm': 'naive_string_matcher'}
{'match': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 112721, 'step': 4900, 'algorithm': 'naive_string_matcher'}
{'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 113881, 'step': 4950, 'algorithm': 'naive_string_matcher'}
{'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 115026, 'step': 5000, 'algorithm': 'naive_string_matcher'}
{'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 116173, 'step': 5050, 'algorithm': 'naive_string_matcher'}
{'match': 0.99658203125, 'score': 0.99658203125, 'examples_seen': 117311, 'step': 5100, 'algorithm': 'naive_string_matcher'}
{'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 118459, 'step': 5150, 'algorithm': 'naive_string_matcher'}
{'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 119626, 'step': 5200, 'algorithm': 'naive_string_matcher'}
{'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 120787, 'step': 5250, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 121932, 'step': 5300, 'algorithm': 'naive_string_matcher'}
{'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 123085, 'step': 5350, 'algorithm': 'naive_string_matcher'}
{'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 124243, 'step': 5400, 'algorithm': 'naive_string_matcher'}
{'match': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 125371, 'step': 5450, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 126525, 'step': 5500, 'algorithm': 'naive_string_matcher'}
{'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 127678, 'step': 5550, 'algorithm': 'naive_string_matcher'}
{'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 128828, 'step': 5600, 'algorithm': 'naive_string_matcher'}
{'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 130014, 'step': 5650, 'algorithm': 'naive_string_matcher'}
{'match': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 131174, 'step': 5700, 'algorithm': 'naive_string_matcher'}
{'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 132300, 'step': 5750, 'algorithm': 'naive_string_matcher'}
{'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 133439, 'step': 5800, 'algorithm': 'naive_string_matcher'}
{'match': 0.99755859375, 'score': 0.99755859375, 'examples_seen': 134591, 'step': 5850, 'algorithm': 'naive_string_matcher'}
{'match': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 135760, 'step': 5900, 'algorithm': 'naive_string_matcher'}
{'match': 0.9921875, 'score': 0.9921875, 'examples_seen': 136902, 'step': 5950, 'algorithm': 'naive_string_matcher'}
{'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 138057, 'step': 6000, 'algorithm': 'naive_string_matcher'}
{'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 139197, 'step': 6050, 'algorithm': 'naive_string_matcher'}
{'match': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 140347, 'step': 6100, 'algorithm': 'naive_string_matcher'}
{'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 141485, 'step': 6150, 'algorithm': 'naive_string_matcher'}
{'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 142605, 'step': 6200, 'algorithm': 'naive_string_matcher'}
{'match': 0.99853515625, 'score': 0.99853515625, 'examples_seen': 143758, 'step': 6250, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 144928, 'step': 6300, 'algorithm': 'naive_string_matcher'}
{'match': 0.997802734375, 'score': 0.997802734375, 'examples_seen': 146083, 'step': 6350, 'algorithm': 'naive_string_matcher'}
{'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 147225, 'step': 6400, 'algorithm': 'naive_string_matcher'}
{'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 148373, 'step': 6450, 'algorithm': 'naive_string_matcher'}
{'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 149550, 'step': 6500, 'algorithm': 'naive_string_matcher'}
{'match': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 150696, 'step': 6550, 'algorithm': 'naive_string_matcher'}
{'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 151857, 'step': 6600, 'algorithm': 'naive_string_matcher'}
{'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 152999, 'step': 6650, 'algorithm': 'naive_string_matcher'}
{'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 154163, 'step': 6700, 'algorithm': 'naive_string_matcher'}
{'match': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 155311, 'step': 6750, 'algorithm': 'naive_string_matcher'}
{'match': 0.984375, 'score': 0.984375, 'examples_seen': 156465, 'step': 6800, 'algorithm': 'naive_string_matcher'}
{'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 157624, 'step': 6850, 'algorithm': 'naive_string_matcher'}
{'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 158760, 'step': 6900, 'algorithm': 'naive_string_matcher'}
{'match': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 159909, 'step': 6950, 'algorithm': 'naive_string_matcher'}
{'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 161044, 'step': 7000, 'algorithm': 'naive_string_matcher'}
{'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 162186, 'step': 7050, 'algorithm': 'naive_string_matcher'}
{'match': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 163334, 'step': 7100, 'algorithm': 'naive_string_matcher'}
{'match': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 164499, 'step': 7150, 'algorithm': 'naive_string_matcher'}
{'match': 0.998779296875, 'score': 0.998779296875, 'examples_seen': 165654, 'step': 7200, 'algorithm': 'naive_string_matcher'}
{'match': 0.99755859375, 'score': 0.99755859375, 'examples_seen': 166795, 'step': 7250, 'algorithm': 'naive_string_matcher'}
{'match': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 167933, 'step': 7300, 'algorithm': 'naive_string_matcher'}
{'match': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 169077, 'step': 7350, 'algorithm': 'naive_string_matcher'}
{'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 170212, 'step': 7400, 'algorithm': 'naive_string_matcher'}
{'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 171382, 'step': 7450, 'algorithm': 'naive_string_matcher'}
{'match': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 172525, 'step': 7500, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 173676, 'step': 7550, 'algorithm': 'naive_string_matcher'}
{'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 174849, 'step': 7600, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 176001, 'step': 7650, 'algorithm': 'naive_string_matcher'}
{'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 177171, 'step': 7700, 'algorithm': 'naive_string_matcher'}
{'match': 0.9921875, 'score': 0.9921875, 'examples_seen': 178308, 'step': 7750, 'algorithm': 'naive_string_matcher'}
{'match': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 179458, 'step': 7800, 'algorithm': 'naive_string_matcher'}
{'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 180609, 'step': 7850, 'algorithm': 'naive_string_matcher'}
{'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 181769, 'step': 7900, 'algorithm': 'naive_string_matcher'}
{'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 182926, 'step': 7950, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 184066, 'step': 8000, 'algorithm': 'naive_string_matcher'}
{'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 185231, 'step': 8050, 'algorithm': 'naive_string_matcher'}
{'match': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 186375, 'step': 8100, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 187516, 'step': 8150, 'algorithm': 'naive_string_matcher'}
{'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 188688, 'step': 8200, 'algorithm': 'naive_string_matcher'}
{'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 189856, 'step': 8250, 'algorithm': 'naive_string_matcher'}
{'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 191029, 'step': 8300, 'algorithm': 'naive_string_matcher'}
{'match': 0.99365234375, 'score': 0.99365234375, 'examples_seen': 192202, 'step': 8350, 'algorithm': 'naive_string_matcher'}
{'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 193367, 'step': 8400, 'algorithm': 'naive_string_matcher'}
{'match': 0.993896484375, 'score': 0.993896484375, 'examples_seen': 194511, 'step': 8450, 'algorithm': 'naive_string_matcher'}
{'match': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 195633, 'step': 8500, 'algorithm': 'naive_string_matcher'}
{'match': 0.997802734375, 'score': 0.997802734375, 'examples_seen': 196779, 'step': 8550, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 197943, 'step': 8600, 'algorithm': 'naive_string_matcher'}
{'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 199113, 'step': 8650, 'algorithm': 'naive_string_matcher'}
{'match': 0.993896484375, 'score': 0.993896484375, 'examples_seen': 200296, 'step': 8700, 'algorithm': 'naive_string_matcher'}
{'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 201445, 'step': 8750, 'algorithm': 'naive_string_matcher'}
{'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 202603, 'step': 8800, 'algorithm': 'naive_string_matcher'}
{'match': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 203742, 'step': 8850, 'algorithm': 'naive_string_matcher'}
{'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 204892, 'step': 8900, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 206048, 'step': 8950, 'algorithm': 'naive_string_matcher'}
{'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 207190, 'step': 9000, 'algorithm': 'naive_string_matcher'}
{'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 208365, 'step': 9050, 'algorithm': 'naive_string_matcher'}
{'match': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 209527, 'step': 9100, 'algorithm': 'naive_string_matcher'}
{'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 210675, 'step': 9150, 'algorithm': 'naive_string_matcher'}
{'match': 0.999755859375, 'score': 0.999755859375, 'examples_seen': 211818, 'step': 9200, 'algorithm': 'naive_string_matcher'}
{'match': 0.99560546875, 'score': 0.99560546875, 'examples_seen': 212971, 'step': 9250, 'algorithm': 'naive_string_matcher'}
{'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 214112, 'step': 9300, 'algorithm': 'naive_string_matcher'}
{'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 215269, 'step': 9350, 'algorithm': 'naive_string_matcher'}
{'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 216443, 'step': 9400, 'algorithm': 'naive_string_matcher'}
{'match': 0.99267578125, 'score': 0.99267578125, 'examples_seen': 217593, 'step': 9450, 'algorithm': 'naive_string_matcher'}
{'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 218754, 'step': 9500, 'algorithm': 'naive_string_matcher'}
{'match': 0.993896484375, 'score': 0.993896484375, 'examples_seen': 219909, 'step': 9550, 'algorithm': 'naive_string_matcher'}
{'match': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 221061, 'step': 9600, 'algorithm': 'naive_string_matcher'}
{'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 222236, 'step': 9650, 'algorithm': 'naive_string_matcher'}
{'match': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 223373, 'step': 9700, 'algorithm': 'naive_string_matcher'}
{'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 224523, 'step': 9750, 'algorithm': 'naive_string_matcher'}
{'match': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 225680, 'step': 9800, 'algorithm': 'naive_string_matcher'}
{'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 226843, 'step': 9850, 'algorithm': 'naive_string_matcher'}
{'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 228014, 'step': 9900, 'algorithm': 'naive_string_matcher'}
{'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 229152, 'step': 9950, 'algorithm': 'naive_string_matcher'}
