I0716 22:13:04.932263 129552255399424 run.py:722] (val) algo mst_prim step 0: {'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0716 22:15:31.285050 129552255399424 run.py:722] (val) algo mst_prim step 1150: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 64932, 'step': 1150, 'algorithm': 'mst_prim'}
I0716 22:15:33.202447 129552255399424 run.py:722] (val) algo mst_prim step 1200: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 67725, 'step': 1200, 'algorithm': 'mst_prim'}
I0716 22:15:35.135660 129552255399424 run.py:722] (val) algo mst_prim step 1250: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 70522, 'step': 1250, 'algorithm': 'mst_prim'}
I0716 22:15:37.106763 129552255399424 run.py:722] (val) algo mst_prim step 1300: {'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 73301, 'step': 1300, 'algorithm': 'mst_prim'}
I0716 22:15:39.108757 129552255399424 run.py:722] (val) algo mst_prim step 1350: {'pi': 0.8984375, 'score': 0.8984375, 'examples_seen': 76206, 'step': 1350, 'algorithm': 'mst_prim'}
I0716 22:15:41.032013 129552255399424 run.py:722] (val) algo mst_prim step 1400: {'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 79065, 'step': 1400, 'algorithm': 'mst_prim'}
I0716 22:15:43.009245 129552255399424 run.py:722] (val) algo mst_prim step 1450: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 81899, 'step': 1450, 'algorithm': 'mst_prim'}
I0716 22:15:44.866837 129552255399424 run.py:722] (val) algo mst_prim step 1500: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 84668, 'step': 1500, 'algorithm': 'mst_prim'}
I0716 22:15:46.766294 129552255399424 run.py:722] (val) algo mst_prim step 1550: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 87452, 'step': 1550, 'algorithm': 'mst_prim'}
I0716 22:15:48.684779 129552255399424 run.py:722] (val) algo mst_prim step 1600: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'mst_prim'}
I0716 22:15:50.596290 129552255399424 run.py:722] (val) algo mst_prim step 1650: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'mst_prim'}
I0716 22:15:52.476330 129552255399424 run.py:722] (val) algo mst_prim step 1700: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'mst_prim'}
I0716 22:15:54.375291 129552255399424 run.py:722] (val) algo mst_prim step 1750: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'mst_prim'}
I0716 22:15:56.250473 129552255399424 run.py:722] (val) algo mst_prim step 1800: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'mst_prim'}
I0716 22:15:58.187618 129552255399424 run.py:722] (val) algo mst_prim step 1850: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'mst_prim'}
I0716 22:16:00.039369 129552255399424 run.py:722] (val) algo mst_prim step 1900: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'mst_prim'}
I0716 22:16:02.009155 129552255399424 run.py:722] (val) algo mst_prim step 1950: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'mst_prim'}
I0716 22:16:03.988492 129552255399424 run.py:722] (val) algo mst_prim step 2000: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'mst_prim'}
I0716 22:16:05.864553 129552255399424 run.py:722] (val) algo mst_prim step 2050: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'mst_prim'}
I0716 22:16:07.728991 129552255399424 run.py:722] (val) algo mst_prim step 2100: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'mst_prim'}
I0716 22:16:09.676558 129552255399424 run.py:722] (val) algo mst_prim step 2150: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'mst_prim'}
I0716 22:16:11.571239 129552255399424 run.py:722] (val) algo mst_prim step 2200: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'mst_prim'}
I0716 22:16:13.500777 129552255399424 run.py:722] (val) algo mst_prim step 2250: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'mst_prim'}
I0716 22:16:15.444256 129552255399424 run.py:722] (val) algo mst_prim step 2300: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'mst_prim'}
I0716 22:16:17.387906 129552255399424 run.py:722] (val) algo mst_prim step 2350: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'mst_prim'}
I0716 22:16:19.345319 129552255399424 run.py:722] (val) algo mst_prim step 2400: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'mst_prim'}
I0716 22:16:21.306223 129552255399424 run.py:722] (val) algo mst_prim step 2450: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'mst_prim'}
I0716 22:16:23.346985 129552255399424 run.py:722] (val) algo mst_prim step 2500: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'mst_prim'}
I0716 22:16:25.275166 129552255399424 run.py:722] (val) algo mst_prim step 2550: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'mst_prim'}
I0716 22:16:27.242215 129552255399424 run.py:722] (val) algo mst_prim step 2600: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'mst_prim'}
I0716 22:16:29.088312 129552255399424 run.py:722] (val) algo mst_prim step 2650: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'mst_prim'}
I0716 22:16:31.055390 129552255399424 run.py:722] (val) algo mst_prim step 2700: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'mst_prim'}
I0716 22:16:32.981685 129552255399424 run.py:722] (val) algo mst_prim step 2750: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'mst_prim'}
I0716 22:16:34.879815 129552255399424 run.py:722] (val) algo mst_prim step 2800: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'mst_prim'}
I0716 22:16:36.845873 129552255399424 run.py:722] (val) algo mst_prim step 2850: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'mst_prim'}
I0716 22:16:38.788039 129552255399424 run.py:722] (val) algo mst_prim step 2900: {'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'mst_prim'}
I0716 22:16:40.740162 129552255399424 run.py:722] (val) algo mst_prim step 2950: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'mst_prim'}
I0716 22:16:42.710439 129552255399424 run.py:722] (val) algo mst_prim step 3000: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'mst_prim'}
I0716 22:16:44.748466 129552255399424 run.py:722] (val) algo mst_prim step 3050: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'mst_prim'}
I0716 22:16:46.709956 129552255399424 run.py:722] (val) algo mst_prim step 3100: {'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'mst_prim'}
I0716 22:16:48.658364 129552255399424 run.py:722] (val) algo mst_prim step 3150: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'mst_prim'}
I0716 22:16:50.591049 129552255399424 run.py:722] (val) algo mst_prim step 3200: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'mst_prim'}
I0716 22:16:52.533461 129552255399424 run.py:722] (val) algo mst_prim step 3250: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'mst_prim'}
I0716 22:16:54.485364 129552255399424 run.py:722] (val) algo mst_prim step 3300: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'mst_prim'}
I0716 22:16:56.447102 129552255399424 run.py:722] (val) algo mst_prim step 3350: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'mst_prim'}
I0716 22:16:58.341554 129552255399424 run.py:722] (val) algo mst_prim step 3400: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'mst_prim'}
I0716 22:17:00.354212 129552255399424 run.py:722] (val) algo mst_prim step 3450: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'mst_prim'}
I0716 22:17:02.297775 129552255399424 run.py:722] (val) algo mst_prim step 3500: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'mst_prim'}
I0716 22:17:04.208607 129552255399424 run.py:722] (val) algo mst_prim step 3550: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'mst_prim'}
I0716 22:17:06.194220 129552255399424 run.py:722] (val) algo mst_prim step 3600: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'mst_prim'}
I0716 22:17:08.165678 129552255399424 run.py:722] (val) algo mst_prim step 3650: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'mst_prim'}
I0716 22:17:10.041599 129552255399424 run.py:722] (val) algo mst_prim step 3700: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'mst_prim'}
I0716 22:17:11.997324 129552255399424 run.py:722] (val) algo mst_prim step 3750: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'mst_prim'}
I0716 22:17:13.943558 129552255399424 run.py:722] (val) algo mst_prim step 3800: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'mst_prim'}
I0716 22:17:15.863816 129552255399424 run.py:722] (val) algo mst_prim step 3850: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'mst_prim'}
I0716 22:17:17.791681 129552255399424 run.py:722] (val) algo mst_prim step 3900: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'mst_prim'}
I0716 22:17:19.649913 129552255399424 run.py:722] (val) algo mst_prim step 3950: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'mst_prim'}
I0716 22:17:21.510058 129552255399424 run.py:722] (val) algo mst_prim step 4000: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'mst_prim'}
I0716 22:17:23.395623 129552255399424 run.py:722] (val) algo mst_prim step 4050: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'mst_prim'}
I0716 22:17:25.445238 129552255399424 run.py:722] (val) algo mst_prim step 4100: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'mst_prim'}
I0716 22:17:27.442625 129552255399424 run.py:722] (val) algo mst_prim step 4150: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'mst_prim'}
I0716 22:17:29.341494 129552255399424 run.py:722] (val) algo mst_prim step 4200: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'mst_prim'}
I0716 22:17:31.308268 129552255399424 run.py:722] (val) algo mst_prim step 4250: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'mst_prim'}
I0716 22:17:33.270671 129552255399424 run.py:722] (val) algo mst_prim step 4300: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'mst_prim'}
I0716 22:17:35.160655 129552255399424 run.py:722] (val) algo mst_prim step 4350: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'mst_prim'}
I0716 22:17:37.072942 129552255399424 run.py:722] (val) algo mst_prim step 4400: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'mst_prim'}
I0716 22:17:39.016627 129552255399424 run.py:722] (val) algo mst_prim step 4450: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'mst_prim'}
I0716 22:17:41.033122 129552255399424 run.py:722] (val) algo mst_prim step 4500: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'mst_prim'}
I0716 22:17:43.011553 129552255399424 run.py:722] (val) algo mst_prim step 4550: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'mst_prim'}
I0716 22:17:44.889225 129552255399424 run.py:722] (val) algo mst_prim step 4600: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'mst_prim'}
I0716 22:17:46.817419 129552255399424 run.py:722] (val) algo mst_prim step 4650: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'mst_prim'}
I0716 22:17:48.837206 129552255399424 run.py:722] (val) algo mst_prim step 4700: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'mst_prim'}
I0716 22:17:50.832660 129552255399424 run.py:722] (val) algo mst_prim step 4750: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'mst_prim'}
I0716 22:17:52.844577 129552255399424 run.py:722] (val) algo mst_prim step 4800: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'mst_prim'}
I0716 22:17:54.779152 129552255399424 run.py:722] (val) algo mst_prim step 4850: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'mst_prim'}
I0716 22:17:56.725363 129552255399424 run.py:722] (val) algo mst_prim step 4900: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'mst_prim'}
I0716 22:17:58.706406 129552255399424 run.py:722] (val) algo mst_prim step 4950: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'mst_prim'}
I0716 22:18:00.576802 129552255399424 run.py:722] (val) algo mst_prim step 5000: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'mst_prim'}
I0716 22:18:02.510666 129552255399424 run.py:722] (val) algo mst_prim step 5050: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'mst_prim'}
I0716 22:18:04.476104 129552255399424 run.py:722] (val) algo mst_prim step 5100: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'mst_prim'}
I0716 22:18:06.458657 129552255399424 run.py:722] (val) algo mst_prim step 5150: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'mst_prim'}
I0716 22:18:08.413513 129552255399424 run.py:722] (val) algo mst_prim step 5200: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'mst_prim'}
I0716 22:18:10.344143 129552255399424 run.py:722] (val) algo mst_prim step 5250: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'mst_prim'}
I0716 22:18:12.246253 129552255399424 run.py:722] (val) algo mst_prim step 5300: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'mst_prim'}
I0716 22:18:14.283231 129552255399424 run.py:722] (val) algo mst_prim step 5350: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'mst_prim'}
I0716 22:18:16.257155 129552255399424 run.py:722] (val) algo mst_prim step 5400: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'mst_prim'}
I0716 22:18:18.246575 129552255399424 run.py:722] (val) algo mst_prim step 5450: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'mst_prim'}
I0716 22:18:20.282231 129552255399424 run.py:722] (val) algo mst_prim step 5500: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'mst_prim'}
I0716 22:18:22.214090 129552255399424 run.py:722] (val) algo mst_prim step 5550: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'mst_prim'}
I0716 22:18:24.148938 129552255399424 run.py:722] (val) algo mst_prim step 5600: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'mst_prim'}
I0716 22:18:26.107569 129552255399424 run.py:722] (val) algo mst_prim step 5650: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'mst_prim'}
I0716 22:18:28.057913 129552255399424 run.py:722] (val) algo mst_prim step 5700: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'mst_prim'}
I0716 22:18:30.038463 129552255399424 run.py:722] (val) algo mst_prim step 5750: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'mst_prim'}
I0716 22:18:32.025839 129552255399424 run.py:722] (val) algo mst_prim step 5800: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'mst_prim'}
I0716 22:18:33.963859 129552255399424 run.py:722] (val) algo mst_prim step 5850: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'mst_prim'}
I0716 22:18:35.990432 129552255399424 run.py:722] (val) algo mst_prim step 5900: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'mst_prim'}
I0716 22:18:37.945893 129552255399424 run.py:722] (val) algo mst_prim step 5950: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'mst_prim'}
I0716 22:18:39.901368 129552255399424 run.py:722] (val) algo mst_prim step 6000: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'mst_prim'}
I0716 22:18:41.818555 129552255399424 run.py:722] (val) algo mst_prim step 6050: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'mst_prim'}
I0716 22:18:43.763735 129552255399424 run.py:722] (val) algo mst_prim step 6100: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'mst_prim'}
I0716 22:18:45.829850 129552255399424 run.py:722] (val) algo mst_prim step 6150: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'mst_prim'}
I0716 22:18:47.813149 129552255399424 run.py:722] (val) algo mst_prim step 6200: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'mst_prim'}
I0716 22:18:49.809931 129552255399424 run.py:722] (val) algo mst_prim step 6250: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'mst_prim'}
I0716 22:18:51.777470 129552255399424 run.py:722] (val) algo mst_prim step 6300: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'mst_prim'}
I0716 22:18:53.697708 129552255399424 run.py:722] (val) algo mst_prim step 6350: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'mst_prim'}
I0716 22:18:55.675342 129552255399424 run.py:722] (val) algo mst_prim step 6400: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'mst_prim'}
I0716 22:18:57.620282 129552255399424 run.py:722] (val) algo mst_prim step 6450: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'mst_prim'}
I0716 22:18:59.559371 129552255399424 run.py:722] (val) algo mst_prim step 6500: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'mst_prim'}
I0716 22:19:01.535276 129552255399424 run.py:722] (val) algo mst_prim step 6550: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'mst_prim'}
I0716 22:19:03.498852 129552255399424 run.py:722] (val) algo mst_prim step 6600: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'mst_prim'}
I0716 22:19:05.466227 129552255399424 run.py:722] (val) algo mst_prim step 6650: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 375604, 'step': 6650, 'algorithm': 'mst_prim'}
I0716 22:19:07.351667 129552255399424 run.py:722] (val) algo mst_prim step 6700: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 378391, 'step': 6700, 'algorithm': 'mst_prim'}
I0716 22:19:09.397141 129552255399424 run.py:722] (val) algo mst_prim step 6750: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 381191, 'step': 6750, 'algorithm': 'mst_prim'}
I0716 22:19:11.437086 129552255399424 run.py:722] (val) algo mst_prim step 6800: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 383982, 'step': 6800, 'algorithm': 'mst_prim'}
I0716 22:19:13.607727 129552255399424 run.py:722] (val) algo mst_prim step 6850: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 386754, 'step': 6850, 'algorithm': 'mst_prim'}
