{'selected': 0.42130365659777425, 'score': 0.42130365659777425, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
{'selected': 0.9236641221374046, 'score': 0.9236641221374046, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
{'selected': 0.8615384615384616, 'score': 0.8615384615384616, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
{'selected': 0.9144981412639405, 'score': 0.9144981412639405, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
{'selected': 0.8422939068100358, 'score': 0.8422939068100358, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'activity_selector'}
{'selected': 0.8628884826325411, 'score': 0.8628884826325411, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'activity_selector'}
{'selected': 0.9251439539347408, 'score': 0.9251439539347408, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'activity_selector'}
{'selected': 0.8994708994708996, 'score': 0.8994708994708996, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'activity_selector'}
{'selected': 0.9139579349904398, 'score': 0.9139579349904398, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'activity_selector'}
{'selected': 0.9119373776908024, 'score': 0.9119373776908024, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'activity_selector'}
{'selected': 0.9416195856873822, 'score': 0.9416195856873822, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'activity_selector'}
{'selected': 0.9326047358834243, 'score': 0.9326047358834243, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'activity_selector'}
{'selected': 0.9032258064516128, 'score': 0.9032258064516128, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'activity_selector'}
{'selected': 0.9248554913294796, 'score': 0.9248554913294796, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'activity_selector'}
{'selected': 0.9222423146473779, 'score': 0.9222423146473779, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'activity_selector'}
{'selected': 0.9087221095334685, 'score': 0.9087221095334685, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'activity_selector'}
{'selected': 0.9422718808193667, 'score': 0.9422718808193667, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'activity_selector'}
{'selected': 0.9647495361781075, 'score': 0.9647495361781075, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'activity_selector'}
{'selected': 0.8695652173913043, 'score': 0.8695652173913043, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'activity_selector'}
{'selected': 0.9042145593869733, 'score': 0.9042145593869733, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'activity_selector'}
{'selected': 0.8679927667269439, 'score': 0.8679927667269439, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'activity_selector'}
{'selected': 0.9009345794392524, 'score': 0.9009345794392524, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'activity_selector'}
{'selected': 0.9380863039399624, 'score': 0.9380863039399624, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'activity_selector'}
{'selected': 0.9239332096474955, 'score': 0.9239332096474955, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'activity_selector'}
{'selected': 0.9585798816568047, 'score': 0.9585798816568047, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'activity_selector'}
{'selected': 0.8957952468007312, 'score': 0.8957952468007312, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'activity_selector'}
{'selected': 0.9518072289156627, 'score': 0.9518072289156627, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'activity_selector'}
{'selected': 0.9420849420849421, 'score': 0.9420849420849421, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'activity_selector'}
{'selected': 0.9364161849710982, 'score': 0.9364161849710982, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'activity_selector'}
{'selected': 0.9751434034416826, 'score': 0.9751434034416826, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'activity_selector'}
{'selected': 0.9187145557655955, 'score': 0.9187145557655955, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'activity_selector'}
{'selected': 0.9265734265734266, 'score': 0.9265734265734266, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'activity_selector'}
{'selected': 0.9361702127659575, 'score': 0.9361702127659575, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'activity_selector'}
{'selected': 0.9440993788819876, 'score': 0.9440993788819876, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'activity_selector'}
{'selected': 0.9409368635437882, 'score': 0.9409368635437882, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'activity_selector'}
{'selected': 0.9138576779026217, 'score': 0.9138576779026217, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'activity_selector'}
{'selected': 0.9479768786127167, 'score': 0.9479768786127167, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'activity_selector'}
{'selected': 0.9686924493554327, 'score': 0.9686924493554327, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'activity_selector'}
{'selected': 0.9188118811881189, 'score': 0.9188118811881189, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'activity_selector'}
{'selected': 0.9545454545454546, 'score': 0.9545454545454546, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'activity_selector'}
{'selected': 0.9323308270676691, 'score': 0.9323308270676691, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'activity_selector'}
{'selected': 0.9416195856873824, 'score': 0.9416195856873824, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'activity_selector'}
{'selected': 0.8920353982300885, 'score': 0.8920353982300885, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'activity_selector'}
{'selected': 0.9320754716981132, 'score': 0.9320754716981132, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'activity_selector'}
{'selected': 0.8987108655616943, 'score': 0.8987108655616943, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'activity_selector'}
{'selected': 0.953125, 'score': 0.953125, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'activity_selector'}
{'selected': 0.9604743083003953, 'score': 0.9604743083003953, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'activity_selector'}
{'selected': 0.9224952741020794, 'score': 0.9224952741020794, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'activity_selector'}
{'selected': 0.9574861367837338, 'score': 0.9574861367837338, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'activity_selector'}
{'selected': 0.877959927140255, 'score': 0.877959927140255, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'activity_selector'}
{'selected': 0.9825918762088974, 'score': 0.9825918762088974, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'activity_selector'}
{'selected': 0.9657794676806084, 'score': 0.9657794676806084, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'activity_selector'}
{'selected': 0.9669902912621359, 'score': 0.9669902912621359, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'activity_selector'}
{'selected': 0.9448529411764707, 'score': 0.9448529411764707, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'activity_selector'}
{'selected': 0.9635627530364373, 'score': 0.9635627530364373, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'activity_selector'}
{'selected': 0.9628180039138943, 'score': 0.9628180039138943, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'activity_selector'}
{'selected': 0.9351669941060905, 'score': 0.9351669941060905, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'activity_selector'}
{'selected': 0.9398496240601504, 'score': 0.9398496240601504, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'activity_selector'}
{'selected': 0.9325842696629214, 'score': 0.9325842696629214, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'activity_selector'}
{'selected': 0.942528735632184, 'score': 0.942528735632184, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'activity_selector'}
{'selected': 0.8917910447761195, 'score': 0.8917910447761195, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'activity_selector'}
{'selected': 0.957169459962756, 'score': 0.957169459962756, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'activity_selector'}
{'selected': 0.9516441005802707, 'score': 0.9516441005802707, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'activity_selector'}
{'selected': 0.9100917431192661, 'score': 0.9100917431192661, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'activity_selector'}
{'selected': 0.9610894941634242, 'score': 0.9610894941634242, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'activity_selector'}
{'selected': 0.9558232931726908, 'score': 0.9558232931726908, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'activity_selector'}
{'selected': 0.9578544061302682, 'score': 0.9578544061302682, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'activity_selector'}
{'selected': 0.9338677354709418, 'score': 0.9338677354709418, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'activity_selector'}
{'selected': 0.9676190476190475, 'score': 0.9676190476190475, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'activity_selector'}
{'selected': 0.9581749049429658, 'score': 0.9581749049429658, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'activity_selector'}
{'selected': 0.9662921348314607, 'score': 0.9662921348314607, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'activity_selector'}
{'selected': 0.9598393574297188, 'score': 0.9598393574297188, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'activity_selector'}
{'selected': 0.9435483870967742, 'score': 0.9435483870967742, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'activity_selector'}
{'selected': 0.962962962962963, 'score': 0.962962962962963, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'activity_selector'}
{'selected': 0.976190476190476, 'score': 0.976190476190476, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'activity_selector'}
{'selected': 0.9752380952380952, 'score': 0.9752380952380952, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'activity_selector'}
{'selected': 0.9471624266144814, 'score': 0.9471624266144814, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'activity_selector'}
{'selected': 0.9483747609942638, 'score': 0.9483747609942638, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'activity_selector'}
{'selected': 0.9421157684630739, 'score': 0.9421157684630739, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'activity_selector'}
{'selected': 0.9375, 'score': 0.9375, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'activity_selector'}
{'selected': 0.96, 'score': 0.96, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'activity_selector'}
{'selected': 0.9870609981515711, 'score': 0.9870609981515711, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'activity_selector'}
{'selected': 0.9786407766990292, 'score': 0.9786407766990292, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'activity_selector'}
{'selected': 0.9151873767258383, 'score': 0.9151873767258383, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'activity_selector'}
{'selected': 0.9587426326129665, 'score': 0.9587426326129665, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'activity_selector'}
{'selected': 0.9593810444874274, 'score': 0.9593810444874274, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'activity_selector'}
{'selected': 0.9529190207156308, 'score': 0.9529190207156308, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'activity_selector'}
{'selected': 0.959016393442623, 'score': 0.959016393442623, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'activity_selector'}
{'selected': 0.9623762376237623, 'score': 0.9623762376237623, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'activity_selector'}
{'selected': 0.939622641509434, 'score': 0.939622641509434, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'activity_selector'}
{'selected': 0.9503816793893128, 'score': 0.9503816793893128, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'activity_selector'}
{'selected': 0.9601518026565464, 'score': 0.9601518026565464, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'activity_selector'}
{'selected': 0.9633911368015414, 'score': 0.9633911368015414, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'activity_selector'}
{'selected': 0.9604743083003953, 'score': 0.9604743083003953, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'activity_selector'}
{'selected': 0.9155722326454033, 'score': 0.9155722326454033, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'activity_selector'}
{'selected': 0.9416342412451363, 'score': 0.9416342412451363, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'activity_selector'}
{'selected': 0.937984496124031, 'score': 0.937984496124031, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'activity_selector'}
{'selected': 0.9724409448818898, 'score': 0.9724409448818898, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'activity_selector'}
{'selected': 0.9418386491557224, 'score': 0.9418386491557224, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'activity_selector'}
{'selected': 0.9672447013487475, 'score': 0.9672447013487475, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'activity_selector'}
{'selected': 0.9676190476190475, 'score': 0.9676190476190475, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'activity_selector'}
{'selected': 0.963531669865643, 'score': 0.963531669865643, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'activity_selector'}
{'selected': 0.9492187500000001, 'score': 0.9492187500000001, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'activity_selector'}
{'selected': 0.9364161849710982, 'score': 0.9364161849710982, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'activity_selector'}
{'selected': 0.9328214971209214, 'score': 0.9328214971209214, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'activity_selector'}
{'selected': 0.9660678642714571, 'score': 0.9660678642714571, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'activity_selector'}
{'selected': 0.977859778597786, 'score': 0.977859778597786, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'activity_selector'}
{'selected': 0.9601518026565464, 'score': 0.9601518026565464, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'activity_selector'}
{'selected': 0.9717514124293786, 'score': 0.9717514124293786, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'activity_selector'}
{'selected': 0.9775280898876405, 'score': 0.9775280898876405, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'activity_selector'}
{'selected': 0.946058091286307, 'score': 0.946058091286307, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'activity_selector'}
{'selected': 0.9809885931558935, 'score': 0.9809885931558935, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'activity_selector'}
{'selected': 0.9622266401590457, 'score': 0.9622266401590457, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'activity_selector'}
{'selected': 0.9418386491557222, 'score': 0.9418386491557222, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'activity_selector'}
{'selected': 0.9784735812133072, 'score': 0.9784735812133072, 'examples_seen': 258816, 'step': 6500, 'algorithm': 'activity_selector'}
{'selected': 0.9689213893967094, 'score': 0.9689213893967094, 'examples_seen': 260752, 'step': 6550, 'algorithm': 'activity_selector'}
{'selected': 0.9439421338155515, 'score': 0.9439421338155515, 'examples_seen': 262800, 'step': 6600, 'algorithm': 'activity_selector'}
{'selected': 0.9803149606299214, 'score': 0.9803149606299214, 'examples_seen': 264832, 'step': 6650, 'algorithm': 'activity_selector'}
{'selected': 0.9549902152641878, 'score': 0.9549902152641878, 'examples_seen': 266800, 'step': 6700, 'algorithm': 'activity_selector'}
{'selected': 0.9572953736654805, 'score': 0.9572953736654805, 'examples_seen': 268800, 'step': 6750, 'algorithm': 'activity_selector'}
{'selected': 0.963531669865643, 'score': 0.963531669865643, 'examples_seen': 270752, 'step': 6800, 'algorithm': 'activity_selector'}
{'selected': 0.9607843137254902, 'score': 0.9607843137254902, 'examples_seen': 272736, 'step': 6850, 'algorithm': 'activity_selector'}
{'selected': 0.946360153256705, 'score': 0.946360153256705, 'examples_seen': 274720, 'step': 6900, 'algorithm': 'activity_selector'}
{'selected': 0.9672447013487475, 'score': 0.9672447013487475, 'examples_seen': 276736, 'step': 6950, 'algorithm': 'activity_selector'}
{'selected': 0.9848484848484849, 'score': 0.9848484848484849, 'examples_seen': 278768, 'step': 7000, 'algorithm': 'activity_selector'}
{'selected': 0.9695740365111561, 'score': 0.9695740365111561, 'examples_seen': 280752, 'step': 7050, 'algorithm': 'activity_selector'}
{'selected': 0.9612403100775193, 'score': 0.9612403100775193, 'examples_seen': 282736, 'step': 7100, 'algorithm': 'activity_selector'}
{'selected': 0.9551656920077973, 'score': 0.9551656920077973, 'examples_seen': 284720, 'step': 7150, 'algorithm': 'activity_selector'}
{'selected': 0.9498069498069499, 'score': 0.9498069498069499, 'examples_seen': 286672, 'step': 7200, 'algorithm': 'activity_selector'}
{'selected': 0.9622641509433963, 'score': 0.9622641509433963, 'examples_seen': 288640, 'step': 7250, 'algorithm': 'activity_selector'}
{'selected': 0.946788990825688, 'score': 0.946788990825688, 'examples_seen': 290688, 'step': 7300, 'algorithm': 'activity_selector'}
{'selected': 0.9548133595284872, 'score': 0.9548133595284872, 'examples_seen': 292688, 'step': 7350, 'algorithm': 'activity_selector'}
{'selected': 0.9616161616161616, 'score': 0.9616161616161616, 'examples_seen': 294688, 'step': 7400, 'algorithm': 'activity_selector'}
{'selected': 0.9764705882352941, 'score': 0.9764705882352941, 'examples_seen': 296672, 'step': 7450, 'algorithm': 'activity_selector'}
{'selected': 0.9688715953307393, 'score': 0.9688715953307393, 'examples_seen': 298624, 'step': 7500, 'algorithm': 'activity_selector'}
{'selected': 0.9878542510121457, 'score': 0.9878542510121457, 'examples_seen': 300624, 'step': 7550, 'algorithm': 'activity_selector'}
{'selected': 0.9788053949903661, 'score': 0.9788053949903661, 'examples_seen': 302576, 'step': 7600, 'algorithm': 'activity_selector'}
{'selected': 0.9591836734693877, 'score': 0.9591836734693877, 'examples_seen': 304608, 'step': 7650, 'algorithm': 'activity_selector'}
{'selected': 0.9490835030549899, 'score': 0.9490835030549899, 'examples_seen': 306640, 'step': 7700, 'algorithm': 'activity_selector'}
{'selected': 0.9294755877034359, 'score': 0.9294755877034359, 'examples_seen': 308608, 'step': 7750, 'algorithm': 'activity_selector'}
{'selected': 0.9079754601226994, 'score': 0.9079754601226994, 'examples_seen': 310608, 'step': 7800, 'algorithm': 'activity_selector'}
{'selected': 0.9886363636363636, 'score': 0.9886363636363636, 'examples_seen': 312576, 'step': 7850, 'algorithm': 'activity_selector'}
{'selected': 0.9669902912621359, 'score': 0.9669902912621359, 'examples_seen': 314528, 'step': 7900, 'algorithm': 'activity_selector'}
{'selected': 0.962432915921288, 'score': 0.962432915921288, 'examples_seen': 316528, 'step': 7950, 'algorithm': 'activity_selector'}
{'selected': 0.9601518026565464, 'score': 0.9601518026565464, 'examples_seen': 318528, 'step': 8000, 'algorithm': 'activity_selector'}
{'selected': 0.9769230769230769, 'score': 0.9769230769230769, 'examples_seen': 320560, 'step': 8050, 'algorithm': 'activity_selector'}
{'selected': 0.9752380952380953, 'score': 0.9752380952380953, 'examples_seen': 322544, 'step': 8100, 'algorithm': 'activity_selector'}
{'selected': 0.969811320754717, 'score': 0.969811320754717, 'examples_seen': 324528, 'step': 8150, 'algorithm': 'activity_selector'}
{'selected': 0.9540918163672655, 'score': 0.9540918163672655, 'examples_seen': 326528, 'step': 8200, 'algorithm': 'activity_selector'}
{'selected': 0.967984934086629, 'score': 0.967984934086629, 'examples_seen': 328464, 'step': 8250, 'algorithm': 'activity_selector'}
{'selected': 0.937142857142857, 'score': 0.937142857142857, 'examples_seen': 330432, 'step': 8300, 'algorithm': 'activity_selector'}
{'selected': 0.951830443159923, 'score': 0.951830443159923, 'examples_seen': 332480, 'step': 8350, 'algorithm': 'activity_selector'}
{'selected': 0.9500000000000001, 'score': 0.9500000000000001, 'examples_seen': 334480, 'step': 8400, 'algorithm': 'activity_selector'}
{'selected': 0.978131212723658, 'score': 0.978131212723658, 'examples_seen': 336480, 'step': 8450, 'algorithm': 'activity_selector'}
{'selected': 0.9656488549618321, 'score': 0.9656488549618321, 'examples_seen': 338464, 'step': 8500, 'algorithm': 'activity_selector'}
{'selected': 0.9658886894075404, 'score': 0.9658886894075404, 'examples_seen': 340432, 'step': 8550, 'algorithm': 'activity_selector'}
{'selected': 0.9739776951672863, 'score': 0.9739776951672863, 'examples_seen': 342416, 'step': 8600, 'algorithm': 'activity_selector'}
{'selected': 0.9645669291338582, 'score': 0.9645669291338582, 'examples_seen': 344368, 'step': 8650, 'algorithm': 'activity_selector'}
{'selected': 0.9343339587242027, 'score': 0.9343339587242027, 'examples_seen': 346400, 'step': 8700, 'algorithm': 'activity_selector'}
{'selected': 0.9573643410852712, 'score': 0.9573643410852712, 'examples_seen': 348432, 'step': 8750, 'algorithm': 'activity_selector'}
{'selected': 0.9676113360323887, 'score': 0.9676113360323887, 'examples_seen': 350416, 'step': 8800, 'algorithm': 'activity_selector'}
{'selected': 0.9750479846449136, 'score': 0.9750479846449136, 'examples_seen': 352400, 'step': 8850, 'algorithm': 'activity_selector'}
{'selected': 0.9289827255278311, 'score': 0.9289827255278311, 'examples_seen': 354368, 'step': 8900, 'algorithm': 'activity_selector'}
{'selected': 0.951830443159923, 'score': 0.951830443159923, 'examples_seen': 356320, 'step': 8950, 'algorithm': 'activity_selector'}
{'selected': 0.99609375, 'score': 0.99609375, 'examples_seen': 358320, 'step': 9000, 'algorithm': 'activity_selector'}
{'selected': 0.9773584905660377, 'score': 0.9773584905660377, 'examples_seen': 360320, 'step': 9050, 'algorithm': 'activity_selector'}
{'selected': 0.944558521560575, 'score': 0.944558521560575, 'examples_seen': 362352, 'step': 9100, 'algorithm': 'activity_selector'}
{'selected': 0.9710982658959537, 'score': 0.9710982658959537, 'examples_seen': 364352, 'step': 9150, 'algorithm': 'activity_selector'}
{'selected': 0.974559686888454, 'score': 0.974559686888454, 'examples_seen': 366320, 'step': 9200, 'algorithm': 'activity_selector'}
{'selected': 0.9738430583501007, 'score': 0.9738430583501007, 'examples_seen': 368320, 'step': 9250, 'algorithm': 'activity_selector'}
{'selected': 0.9788867562380039, 'score': 0.9788867562380039, 'examples_seen': 370272, 'step': 9300, 'algorithm': 'activity_selector'}
{'selected': 0.973384030418251, 'score': 0.973384030418251, 'examples_seen': 372240, 'step': 9350, 'algorithm': 'activity_selector'}
{'selected': 0.926441351888668, 'score': 0.926441351888668, 'examples_seen': 374288, 'step': 9400, 'algorithm': 'activity_selector'}
{'selected': 0.9414062500000001, 'score': 0.9414062500000001, 'examples_seen': 376288, 'step': 9450, 'algorithm': 'activity_selector'}
{'selected': 0.9808429118773946, 'score': 0.9808429118773946, 'examples_seen': 378304, 'step': 9500, 'algorithm': 'activity_selector'}
{'selected': 0.9622641509433963, 'score': 0.9622641509433963, 'examples_seen': 380272, 'step': 9550, 'algorithm': 'activity_selector'}
{'selected': 0.9638095238095238, 'score': 0.9638095238095238, 'examples_seen': 382240, 'step': 9600, 'algorithm': 'activity_selector'}
{'selected': 0.9848484848484849, 'score': 0.9848484848484849, 'examples_seen': 384224, 'step': 9650, 'algorithm': 'activity_selector'}
{'selected': 0.9739478957915831, 'score': 0.9739478957915831, 'examples_seen': 386176, 'step': 9700, 'algorithm': 'activity_selector'}
{'selected': 0.9700374531835206, 'score': 0.9700374531835206, 'examples_seen': 388224, 'step': 9750, 'algorithm': 'activity_selector'}
{'selected': 0.9591078066914499, 'score': 0.9591078066914499, 'examples_seen': 390240, 'step': 9800, 'algorithm': 'activity_selector'}
{'selected': 0.9625246548323472, 'score': 0.9625246548323472, 'examples_seen': 392224, 'step': 9850, 'algorithm': 'activity_selector'}
{'selected': 0.9769230769230769, 'score': 0.9769230769230769, 'examples_seen': 394208, 'step': 9900, 'algorithm': 'activity_selector'}
{'selected': 0.9603174603174602, 'score': 0.9603174603174602, 'examples_seen': 396176, 'step': 9950, 'algorithm': 'activity_selector'}
