I0715 10:28:29.489971 126542653699584 run.py:723] (val) algo lcs_length step 0: {'b': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0715 10:30:55.605748 126542653699584 run.py:723] (val) algo lcs_length step 1250: {'b': 0.904052734375, 'score': 0.904052734375, 'examples_seen': 148460, 'step': 1250, 'algorithm': 'lcs_length'}
I0715 10:30:58.723011 126542653699584 run.py:723] (val) algo lcs_length step 1300: {'b': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 154289, 'step': 1300, 'algorithm': 'lcs_length'}
I0715 10:31:01.858337 126542653699584 run.py:723] (val) algo lcs_length step 1350: {'b': 0.91064453125, 'score': 0.91064453125, 'examples_seen': 160350, 'step': 1350, 'algorithm': 'lcs_length'}
I0715 10:31:04.988898 126542653699584 run.py:723] (val) algo lcs_length step 1400: {'b': 0.884765625, 'score': 0.884765625, 'examples_seen': 166429, 'step': 1400, 'algorithm': 'lcs_length'}
I0715 10:31:08.139327 126542653699584 run.py:723] (val) algo lcs_length step 1450: {'b': 0.925537109375, 'score': 0.925537109375, 'examples_seen': 172381, 'step': 1450, 'algorithm': 'lcs_length'}
I0715 10:31:11.231381 126542653699584 run.py:723] (val) algo lcs_length step 1500: {'b': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 178280, 'step': 1500, 'algorithm': 'lcs_length'}
I0715 10:31:14.377516 126542653699584 run.py:723] (val) algo lcs_length step 1550: {'b': 0.885986328125, 'score': 0.885986328125, 'examples_seen': 184122, 'step': 1550, 'algorithm': 'lcs_length'}
I0715 10:31:17.525195 126542653699584 run.py:723] (val) algo lcs_length step 1600: {'b': 0.93603515625, 'score': 0.93603515625, 'examples_seen': 189972, 'step': 1600, 'algorithm': 'lcs_length'}
I0715 10:31:20.656751 126542653699584 run.py:723] (val) algo lcs_length step 1650: {'b': 0.934814453125, 'score': 0.934814453125, 'examples_seen': 195809, 'step': 1650, 'algorithm': 'lcs_length'}
I0715 10:31:23.829159 126542653699584 run.py:723] (val) algo lcs_length step 1700: {'b': 0.91845703125, 'score': 0.91845703125, 'examples_seen': 201878, 'step': 1700, 'algorithm': 'lcs_length'}
I0715 10:31:26.947929 126542653699584 run.py:723] (val) algo lcs_length step 1750: {'b': 0.93603515625, 'score': 0.93603515625, 'examples_seen': 207960, 'step': 1750, 'algorithm': 'lcs_length'}
I0715 10:31:30.068982 126542653699584 run.py:723] (val) algo lcs_length step 1800: {'b': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 213897, 'step': 1800, 'algorithm': 'lcs_length'}
I0715 10:31:33.245598 126542653699584 run.py:723] (val) algo lcs_length step 1850: {'b': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 219807, 'step': 1850, 'algorithm': 'lcs_length'}
I0715 10:31:36.368315 126542653699584 run.py:723] (val) algo lcs_length step 1900: {'b': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 225667, 'step': 1900, 'algorithm': 'lcs_length'}
I0715 10:31:39.436251 126542653699584 run.py:723] (val) algo lcs_length step 1950: {'b': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 231520, 'step': 1950, 'algorithm': 'lcs_length'}
I0715 10:31:42.568998 126542653699584 run.py:723] (val) algo lcs_length step 2000: {'b': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 237346, 'step': 2000, 'algorithm': 'lcs_length'}
I0715 10:31:45.729671 126542653699584 run.py:723] (val) algo lcs_length step 2050: {'b': 0.921875, 'score': 0.921875, 'examples_seen': 243405, 'step': 2050, 'algorithm': 'lcs_length'}
I0715 10:31:48.921976 126542653699584 run.py:723] (val) algo lcs_length step 2100: {'b': 0.921142578125, 'score': 0.921142578125, 'examples_seen': 249464, 'step': 2100, 'algorithm': 'lcs_length'}
I0715 10:31:52.015052 126542653699584 run.py:723] (val) algo lcs_length step 2150: {'b': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 255412, 'step': 2150, 'algorithm': 'lcs_length'}
I0715 10:31:55.098812 126542653699584 run.py:723] (val) algo lcs_length step 2200: {'b': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 261294, 'step': 2200, 'algorithm': 'lcs_length'}
I0715 10:31:58.182128 126542653699584 run.py:723] (val) algo lcs_length step 2250: {'b': 0.934326171875, 'score': 0.934326171875, 'examples_seen': 267156, 'step': 2250, 'algorithm': 'lcs_length'}
I0715 10:32:01.334370 126542653699584 run.py:723] (val) algo lcs_length step 2300: {'b': 0.94775390625, 'score': 0.94775390625, 'examples_seen': 273020, 'step': 2300, 'algorithm': 'lcs_length'}
I0715 10:32:04.465801 126542653699584 run.py:723] (val) algo lcs_length step 2350: {'b': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 278853, 'step': 2350, 'algorithm': 'lcs_length'}
I0715 10:32:07.622498 126542653699584 run.py:723] (val) algo lcs_length step 2400: {'b': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 284935, 'step': 2400, 'algorithm': 'lcs_length'}
I0715 10:32:10.746911 126542653699584 run.py:723] (val) algo lcs_length step 2450: {'b': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 290997, 'step': 2450, 'algorithm': 'lcs_length'}
I0715 10:32:13.826462 126542653699584 run.py:723] (val) algo lcs_length step 2500: {'b': 0.941162109375, 'score': 0.941162109375, 'examples_seen': 296927, 'step': 2500, 'algorithm': 'lcs_length'}
I0715 10:32:16.952062 126542653699584 run.py:723] (val) algo lcs_length step 2550: {'b': 0.943359375, 'score': 0.943359375, 'examples_seen': 302816, 'step': 2550, 'algorithm': 'lcs_length'}
I0715 10:32:20.059890 126542653699584 run.py:723] (val) algo lcs_length step 2600: {'b': 0.92724609375, 'score': 0.92724609375, 'examples_seen': 308663, 'step': 2600, 'algorithm': 'lcs_length'}
I0715 10:32:23.190021 126542653699584 run.py:723] (val) algo lcs_length step 2650: {'b': 0.9375, 'score': 0.9375, 'examples_seen': 314523, 'step': 2650, 'algorithm': 'lcs_length'}
I0715 10:32:26.293884 126542653699584 run.py:723] (val) algo lcs_length step 2700: {'b': 0.949462890625, 'score': 0.949462890625, 'examples_seen': 320355, 'step': 2700, 'algorithm': 'lcs_length'}
I0715 10:32:29.484709 126542653699584 run.py:723] (val) algo lcs_length step 2750: {'b': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 326414, 'step': 2750, 'algorithm': 'lcs_length'}
I0715 10:32:32.601066 126542653699584 run.py:723] (val) algo lcs_length step 2800: {'b': 0.93115234375, 'score': 0.93115234375, 'examples_seen': 332487, 'step': 2800, 'algorithm': 'lcs_length'}
I0715 10:32:35.713261 126542653699584 run.py:723] (val) algo lcs_length step 2850: {'b': 0.95166015625, 'score': 0.95166015625, 'examples_seen': 338424, 'step': 2850, 'algorithm': 'lcs_length'}
I0715 10:32:38.825720 126542653699584 run.py:723] (val) algo lcs_length step 2900: {'b': 0.955078125, 'score': 0.955078125, 'examples_seen': 344321, 'step': 2900, 'algorithm': 'lcs_length'}
I0715 10:32:41.941726 126542653699584 run.py:723] (val) algo lcs_length step 2950: {'b': 0.95849609375, 'score': 0.95849609375, 'examples_seen': 350177, 'step': 2950, 'algorithm': 'lcs_length'}
I0715 10:32:45.133458 126542653699584 run.py:723] (val) algo lcs_length step 3000: {'b': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 356031, 'step': 3000, 'algorithm': 'lcs_length'}
I0715 10:32:48.284744 126542653699584 run.py:723] (val) algo lcs_length step 3050: {'b': 0.95703125, 'score': 0.95703125, 'examples_seen': 361859, 'step': 3050, 'algorithm': 'lcs_length'}
I0715 10:32:51.445647 126542653699584 run.py:723] (val) algo lcs_length step 3100: {'b': 0.937255859375, 'score': 0.937255859375, 'examples_seen': 367912, 'step': 3100, 'algorithm': 'lcs_length'}
I0715 10:32:54.613305 126542653699584 run.py:723] (val) algo lcs_length step 3150: {'b': 0.947265625, 'score': 0.947265625, 'examples_seen': 373971, 'step': 3150, 'algorithm': 'lcs_length'}
I0715 10:32:57.735972 126542653699584 run.py:723] (val) algo lcs_length step 3200: {'b': 0.957763671875, 'score': 0.957763671875, 'examples_seen': 379910, 'step': 3200, 'algorithm': 'lcs_length'}
I0715 10:33:00.898725 126542653699584 run.py:723] (val) algo lcs_length step 3250: {'b': 0.95263671875, 'score': 0.95263671875, 'examples_seen': 385821, 'step': 3250, 'algorithm': 'lcs_length'}
I0715 10:33:03.989364 126542653699584 run.py:723] (val) algo lcs_length step 3300: {'b': 0.947021484375, 'score': 0.947021484375, 'examples_seen': 391664, 'step': 3300, 'algorithm': 'lcs_length'}
I0715 10:33:07.121992 126542653699584 run.py:723] (val) algo lcs_length step 3350: {'b': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 397497, 'step': 3350, 'algorithm': 'lcs_length'}
I0715 10:33:10.236690 126542653699584 run.py:723] (val) algo lcs_length step 3400: {'b': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 403337, 'step': 3400, 'algorithm': 'lcs_length'}
I0715 10:33:13.389405 126542653699584 run.py:723] (val) algo lcs_length step 3450: {'b': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 409397, 'step': 3450, 'algorithm': 'lcs_length'}
I0715 10:33:16.545830 126542653699584 run.py:723] (val) algo lcs_length step 3500: {'b': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 415462, 'step': 3500, 'algorithm': 'lcs_length'}
I0715 10:33:19.661512 126542653699584 run.py:723] (val) algo lcs_length step 3550: {'b': 0.94384765625, 'score': 0.94384765625, 'examples_seen': 421427, 'step': 3550, 'algorithm': 'lcs_length'}
I0715 10:33:22.790236 126542653699584 run.py:723] (val) algo lcs_length step 3600: {'b': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 427311, 'step': 3600, 'algorithm': 'lcs_length'}
I0715 10:33:25.911394 126542653699584 run.py:723] (val) algo lcs_length step 3650: {'b': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 433168, 'step': 3650, 'algorithm': 'lcs_length'}
I0715 10:33:29.073209 126542653699584 run.py:723] (val) algo lcs_length step 3700: {'b': 0.962890625, 'score': 0.962890625, 'examples_seen': 439011, 'step': 3700, 'algorithm': 'lcs_length'}
I0715 10:33:32.275878 126542653699584 run.py:723] (val) algo lcs_length step 3750: {'b': 0.950927734375, 'score': 0.950927734375, 'examples_seen': 444838, 'step': 3750, 'algorithm': 'lcs_length'}
I0715 10:33:35.492309 126542653699584 run.py:723] (val) algo lcs_length step 3800: {'b': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 450898, 'step': 3800, 'algorithm': 'lcs_length'}
I0715 10:33:38.695529 126542653699584 run.py:723] (val) algo lcs_length step 3850: {'b': 0.951904296875, 'score': 0.951904296875, 'examples_seen': 456989, 'step': 3850, 'algorithm': 'lcs_length'}
I0715 10:33:41.889433 126542653699584 run.py:723] (val) algo lcs_length step 3900: {'b': 0.962890625, 'score': 0.962890625, 'examples_seen': 462949, 'step': 3900, 'algorithm': 'lcs_length'}
I0715 10:33:44.962650 126542653699584 run.py:723] (val) algo lcs_length step 3950: {'b': 0.951904296875, 'score': 0.951904296875, 'examples_seen': 468820, 'step': 3950, 'algorithm': 'lcs_length'}
I0715 10:33:48.060282 126542653699584 run.py:723] (val) algo lcs_length step 4000: {'b': 0.96630859375, 'score': 0.96630859375, 'examples_seen': 474697, 'step': 4000, 'algorithm': 'lcs_length'}
I0715 10:33:51.177722 126542653699584 run.py:723] (val) algo lcs_length step 4050: {'b': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 480552, 'step': 4050, 'algorithm': 'lcs_length'}
I0715 10:33:54.278963 126542653699584 run.py:723] (val) algo lcs_length step 4100: {'b': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 486384, 'step': 4100, 'algorithm': 'lcs_length'}
I0715 10:33:57.415713 126542653699584 run.py:723] (val) algo lcs_length step 4150: {'b': 0.96044921875, 'score': 0.96044921875, 'examples_seen': 492455, 'step': 4150, 'algorithm': 'lcs_length'}
I0715 10:34:00.512546 126542653699584 run.py:723] (val) algo lcs_length step 4200: {'b': 0.962158203125, 'score': 0.962158203125, 'examples_seen': 498525, 'step': 4200, 'algorithm': 'lcs_length'}
I0715 10:34:03.632168 126542653699584 run.py:723] (val) algo lcs_length step 4250: {'b': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 504448, 'step': 4250, 'algorithm': 'lcs_length'}
I0715 10:34:06.691536 126542653699584 run.py:723] (val) algo lcs_length step 4300: {'b': 0.958251953125, 'score': 0.958251953125, 'examples_seen': 510327, 'step': 4300, 'algorithm': 'lcs_length'}
I0715 10:34:09.800398 126542653699584 run.py:723] (val) algo lcs_length step 4350: {'b': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 516201, 'step': 4350, 'algorithm': 'lcs_length'}
I0715 10:34:12.928318 126542653699584 run.py:723] (val) algo lcs_length step 4400: {'b': 0.96435546875, 'score': 0.96435546875, 'examples_seen': 522055, 'step': 4400, 'algorithm': 'lcs_length'}
I0715 10:34:16.050899 126542653699584 run.py:723] (val) algo lcs_length step 4450: {'b': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 527889, 'step': 4450, 'algorithm': 'lcs_length'}
I0715 10:34:19.216461 126542653699584 run.py:723] (val) algo lcs_length step 4500: {'b': 0.96875, 'score': 0.96875, 'examples_seen': 533952, 'step': 4500, 'algorithm': 'lcs_length'}
I0715 10:34:22.409704 126542653699584 run.py:723] (val) algo lcs_length step 4550: {'b': 0.967041015625, 'score': 0.967041015625, 'examples_seen': 540017, 'step': 4550, 'algorithm': 'lcs_length'}
I0715 10:34:25.499743 126542653699584 run.py:723] (val) algo lcs_length step 4600: {'b': 0.963134765625, 'score': 0.963134765625, 'examples_seen': 545967, 'step': 4600, 'algorithm': 'lcs_length'}
I0715 10:34:28.602339 126542653699584 run.py:723] (val) algo lcs_length step 4650: {'b': 0.970703125, 'score': 0.970703125, 'examples_seen': 551858, 'step': 4650, 'algorithm': 'lcs_length'}
I0715 10:34:31.774073 126542653699584 run.py:723] (val) algo lcs_length step 4700: {'b': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 557710, 'step': 4700, 'algorithm': 'lcs_length'}
I0715 10:34:34.833538 126542653699584 run.py:723] (val) algo lcs_length step 4750: {'b': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 563539, 'step': 4750, 'algorithm': 'lcs_length'}
I0715 10:34:37.976494 126542653699584 run.py:723] (val) algo lcs_length step 4800: {'b': 0.957275390625, 'score': 0.957275390625, 'examples_seen': 569386, 'step': 4800, 'algorithm': 'lcs_length'}
I0715 10:34:41.156267 126542653699584 run.py:723] (val) algo lcs_length step 4850: {'b': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 575465, 'step': 4850, 'algorithm': 'lcs_length'}
I0715 10:34:44.288447 126542653699584 run.py:723] (val) algo lcs_length step 4900: {'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 581539, 'step': 4900, 'algorithm': 'lcs_length'}
I0715 10:34:47.393907 126542653699584 run.py:723] (val) algo lcs_length step 4950: {'b': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 587482, 'step': 4950, 'algorithm': 'lcs_length'}
I0715 10:34:50.498264 126542653699584 run.py:723] (val) algo lcs_length step 5000: {'b': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 593373, 'step': 5000, 'algorithm': 'lcs_length'}
I0715 10:34:53.596917 126542653699584 run.py:723] (val) algo lcs_length step 5050: {'b': 0.965087890625, 'score': 0.965087890625, 'examples_seen': 599228, 'step': 5050, 'algorithm': 'lcs_length'}
I0715 10:34:56.709259 126542653699584 run.py:723] (val) algo lcs_length step 5100: {'b': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 605078, 'step': 5100, 'algorithm': 'lcs_length'}
I0715 10:34:59.830568 126542653699584 run.py:723] (val) algo lcs_length step 5150: {'b': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 610921, 'step': 5150, 'algorithm': 'lcs_length'}
I0715 10:35:02.992920 126542653699584 run.py:723] (val) algo lcs_length step 5200: {'b': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 616995, 'step': 5200, 'algorithm': 'lcs_length'}
I0715 10:35:06.158565 126542653699584 run.py:723] (val) algo lcs_length step 5250: {'b': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 623074, 'step': 5250, 'algorithm': 'lcs_length'}
I0715 10:35:09.269445 126542653699584 run.py:723] (val) algo lcs_length step 5300: {'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 629015, 'step': 5300, 'algorithm': 'lcs_length'}
I0715 10:35:12.381694 126542653699584 run.py:723] (val) algo lcs_length step 5350: {'b': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 634903, 'step': 5350, 'algorithm': 'lcs_length'}
I0715 10:35:15.488181 126542653699584 run.py:723] (val) algo lcs_length step 5400: {'b': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 640743, 'step': 5400, 'algorithm': 'lcs_length'}
I0715 10:35:18.589224 126542653699584 run.py:723] (val) algo lcs_length step 5450: {'b': 0.966796875, 'score': 0.966796875, 'examples_seen': 646565, 'step': 5450, 'algorithm': 'lcs_length'}
I0715 10:35:21.727416 126542653699584 run.py:723] (val) algo lcs_length step 5500: {'b': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 652408, 'step': 5500, 'algorithm': 'lcs_length'}
I0715 10:35:24.923851 126542653699584 run.py:723] (val) algo lcs_length step 5550: {'b': 0.97412109375, 'score': 0.97412109375, 'examples_seen': 658487, 'step': 5550, 'algorithm': 'lcs_length'}
I0715 10:35:28.058160 126542653699584 run.py:723] (val) algo lcs_length step 5600: {'b': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 664565, 'step': 5600, 'algorithm': 'lcs_length'}
I0715 10:35:31.184740 126542653699584 run.py:723] (val) algo lcs_length step 5650: {'b': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 670508, 'step': 5650, 'algorithm': 'lcs_length'}
I0715 10:35:34.265787 126542653699584 run.py:723] (val) algo lcs_length step 5700: {'b': 0.96875, 'score': 0.96875, 'examples_seen': 676388, 'step': 5700, 'algorithm': 'lcs_length'}
I0715 10:35:37.395385 126542653699584 run.py:723] (val) algo lcs_length step 5750: {'b': 0.96875, 'score': 0.96875, 'examples_seen': 682224, 'step': 5750, 'algorithm': 'lcs_length'}
I0715 10:35:40.540034 126542653699584 run.py:723] (val) algo lcs_length step 5800: {'b': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 688090, 'step': 5800, 'algorithm': 'lcs_length'}
I0715 10:35:43.683983 126542653699584 run.py:723] (val) algo lcs_length step 5850: {'b': 0.966796875, 'score': 0.966796875, 'examples_seen': 693931, 'step': 5850, 'algorithm': 'lcs_length'}
I0715 10:35:46.845129 126542653699584 run.py:723] (val) algo lcs_length step 5900: {'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 699994, 'step': 5900, 'algorithm': 'lcs_length'}
I0715 10:35:49.989602 126542653699584 run.py:723] (val) algo lcs_length step 5950: {'b': 0.96875, 'score': 0.96875, 'examples_seen': 706072, 'step': 5950, 'algorithm': 'lcs_length'}
I0715 10:35:53.101870 126542653699584 run.py:723] (val) algo lcs_length step 6000: {'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 711999, 'step': 6000, 'algorithm': 'lcs_length'}
I0715 10:35:56.228644 126542653699584 run.py:723] (val) algo lcs_length step 6050: {'b': 0.970703125, 'score': 0.970703125, 'examples_seen': 717906, 'step': 6050, 'algorithm': 'lcs_length'}
I0715 10:35:59.410664 126542653699584 run.py:723] (val) algo lcs_length step 6100: {'b': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 723767, 'step': 6100, 'algorithm': 'lcs_length'}
I0715 10:36:02.570524 126542653699584 run.py:723] (val) algo lcs_length step 6150: {'b': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 729619, 'step': 6150, 'algorithm': 'lcs_length'}
I0715 10:36:05.722533 126542653699584 run.py:723] (val) algo lcs_length step 6200: {'b': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 735454, 'step': 6200, 'algorithm': 'lcs_length'}
I0715 10:36:08.898742 126542653699584 run.py:723] (val) algo lcs_length step 6250: {'b': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 741514, 'step': 6250, 'algorithm': 'lcs_length'}
I0715 10:36:12.061318 126542653699584 run.py:723] (val) algo lcs_length step 6300: {'b': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 747584, 'step': 6300, 'algorithm': 'lcs_length'}
I0715 10:36:15.210289 126542653699584 run.py:723] (val) algo lcs_length step 6350: {'b': 0.967529296875, 'score': 0.967529296875, 'examples_seen': 753519, 'step': 6350, 'algorithm': 'lcs_length'}
I0715 10:36:18.320558 126542653699584 run.py:723] (val) algo lcs_length step 6400: {'b': 0.96533203125, 'score': 0.96533203125, 'examples_seen': 759415, 'step': 6400, 'algorithm': 'lcs_length'}
I0715 10:36:21.484940 126542653699584 run.py:723] (val) algo lcs_length step 6450: {'b': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 765300, 'step': 6450, 'algorithm': 'lcs_length'}
I0715 10:36:24.638714 126542653699584 run.py:723] (val) algo lcs_length step 6500: {'b': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 771141, 'step': 6500, 'algorithm': 'lcs_length'}
I0715 10:36:27.732429 126542653699584 run.py:723] (val) algo lcs_length step 6550: {'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 776986, 'step': 6550, 'algorithm': 'lcs_length'}
I0715 10:36:30.911307 126542653699584 run.py:723] (val) algo lcs_length step 6600: {'b': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 783051, 'step': 6600, 'algorithm': 'lcs_length'}
I0715 10:36:34.087876 126542653699584 run.py:723] (val) algo lcs_length step 6650: {'b': 0.974609375, 'score': 0.974609375, 'examples_seen': 789121, 'step': 6650, 'algorithm': 'lcs_length'}
I0715 10:36:37.281270 126542653699584 run.py:723] (val) algo lcs_length step 6700: {'b': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 795055, 'step': 6700, 'algorithm': 'lcs_length'}
I0715 10:36:40.381688 126542653699584 run.py:723] (val) algo lcs_length step 6750: {'b': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 800948, 'step': 6750, 'algorithm': 'lcs_length'}
I0715 10:36:43.508558 126542653699584 run.py:723] (val) algo lcs_length step 6800: {'b': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 806801, 'step': 6800, 'algorithm': 'lcs_length'}
I0715 10:36:46.659970 126542653699584 run.py:723] (val) algo lcs_length step 6850: {'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 812662, 'step': 6850, 'algorithm': 'lcs_length'}
