I0715 09:49:23.435779 126481778218496 run.py:723] (val) algo insertion_sort step 0: {'pred': 0.251953125, 'score': 0.251953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'}
I0715 09:53:22.228028 126481778218496 run.py:723] (val) algo insertion_sort step 1550: {'pred': 0.896484375, 'score': 0.896484375, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'insertion_sort'}
I0715 09:53:26.796137 126481778218496 run.py:723] (val) algo insertion_sort step 1600: {'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'insertion_sort'}
I0715 09:53:31.246935 126481778218496 run.py:723] (val) algo insertion_sort step 1650: {'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'insertion_sort'}
I0715 09:53:35.909470 126481778218496 run.py:723] (val) algo insertion_sort step 1700: {'pred': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'insertion_sort'}
I0715 09:53:40.515004 126481778218496 run.py:723] (val) algo insertion_sort step 1750: {'pred': 0.8984375, 'score': 0.8984375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'insertion_sort'}
I0715 09:53:45.014114 126481778218496 run.py:723] (val) algo insertion_sort step 1800: {'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'insertion_sort'}
I0715 09:53:49.534714 126481778218496 run.py:723] (val) algo insertion_sort step 1850: {'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'insertion_sort'}
I0715 09:53:54.047731 126481778218496 run.py:723] (val) algo insertion_sort step 1900: {'pred': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'insertion_sort'}
I0715 09:53:58.580416 126481778218496 run.py:723] (val) algo insertion_sort step 1950: {'pred': 0.927734375, 'score': 0.927734375, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'insertion_sort'}
I0715 09:54:03.116404 126481778218496 run.py:723] (val) algo insertion_sort step 2000: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'insertion_sort'}
I0715 09:54:07.765730 126481778218496 run.py:723] (val) algo insertion_sort step 2050: {'pred': 0.89453125, 'score': 0.89453125, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'insertion_sort'}
I0715 09:54:12.292589 126481778218496 run.py:723] (val) algo insertion_sort step 2100: {'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'insertion_sort'}
I0715 09:54:16.845474 126481778218496 run.py:723] (val) algo insertion_sort step 2150: {'pred': 0.908203125, 'score': 0.908203125, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'insertion_sort'}
I0715 09:54:21.357762 126481778218496 run.py:723] (val) algo insertion_sort step 2200: {'pred': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'insertion_sort'}
I0715 09:54:25.849412 126481778218496 run.py:723] (val) algo insertion_sort step 2250: {'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'insertion_sort'}
I0715 09:54:30.328255 126481778218496 run.py:723] (val) algo insertion_sort step 2300: {'pred': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'insertion_sort'}
I0715 09:54:34.806576 126481778218496 run.py:723] (val) algo insertion_sort step 2350: {'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'insertion_sort'}
I0715 09:54:39.373234 126481778218496 run.py:723] (val) algo insertion_sort step 2400: {'pred': 0.919921875, 'score': 0.919921875, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'insertion_sort'}
I0715 09:54:43.909673 126481778218496 run.py:723] (val) algo insertion_sort step 2450: {'pred': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'insertion_sort'}
I0715 09:54:48.378322 126481778218496 run.py:723] (val) algo insertion_sort step 2500: {'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'insertion_sort'}
I0715 09:54:52.885138 126481778218496 run.py:723] (val) algo insertion_sort step 2550: {'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'insertion_sort'}
I0715 09:54:57.384205 126481778218496 run.py:723] (val) algo insertion_sort step 2600: {'pred': 0.921875, 'score': 0.921875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'insertion_sort'}
I0715 09:55:01.861791 126481778218496 run.py:723] (val) algo insertion_sort step 2650: {'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'insertion_sort'}
I0715 09:55:06.365432 126481778218496 run.py:723] (val) algo insertion_sort step 2700: {'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'insertion_sort'}
I0715 09:55:11.016604 126481778218496 run.py:723] (val) algo insertion_sort step 2750: {'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'insertion_sort'}
I0715 09:55:15.662301 126481778218496 run.py:723] (val) algo insertion_sort step 2800: {'pred': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'insertion_sort'}
I0715 09:55:20.195307 126481778218496 run.py:723] (val) algo insertion_sort step 2850: {'pred': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'insertion_sort'}
I0715 09:55:24.692414 126481778218496 run.py:723] (val) algo insertion_sort step 2900: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'insertion_sort'}
I0715 09:55:29.144137 126481778218496 run.py:723] (val) algo insertion_sort step 2950: {'pred': 0.927734375, 'score': 0.927734375, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'insertion_sort'}
I0715 09:55:33.718888 126481778218496 run.py:723] (val) algo insertion_sort step 3000: {'pred': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'insertion_sort'}
I0715 09:55:38.263327 126481778218496 run.py:723] (val) algo insertion_sort step 3050: {'pred': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'insertion_sort'}
I0715 09:55:42.859985 126481778218496 run.py:723] (val) algo insertion_sort step 3100: {'pred': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'insertion_sort'}
I0715 09:55:47.443461 126481778218496 run.py:723] (val) algo insertion_sort step 3150: {'pred': 0.96484375, 'score': 0.96484375, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'insertion_sort'}
I0715 09:55:51.917225 126481778218496 run.py:723] (val) algo insertion_sort step 3200: {'pred': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'insertion_sort'}
I0715 09:55:56.429200 126481778218496 run.py:723] (val) algo insertion_sort step 3250: {'pred': 0.93359375, 'score': 0.93359375, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'insertion_sort'}
I0715 09:56:00.901930 126481778218496 run.py:723] (val) algo insertion_sort step 3300: {'pred': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'insertion_sort'}
I0715 09:56:05.403106 126481778218496 run.py:723] (val) algo insertion_sort step 3350: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'insertion_sort'}
I0715 09:56:09.867216 126481778218496 run.py:723] (val) algo insertion_sort step 3400: {'pred': 0.96484375, 'score': 0.96484375, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'insertion_sort'}
I0715 09:56:14.445025 126481778218496 run.py:723] (val) algo insertion_sort step 3450: {'pred': 0.927734375, 'score': 0.927734375, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'insertion_sort'}
I0715 09:56:18.971845 126481778218496 run.py:723] (val) algo insertion_sort step 3500: {'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'insertion_sort'}
I0715 09:56:23.467711 126481778218496 run.py:723] (val) algo insertion_sort step 3550: {'pred': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'insertion_sort'}
I0715 09:56:28.217021 126481778218496 run.py:723] (val) algo insertion_sort step 3600: {'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'insertion_sort'}
I0715 09:56:32.674677 126481778218496 run.py:723] (val) algo insertion_sort step 3650: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'insertion_sort'}
I0715 09:56:37.136450 126481778218496 run.py:723] (val) algo insertion_sort step 3700: {'pred': 0.951171875, 'score': 0.951171875, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'insertion_sort'}
I0715 09:56:41.631394 126481778218496 run.py:723] (val) algo insertion_sort step 3750: {'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'insertion_sort'}
I0715 09:56:46.215550 126481778218496 run.py:723] (val) algo insertion_sort step 3800: {'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'insertion_sort'}
I0715 09:56:50.751293 126481778218496 run.py:723] (val) algo insertion_sort step 3850: {'pred': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'insertion_sort'}
I0715 09:56:55.268890 126481778218496 run.py:723] (val) algo insertion_sort step 3900: {'pred': 0.9609375, 'score': 0.9609375, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'insertion_sort'}
I0715 09:56:59.755534 126481778218496 run.py:723] (val) algo insertion_sort step 3950: {'pred': 0.96875, 'score': 0.96875, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'insertion_sort'}
I0715 09:57:04.269412 126481778218496 run.py:723] (val) algo insertion_sort step 4000: {'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'insertion_sort'}
I0715 09:57:08.778815 126481778218496 run.py:723] (val) algo insertion_sort step 4050: {'pred': 0.908203125, 'score': 0.908203125, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'insertion_sort'}
I0715 09:57:13.244452 126481778218496 run.py:723] (val) algo insertion_sort step 4100: {'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'insertion_sort'}
I0715 09:57:17.845434 126481778218496 run.py:723] (val) algo insertion_sort step 4150: {'pred': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'insertion_sort'}
I0715 09:57:22.376432 126481778218496 run.py:723] (val) algo insertion_sort step 4200: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'insertion_sort'}
I0715 09:57:26.879546 126481778218496 run.py:723] (val) algo insertion_sort step 4250: {'pred': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'insertion_sort'}
I0715 09:57:31.381964 126481778218496 run.py:723] (val) algo insertion_sort step 4300: {'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'insertion_sort'}
I0715 09:57:35.869737 126481778218496 run.py:723] (val) algo insertion_sort step 4350: {'pred': 0.9375, 'score': 0.9375, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'insertion_sort'}
I0715 09:57:40.315097 126481778218496 run.py:723] (val) algo insertion_sort step 4400: {'pred': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'insertion_sort'}
I0715 09:57:44.818073 126481778218496 run.py:723] (val) algo insertion_sort step 4450: {'pred': 0.98046875, 'score': 0.98046875, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'insertion_sort'}
I0715 09:57:49.413119 126481778218496 run.py:723] (val) algo insertion_sort step 4500: {'pred': 0.978515625, 'score': 0.978515625, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'insertion_sort'}
I0715 09:57:53.952564 126481778218496 run.py:723] (val) algo insertion_sort step 4550: {'pred': 0.947265625, 'score': 0.947265625, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'insertion_sort'}
I0715 09:57:58.451849 126481778218496 run.py:723] (val) algo insertion_sort step 4600: {'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'insertion_sort'}
I0715 09:58:02.939160 126481778218496 run.py:723] (val) algo insertion_sort step 4650: {'pred': 0.96875, 'score': 0.96875, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'insertion_sort'}
I0715 09:58:07.421492 126481778218496 run.py:723] (val) algo insertion_sort step 4700: {'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'insertion_sort'}
I0715 09:58:11.916194 126481778218496 run.py:723] (val) algo insertion_sort step 4750: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'insertion_sort'}
I0715 09:58:16.402204 126481778218496 run.py:723] (val) algo insertion_sort step 4800: {'pred': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'insertion_sort'}
I0715 09:58:20.996072 126481778218496 run.py:723] (val) algo insertion_sort step 4850: {'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'insertion_sort'}
I0715 09:58:25.535117 126481778218496 run.py:723] (val) algo insertion_sort step 4900: {'pred': 0.953125, 'score': 0.953125, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'insertion_sort'}
I0715 09:58:30.030302 126481778218496 run.py:723] (val) algo insertion_sort step 4950: {'pred': 0.978515625, 'score': 0.978515625, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'insertion_sort'}
I0715 09:58:34.522749 126481778218496 run.py:723] (val) algo insertion_sort step 5000: {'pred': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'insertion_sort'}
I0715 09:58:39.007668 126481778218496 run.py:723] (val) algo insertion_sort step 5050: {'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'insertion_sort'}
I0715 09:58:43.488783 126481778218496 run.py:723] (val) algo insertion_sort step 5100: {'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'insertion_sort'}
I0715 09:58:47.963385 126481778218496 run.py:723] (val) algo insertion_sort step 5150: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'insertion_sort'}
I0715 09:58:52.527053 126481778218496 run.py:723] (val) algo insertion_sort step 5200: {'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'insertion_sort'}
I0715 09:58:57.077691 126481778218496 run.py:723] (val) algo insertion_sort step 5250: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'insertion_sort'}
I0715 09:59:01.551275 126481778218496 run.py:723] (val) algo insertion_sort step 5300: {'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'insertion_sort'}
I0715 09:59:06.034359 126481778218496 run.py:723] (val) algo insertion_sort step 5350: {'pred': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'insertion_sort'}
I0715 09:59:10.519794 126481778218496 run.py:723] (val) algo insertion_sort step 5400: {'pred': 0.96875, 'score': 0.96875, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'insertion_sort'}
I0715 09:59:14.976527 126481778218496 run.py:723] (val) algo insertion_sort step 5450: {'pred': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'insertion_sort'}
I0715 09:59:19.482556 126481778218496 run.py:723] (val) algo insertion_sort step 5500: {'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'insertion_sort'}
I0715 09:59:24.050571 126481778218496 run.py:723] (val) algo insertion_sort step 5550: {'pred': 0.921875, 'score': 0.921875, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'insertion_sort'}
I0715 09:59:28.606446 126481778218496 run.py:723] (val) algo insertion_sort step 5600: {'pred': 0.919921875, 'score': 0.919921875, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'insertion_sort'}
I0715 09:59:33.083091 126481778218496 run.py:723] (val) algo insertion_sort step 5650: {'pred': 0.970703125, 'score': 0.970703125, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'insertion_sort'}
I0715 09:59:37.594712 126481778218496 run.py:723] (val) algo insertion_sort step 5700: {'pred': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'insertion_sort'}
I0715 09:59:42.074544 126481778218496 run.py:723] (val) algo insertion_sort step 5750: {'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'insertion_sort'}
I0715 09:59:46.541369 126481778218496 run.py:723] (val) algo insertion_sort step 5800: {'pred': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'insertion_sort'}
I0715 09:59:50.979083 126481778218496 run.py:723] (val) algo insertion_sort step 5850: {'pred': 0.9609375, 'score': 0.9609375, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'insertion_sort'}
I0715 09:59:55.561738 126481778218496 run.py:723] (val) algo insertion_sort step 5900: {'pred': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'insertion_sort'}
I0715 10:00:00.068868 126481778218496 run.py:723] (val) algo insertion_sort step 5950: {'pred': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'insertion_sort'}
I0715 10:00:04.577146 126481778218496 run.py:723] (val) algo insertion_sort step 6000: {'pred': 0.931640625, 'score': 0.931640625, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'insertion_sort'}
I0715 10:00:09.143239 126481778218496 run.py:723] (val) algo insertion_sort step 6050: {'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'insertion_sort'}
I0715 10:00:13.625275 126481778218496 run.py:723] (val) algo insertion_sort step 6100: {'pred': 0.958984375, 'score': 0.958984375, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'insertion_sort'}
I0715 10:00:18.185031 126481778218496 run.py:723] (val) algo insertion_sort step 6150: {'pred': 0.970703125, 'score': 0.970703125, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'insertion_sort'}
I0715 10:00:22.666978 126481778218496 run.py:723] (val) algo insertion_sort step 6200: {'pred': 0.9375, 'score': 0.9375, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'insertion_sort'}
I0715 10:00:27.252584 126481778218496 run.py:723] (val) algo insertion_sort step 6250: {'pred': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'insertion_sort'}
I0715 10:00:31.802973 126481778218496 run.py:723] (val) algo insertion_sort step 6300: {'pred': 0.943359375, 'score': 0.943359375, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'insertion_sort'}
I0715 10:00:36.355968 126481778218496 run.py:723] (val) algo insertion_sort step 6350: {'pred': 0.962890625, 'score': 0.962890625, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'insertion_sort'}
I0715 10:00:40.823191 126481778218496 run.py:723] (val) algo insertion_sort step 6400: {'pred': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'insertion_sort'}
I0715 10:00:45.285197 126481778218496 run.py:723] (val) algo insertion_sort step 6450: {'pred': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'insertion_sort'}
I0715 10:00:49.758901 126481778218496 run.py:723] (val) algo insertion_sort step 6500: {'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'insertion_sort'}
I0715 10:00:54.221599 126481778218496 run.py:723] (val) algo insertion_sort step 6550: {'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'insertion_sort'}
I0715 10:00:58.826556 126481778218496 run.py:723] (val) algo insertion_sort step 6600: {'pred': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'insertion_sort'}
I0715 10:01:03.357767 126481778218496 run.py:723] (val) algo insertion_sort step 6650: {'pred': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'insertion_sort'}
I0715 10:01:07.907331 126481778218496 run.py:723] (val) algo insertion_sort step 6700: {'pred': 0.96484375, 'score': 0.96484375, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'insertion_sort'}
