I0715 09:16:51.442838 133453536179712 run.py:723] (val) algo floyd_warshall step 0: {'Pi': 0.0775146484375, 'score': 0.0775146484375, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
I0715 09:19:15.699401 133453536179712 run.py:723] (val) algo floyd_warshall step 1100: {'Pi': 0.60552978515625, 'score': 0.60552978515625, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'floyd_warshall'}
I0715 09:19:17.971872 133453536179712 run.py:723] (val) algo floyd_warshall step 1150: {'Pi': 0.59423828125, 'score': 0.59423828125, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'floyd_warshall'}
I0715 09:19:20.241036 133453536179712 run.py:723] (val) algo floyd_warshall step 1200: {'Pi': 0.63214111328125, 'score': 0.63214111328125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'floyd_warshall'}
I0715 09:19:22.573443 133453536179712 run.py:723] (val) algo floyd_warshall step 1250: {'Pi': 0.62799072265625, 'score': 0.62799072265625, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'floyd_warshall'}
I0715 09:19:24.963974 133453536179712 run.py:723] (val) algo floyd_warshall step 1300: {'Pi': 0.6666259765625, 'score': 0.6666259765625, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'floyd_warshall'}
I0715 09:19:27.306779 133453536179712 run.py:723] (val) algo floyd_warshall step 1350: {'Pi': 0.5875244140625, 'score': 0.5875244140625, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'floyd_warshall'}
I0715 09:19:29.573891 133453536179712 run.py:723] (val) algo floyd_warshall step 1400: {'Pi': 0.63629150390625, 'score': 0.63629150390625, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'floyd_warshall'}
I0715 09:19:31.831722 133453536179712 run.py:723] (val) algo floyd_warshall step 1450: {'Pi': 0.65460205078125, 'score': 0.65460205078125, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'floyd_warshall'}
I0715 09:19:34.124322 133453536179712 run.py:723] (val) algo floyd_warshall step 1500: {'Pi': 0.61334228515625, 'score': 0.61334228515625, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'floyd_warshall'}
I0715 09:19:36.447093 133453536179712 run.py:723] (val) algo floyd_warshall step 1550: {'Pi': 0.58697509765625, 'score': 0.58697509765625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'floyd_warshall'}
I0715 09:19:38.747431 133453536179712 run.py:723] (val) algo floyd_warshall step 1600: {'Pi': 0.65582275390625, 'score': 0.65582275390625, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'floyd_warshall'}
I0715 09:19:41.122150 133453536179712 run.py:723] (val) algo floyd_warshall step 1650: {'Pi': 0.64599609375, 'score': 0.64599609375, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'floyd_warshall'}
I0715 09:19:43.458244 133453536179712 run.py:723] (val) algo floyd_warshall step 1700: {'Pi': 0.64654541015625, 'score': 0.64654541015625, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'floyd_warshall'}
I0715 09:19:45.761748 133453536179712 run.py:723] (val) algo floyd_warshall step 1750: {'Pi': 0.69085693359375, 'score': 0.69085693359375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'floyd_warshall'}
I0715 09:19:48.071081 133453536179712 run.py:723] (val) algo floyd_warshall step 1800: {'Pi': 0.62603759765625, 'score': 0.62603759765625, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'floyd_warshall'}
I0715 09:19:50.337319 133453536179712 run.py:723] (val) algo floyd_warshall step 1850: {'Pi': 0.6612548828125, 'score': 0.6612548828125, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'floyd_warshall'}
I0715 09:19:52.626498 133453536179712 run.py:723] (val) algo floyd_warshall step 1900: {'Pi': 0.65753173828125, 'score': 0.65753173828125, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'floyd_warshall'}
I0715 09:19:54.943843 133453536179712 run.py:723] (val) algo floyd_warshall step 1950: {'Pi': 0.668701171875, 'score': 0.668701171875, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'floyd_warshall'}
I0715 09:19:57.325665 133453536179712 run.py:723] (val) algo floyd_warshall step 2000: {'Pi': 0.69049072265625, 'score': 0.69049072265625, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'floyd_warshall'}
I0715 09:19:59.684170 133453536179712 run.py:723] (val) algo floyd_warshall step 2050: {'Pi': 0.7149658203125, 'score': 0.7149658203125, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'floyd_warshall'}
I0715 09:20:02.050378 133453536179712 run.py:723] (val) algo floyd_warshall step 2100: {'Pi': 0.69891357421875, 'score': 0.69891357421875, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'floyd_warshall'}
I0715 09:20:04.306673 133453536179712 run.py:723] (val) algo floyd_warshall step 2150: {'Pi': 0.7015380859375, 'score': 0.7015380859375, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'floyd_warshall'}
I0715 09:20:06.569611 133453536179712 run.py:723] (val) algo floyd_warshall step 2200: {'Pi': 0.69879150390625, 'score': 0.69879150390625, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'floyd_warshall'}
I0715 09:20:08.895044 133453536179712 run.py:723] (val) algo floyd_warshall step 2250: {'Pi': 0.7044677734375, 'score': 0.7044677734375, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'floyd_warshall'}
I0715 09:20:11.233902 133453536179712 run.py:723] (val) algo floyd_warshall step 2300: {'Pi': 0.72186279296875, 'score': 0.72186279296875, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'floyd_warshall'}
I0715 09:20:13.661103 133453536179712 run.py:723] (val) algo floyd_warshall step 2350: {'Pi': 0.69549560546875, 'score': 0.69549560546875, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'floyd_warshall'}
I0715 09:20:15.974673 133453536179712 run.py:723] (val) algo floyd_warshall step 2400: {'Pi': 0.7210693359375, 'score': 0.7210693359375, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'floyd_warshall'}
I0715 09:20:18.284061 133453536179712 run.py:723] (val) algo floyd_warshall step 2450: {'Pi': 0.7039794921875, 'score': 0.7039794921875, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'floyd_warshall'}
I0715 09:20:20.553030 133453536179712 run.py:723] (val) algo floyd_warshall step 2500: {'Pi': 0.7159423828125, 'score': 0.7159423828125, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'floyd_warshall'}
I0715 09:20:22.848474 133453536179712 run.py:723] (val) algo floyd_warshall step 2550: {'Pi': 0.6793212890625, 'score': 0.6793212890625, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'floyd_warshall'}
I0715 09:20:25.120828 133453536179712 run.py:723] (val) algo floyd_warshall step 2600: {'Pi': 0.7056884765625, 'score': 0.7056884765625, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'floyd_warshall'}
I0715 09:20:27.447808 133453536179712 run.py:723] (val) algo floyd_warshall step 2650: {'Pi': 0.7569580078125, 'score': 0.7569580078125, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'floyd_warshall'}
I0715 09:20:29.902151 133453536179712 run.py:723] (val) algo floyd_warshall step 2700: {'Pi': 0.7508544921875, 'score': 0.7508544921875, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'floyd_warshall'}
I0715 09:20:32.236937 133453536179712 run.py:723] (val) algo floyd_warshall step 2750: {'Pi': 0.72674560546875, 'score': 0.72674560546875, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'floyd_warshall'}
I0715 09:20:34.577309 133453536179712 run.py:723] (val) algo floyd_warshall step 2800: {'Pi': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'floyd_warshall'}
I0715 09:20:36.859750 133453536179712 run.py:723] (val) algo floyd_warshall step 2850: {'Pi': 0.7462158203125, 'score': 0.7462158203125, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'floyd_warshall'}
I0715 09:20:39.150338 133453536179712 run.py:723] (val) algo floyd_warshall step 2900: {'Pi': 0.7203369140625, 'score': 0.7203369140625, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'floyd_warshall'}
I0715 09:20:41.446126 133453536179712 run.py:723] (val) algo floyd_warshall step 2950: {'Pi': 0.75506591796875, 'score': 0.75506591796875, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'floyd_warshall'}
I0715 09:20:43.762203 133453536179712 run.py:723] (val) algo floyd_warshall step 3000: {'Pi': 0.70098876953125, 'score': 0.70098876953125, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'floyd_warshall'}
I0715 09:20:46.162939 133453536179712 run.py:723] (val) algo floyd_warshall step 3050: {'Pi': 0.74078369140625, 'score': 0.74078369140625, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'floyd_warshall'}
I0715 09:20:48.544288 133453536179712 run.py:723] (val) algo floyd_warshall step 3100: {'Pi': 0.7928466796875, 'score': 0.7928466796875, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'floyd_warshall'}
I0715 09:20:50.872434 133453536179712 run.py:723] (val) algo floyd_warshall step 3150: {'Pi': 0.70037841796875, 'score': 0.70037841796875, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'floyd_warshall'}
I0715 09:20:53.152378 133453536179712 run.py:723] (val) algo floyd_warshall step 3200: {'Pi': 0.76202392578125, 'score': 0.76202392578125, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'floyd_warshall'}
I0715 09:20:55.426339 133453536179712 run.py:723] (val) algo floyd_warshall step 3250: {'Pi': 0.74395751953125, 'score': 0.74395751953125, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'floyd_warshall'}
I0715 09:20:57.700212 133453536179712 run.py:723] (val) algo floyd_warshall step 3300: {'Pi': 0.728515625, 'score': 0.728515625, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'floyd_warshall'}
I0715 09:21:00.049556 133453536179712 run.py:723] (val) algo floyd_warshall step 3350: {'Pi': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'floyd_warshall'}
I0715 09:21:02.467145 133453536179712 run.py:723] (val) algo floyd_warshall step 3400: {'Pi': 0.7869873046875, 'score': 0.7869873046875, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'floyd_warshall'}
I0715 09:21:04.779013 133453536179712 run.py:723] (val) algo floyd_warshall step 3450: {'Pi': 0.76531982421875, 'score': 0.76531982421875, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'floyd_warshall'}
I0715 09:21:07.068309 133453536179712 run.py:723] (val) algo floyd_warshall step 3500: {'Pi': 0.7420654296875, 'score': 0.7420654296875, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'floyd_warshall'}
I0715 09:21:09.339524 133453536179712 run.py:723] (val) algo floyd_warshall step 3550: {'Pi': 0.718994140625, 'score': 0.718994140625, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'floyd_warshall'}
I0715 09:21:11.595198 133453536179712 run.py:723] (val) algo floyd_warshall step 3600: {'Pi': 0.74884033203125, 'score': 0.74884033203125, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'floyd_warshall'}
I0715 09:21:13.899618 133453536179712 run.py:723] (val) algo floyd_warshall step 3650: {'Pi': 0.7474365234375, 'score': 0.7474365234375, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'floyd_warshall'}
I0715 09:21:16.262358 133453536179712 run.py:723] (val) algo floyd_warshall step 3700: {'Pi': 0.7755126953125, 'score': 0.7755126953125, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'floyd_warshall'}
I0715 09:21:18.653848 133453536179712 run.py:723] (val) algo floyd_warshall step 3750: {'Pi': 0.77935791015625, 'score': 0.77935791015625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'floyd_warshall'}
I0715 09:21:21.011067 133453536179712 run.py:723] (val) algo floyd_warshall step 3800: {'Pi': 0.7938232421875, 'score': 0.7938232421875, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'floyd_warshall'}
I0715 09:21:23.319681 133453536179712 run.py:723] (val) algo floyd_warshall step 3850: {'Pi': 0.73974609375, 'score': 0.73974609375, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'floyd_warshall'}
I0715 09:21:25.576028 133453536179712 run.py:723] (val) algo floyd_warshall step 3900: {'Pi': 0.765625, 'score': 0.765625, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'floyd_warshall'}
I0715 09:21:27.842718 133453536179712 run.py:723] (val) algo floyd_warshall step 3950: {'Pi': 0.78564453125, 'score': 0.78564453125, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'floyd_warshall'}
I0715 09:21:30.129235 133453536179712 run.py:723] (val) algo floyd_warshall step 4000: {'Pi': 0.8260498046875, 'score': 0.8260498046875, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'floyd_warshall'}
I0715 09:21:32.474351 133453536179712 run.py:723] (val) algo floyd_warshall step 4050: {'Pi': 0.76580810546875, 'score': 0.76580810546875, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'floyd_warshall'}
I0715 09:21:34.933935 133453536179712 run.py:723] (val) algo floyd_warshall step 4100: {'Pi': 0.76165771484375, 'score': 0.76165771484375, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'floyd_warshall'}
I0715 09:21:37.270625 133453536179712 run.py:723] (val) algo floyd_warshall step 4150: {'Pi': 0.78533935546875, 'score': 0.78533935546875, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'floyd_warshall'}
I0715 09:21:39.564252 133453536179712 run.py:723] (val) algo floyd_warshall step 4200: {'Pi': 0.75714111328125, 'score': 0.75714111328125, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'floyd_warshall'}
I0715 09:21:41.812365 133453536179712 run.py:723] (val) algo floyd_warshall step 4250: {'Pi': 0.80401611328125, 'score': 0.80401611328125, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'floyd_warshall'}
I0715 09:21:44.059935 133453536179712 run.py:723] (val) algo floyd_warshall step 4300: {'Pi': 0.81402587890625, 'score': 0.81402587890625, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'floyd_warshall'}
I0715 09:21:46.370146 133453536179712 run.py:723] (val) algo floyd_warshall step 4350: {'Pi': 0.7529296875, 'score': 0.7529296875, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'floyd_warshall'}
I0715 09:21:48.694403 133453536179712 run.py:723] (val) algo floyd_warshall step 4400: {'Pi': 0.80206298828125, 'score': 0.80206298828125, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'floyd_warshall'}
I0715 09:21:51.101443 133453536179712 run.py:723] (val) algo floyd_warshall step 4450: {'Pi': 0.78790283203125, 'score': 0.78790283203125, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'floyd_warshall'}
I0715 09:21:53.451173 133453536179712 run.py:723] (val) algo floyd_warshall step 4500: {'Pi': 0.76580810546875, 'score': 0.76580810546875, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'floyd_warshall'}
I0715 09:21:55.766574 133453536179712 run.py:723] (val) algo floyd_warshall step 4550: {'Pi': 0.82232666015625, 'score': 0.82232666015625, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'floyd_warshall'}
I0715 09:21:58.043426 133453536179712 run.py:723] (val) algo floyd_warshall step 4600: {'Pi': 0.81378173828125, 'score': 0.81378173828125, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'floyd_warshall'}
I0715 09:22:00.309411 133453536179712 run.py:723] (val) algo floyd_warshall step 4650: {'Pi': 0.8035888671875, 'score': 0.8035888671875, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'floyd_warshall'}
I0715 09:22:02.599186 133453536179712 run.py:723] (val) algo floyd_warshall step 4700: {'Pi': 0.77734375, 'score': 0.77734375, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'floyd_warshall'}
I0715 09:22:04.908793 133453536179712 run.py:723] (val) algo floyd_warshall step 4750: {'Pi': 0.78033447265625, 'score': 0.78033447265625, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'floyd_warshall'}
I0715 09:22:07.291790 133453536179712 run.py:723] (val) algo floyd_warshall step 4800: {'Pi': 0.8033447265625, 'score': 0.8033447265625, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'floyd_warshall'}
I0715 09:22:09.605146 133453536179712 run.py:723] (val) algo floyd_warshall step 4850: {'Pi': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'floyd_warshall'}
I0715 09:22:11.893532 133453536179712 run.py:723] (val) algo floyd_warshall step 4900: {'Pi': 0.81304931640625, 'score': 0.81304931640625, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'floyd_warshall'}
I0715 09:22:14.167801 133453536179712 run.py:723] (val) algo floyd_warshall step 4950: {'Pi': 0.8072509765625, 'score': 0.8072509765625, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'floyd_warshall'}
I0715 09:22:16.431988 133453536179712 run.py:723] (val) algo floyd_warshall step 5000: {'Pi': 0.77423095703125, 'score': 0.77423095703125, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'floyd_warshall'}
I0715 09:22:18.729173 133453536179712 run.py:723] (val) algo floyd_warshall step 5050: {'Pi': 0.794677734375, 'score': 0.794677734375, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'floyd_warshall'}
I0715 09:22:21.042102 133453536179712 run.py:723] (val) algo floyd_warshall step 5100: {'Pi': 0.802734375, 'score': 0.802734375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'floyd_warshall'}
I0715 09:22:23.422859 133453536179712 run.py:723] (val) algo floyd_warshall step 5150: {'Pi': 0.79547119140625, 'score': 0.79547119140625, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'floyd_warshall'}
I0715 09:22:25.766630 133453536179712 run.py:723] (val) algo floyd_warshall step 5200: {'Pi': 0.81121826171875, 'score': 0.81121826171875, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'floyd_warshall'}
I0715 09:22:28.072714 133453536179712 run.py:723] (val) algo floyd_warshall step 5250: {'Pi': 0.81048583984375, 'score': 0.81048583984375, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'floyd_warshall'}
I0715 09:22:30.348702 133453536179712 run.py:723] (val) algo floyd_warshall step 5300: {'Pi': 0.81072998046875, 'score': 0.81072998046875, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'floyd_warshall'}
I0715 09:22:32.621626 133453536179712 run.py:723] (val) algo floyd_warshall step 5350: {'Pi': 0.80157470703125, 'score': 0.80157470703125, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'floyd_warshall'}
I0715 09:22:34.920129 133453536179712 run.py:723] (val) algo floyd_warshall step 5400: {'Pi': 0.80841064453125, 'score': 0.80841064453125, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'floyd_warshall'}
I0715 09:22:37.229733 133453536179712 run.py:723] (val) algo floyd_warshall step 5450: {'Pi': 0.7901611328125, 'score': 0.7901611328125, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'floyd_warshall'}
I0715 09:22:39.625307 133453536179712 run.py:723] (val) algo floyd_warshall step 5500: {'Pi': 0.79669189453125, 'score': 0.79669189453125, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'floyd_warshall'}
I0715 09:22:41.971353 133453536179712 run.py:723] (val) algo floyd_warshall step 5550: {'Pi': 0.84381103515625, 'score': 0.84381103515625, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'floyd_warshall'}
I0715 09:22:44.308628 133453536179712 run.py:723] (val) algo floyd_warshall step 5600: {'Pi': 0.79937744140625, 'score': 0.79937744140625, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'floyd_warshall'}
I0715 09:22:46.602096 133453536179712 run.py:723] (val) algo floyd_warshall step 5650: {'Pi': 0.8499755859375, 'score': 0.8499755859375, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'floyd_warshall'}
I0715 09:22:48.907405 133453536179712 run.py:723] (val) algo floyd_warshall step 5700: {'Pi': 0.7889404296875, 'score': 0.7889404296875, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'floyd_warshall'}
I0715 09:22:51.184679 133453536179712 run.py:723] (val) algo floyd_warshall step 5750: {'Pi': 0.8016357421875, 'score': 0.8016357421875, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'floyd_warshall'}
I0715 09:22:53.509735 133453536179712 run.py:723] (val) algo floyd_warshall step 5800: {'Pi': 0.7879638671875, 'score': 0.7879638671875, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'floyd_warshall'}
I0715 09:22:55.913068 133453536179712 run.py:723] (val) algo floyd_warshall step 5850: {'Pi': 0.833984375, 'score': 0.833984375, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'floyd_warshall'}
I0715 09:22:58.227277 133453536179712 run.py:723] (val) algo floyd_warshall step 5900: {'Pi': 0.81353759765625, 'score': 0.81353759765625, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'floyd_warshall'}
I0715 09:23:00.528319 133453536179712 run.py:723] (val) algo floyd_warshall step 5950: {'Pi': 0.8275146484375, 'score': 0.8275146484375, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'floyd_warshall'}
I0715 09:23:02.807209 133453536179712 run.py:723] (val) algo floyd_warshall step 6000: {'Pi': 0.79644775390625, 'score': 0.79644775390625, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'floyd_warshall'}
I0715 09:23:05.081761 133453536179712 run.py:723] (val) algo floyd_warshall step 6050: {'Pi': 0.79547119140625, 'score': 0.79547119140625, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'floyd_warshall'}
I0715 09:23:07.367079 133453536179712 run.py:723] (val) algo floyd_warshall step 6100: {'Pi': 0.8319091796875, 'score': 0.8319091796875, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'floyd_warshall'}
I0715 09:23:09.700197 133453536179712 run.py:723] (val) algo floyd_warshall step 6150: {'Pi': 0.81512451171875, 'score': 0.81512451171875, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'floyd_warshall'}
I0715 09:23:12.095852 133453536179712 run.py:723] (val) algo floyd_warshall step 6200: {'Pi': 0.794921875, 'score': 0.794921875, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'floyd_warshall'}
I0715 09:23:14.433143 133453536179712 run.py:723] (val) algo floyd_warshall step 6250: {'Pi': 0.84326171875, 'score': 0.84326171875, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'floyd_warshall'}
I0715 09:23:16.720622 133453536179712 run.py:723] (val) algo floyd_warshall step 6300: {'Pi': 0.80841064453125, 'score': 0.80841064453125, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'floyd_warshall'}
I0715 09:23:19.015189 133453536179712 run.py:723] (val) algo floyd_warshall step 6350: {'Pi': 0.76483154296875, 'score': 0.76483154296875, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'floyd_warshall'}
