{'in_mst': 0.3429852419204184, 'score': 0.3429852419204184, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.751953125, 'score': 0.751953125, 'examples_seen': 153304, 'step': 1850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6818181818181818, 'score': 0.6818181818181818, 'examples_seen': 157443, 'step': 1900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7288444040036397, 'score': 0.7288444040036397, 'examples_seen': 161536, 'step': 1950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7304761904761905, 'score': 0.7304761904761905, 'examples_seen': 165531, 'step': 2000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6718668746749871, 'score': 0.6718668746749871, 'examples_seen': 169840, 'step': 2050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7709727225939268, 'score': 0.7709727225939268, 'examples_seen': 174082, 'step': 2100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6876668446342766, 'score': 0.6876668446342766, 'examples_seen': 178221, 'step': 2150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7188715953307393, 'score': 0.7188715953307393, 'examples_seen': 182316, 'step': 2200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6936026936026937, 'score': 0.6936026936026937, 'examples_seen': 186367, 'step': 2250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7751865671641792, 'score': 0.7751865671641792, 'examples_seen': 190412, 'step': 2300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6867958539882829, 'score': 0.6867958539882829, 'examples_seen': 194466, 'step': 2350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.744139650872818, 'score': 0.744139650872818, 'examples_seen': 198751, 'step': 2400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7418719211822661, 'score': 0.7418719211822661, 'examples_seen': 202922, 'step': 2450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7363420427553444, 'score': 0.7363420427553444, 'examples_seen': 207050, 'step': 2500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7843530591775325, 'score': 0.7843530591775325, 'examples_seen': 211121, 'step': 2550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7478991596638656, 'score': 0.7478991596638656, 'examples_seen': 215141, 'step': 2600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7958549222797927, 'score': 0.7958549222797927, 'examples_seen': 219120, 'step': 2650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7803532008830023, 'score': 0.7803532008830023, 'examples_seen': 223194, 'step': 2700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7409800753904145, 'score': 0.7409800753904145, 'examples_seen': 227498, 'step': 2750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7473784556720687, 'score': 0.7473784556720687, 'examples_seen': 231716, 'step': 2800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7976071784646063, 'score': 0.7976071784646063, 'examples_seen': 235735, 'step': 2850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7670540677109651, 'score': 0.7670540677109651, 'examples_seen': 239883, 'step': 2900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7672764227642278, 'score': 0.7672764227642278, 'examples_seen': 244016, 'step': 2950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7605760576057605, 'score': 0.7605760576057605, 'examples_seen': 248024, 'step': 3000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.739196746314184, 'score': 0.739196746314184, 'examples_seen': 252129, 'step': 3050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7260012714558169, 'score': 0.7260012714558169, 'examples_seen': 256390, 'step': 3100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8245004344048653, 'score': 0.8245004344048653, 'examples_seen': 260590, 'step': 3150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7415865384615384, 'score': 0.7415865384615384, 'examples_seen': 264819, 'step': 3200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.768356229275225, 'score': 0.768356229275225, 'examples_seen': 268973, 'step': 3250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7852604828462516, 'score': 0.7852604828462516, 'examples_seen': 272965, 'step': 3300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.746041055718475, 'score': 0.746041055718475, 'examples_seen': 276955, 'step': 3350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8023391812865497, 'score': 0.8023391812865497, 'examples_seen': 280943, 'step': 3400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7744763760350708, 'score': 0.7744763760350708, 'examples_seen': 285132, 'step': 3450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7785467128027682, 'score': 0.7785467128027682, 'examples_seen': 289302, 'step': 3500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8003679852805887, 'score': 0.8003679852805887, 'examples_seen': 293568, 'step': 3550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8056279312141741, 'score': 0.8056279312141741, 'examples_seen': 297736, 'step': 3600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7953216374269007, 'score': 0.7953216374269007, 'examples_seen': 301785, 'step': 3650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8349082823790996, 'score': 0.8349082823790996, 'examples_seen': 305887, 'step': 3700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7927432655305113, 'score': 0.7927432655305113, 'examples_seen': 309936, 'step': 3750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7149627623561273, 'score': 0.7149627623561273, 'examples_seen': 314216, 'step': 3800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7888372093023256, 'score': 0.7888372093023256, 'examples_seen': 318430, 'step': 3850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8029809035863996, 'score': 0.8029809035863996, 'examples_seen': 322513, 'step': 3900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8121353558926486, 'score': 0.8121353558926486, 'examples_seen': 326603, 'step': 3950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7148014440433215, 'score': 0.7148014440433215, 'examples_seen': 330716, 'step': 4000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.763896532746285, 'score': 0.763896532746285, 'examples_seen': 334684, 'step': 4050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7208226221079691, 'score': 0.7208226221079691, 'examples_seen': 338743, 'step': 4100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.804432132963989, 'score': 0.804432132963989, 'examples_seen': 343016, 'step': 4150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8048103607770583, 'score': 0.8048103607770583, 'examples_seen': 347254, 'step': 4200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.812895797351756, 'score': 0.812895797351756, 'examples_seen': 351401, 'step': 4250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7691309987029832, 'score': 0.7691309987029832, 'examples_seen': 355505, 'step': 4300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.70625, 'score': 0.70625, 'examples_seen': 359596, 'step': 4350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7744581136496779, 'score': 0.7744581136496779, 'examples_seen': 363677, 'step': 4400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7651715039577837, 'score': 0.7651715039577837, 'examples_seen': 367777, 'step': 4450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7919534145050291, 'score': 0.7919534145050291, 'examples_seen': 372068, 'step': 4500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7827715355805245, 'score': 0.7827715355805245, 'examples_seen': 376301, 'step': 4550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8290946083418109, 'score': 0.8290946083418109, 'examples_seen': 380462, 'step': 4600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8046441191317516, 'score': 0.8046441191317516, 'examples_seen': 384591, 'step': 4650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7208067940552019, 'score': 0.7208067940552019, 'examples_seen': 388658, 'step': 4700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7735941320293399, 'score': 0.7735941320293399, 'examples_seen': 392694, 'step': 4750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.765002804262479, 'score': 0.765002804262479, 'examples_seen': 396779, 'step': 4800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7629586488060571, 'score': 0.7629586488060571, 'examples_seen': 401094, 'step': 4850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7930391547545059, 'score': 0.7930391547545059, 'examples_seen': 405307, 'step': 4900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.830248545742993, 'score': 0.830248545742993, 'examples_seen': 409441, 'step': 4950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7514153371075656, 'score': 0.7514153371075656, 'examples_seen': 413530, 'step': 5000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.773511407902059, 'score': 0.773511407902059, 'examples_seen': 417587, 'step': 5050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.772196261682243, 'score': 0.772196261682243, 'examples_seen': 421709, 'step': 5100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8047337278106509, 'score': 0.8047337278106509, 'examples_seen': 425755, 'step': 5150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8143899895724713, 'score': 0.8143899895724713, 'examples_seen': 430070, 'step': 5200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7717078780908568, 'score': 0.7717078780908568, 'examples_seen': 434316, 'step': 5250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.762775685852609, 'score': 0.762775685852609, 'examples_seen': 438498, 'step': 5300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.778574844571975, 'score': 0.778574844571975, 'examples_seen': 442498, 'step': 5350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7670639219934994, 'score': 0.7670639219934994, 'examples_seen': 446583, 'step': 5400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8140350877192983, 'score': 0.8140350877192983, 'examples_seen': 450633, 'step': 5450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7708437343984024, 'score': 0.7708437343984024, 'examples_seen': 454692, 'step': 5500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7585284280936455, 'score': 0.7585284280936455, 'examples_seen': 458917, 'step': 5550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.727363184079602, 'score': 0.727363184079602, 'examples_seen': 463110, 'step': 5600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7329032258064516, 'score': 0.7329032258064516, 'examples_seen': 467240, 'step': 5650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7710455764075066, 'score': 0.7710455764075066, 'examples_seen': 471347, 'step': 5700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7715039577836412, 'score': 0.7715039577836412, 'examples_seen': 475483, 'step': 5750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8087719298245614, 'score': 0.8087719298245614, 'examples_seen': 479534, 'step': 5800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7712082262210797, 'score': 0.7712082262210797, 'examples_seen': 483610, 'step': 5850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8138739618954569, 'score': 0.8138739618954569, 'examples_seen': 487844, 'step': 5900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.768361581920904, 'score': 0.768361581920904, 'examples_seen': 492003, 'step': 5950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7798119742701632, 'score': 0.7798119742701632, 'examples_seen': 496195, 'step': 6000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7789266371245691, 'score': 0.7789266371245691, 'examples_seen': 500275, 'step': 6050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7584237578526557, 'score': 0.7584237578526557, 'examples_seen': 504380, 'step': 6100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7895545314900154, 'score': 0.7895545314900154, 'examples_seen': 508506, 'step': 6150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.82319118351701, 'score': 0.82319118351701, 'examples_seen': 512546, 'step': 6200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8322824716267339, 'score': 0.8322824716267339, 'examples_seen': 516773, 'step': 6250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8162650602409638, 'score': 0.8162650602409638, 'examples_seen': 521103, 'step': 6300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7876025524156792, 'score': 0.7876025524156792, 'examples_seen': 525291, 'step': 6350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7756332931242462, 'score': 0.7756332931242462, 'examples_seen': 529346, 'step': 6400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7349214394323366, 'score': 0.7349214394323366, 'examples_seen': 533444, 'step': 6450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7840440165061897, 'score': 0.7840440165061897, 'examples_seen': 537444, 'step': 6500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7864806866952789, 'score': 0.7864806866952789, 'examples_seen': 541500, 'step': 6550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7926078028747433, 'score': 0.7926078028747433, 'examples_seen': 545735, 'step': 6600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6639455782312925, 'score': 0.6639455782312925, 'examples_seen': 549996, 'step': 6650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8253602305475505, 'score': 0.8253602305475505, 'examples_seen': 554159, 'step': 6700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.791553871142393, 'score': 0.791553871142393, 'examples_seen': 558263, 'step': 6750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7730646871686109, 'score': 0.7730646871686109, 'examples_seen': 562347, 'step': 6800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7152317880794702, 'score': 0.7152317880794702, 'examples_seen': 566427, 'step': 6850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8085742771684945, 'score': 0.8085742771684945, 'examples_seen': 570480, 'step': 6900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7469613259668508, 'score': 0.7469613259668508, 'examples_seen': 574739, 'step': 6950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8140960163432074, 'score': 0.8140960163432074, 'examples_seen': 578958, 'step': 7000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7455555555555556, 'score': 0.7455555555555556, 'examples_seen': 583081, 'step': 7050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7112117780294451, 'score': 0.7112117780294451, 'examples_seen': 587241, 'step': 7100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.72, 'score': 0.72, 'examples_seen': 591256, 'step': 7150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7769265434880578, 'score': 0.7769265434880578, 'examples_seen': 595196, 'step': 7200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7126436781609196, 'score': 0.7126436781609196, 'examples_seen': 599231, 'step': 7250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7278521351179096, 'score': 0.7278521351179096, 'examples_seen': 603495, 'step': 7300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7854688267059401, 'score': 0.7854688267059401, 'examples_seen': 607719, 'step': 7350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7729577464788733, 'score': 0.7729577464788733, 'examples_seen': 611854, 'step': 7400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7422796181920269, 'score': 0.7422796181920269, 'examples_seen': 615942, 'step': 7450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7564259485924113, 'score': 0.7564259485924113, 'examples_seen': 620008, 'step': 7500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8085758039816233, 'score': 0.8085758039816233, 'examples_seen': 623992, 'step': 7550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7884972170686455, 'score': 0.7884972170686455, 'examples_seen': 628035, 'step': 7600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7562437562437563, 'score': 0.7562437562437563, 'examples_seen': 632291, 'step': 7650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7571428571428571, 'score': 0.7571428571428571, 'examples_seen': 636581, 'step': 7700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7492483463619964, 'score': 0.7492483463619964, 'examples_seen': 640717, 'step': 7750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7465116279069768, 'score': 0.7465116279069768, 'examples_seen': 644736, 'step': 7800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7959183673469388, 'score': 0.7959183673469388, 'examples_seen': 648722, 'step': 7850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8090859924283396, 'score': 0.8090859924283396, 'examples_seen': 652743, 'step': 7900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.797474502185527, 'score': 0.797474502185527, 'examples_seen': 656781, 'step': 7950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7543453070683661, 'score': 0.7543453070683661, 'examples_seen': 661107, 'step': 8000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7446569178852643, 'score': 0.7446569178852643, 'examples_seen': 665312, 'step': 8050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7494646680942185, 'score': 0.7494646680942185, 'examples_seen': 669514, 'step': 8100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6965174129353233, 'score': 0.6965174129353233, 'examples_seen': 673610, 'step': 8150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7405329593267882, 'score': 0.7405329593267882, 'examples_seen': 677630, 'step': 8200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7164015359297862, 'score': 0.7164015359297862, 'examples_seen': 681670, 'step': 8250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7828746177370031, 'score': 0.7828746177370031, 'examples_seen': 685760, 'step': 8300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.70953032375741, 'score': 0.70953032375741, 'examples_seen': 690001, 'step': 8350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7606060606060606, 'score': 0.7606060606060606, 'examples_seen': 694183, 'step': 8400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7375565610859729, 'score': 0.7375565610859729, 'examples_seen': 698448, 'step': 8450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8298507462686566, 'score': 0.8298507462686566, 'examples_seen': 702512, 'step': 8500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7210355987055017, 'score': 0.7210355987055017, 'examples_seen': 706645, 'step': 8550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7528975428836346, 'score': 0.7528975428836346, 'examples_seen': 710734, 'step': 8600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7660550458715596, 'score': 0.7660550458715596, 'examples_seen': 714825, 'step': 8650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8203966005665723, 'score': 0.8203966005665723, 'examples_seen': 719034, 'step': 8700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8033613445378153, 'score': 0.8033613445378153, 'examples_seen': 723317, 'step': 8750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8101265822784809, 'score': 0.8101265822784809, 'examples_seen': 727517, 'step': 8800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7622080679405521, 'score': 0.7622080679405521, 'examples_seen': 731606, 'step': 8850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7386958591147073, 'score': 0.7386958591147073, 'examples_seen': 735693, 'step': 8900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7794561933534743, 'score': 0.7794561933534743, 'examples_seen': 739713, 'step': 8950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.829445308449974, 'score': 0.829445308449974, 'examples_seen': 743772, 'step': 9000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7554459515002054, 'score': 0.7554459515002054, 'examples_seen': 748079, 'step': 9050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7701396348012889, 'score': 0.7701396348012889, 'examples_seen': 752297, 'step': 9100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7883495145631068, 'score': 0.7883495145631068, 'examples_seen': 756412, 'step': 9150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7306666666666666, 'score': 0.7306666666666666, 'examples_seen': 760501, 'step': 9200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7590551181102363, 'score': 0.7590551181102363, 'examples_seen': 764613, 'step': 9250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7643585614600108, 'score': 0.7643585614600108, 'examples_seen': 768645, 'step': 9300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6981239340534394, 'score': 0.6981239340534394, 'examples_seen': 772729, 'step': 9350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7334083239595051, 'score': 0.7334083239595051, 'examples_seen': 777009, 'step': 9400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7777230162641695, 'score': 0.7777230162641695, 'examples_seen': 781289, 'step': 9450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.75, 'score': 0.75, 'examples_seen': 785379, 'step': 9500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6901172529313233, 'score': 0.6901172529313233, 'examples_seen': 789502, 'step': 9550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7898763978811064, 'score': 0.7898763978811064, 'examples_seen': 793523, 'step': 9600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.767818574514039, 'score': 0.767818574514039, 'examples_seen': 797699, 'step': 9650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8059880239520958, 'score': 0.8059880239520958, 'examples_seen': 801823, 'step': 9700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.785958904109589, 'score': 0.785958904109589, 'examples_seen': 806112, 'step': 9750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7662790697674419, 'score': 0.7662790697674419, 'examples_seen': 810324, 'step': 9800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8345784418356457, 'score': 0.8345784418356457, 'examples_seen': 814514, 'step': 9850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8306828811973808, 'score': 0.8306828811973808, 'examples_seen': 818634, 'step': 9900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7398708162066941, 'score': 0.7398708162066941, 'examples_seen': 822740, 'step': 9950, 'algorithm': 'mst_kruskal'}
