I0715 22:36:36.870032 129017870476800 run.py:722] (val) algo heapsort step 0: {'pred': 0.1005859375, 'score': 0.1005859375, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
I0715 22:40:12.121538 129017870476800 run.py:722] (val) algo heapsort step 1750: {'pred': 0.646484375, 'score': 0.646484375, 'examples_seen': 27208, 'step': 1750, 'algorithm': 'heapsort'}
I0715 22:40:15.297893 129017870476800 run.py:722] (val) algo heapsort step 1800: {'pred': 0.576171875, 'score': 0.576171875, 'examples_seen': 27990, 'step': 1800, 'algorithm': 'heapsort'}
I0715 22:40:18.435369 129017870476800 run.py:722] (val) algo heapsort step 1850: {'pred': 0.537109375, 'score': 0.537109375, 'examples_seen': 28760, 'step': 1850, 'algorithm': 'heapsort'}
I0715 22:40:21.568855 129017870476800 run.py:722] (val) algo heapsort step 1900: {'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 29522, 'step': 1900, 'algorithm': 'heapsort'}
I0715 22:40:24.721971 129017870476800 run.py:722] (val) algo heapsort step 1950: {'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 30291, 'step': 1950, 'algorithm': 'heapsort'}
I0715 22:40:27.938327 129017870476800 run.py:722] (val) algo heapsort step 2000: {'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 31053, 'step': 2000, 'algorithm': 'heapsort'}
I0715 22:40:31.146514 129017870476800 run.py:722] (val) algo heapsort step 2050: {'pred': 0.6328125, 'score': 0.6328125, 'examples_seen': 31854, 'step': 2050, 'algorithm': 'heapsort'}
I0715 22:40:34.328555 129017870476800 run.py:722] (val) algo heapsort step 2100: {'pred': 0.623046875, 'score': 0.623046875, 'examples_seen': 32652, 'step': 2100, 'algorithm': 'heapsort'}
I0715 22:40:37.489086 129017870476800 run.py:722] (val) algo heapsort step 2150: {'pred': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 33422, 'step': 2150, 'algorithm': 'heapsort'}
I0715 22:40:40.640009 129017870476800 run.py:722] (val) algo heapsort step 2200: {'pred': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 34192, 'step': 2200, 'algorithm': 'heapsort'}
I0715 22:40:43.783112 129017870476800 run.py:722] (val) algo heapsort step 2250: {'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 34967, 'step': 2250, 'algorithm': 'heapsort'}
I0715 22:40:46.957740 129017870476800 run.py:722] (val) algo heapsort step 2300: {'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 35730, 'step': 2300, 'algorithm': 'heapsort'}
I0715 22:40:50.129156 129017870476800 run.py:722] (val) algo heapsort step 2350: {'pred': 0.646484375, 'score': 0.646484375, 'examples_seen': 36499, 'step': 2350, 'algorithm': 'heapsort'}
I0715 22:40:53.333084 129017870476800 run.py:722] (val) algo heapsort step 2400: {'pred': 0.61328125, 'score': 0.61328125, 'examples_seen': 37310, 'step': 2400, 'algorithm': 'heapsort'}
I0715 22:40:56.474789 129017870476800 run.py:722] (val) algo heapsort step 2450: {'pred': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 38092, 'step': 2450, 'algorithm': 'heapsort'}
I0715 22:40:59.618465 129017870476800 run.py:722] (val) algo heapsort step 2500: {'pred': 0.630859375, 'score': 0.630859375, 'examples_seen': 38867, 'step': 2500, 'algorithm': 'heapsort'}
I0715 22:41:02.768910 129017870476800 run.py:722] (val) algo heapsort step 2550: {'pred': 0.62109375, 'score': 0.62109375, 'examples_seen': 39634, 'step': 2550, 'algorithm': 'heapsort'}
I0715 22:41:05.935855 129017870476800 run.py:722] (val) algo heapsort step 2600: {'pred': 0.650390625, 'score': 0.650390625, 'examples_seen': 40404, 'step': 2600, 'algorithm': 'heapsort'}
I0715 22:41:09.105962 129017870476800 run.py:722] (val) algo heapsort step 2650: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 41170, 'step': 2650, 'algorithm': 'heapsort'}
I0715 22:41:12.300580 129017870476800 run.py:722] (val) algo heapsort step 2700: {'pred': 0.6474609375, 'score': 0.6474609375, 'examples_seen': 41939, 'step': 2700, 'algorithm': 'heapsort'}
I0715 22:41:15.487699 129017870476800 run.py:722] (val) algo heapsort step 2750: {'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 42744, 'step': 2750, 'algorithm': 'heapsort'}
I0715 22:41:18.641155 129017870476800 run.py:722] (val) algo heapsort step 2800: {'pred': 0.638671875, 'score': 0.638671875, 'examples_seen': 43535, 'step': 2800, 'algorithm': 'heapsort'}
I0715 22:41:21.767133 129017870476800 run.py:722] (val) algo heapsort step 2850: {'pred': 0.6875, 'score': 0.6875, 'examples_seen': 44306, 'step': 2850, 'algorithm': 'heapsort'}
I0715 22:41:24.922194 129017870476800 run.py:722] (val) algo heapsort step 2900: {'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 45084, 'step': 2900, 'algorithm': 'heapsort'}
I0715 22:41:28.062786 129017870476800 run.py:722] (val) algo heapsort step 2950: {'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 45859, 'step': 2950, 'algorithm': 'heapsort'}
I0715 22:41:31.254626 129017870476800 run.py:722] (val) algo heapsort step 3000: {'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 46614, 'step': 3000, 'algorithm': 'heapsort'}
I0715 22:41:34.417025 129017870476800 run.py:722] (val) algo heapsort step 3050: {'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 47387, 'step': 3050, 'algorithm': 'heapsort'}
I0715 22:41:37.632113 129017870476800 run.py:722] (val) algo heapsort step 3100: {'pred': 0.693359375, 'score': 0.693359375, 'examples_seen': 48195, 'step': 3100, 'algorithm': 'heapsort'}
I0715 22:41:40.781954 129017870476800 run.py:722] (val) algo heapsort step 3150: {'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 48984, 'step': 3150, 'algorithm': 'heapsort'}
I0715 22:41:43.934359 129017870476800 run.py:722] (val) algo heapsort step 3200: {'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 49757, 'step': 3200, 'algorithm': 'heapsort'}
I0715 22:41:47.107716 129017870476800 run.py:722] (val) algo heapsort step 3250: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 50526, 'step': 3250, 'algorithm': 'heapsort'}
I0715 22:41:50.288745 129017870476800 run.py:722] (val) algo heapsort step 3300: {'pred': 0.71875, 'score': 0.71875, 'examples_seen': 51295, 'step': 3300, 'algorithm': 'heapsort'}
I0715 22:41:53.459152 129017870476800 run.py:722] (val) algo heapsort step 3350: {'pred': 0.7216796875, 'score': 0.7216796875, 'examples_seen': 52062, 'step': 3350, 'algorithm': 'heapsort'}
I0715 22:41:56.630598 129017870476800 run.py:722] (val) algo heapsort step 3400: {'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 52822, 'step': 3400, 'algorithm': 'heapsort'}
I0715 22:41:59.840089 129017870476800 run.py:722] (val) algo heapsort step 3450: {'pred': 0.6630859375, 'score': 0.6630859375, 'examples_seen': 53633, 'step': 3450, 'algorithm': 'heapsort'}
I0715 22:42:03.041695 129017870476800 run.py:722] (val) algo heapsort step 3500: {'pred': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 54426, 'step': 3500, 'algorithm': 'heapsort'}
I0715 22:42:06.199688 129017870476800 run.py:722] (val) algo heapsort step 3550: {'pred': 0.66015625, 'score': 0.66015625, 'examples_seen': 55208, 'step': 3550, 'algorithm': 'heapsort'}
I0715 22:42:09.386022 129017870476800 run.py:722] (val) algo heapsort step 3600: {'pred': 0.705078125, 'score': 0.705078125, 'examples_seen': 55975, 'step': 3600, 'algorithm': 'heapsort'}
I0715 22:42:12.562589 129017870476800 run.py:722] (val) algo heapsort step 3650: {'pred': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 56745, 'step': 3650, 'algorithm': 'heapsort'}
I0715 22:42:15.705764 129017870476800 run.py:722] (val) algo heapsort step 3700: {'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 57521, 'step': 3700, 'algorithm': 'heapsort'}
I0715 22:42:18.853141 129017870476800 run.py:722] (val) algo heapsort step 3750: {'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 58286, 'step': 3750, 'algorithm': 'heapsort'}
I0715 22:42:22.410158 129017870476800 run.py:722] (val) algo heapsort step 3800: {'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 59100, 'step': 3800, 'algorithm': 'heapsort'}
I0715 22:42:25.649445 129017870476800 run.py:722] (val) algo heapsort step 3850: {'pred': 0.6953125, 'score': 0.6953125, 'examples_seen': 59884, 'step': 3850, 'algorithm': 'heapsort'}
I0715 22:42:28.868426 129017870476800 run.py:722] (val) algo heapsort step 3900: {'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 60660, 'step': 3900, 'algorithm': 'heapsort'}
I0715 22:42:32.019870 129017870476800 run.py:722] (val) algo heapsort step 3950: {'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 61426, 'step': 3950, 'algorithm': 'heapsort'}
I0715 22:42:35.182431 129017870476800 run.py:722] (val) algo heapsort step 4000: {'pred': 0.6259765625, 'score': 0.6259765625, 'examples_seen': 62192, 'step': 4000, 'algorithm': 'heapsort'}
I0715 22:42:38.415198 129017870476800 run.py:722] (val) algo heapsort step 4050: {'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 62969, 'step': 4050, 'algorithm': 'heapsort'}
I0715 22:42:41.572466 129017870476800 run.py:722] (val) algo heapsort step 4100: {'pred': 0.7490234375, 'score': 0.7490234375, 'examples_seen': 63730, 'step': 4100, 'algorithm': 'heapsort'}
I0715 22:42:44.805658 129017870476800 run.py:722] (val) algo heapsort step 4150: {'pred': 0.646484375, 'score': 0.646484375, 'examples_seen': 64533, 'step': 4150, 'algorithm': 'heapsort'}
I0715 22:42:47.974112 129017870476800 run.py:722] (val) algo heapsort step 4200: {'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 65327, 'step': 4200, 'algorithm': 'heapsort'}
I0715 22:42:51.138878 129017870476800 run.py:722] (val) algo heapsort step 4250: {'pred': 0.615234375, 'score': 0.615234375, 'examples_seen': 66098, 'step': 4250, 'algorithm': 'heapsort'}
I0715 22:42:54.316118 129017870476800 run.py:722] (val) algo heapsort step 4300: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 66876, 'step': 4300, 'algorithm': 'heapsort'}
I0715 22:42:57.481893 129017870476800 run.py:722] (val) algo heapsort step 4350: {'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 67643, 'step': 4350, 'algorithm': 'heapsort'}
I0715 22:43:00.648971 129017870476800 run.py:722] (val) algo heapsort step 4400: {'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 68404, 'step': 4400, 'algorithm': 'heapsort'}
I0715 22:43:03.863553 129017870476800 run.py:722] (val) algo heapsort step 4450: {'pred': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 69164, 'step': 4450, 'algorithm': 'heapsort'}
I0715 22:43:07.070338 129017870476800 run.py:722] (val) algo heapsort step 4500: {'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 69977, 'step': 4500, 'algorithm': 'heapsort'}
I0715 22:43:10.330043 129017870476800 run.py:722] (val) algo heapsort step 4550: {'pred': 0.740234375, 'score': 0.740234375, 'examples_seen': 70772, 'step': 4550, 'algorithm': 'heapsort'}
I0715 22:43:13.548980 129017870476800 run.py:722] (val) algo heapsort step 4600: {'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 71550, 'step': 4600, 'algorithm': 'heapsort'}
I0715 22:43:16.723873 129017870476800 run.py:722] (val) algo heapsort step 4650: {'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 72317, 'step': 4650, 'algorithm': 'heapsort'}
I0715 22:43:19.863887 129017870476800 run.py:722] (val) algo heapsort step 4700: {'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 73080, 'step': 4700, 'algorithm': 'heapsort'}
I0715 22:43:23.032066 129017870476800 run.py:722] (val) algo heapsort step 4750: {'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 73846, 'step': 4750, 'algorithm': 'heapsort'}
I0715 22:43:26.183485 129017870476800 run.py:722] (val) algo heapsort step 4800: {'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 74610, 'step': 4800, 'algorithm': 'heapsort'}
I0715 22:43:29.392570 129017870476800 run.py:722] (val) algo heapsort step 4850: {'pred': 0.703125, 'score': 0.703125, 'examples_seen': 75420, 'step': 4850, 'algorithm': 'heapsort'}
I0715 22:43:32.588282 129017870476800 run.py:722] (val) algo heapsort step 4900: {'pred': 0.779296875, 'score': 0.779296875, 'examples_seen': 76209, 'step': 4900, 'algorithm': 'heapsort'}
I0715 22:43:35.756211 129017870476800 run.py:722] (val) algo heapsort step 4950: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 76983, 'step': 4950, 'algorithm': 'heapsort'}
I0715 22:43:38.934385 129017870476800 run.py:722] (val) algo heapsort step 5000: {'pred': 0.765625, 'score': 0.765625, 'examples_seen': 77752, 'step': 5000, 'algorithm': 'heapsort'}
I0715 22:43:42.044823 129017870476800 run.py:722] (val) algo heapsort step 5050: {'pred': 0.712890625, 'score': 0.712890625, 'examples_seen': 78514, 'step': 5050, 'algorithm': 'heapsort'}
I0715 22:43:45.209801 129017870476800 run.py:722] (val) algo heapsort step 5100: {'pred': 0.71484375, 'score': 0.71484375, 'examples_seen': 79281, 'step': 5100, 'algorithm': 'heapsort'}
I0715 22:43:48.346284 129017870476800 run.py:722] (val) algo heapsort step 5150: {'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 80044, 'step': 5150, 'algorithm': 'heapsort'}
I0715 22:43:51.525507 129017870476800 run.py:722] (val) algo heapsort step 5200: {'pred': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 80849, 'step': 5200, 'algorithm': 'heapsort'}
I0715 22:43:54.683776 129017870476800 run.py:722] (val) algo heapsort step 5250: {'pred': 0.7275390625, 'score': 0.7275390625, 'examples_seen': 81638, 'step': 5250, 'algorithm': 'heapsort'}
I0715 22:43:57.835886 129017870476800 run.py:722] (val) algo heapsort step 5300: {'pred': 0.671875, 'score': 0.671875, 'examples_seen': 82414, 'step': 5300, 'algorithm': 'heapsort'}
I0715 22:44:00.978080 129017870476800 run.py:722] (val) algo heapsort step 5350: {'pred': 0.642578125, 'score': 0.642578125, 'examples_seen': 83180, 'step': 5350, 'algorithm': 'heapsort'}
I0715 22:44:04.129559 129017870476800 run.py:722] (val) algo heapsort step 5400: {'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 83948, 'step': 5400, 'algorithm': 'heapsort'}
I0715 22:44:07.270330 129017870476800 run.py:722] (val) algo heapsort step 5450: {'pred': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 84712, 'step': 5450, 'algorithm': 'heapsort'}
I0715 22:44:10.427592 129017870476800 run.py:722] (val) algo heapsort step 5500: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 85472, 'step': 5500, 'algorithm': 'heapsort'}
I0715 22:44:13.648221 129017870476800 run.py:722] (val) algo heapsort step 5550: {'pred': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 86284, 'step': 5550, 'algorithm': 'heapsort'}
I0715 22:44:16.812346 129017870476800 run.py:722] (val) algo heapsort step 5600: {'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 87069, 'step': 5600, 'algorithm': 'heapsort'}
I0715 22:44:19.978908 129017870476800 run.py:722] (val) algo heapsort step 5650: {'pred': 0.7509765625, 'score': 0.7509765625, 'examples_seen': 87846, 'step': 5650, 'algorithm': 'heapsort'}
I0715 22:44:23.145187 129017870476800 run.py:722] (val) algo heapsort step 5700: {'pred': 0.6796875, 'score': 0.6796875, 'examples_seen': 88621, 'step': 5700, 'algorithm': 'heapsort'}
I0715 22:44:26.321192 129017870476800 run.py:722] (val) algo heapsort step 5750: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 89387, 'step': 5750, 'algorithm': 'heapsort'}
I0715 22:44:29.412789 129017870476800 run.py:722] (val) algo heapsort step 5800: {'pred': 0.763671875, 'score': 0.763671875, 'examples_seen': 90154, 'step': 5800, 'algorithm': 'heapsort'}
I0715 22:44:32.661078 129017870476800 run.py:722] (val) algo heapsort step 5850: {'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 90918, 'step': 5850, 'algorithm': 'heapsort'}
I0715 22:44:35.883663 129017870476800 run.py:722] (val) algo heapsort step 5900: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 91727, 'step': 5900, 'algorithm': 'heapsort'}
I0715 22:44:39.104840 129017870476800 run.py:722] (val) algo heapsort step 5950: {'pred': 0.765625, 'score': 0.765625, 'examples_seen': 92521, 'step': 5950, 'algorithm': 'heapsort'}
I0715 22:44:42.302401 129017870476800 run.py:722] (val) algo heapsort step 6000: {'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 93296, 'step': 6000, 'algorithm': 'heapsort'}
I0715 22:44:45.423196 129017870476800 run.py:722] (val) algo heapsort step 6050: {'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 94068, 'step': 6050, 'algorithm': 'heapsort'}
I0715 22:44:48.500259 129017870476800 run.py:722] (val) algo heapsort step 6100: {'pred': 0.6953125, 'score': 0.6953125, 'examples_seen': 94820, 'step': 6100, 'algorithm': 'heapsort'}
I0715 22:44:51.650334 129017870476800 run.py:722] (val) algo heapsort step 6150: {'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 95590, 'step': 6150, 'algorithm': 'heapsort'}
I0715 22:44:54.759757 129017870476800 run.py:722] (val) algo heapsort step 6200: {'pred': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 96360, 'step': 6200, 'algorithm': 'heapsort'}
I0715 22:44:57.957199 129017870476800 run.py:722] (val) algo heapsort step 6250: {'pred': 0.732421875, 'score': 0.732421875, 'examples_seen': 97167, 'step': 6250, 'algorithm': 'heapsort'}
I0715 22:45:01.089130 129017870476800 run.py:722] (val) algo heapsort step 6300: {'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 97952, 'step': 6300, 'algorithm': 'heapsort'}
I0715 22:45:04.210029 129017870476800 run.py:722] (val) algo heapsort step 6350: {'pred': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 98725, 'step': 6350, 'algorithm': 'heapsort'}
I0715 22:45:07.411826 129017870476800 run.py:722] (val) algo heapsort step 6400: {'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 99505, 'step': 6400, 'algorithm': 'heapsort'}
I0715 22:45:10.594908 129017870476800 run.py:722] (val) algo heapsort step 6450: {'pred': 0.83984375, 'score': 0.83984375, 'examples_seen': 100275, 'step': 6450, 'algorithm': 'heapsort'}
I0715 22:45:13.778312 129017870476800 run.py:722] (val) algo heapsort step 6500: {'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 101030, 'step': 6500, 'algorithm': 'heapsort'}
I0715 22:45:16.969904 129017870476800 run.py:722] (val) algo heapsort step 6550: {'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 101794, 'step': 6550, 'algorithm': 'heapsort'}
I0715 22:45:20.197323 129017870476800 run.py:722] (val) algo heapsort step 6600: {'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 102606, 'step': 6600, 'algorithm': 'heapsort'}
I0715 22:45:23.367918 129017870476800 run.py:722] (val) algo heapsort step 6650: {'pred': 0.810546875, 'score': 0.810546875, 'examples_seen': 103398, 'step': 6650, 'algorithm': 'heapsort'}
I0715 22:45:26.520190 129017870476800 run.py:722] (val) algo heapsort step 6700: {'pred': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 104173, 'step': 6700, 'algorithm': 'heapsort'}
I0715 22:45:29.673642 129017870476800 run.py:722] (val) algo heapsort step 6750: {'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 104942, 'step': 6750, 'algorithm': 'heapsort'}
I0715 22:45:32.879684 129017870476800 run.py:722] (val) algo heapsort step 6800: {'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 105711, 'step': 6800, 'algorithm': 'heapsort'}
I0715 22:45:36.079131 129017870476800 run.py:722] (val) algo heapsort step 6850: {'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 106478, 'step': 6850, 'algorithm': 'heapsort'}
I0715 22:45:39.243975 129017870476800 run.py:722] (val) algo heapsort step 6900: {'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 107244, 'step': 6900, 'algorithm': 'heapsort'}
I0715 22:45:42.436251 129017870476800 run.py:722] (val) algo heapsort step 6950: {'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 108043, 'step': 6950, 'algorithm': 'heapsort'}
I0715 22:45:45.611994 129017870476800 run.py:722] (val) algo heapsort step 7000: {'pred': 0.75, 'score': 0.75, 'examples_seen': 108837, 'step': 7000, 'algorithm': 'heapsort'}
