I0716 01:51:28.190580 123750057129472 run.py:722] (val) algo topological_sort step 0: {'topo': 0.1552734375, 'topo_head': 0.09375, 'score': 0.12451171875, 'examples_seen': 19, 'step': 0, 'algorithm': 'topological_sort'}
I0716 01:53:46.875393 123750057129472 run.py:722] (val) algo topological_sort step 1450: {'topo': 0.4521484375, 'topo_head': 0.96875, 'score': 0.71044921875, 'examples_seen': 27680, 'step': 1450, 'algorithm': 'topological_sort'}
I0716 01:53:48.231041 123750057129472 run.py:722] (val) algo topological_sort step 1500: {'topo': 0.5458984375, 'topo_head': 1.0, 'score': 0.77294921875, 'examples_seen': 28625, 'step': 1500, 'algorithm': 'topological_sort'}
I0716 01:53:49.568907 123750057129472 run.py:722] (val) algo topological_sort step 1550: {'topo': 0.5634765625, 'topo_head': 0.984375, 'score': 0.77392578125, 'examples_seen': 29572, 'step': 1550, 'algorithm': 'topological_sort'}
I0716 01:53:50.959053 123750057129472 run.py:722] (val) algo topological_sort step 1600: {'topo': 0.5419921875, 'topo_head': 1.0, 'score': 0.77099609375, 'examples_seen': 30520, 'step': 1600, 'algorithm': 'topological_sort'}
I0716 01:53:52.327461 123750057129472 run.py:722] (val) algo topological_sort step 1650: {'topo': 0.482421875, 'topo_head': 0.984375, 'score': 0.7333984375, 'examples_seen': 31465, 'step': 1650, 'algorithm': 'topological_sort'}
I0716 01:53:53.687558 123750057129472 run.py:722] (val) algo topological_sort step 1700: {'topo': 0.4990234375, 'topo_head': 0.984375, 'score': 0.74169921875, 'examples_seen': 32434, 'step': 1700, 'algorithm': 'topological_sort'}
I0716 01:53:55.005408 123750057129472 run.py:722] (val) algo topological_sort step 1750: {'topo': 0.4599609375, 'topo_head': 1.0, 'score': 0.72998046875, 'examples_seen': 33399, 'step': 1750, 'algorithm': 'topological_sort'}
I0716 01:53:56.324765 123750057129472 run.py:722] (val) algo topological_sort step 1800: {'topo': 0.501953125, 'topo_head': 0.984375, 'score': 0.7431640625, 'examples_seen': 34354, 'step': 1800, 'algorithm': 'topological_sort'}
I0716 01:53:57.645990 123750057129472 run.py:722] (val) algo topological_sort step 1850: {'topo': 0.4423828125, 'topo_head': 0.984375, 'score': 0.71337890625, 'examples_seen': 35307, 'step': 1850, 'algorithm': 'topological_sort'}
I0716 01:53:58.967941 123750057129472 run.py:722] (val) algo topological_sort step 1900: {'topo': 0.5087890625, 'topo_head': 1.0, 'score': 0.75439453125, 'examples_seen': 36251, 'step': 1900, 'algorithm': 'topological_sort'}
I0716 01:54:00.324428 123750057129472 run.py:722] (val) algo topological_sort step 1950: {'topo': 0.3876953125, 'topo_head': 0.953125, 'score': 0.67041015625, 'examples_seen': 37192, 'step': 1950, 'algorithm': 'topological_sort'}
I0716 01:54:01.729082 123750057129472 run.py:722] (val) algo topological_sort step 2000: {'topo': 0.3837890625, 'topo_head': 0.984375, 'score': 0.68408203125, 'examples_seen': 38134, 'step': 2000, 'algorithm': 'topological_sort'}
I0716 01:54:03.088165 123750057129472 run.py:722] (val) algo topological_sort step 2050: {'topo': 0.560546875, 'topo_head': 1.0, 'score': 0.7802734375, 'examples_seen': 39112, 'step': 2050, 'algorithm': 'topological_sort'}
I0716 01:54:04.480133 123750057129472 run.py:722] (val) algo topological_sort step 2100: {'topo': 0.5244140625, 'topo_head': 0.875, 'score': 0.69970703125, 'examples_seen': 40072, 'step': 2100, 'algorithm': 'topological_sort'}
I0716 01:54:05.824248 123750057129472 run.py:722] (val) algo topological_sort step 2150: {'topo': 0.4775390625, 'topo_head': 0.984375, 'score': 0.73095703125, 'examples_seen': 41025, 'step': 2150, 'algorithm': 'topological_sort'}
I0716 01:54:07.168120 123750057129472 run.py:722] (val) algo topological_sort step 2200: {'topo': 0.3994140625, 'topo_head': 0.953125, 'score': 0.67626953125, 'examples_seen': 41974, 'step': 2200, 'algorithm': 'topological_sort'}
I0716 01:54:08.501106 123750057129472 run.py:722] (val) algo topological_sort step 2250: {'topo': 0.4169921875, 'topo_head': 0.984375, 'score': 0.70068359375, 'examples_seen': 42923, 'step': 2250, 'algorithm': 'topological_sort'}
I0716 01:54:09.854838 123750057129472 run.py:722] (val) algo topological_sort step 2300: {'topo': 0.4453125, 'topo_head': 0.984375, 'score': 0.71484375, 'examples_seen': 43863, 'step': 2300, 'algorithm': 'topological_sort'}
I0716 01:54:11.223988 123750057129472 run.py:722] (val) algo topological_sort step 2350: {'topo': 0.3115234375, 'topo_head': 0.90625, 'score': 0.60888671875, 'examples_seen': 44802, 'step': 2350, 'algorithm': 'topological_sort'}
I0716 01:54:12.550205 123750057129472 run.py:722] (val) algo topological_sort step 2400: {'topo': 0.388671875, 'topo_head': 0.984375, 'score': 0.6865234375, 'examples_seen': 45781, 'step': 2400, 'algorithm': 'topological_sort'}
I0716 01:54:13.880103 123750057129472 run.py:722] (val) algo topological_sort step 2450: {'topo': 0.40234375, 'topo_head': 0.953125, 'score': 0.677734375, 'examples_seen': 46750, 'step': 2450, 'algorithm': 'topological_sort'}
I0716 01:54:15.195457 123750057129472 run.py:722] (val) algo topological_sort step 2500: {'topo': 0.5537109375, 'topo_head': 1.0, 'score': 0.77685546875, 'examples_seen': 47701, 'step': 2500, 'algorithm': 'topological_sort'}
I0716 01:54:16.502077 123750057129472 run.py:722] (val) algo topological_sort step 2550: {'topo': 0.4609375, 'topo_head': 0.96875, 'score': 0.71484375, 'examples_seen': 48651, 'step': 2550, 'algorithm': 'topological_sort'}
I0716 01:54:17.821939 123750057129472 run.py:722] (val) algo topological_sort step 2600: {'topo': 0.41796875, 'topo_head': 0.96875, 'score': 0.693359375, 'examples_seen': 49594, 'step': 2600, 'algorithm': 'topological_sort'}
I0716 01:54:19.187624 123750057129472 run.py:722] (val) algo topological_sort step 2650: {'topo': 0.390625, 'topo_head': 0.96875, 'score': 0.6796875, 'examples_seen': 50537, 'step': 2650, 'algorithm': 'topological_sort'}
I0716 01:54:20.550371 123750057129472 run.py:722] (val) algo topological_sort step 2700: {'topo': 0.40234375, 'topo_head': 0.984375, 'score': 0.693359375, 'examples_seen': 51491, 'step': 2700, 'algorithm': 'topological_sort'}
I0716 01:54:21.864544 123750057129472 run.py:722] (val) algo topological_sort step 2750: {'topo': 0.3642578125, 'topo_head': 0.96875, 'score': 0.66650390625, 'examples_seen': 52462, 'step': 2750, 'algorithm': 'topological_sort'}
I0716 01:54:23.221290 123750057129472 run.py:722] (val) algo topological_sort step 2800: {'topo': 0.5234375, 'topo_head': 1.0, 'score': 0.76171875, 'examples_seen': 53428, 'step': 2800, 'algorithm': 'topological_sort'}
I0716 01:54:24.554322 123750057129472 run.py:722] (val) algo topological_sort step 2850: {'topo': 0.5166015625, 'topo_head': 0.953125, 'score': 0.73486328125, 'examples_seen': 54385, 'step': 2850, 'algorithm': 'topological_sort'}
I0716 01:54:25.878763 123750057129472 run.py:722] (val) algo topological_sort step 2900: {'topo': 0.4736328125, 'topo_head': 1.0, 'score': 0.73681640625, 'examples_seen': 55330, 'step': 2900, 'algorithm': 'topological_sort'}
I0716 01:54:27.217587 123750057129472 run.py:722] (val) algo topological_sort step 2950: {'topo': 0.4580078125, 'topo_head': 0.984375, 'score': 0.72119140625, 'examples_seen': 56278, 'step': 2950, 'algorithm': 'topological_sort'}
I0716 01:54:28.561693 123750057129472 run.py:722] (val) algo topological_sort step 3000: {'topo': 0.4482421875, 'topo_head': 1.0, 'score': 0.72412109375, 'examples_seen': 57219, 'step': 3000, 'algorithm': 'topological_sort'}
I0716 01:54:29.942842 123750057129472 run.py:722] (val) algo topological_sort step 3050: {'topo': 0.4267578125, 'topo_head': 0.953125, 'score': 0.68994140625, 'examples_seen': 58157, 'step': 3050, 'algorithm': 'topological_sort'}
I0716 01:54:31.284641 123750057129472 run.py:722] (val) algo topological_sort step 3100: {'topo': 0.3896484375, 'topo_head': 1.0, 'score': 0.69482421875, 'examples_seen': 59142, 'step': 3100, 'algorithm': 'topological_sort'}
I0716 01:54:32.583964 123750057129472 run.py:722] (val) algo topological_sort step 3150: {'topo': 0.4833984375, 'topo_head': 1.0, 'score': 0.74169921875, 'examples_seen': 60098, 'step': 3150, 'algorithm': 'topological_sort'}
I0716 01:54:33.886963 123750057129472 run.py:722] (val) algo topological_sort step 3200: {'topo': 0.4287109375, 'topo_head': 1.0, 'score': 0.71435546875, 'examples_seen': 61047, 'step': 3200, 'algorithm': 'topological_sort'}
I0716 01:54:35.184219 123750057129472 run.py:722] (val) algo topological_sort step 3250: {'topo': 0.4326171875, 'topo_head': 1.0, 'score': 0.71630859375, 'examples_seen': 62006, 'step': 3250, 'algorithm': 'topological_sort'}
I0716 01:54:36.500083 123750057129472 run.py:722] (val) algo topological_sort step 3300: {'topo': 0.3662109375, 'topo_head': 1.0, 'score': 0.68310546875, 'examples_seen': 62950, 'step': 3300, 'algorithm': 'topological_sort'}
I0716 01:54:37.875761 123750057129472 run.py:722] (val) algo topological_sort step 3350: {'topo': 0.400390625, 'topo_head': 0.984375, 'score': 0.6923828125, 'examples_seen': 63891, 'step': 3350, 'algorithm': 'topological_sort'}
I0716 01:54:39.258844 123750057129472 run.py:722] (val) algo topological_sort step 3400: {'topo': 0.3876953125, 'topo_head': 0.96875, 'score': 0.67822265625, 'examples_seen': 64835, 'step': 3400, 'algorithm': 'topological_sort'}
I0716 01:54:40.615307 123750057129472 run.py:722] (val) algo topological_sort step 3450: {'topo': 0.4453125, 'topo_head': 1.0, 'score': 0.72265625, 'examples_seen': 65820, 'step': 3450, 'algorithm': 'topological_sort'}
I0716 01:54:41.939239 123750057129472 run.py:722] (val) algo topological_sort step 3500: {'topo': 0.3671875, 'topo_head': 1.0, 'score': 0.68359375, 'examples_seen': 66782, 'step': 3500, 'algorithm': 'topological_sort'}
I0716 01:54:43.275974 123750057129472 run.py:722] (val) algo topological_sort step 3550: {'topo': 0.4189453125, 'topo_head': 0.984375, 'score': 0.70166015625, 'examples_seen': 67738, 'step': 3550, 'algorithm': 'topological_sort'}
I0716 01:54:44.604052 123750057129472 run.py:722] (val) algo topological_sort step 3600: {'topo': 0.408203125, 'topo_head': 0.984375, 'score': 0.6962890625, 'examples_seen': 68691, 'step': 3600, 'algorithm': 'topological_sort'}
I0716 01:54:45.920842 123750057129472 run.py:722] (val) algo topological_sort step 3650: {'topo': 0.4365234375, 'topo_head': 0.9375, 'score': 0.68701171875, 'examples_seen': 69631, 'step': 3650, 'algorithm': 'topological_sort'}
I0716 01:54:47.293802 123750057129472 run.py:722] (val) algo topological_sort step 3700: {'topo': 0.466796875, 'topo_head': 1.0, 'score': 0.7333984375, 'examples_seen': 70575, 'step': 3700, 'algorithm': 'topological_sort'}
I0716 01:54:48.674353 123750057129472 run.py:722] (val) algo topological_sort step 3750: {'topo': 0.4794921875, 'topo_head': 0.984375, 'score': 0.73193359375, 'examples_seen': 71512, 'step': 3750, 'algorithm': 'topological_sort'}
I0716 01:54:50.037668 123750057129472 run.py:722] (val) algo topological_sort step 3800: {'topo': 0.4462890625, 'topo_head': 1.0, 'score': 0.72314453125, 'examples_seen': 72493, 'step': 3800, 'algorithm': 'topological_sort'}
I0716 01:54:51.388143 123750057129472 run.py:722] (val) algo topological_sort step 3850: {'topo': 0.35546875, 'topo_head': 1.0, 'score': 0.677734375, 'examples_seen': 73460, 'step': 3850, 'algorithm': 'topological_sort'}
I0716 01:54:52.716452 123750057129472 run.py:722] (val) algo topological_sort step 3900: {'topo': 0.4345703125, 'topo_head': 0.96875, 'score': 0.70166015625, 'examples_seen': 74417, 'step': 3900, 'algorithm': 'topological_sort'}
I0716 01:54:54.057392 123750057129472 run.py:722] (val) algo topological_sort step 3950: {'topo': 0.3876953125, 'topo_head': 0.984375, 'score': 0.68603515625, 'examples_seen': 75366, 'step': 3950, 'algorithm': 'topological_sort'}
I0716 01:54:55.379279 123750057129472 run.py:722] (val) algo topological_sort step 4000: {'topo': 0.3427734375, 'topo_head': 0.890625, 'score': 0.61669921875, 'examples_seen': 76316, 'step': 4000, 'algorithm': 'topological_sort'}
I0716 01:54:56.727679 123750057129472 run.py:722] (val) algo topological_sort step 4050: {'topo': 0.4384765625, 'topo_head': 1.0, 'score': 0.71923828125, 'examples_seen': 77261, 'step': 4050, 'algorithm': 'topological_sort'}
I0716 01:54:58.085071 123750057129472 run.py:722] (val) algo topological_sort step 4100: {'topo': 0.3662109375, 'topo_head': 1.0, 'score': 0.68310546875, 'examples_seen': 78198, 'step': 4100, 'algorithm': 'topological_sort'}
I0716 01:54:59.409179 123750057129472 run.py:722] (val) algo topological_sort step 4150: {'topo': 0.3876953125, 'topo_head': 0.96875, 'score': 0.67822265625, 'examples_seen': 79173, 'step': 4150, 'algorithm': 'topological_sort'}
I0716 01:55:00.723294 123750057129472 run.py:722] (val) algo topological_sort step 4200: {'topo': 0.3701171875, 'topo_head': 0.953125, 'score': 0.66162109375, 'examples_seen': 80146, 'step': 4200, 'algorithm': 'topological_sort'}
I0716 01:55:02.051732 123750057129472 run.py:722] (val) algo topological_sort step 4250: {'topo': 0.4052734375, 'topo_head': 0.9375, 'score': 0.67138671875, 'examples_seen': 81089, 'step': 4250, 'algorithm': 'topological_sort'}
I0716 01:55:03.371137 123750057129472 run.py:722] (val) algo topological_sort step 4300: {'topo': 0.4287109375, 'topo_head': 1.0, 'score': 0.71435546875, 'examples_seen': 82041, 'step': 4300, 'algorithm': 'topological_sort'}
I0716 01:55:04.725630 123750057129472 run.py:722] (val) algo topological_sort step 4350: {'topo': 0.3544921875, 'topo_head': 1.0, 'score': 0.67724609375, 'examples_seen': 82990, 'step': 4350, 'algorithm': 'topological_sort'}
I0716 01:55:06.087654 123750057129472 run.py:722] (val) algo topological_sort step 4400: {'topo': 0.4423828125, 'topo_head': 1.0, 'score': 0.72119140625, 'examples_seen': 83935, 'step': 4400, 'algorithm': 'topological_sort'}
I0716 01:55:07.459170 123750057129472 run.py:722] (val) algo topological_sort step 4450: {'topo': 0.3779296875, 'topo_head': 1.0, 'score': 0.68896484375, 'examples_seen': 84873, 'step': 4450, 'algorithm': 'topological_sort'}
I0716 01:55:08.827185 123750057129472 run.py:722] (val) algo topological_sort step 4500: {'topo': 0.4423828125, 'topo_head': 1.0, 'score': 0.72119140625, 'examples_seen': 85861, 'step': 4500, 'algorithm': 'topological_sort'}
I0716 01:55:10.182933 123750057129472 run.py:722] (val) algo topological_sort step 4550: {'topo': 0.31640625, 'topo_head': 0.9375, 'score': 0.626953125, 'examples_seen': 86825, 'step': 4550, 'algorithm': 'topological_sort'}
I0716 01:55:11.491234 123750057129472 run.py:722] (val) algo topological_sort step 4600: {'topo': 0.3046875, 'topo_head': 0.96875, 'score': 0.63671875, 'examples_seen': 87767, 'step': 4600, 'algorithm': 'topological_sort'}
I0716 01:55:12.821878 123750057129472 run.py:722] (val) algo topological_sort step 4650: {'topo': 0.41015625, 'topo_head': 0.953125, 'score': 0.681640625, 'examples_seen': 88721, 'step': 4650, 'algorithm': 'topological_sort'}
I0716 01:55:14.155796 123750057129472 run.py:722] (val) algo topological_sort step 4700: {'topo': 0.3291015625, 'topo_head': 0.890625, 'score': 0.60986328125, 'examples_seen': 89662, 'step': 4700, 'algorithm': 'topological_sort'}
I0716 01:55:15.500157 123750057129472 run.py:722] (val) algo topological_sort step 4750: {'topo': 0.36328125, 'topo_head': 0.984375, 'score': 0.673828125, 'examples_seen': 90611, 'step': 4750, 'algorithm': 'topological_sort'}
I0716 01:55:16.851897 123750057129472 run.py:722] (val) algo topological_sort step 4800: {'topo': 0.4072265625, 'topo_head': 1.0, 'score': 0.70361328125, 'examples_seen': 91545, 'step': 4800, 'algorithm': 'topological_sort'}
I0716 01:55:18.225606 123750057129472 run.py:722] (val) algo topological_sort step 4850: {'topo': 0.3974609375, 'topo_head': 1.0, 'score': 0.69873046875, 'examples_seen': 92525, 'step': 4850, 'algorithm': 'topological_sort'}
I0716 01:55:19.572514 123750057129472 run.py:722] (val) algo topological_sort step 4900: {'topo': 0.4453125, 'topo_head': 1.0, 'score': 0.72265625, 'examples_seen': 93484, 'step': 4900, 'algorithm': 'topological_sort'}
I0716 01:55:20.902106 123750057129472 run.py:722] (val) algo topological_sort step 4950: {'topo': 0.3984375, 'topo_head': 0.984375, 'score': 0.69140625, 'examples_seen': 94444, 'step': 4950, 'algorithm': 'topological_sort'}
I0716 01:55:22.227973 123750057129472 run.py:722] (val) algo topological_sort step 5000: {'topo': 0.4013671875, 'topo_head': 0.9375, 'score': 0.66943359375, 'examples_seen': 95400, 'step': 5000, 'algorithm': 'topological_sort'}
I0716 01:55:23.549638 123750057129472 run.py:722] (val) algo topological_sort step 5050: {'topo': 0.3837890625, 'topo_head': 0.984375, 'score': 0.68408203125, 'examples_seen': 96337, 'step': 5050, 'algorithm': 'topological_sort'}
I0716 01:55:24.905264 123750057129472 run.py:722] (val) algo topological_sort step 5100: {'topo': 0.3515625, 'topo_head': 0.921875, 'score': 0.63671875, 'examples_seen': 97284, 'step': 5100, 'algorithm': 'topological_sort'}
I0716 01:55:26.280031 123750057129472 run.py:722] (val) algo topological_sort step 5150: {'topo': 0.396484375, 'topo_head': 0.984375, 'score': 0.6904296875, 'examples_seen': 98221, 'step': 5150, 'algorithm': 'topological_sort'}
I0716 01:55:27.609899 123750057129472 run.py:722] (val) algo topological_sort step 5200: {'topo': 0.416015625, 'topo_head': 0.96875, 'score': 0.6923828125, 'examples_seen': 99188, 'step': 5200, 'algorithm': 'topological_sort'}
I0716 01:55:28.956283 123750057129472 run.py:722] (val) algo topological_sort step 5250: {'topo': 0.40234375, 'topo_head': 0.984375, 'score': 0.693359375, 'examples_seen': 100164, 'step': 5250, 'algorithm': 'topological_sort'}
I0716 01:55:30.294850 123750057129472 run.py:722] (val) algo topological_sort step 5300: {'topo': 0.4306640625, 'topo_head': 0.984375, 'score': 0.70751953125, 'examples_seen': 101120, 'step': 5300, 'algorithm': 'topological_sort'}
I0716 01:55:31.634566 123750057129472 run.py:722] (val) algo topological_sort step 5350: {'topo': 0.3828125, 'topo_head': 0.96875, 'score': 0.67578125, 'examples_seen': 102068, 'step': 5350, 'algorithm': 'topological_sort'}
I0716 01:55:32.970416 123750057129472 run.py:722] (val) algo topological_sort step 5400: {'topo': 0.3896484375, 'topo_head': 0.953125, 'score': 0.67138671875, 'examples_seen': 103013, 'step': 5400, 'algorithm': 'topological_sort'}
I0716 01:55:34.319891 123750057129472 run.py:722] (val) algo topological_sort step 5450: {'topo': 0.515625, 'topo_head': 0.984375, 'score': 0.75, 'examples_seen': 103953, 'step': 5450, 'algorithm': 'topological_sort'}
I0716 01:55:35.683271 123750057129472 run.py:722] (val) algo topological_sort step 5500: {'topo': 0.4443359375, 'topo_head': 1.0, 'score': 0.72216796875, 'examples_seen': 104896, 'step': 5500, 'algorithm': 'topological_sort'}
I0716 01:55:37.062900 123750057129472 run.py:722] (val) algo topological_sort step 5550: {'topo': 0.4912109375, 'topo_head': 0.984375, 'score': 0.73779296875, 'examples_seen': 105884, 'step': 5550, 'algorithm': 'topological_sort'}
I0716 01:55:38.406816 123750057129472 run.py:722] (val) algo topological_sort step 5600: {'topo': 0.3740234375, 'topo_head': 1.0, 'score': 0.68701171875, 'examples_seen': 106844, 'step': 5600, 'algorithm': 'topological_sort'}
I0716 01:55:39.702589 123750057129472 run.py:722] (val) algo topological_sort step 5650: {'topo': 0.4443359375, 'topo_head': 1.0, 'score': 0.72216796875, 'examples_seen': 107793, 'step': 5650, 'algorithm': 'topological_sort'}
I0716 01:55:41.074217 123750057129472 run.py:722] (val) algo topological_sort step 5700: {'topo': 0.4462890625, 'topo_head': 0.984375, 'score': 0.71533203125, 'examples_seen': 108742, 'step': 5700, 'algorithm': 'topological_sort'}
I0716 01:55:42.387983 123750057129472 run.py:722] (val) algo topological_sort step 5750: {'topo': 0.3974609375, 'topo_head': 0.96875, 'score': 0.68310546875, 'examples_seen': 109692, 'step': 5750, 'algorithm': 'topological_sort'}
I0716 01:55:43.730995 123750057129472 run.py:722] (val) algo topological_sort step 5800: {'topo': 0.4267578125, 'topo_head': 1.0, 'score': 0.71337890625, 'examples_seen': 110635, 'step': 5800, 'algorithm': 'topological_sort'}
I0716 01:55:45.084044 123750057129472 run.py:722] (val) algo topological_sort step 5850: {'topo': 0.4150390625, 'topo_head': 1.0, 'score': 0.70751953125, 'examples_seen': 111576, 'step': 5850, 'algorithm': 'topological_sort'}
I0716 01:55:46.440839 123750057129472 run.py:722] (val) algo topological_sort step 5900: {'topo': 0.3701171875, 'topo_head': 0.984375, 'score': 0.67724609375, 'examples_seen': 112549, 'step': 5900, 'algorithm': 'topological_sort'}
I0716 01:55:47.782374 123750057129472 run.py:722] (val) algo topological_sort step 5950: {'topo': 0.408203125, 'topo_head': 1.0, 'score': 0.7041015625, 'examples_seen': 113516, 'step': 5950, 'algorithm': 'topological_sort'}
I0716 01:55:49.112735 123750057129472 run.py:722] (val) algo topological_sort step 6000: {'topo': 0.412109375, 'topo_head': 1.0, 'score': 0.7060546875, 'examples_seen': 114473, 'step': 6000, 'algorithm': 'topological_sort'}
I0716 01:55:50.439443 123750057129472 run.py:722] (val) algo topological_sort step 6050: {'topo': 0.38671875, 'topo_head': 1.0, 'score': 0.693359375, 'examples_seen': 115421, 'step': 6050, 'algorithm': 'topological_sort'}
