I0715 21:35:50.119848 129309696415232 run.py:722] (val) algo bubble_sort step 0: {'pred': 0.16796875, 'score': 0.16796875, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'}
I0715 21:39:07.955332 129309696415232 run.py:722] (val) algo bubble_sort step 1300: {'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 43920, 'step': 1300, 'algorithm': 'bubble_sort'}
I0715 21:39:11.877782 129309696415232 run.py:722] (val) algo bubble_sort step 1350: {'pred': 0.6796875, 'score': 0.6796875, 'examples_seen': 45712, 'step': 1350, 'algorithm': 'bubble_sort'}
I0715 21:39:15.645111 129309696415232 run.py:722] (val) algo bubble_sort step 1400: {'pred': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 47424, 'step': 1400, 'algorithm': 'bubble_sort'}
I0715 21:39:19.425001 129309696415232 run.py:722] (val) algo bubble_sort step 1450: {'pred': 0.822265625, 'score': 0.822265625, 'examples_seen': 49120, 'step': 1450, 'algorithm': 'bubble_sort'}
I0715 21:39:23.211020 129309696415232 run.py:722] (val) algo bubble_sort step 1500: {'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 50784, 'step': 1500, 'algorithm': 'bubble_sort'}
I0715 21:39:26.956453 129309696415232 run.py:722] (val) algo bubble_sort step 1550: {'pred': 0.693359375, 'score': 0.693359375, 'examples_seen': 52432, 'step': 1550, 'algorithm': 'bubble_sort'}
I0715 21:39:30.772786 129309696415232 run.py:722] (val) algo bubble_sort step 1600: {'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 54096, 'step': 1600, 'algorithm': 'bubble_sort'}
I0715 21:39:34.483238 129309696415232 run.py:722] (val) algo bubble_sort step 1650: {'pred': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 55760, 'step': 1650, 'algorithm': 'bubble_sort'}
I0715 21:39:38.358181 129309696415232 run.py:722] (val) algo bubble_sort step 1700: {'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 57536, 'step': 1700, 'algorithm': 'bubble_sort'}
I0715 21:39:42.191696 129309696415232 run.py:722] (val) algo bubble_sort step 1750: {'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 59264, 'step': 1750, 'algorithm': 'bubble_sort'}
I0715 21:39:45.953841 129309696415232 run.py:722] (val) algo bubble_sort step 1800: {'pred': 0.779296875, 'score': 0.779296875, 'examples_seen': 60944, 'step': 1800, 'algorithm': 'bubble_sort'}
I0715 21:39:49.686462 129309696415232 run.py:722] (val) algo bubble_sort step 1850: {'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 62608, 'step': 1850, 'algorithm': 'bubble_sort'}
I0715 21:39:53.432712 129309696415232 run.py:722] (val) algo bubble_sort step 1900: {'pred': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 64288, 'step': 1900, 'algorithm': 'bubble_sort'}
I0715 21:39:57.169605 129309696415232 run.py:722] (val) algo bubble_sort step 1950: {'pred': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 65936, 'step': 1950, 'algorithm': 'bubble_sort'}
I0715 21:40:00.933917 129309696415232 run.py:722] (val) algo bubble_sort step 2000: {'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 67600, 'step': 2000, 'algorithm': 'bubble_sort'}
I0715 21:40:04.862391 129309696415232 run.py:722] (val) algo bubble_sort step 2050: {'pred': 0.732421875, 'score': 0.732421875, 'examples_seen': 69376, 'step': 2050, 'algorithm': 'bubble_sort'}
I0715 21:40:08.618925 129309696415232 run.py:722] (val) algo bubble_sort step 2100: {'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 71088, 'step': 2100, 'algorithm': 'bubble_sort'}
I0715 21:40:12.415598 129309696415232 run.py:722] (val) algo bubble_sort step 2150: {'pred': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 72800, 'step': 2150, 'algorithm': 'bubble_sort'}
I0715 21:40:16.180493 129309696415232 run.py:722] (val) algo bubble_sort step 2200: {'pred': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 74448, 'step': 2200, 'algorithm': 'bubble_sort'}
I0715 21:40:19.945033 129309696415232 run.py:722] (val) algo bubble_sort step 2250: {'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 76112, 'step': 2250, 'algorithm': 'bubble_sort'}
I0715 21:40:23.709688 129309696415232 run.py:722] (val) algo bubble_sort step 2300: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 77792, 'step': 2300, 'algorithm': 'bubble_sort'}
I0715 21:40:27.517390 129309696415232 run.py:722] (val) algo bubble_sort step 2350: {'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 79456, 'step': 2350, 'algorithm': 'bubble_sort'}
I0715 21:40:31.389709 129309696415232 run.py:722] (val) algo bubble_sort step 2400: {'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 81232, 'step': 2400, 'algorithm': 'bubble_sort'}
I0715 21:40:35.246560 129309696415232 run.py:722] (val) algo bubble_sort step 2450: {'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 82960, 'step': 2450, 'algorithm': 'bubble_sort'}
I0715 21:40:39.034927 129309696415232 run.py:722] (val) algo bubble_sort step 2500: {'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 84640, 'step': 2500, 'algorithm': 'bubble_sort'}
I0715 21:40:42.745131 129309696415232 run.py:722] (val) algo bubble_sort step 2550: {'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 86304, 'step': 2550, 'algorithm': 'bubble_sort'}
I0715 21:40:46.528654 129309696415232 run.py:722] (val) algo bubble_sort step 2600: {'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 87968, 'step': 2600, 'algorithm': 'bubble_sort'}
I0715 21:40:50.243510 129309696415232 run.py:722] (val) algo bubble_sort step 2650: {'pred': 0.767578125, 'score': 0.767578125, 'examples_seen': 89616, 'step': 2650, 'algorithm': 'bubble_sort'}
I0715 21:40:53.993829 129309696415232 run.py:722] (val) algo bubble_sort step 2700: {'pred': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 91280, 'step': 2700, 'algorithm': 'bubble_sort'}
I0715 21:40:57.863282 129309696415232 run.py:722] (val) algo bubble_sort step 2750: {'pred': 0.8359375, 'score': 0.8359375, 'examples_seen': 93072, 'step': 2750, 'algorithm': 'bubble_sort'}
I0715 21:41:01.622399 129309696415232 run.py:722] (val) algo bubble_sort step 2800: {'pred': 0.86328125, 'score': 0.86328125, 'examples_seen': 94800, 'step': 2800, 'algorithm': 'bubble_sort'}
I0715 21:41:05.339127 129309696415232 run.py:722] (val) algo bubble_sort step 2850: {'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 96448, 'step': 2850, 'algorithm': 'bubble_sort'}
I0715 21:41:09.132911 129309696415232 run.py:722] (val) algo bubble_sort step 2900: {'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 98144, 'step': 2900, 'algorithm': 'bubble_sort'}
I0715 21:41:12.861964 129309696415232 run.py:722] (val) algo bubble_sort step 2950: {'pred': 0.8125, 'score': 0.8125, 'examples_seen': 99792, 'step': 2950, 'algorithm': 'bubble_sort'}
I0715 21:41:16.586123 129309696415232 run.py:722] (val) algo bubble_sort step 3000: {'pred': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 101456, 'step': 3000, 'algorithm': 'bubble_sort'}
I0715 21:41:20.318702 129309696415232 run.py:722] (val) algo bubble_sort step 3050: {'pred': 0.828125, 'score': 0.828125, 'examples_seen': 103104, 'step': 3050, 'algorithm': 'bubble_sort'}
I0715 21:41:24.151848 129309696415232 run.py:722] (val) algo bubble_sort step 3100: {'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 104880, 'step': 3100, 'algorithm': 'bubble_sort'}
I0715 21:41:27.993677 129309696415232 run.py:722] (val) algo bubble_sort step 3150: {'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 106640, 'step': 3150, 'algorithm': 'bubble_sort'}
I0715 21:41:31.781083 129309696415232 run.py:722] (val) algo bubble_sort step 3200: {'pred': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 108304, 'step': 3200, 'algorithm': 'bubble_sort'}
I0715 21:41:35.532358 129309696415232 run.py:722] (val) algo bubble_sort step 3250: {'pred': 0.826171875, 'score': 0.826171875, 'examples_seen': 109968, 'step': 3250, 'algorithm': 'bubble_sort'}
I0715 21:41:39.316132 129309696415232 run.py:722] (val) algo bubble_sort step 3300: {'pred': 0.84375, 'score': 0.84375, 'examples_seen': 111664, 'step': 3300, 'algorithm': 'bubble_sort'}
I0715 21:41:43.065596 129309696415232 run.py:722] (val) algo bubble_sort step 3350: {'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 113328, 'step': 3350, 'algorithm': 'bubble_sort'}
I0715 21:41:46.805452 129309696415232 run.py:722] (val) algo bubble_sort step 3400: {'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 114976, 'step': 3400, 'algorithm': 'bubble_sort'}
I0715 21:41:50.743321 129309696415232 run.py:722] (val) algo bubble_sort step 3450: {'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 116768, 'step': 3450, 'algorithm': 'bubble_sort'}
I0715 21:41:54.548113 129309696415232 run.py:722] (val) algo bubble_sort step 3500: {'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 118480, 'step': 3500, 'algorithm': 'bubble_sort'}
I0715 21:41:58.325687 129309696415232 run.py:722] (val) algo bubble_sort step 3550: {'pred': 0.890625, 'score': 0.890625, 'examples_seen': 120160, 'step': 3550, 'algorithm': 'bubble_sort'}
I0715 21:42:02.189070 129309696415232 run.py:722] (val) algo bubble_sort step 3600: {'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 121840, 'step': 3600, 'algorithm': 'bubble_sort'}
I0715 21:42:05.903759 129309696415232 run.py:722] (val) algo bubble_sort step 3650: {'pred': 0.849609375, 'score': 0.849609375, 'examples_seen': 123488, 'step': 3650, 'algorithm': 'bubble_sort'}
I0715 21:42:09.619739 129309696415232 run.py:722] (val) algo bubble_sort step 3700: {'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 125136, 'step': 3700, 'algorithm': 'bubble_sort'}
I0715 21:42:13.451320 129309696415232 run.py:722] (val) algo bubble_sort step 3750: {'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 126816, 'step': 3750, 'algorithm': 'bubble_sort'}
I0715 21:42:17.306814 129309696415232 run.py:722] (val) algo bubble_sort step 3800: {'pred': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 128592, 'step': 3800, 'algorithm': 'bubble_sort'}
I0715 21:42:21.044350 129309696415232 run.py:722] (val) algo bubble_sort step 3850: {'pred': 0.83984375, 'score': 0.83984375, 'examples_seen': 130304, 'step': 3850, 'algorithm': 'bubble_sort'}
I0715 21:42:24.800556 129309696415232 run.py:722] (val) algo bubble_sort step 3900: {'pred': 0.86328125, 'score': 0.86328125, 'examples_seen': 132000, 'step': 3900, 'algorithm': 'bubble_sort'}
I0715 21:42:28.483238 129309696415232 run.py:722] (val) algo bubble_sort step 3950: {'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 133664, 'step': 3950, 'algorithm': 'bubble_sort'}
I0715 21:42:32.169328 129309696415232 run.py:722] (val) algo bubble_sort step 4000: {'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 135312, 'step': 4000, 'algorithm': 'bubble_sort'}
I0715 21:42:35.965253 129309696415232 run.py:722] (val) algo bubble_sort step 4050: {'pred': 0.875, 'score': 0.875, 'examples_seen': 136976, 'step': 4050, 'algorithm': 'bubble_sort'}
I0715 21:42:39.643834 129309696415232 run.py:722] (val) algo bubble_sort step 4100: {'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 138624, 'step': 4100, 'algorithm': 'bubble_sort'}
I0715 21:42:43.514362 129309696415232 run.py:722] (val) algo bubble_sort step 4150: {'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 140448, 'step': 4150, 'algorithm': 'bubble_sort'}
I0715 21:42:47.282224 129309696415232 run.py:722] (val) algo bubble_sort step 4200: {'pred': 0.8583984375, 'score': 0.8583984375, 'examples_seen': 142160, 'step': 4200, 'algorithm': 'bubble_sort'}
I0715 21:42:50.981574 129309696415232 run.py:722] (val) algo bubble_sort step 4250: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 143840, 'step': 4250, 'algorithm': 'bubble_sort'}
I0715 21:42:54.681222 129309696415232 run.py:722] (val) algo bubble_sort step 4300: {'pred': 0.794921875, 'score': 0.794921875, 'examples_seen': 145520, 'step': 4300, 'algorithm': 'bubble_sort'}
I0715 21:42:58.401680 129309696415232 run.py:722] (val) algo bubble_sort step 4350: {'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 147184, 'step': 4350, 'algorithm': 'bubble_sort'}
I0715 21:43:02.143540 129309696415232 run.py:722] (val) algo bubble_sort step 4400: {'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 148848, 'step': 4400, 'algorithm': 'bubble_sort'}
I0715 21:43:05.850962 129309696415232 run.py:722] (val) algo bubble_sort step 4450: {'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 150512, 'step': 4450, 'algorithm': 'bubble_sort'}
I0715 21:43:09.626810 129309696415232 run.py:722] (val) algo bubble_sort step 4500: {'pred': 0.8359375, 'score': 0.8359375, 'examples_seen': 152288, 'step': 4500, 'algorithm': 'bubble_sort'}
I0715 21:43:13.344251 129309696415232 run.py:722] (val) algo bubble_sort step 4550: {'pred': 0.896484375, 'score': 0.896484375, 'examples_seen': 154000, 'step': 4550, 'algorithm': 'bubble_sort'}
I0715 21:43:17.081008 129309696415232 run.py:722] (val) algo bubble_sort step 4600: {'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 155696, 'step': 4600, 'algorithm': 'bubble_sort'}
I0715 21:43:20.763269 129309696415232 run.py:722] (val) algo bubble_sort step 4650: {'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 157344, 'step': 4650, 'algorithm': 'bubble_sort'}
I0715 21:43:24.478277 129309696415232 run.py:722] (val) algo bubble_sort step 4700: {'pred': 0.8671875, 'score': 0.8671875, 'examples_seen': 159008, 'step': 4700, 'algorithm': 'bubble_sort'}
I0715 21:43:28.196276 129309696415232 run.py:722] (val) algo bubble_sort step 4750: {'pred': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 160672, 'step': 4750, 'algorithm': 'bubble_sort'}
I0715 21:43:31.900070 129309696415232 run.py:722] (val) algo bubble_sort step 4800: {'pred': 0.89453125, 'score': 0.89453125, 'examples_seen': 162336, 'step': 4800, 'algorithm': 'bubble_sort'}
I0715 21:43:35.733504 129309696415232 run.py:722] (val) algo bubble_sort step 4850: {'pred': 0.80078125, 'score': 0.80078125, 'examples_seen': 164112, 'step': 4850, 'algorithm': 'bubble_sort'}
I0715 21:43:39.497342 129309696415232 run.py:722] (val) algo bubble_sort step 4900: {'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 165824, 'step': 4900, 'algorithm': 'bubble_sort'}
I0715 21:43:43.228028 129309696415232 run.py:722] (val) algo bubble_sort step 4950: {'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 167520, 'step': 4950, 'algorithm': 'bubble_sort'}
I0715 21:43:46.916456 129309696415232 run.py:722] (val) algo bubble_sort step 5000: {'pred': 0.884765625, 'score': 0.884765625, 'examples_seen': 169184, 'step': 5000, 'algorithm': 'bubble_sort'}
I0715 21:43:50.633181 129309696415232 run.py:722] (val) algo bubble_sort step 5050: {'pred': 0.89453125, 'score': 0.89453125, 'examples_seen': 170848, 'step': 5050, 'algorithm': 'bubble_sort'}
I0715 21:43:54.258263 129309696415232 run.py:722] (val) algo bubble_sort step 5100: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 172496, 'step': 5100, 'algorithm': 'bubble_sort'}
I0715 21:43:57.957902 129309696415232 run.py:722] (val) algo bubble_sort step 5150: {'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 174192, 'step': 5150, 'algorithm': 'bubble_sort'}
I0715 21:44:01.793304 129309696415232 run.py:722] (val) algo bubble_sort step 5200: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 175968, 'step': 5200, 'algorithm': 'bubble_sort'}
I0715 21:44:05.558671 129309696415232 run.py:722] (val) algo bubble_sort step 5250: {'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 177696, 'step': 5250, 'algorithm': 'bubble_sort'}
I0715 21:44:09.285731 129309696415232 run.py:722] (val) algo bubble_sort step 5300: {'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 179376, 'step': 5300, 'algorithm': 'bubble_sort'}
I0715 21:44:12.967454 129309696415232 run.py:722] (val) algo bubble_sort step 5350: {'pred': 0.900390625, 'score': 0.900390625, 'examples_seen': 181040, 'step': 5350, 'algorithm': 'bubble_sort'}
I0715 21:44:16.671685 129309696415232 run.py:722] (val) algo bubble_sort step 5400: {'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 182704, 'step': 5400, 'algorithm': 'bubble_sort'}
I0715 21:44:20.380534 129309696415232 run.py:722] (val) algo bubble_sort step 5450: {'pred': 0.900390625, 'score': 0.900390625, 'examples_seen': 184352, 'step': 5450, 'algorithm': 'bubble_sort'}
I0715 21:44:24.055391 129309696415232 run.py:722] (val) algo bubble_sort step 5500: {'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 186016, 'step': 5500, 'algorithm': 'bubble_sort'}
I0715 21:44:27.876286 129309696415232 run.py:722] (val) algo bubble_sort step 5550: {'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 187776, 'step': 5550, 'algorithm': 'bubble_sort'}
I0715 21:44:31.817477 129309696415232 run.py:722] (val) algo bubble_sort step 5600: {'pred': 0.943359375, 'score': 0.943359375, 'examples_seen': 189520, 'step': 5600, 'algorithm': 'bubble_sort'}
I0715 21:44:35.593610 129309696415232 run.py:722] (val) algo bubble_sort step 5650: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 191184, 'step': 5650, 'algorithm': 'bubble_sort'}
I0715 21:44:39.363449 129309696415232 run.py:722] (val) algo bubble_sort step 5700: {'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 192864, 'step': 5700, 'algorithm': 'bubble_sort'}
I0715 21:44:43.118905 129309696415232 run.py:722] (val) algo bubble_sort step 5750: {'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 194544, 'step': 5750, 'algorithm': 'bubble_sort'}
I0715 21:44:46.798743 129309696415232 run.py:722] (val) algo bubble_sort step 5800: {'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 196208, 'step': 5800, 'algorithm': 'bubble_sort'}
I0715 21:44:50.475818 129309696415232 run.py:722] (val) algo bubble_sort step 5850: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 197856, 'step': 5850, 'algorithm': 'bubble_sort'}
I0715 21:44:54.333568 129309696415232 run.py:722] (val) algo bubble_sort step 5900: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 199632, 'step': 5900, 'algorithm': 'bubble_sort'}
I0715 21:44:58.053626 129309696415232 run.py:722] (val) algo bubble_sort step 5950: {'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 201360, 'step': 5950, 'algorithm': 'bubble_sort'}
I0715 21:45:01.792321 129309696415232 run.py:722] (val) algo bubble_sort step 6000: {'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 203056, 'step': 6000, 'algorithm': 'bubble_sort'}
I0715 21:45:05.543405 129309696415232 run.py:722] (val) algo bubble_sort step 6050: {'pred': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 204720, 'step': 6050, 'algorithm': 'bubble_sort'}
I0715 21:45:09.259257 129309696415232 run.py:722] (val) algo bubble_sort step 6100: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 206368, 'step': 6100, 'algorithm': 'bubble_sort'}
I0715 21:45:13.052137 129309696415232 run.py:722] (val) algo bubble_sort step 6150: {'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 208064, 'step': 6150, 'algorithm': 'bubble_sort'}
I0715 21:45:16.810551 129309696415232 run.py:722] (val) algo bubble_sort step 6200: {'pred': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 209712, 'step': 6200, 'algorithm': 'bubble_sort'}
I0715 21:45:20.692410 129309696415232 run.py:722] (val) algo bubble_sort step 6250: {'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 211504, 'step': 6250, 'algorithm': 'bubble_sort'}
I0715 21:45:24.507463 129309696415232 run.py:722] (val) algo bubble_sort step 6300: {'pred': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 213216, 'step': 6300, 'algorithm': 'bubble_sort'}
I0715 21:45:28.276877 129309696415232 run.py:722] (val) algo bubble_sort step 6350: {'pred': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 214896, 'step': 6350, 'algorithm': 'bubble_sort'}
I0715 21:45:32.042024 129309696415232 run.py:722] (val) algo bubble_sort step 6400: {'pred': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 216560, 'step': 6400, 'algorithm': 'bubble_sort'}
I0715 21:45:35.781096 129309696415232 run.py:722] (val) algo bubble_sort step 6450: {'pred': 0.908203125, 'score': 0.908203125, 'examples_seen': 218208, 'step': 6450, 'algorithm': 'bubble_sort'}
I0715 21:45:39.551135 129309696415232 run.py:722] (val) algo bubble_sort step 6500: {'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 219872, 'step': 6500, 'algorithm': 'bubble_sort'}
I0715 21:45:43.276999 129309696415232 run.py:722] (val) algo bubble_sort step 6550: {'pred': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 221520, 'step': 6550, 'algorithm': 'bubble_sort'}
I0715 21:45:47.196346 129309696415232 run.py:722] (val) algo bubble_sort step 6600: {'pred': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 223328, 'step': 6600, 'algorithm': 'bubble_sort'}
I0715 21:45:50.975812 129309696415232 run.py:722] (val) algo bubble_sort step 6650: {'pred': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 225040, 'step': 6650, 'algorithm': 'bubble_sort'}
I0715 21:45:54.765356 129309696415232 run.py:722] (val) algo bubble_sort step 6700: {'pred': 0.921875, 'score': 0.921875, 'examples_seen': 226720, 'step': 6700, 'algorithm': 'bubble_sort'}
