{'is_cut': 0.06829268292682926, 'score': 0.06829268292682926, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
{'is_cut': 0.7830985915492956, 'score': 0.7830985915492956, 'examples_seen': 72190, 'step': 4550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7469879518072289, 'score': 0.7469879518072289, 'examples_seen': 72975, 'step': 4600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7950310559006211, 'score': 0.7950310559006211, 'examples_seen': 73768, 'step': 4650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7716535433070866, 'score': 0.7716535433070866, 'examples_seen': 74547, 'step': 4700, 'algorithm': 'articulation_points'}
{'is_cut': 0.7823691460055096, 'score': 0.7823691460055096, 'examples_seen': 75326, 'step': 4750, 'algorithm': 'articulation_points'}
{'is_cut': 0.7055214723926381, 'score': 0.7055214723926381, 'examples_seen': 76108, 'step': 4800, 'algorithm': 'articulation_points'}
{'is_cut': 0.7833827893175074, 'score': 0.7833827893175074, 'examples_seen': 76931, 'step': 4850, 'algorithm': 'articulation_points'}
{'is_cut': 0.7633136094674556, 'score': 0.7633136094674556, 'examples_seen': 77727, 'step': 4900, 'algorithm': 'articulation_points'}
{'is_cut': 0.7768595041322313, 'score': 0.7768595041322313, 'examples_seen': 78527, 'step': 4950, 'algorithm': 'articulation_points'}
{'is_cut': 0.7365269461077844, 'score': 0.7365269461077844, 'examples_seen': 79314, 'step': 5000, 'algorithm': 'articulation_points'}
{'is_cut': 0.7413127413127414, 'score': 0.7413127413127414, 'examples_seen': 80101, 'step': 5050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7665505226480835, 'score': 0.7665505226480835, 'examples_seen': 80879, 'step': 5100, 'algorithm': 'articulation_points'}
{'is_cut': 0.8081841432225064, 'score': 0.8081841432225064, 'examples_seen': 81662, 'step': 5150, 'algorithm': 'articulation_points'}
{'is_cut': 0.7317073170731706, 'score': 0.7317073170731706, 'examples_seen': 82480, 'step': 5200, 'algorithm': 'articulation_points'}
{'is_cut': 0.8190476190476191, 'score': 0.8190476190476191, 'examples_seen': 83294, 'step': 5250, 'algorithm': 'articulation_points'}
{'is_cut': 0.7418397626112759, 'score': 0.7418397626112759, 'examples_seen': 84080, 'step': 5300, 'algorithm': 'articulation_points'}
{'is_cut': 0.7371794871794872, 'score': 0.7371794871794872, 'examples_seen': 84873, 'step': 5350, 'algorithm': 'articulation_points'}
{'is_cut': 0.8061538461538462, 'score': 0.8061538461538462, 'examples_seen': 85657, 'step': 5400, 'algorithm': 'articulation_points'}
{'is_cut': 0.6923076923076922, 'score': 0.6923076923076922, 'examples_seen': 86431, 'step': 5450, 'algorithm': 'articulation_points'}
{'is_cut': 0.7972508591065293, 'score': 0.7972508591065293, 'examples_seen': 87219, 'step': 5500, 'algorithm': 'articulation_points'}
{'is_cut': 0.7670454545454545, 'score': 0.7670454545454545, 'examples_seen': 88046, 'step': 5550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7016574585635359, 'score': 0.7016574585635359, 'examples_seen': 88846, 'step': 5600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7183673469387756, 'score': 0.7183673469387756, 'examples_seen': 89638, 'step': 5650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7409836065573772, 'score': 0.7409836065573772, 'examples_seen': 90427, 'step': 5700, 'algorithm': 'articulation_points'}
{'is_cut': 0.7297297297297298, 'score': 0.7297297297297298, 'examples_seen': 91206, 'step': 5750, 'algorithm': 'articulation_points'}
{'is_cut': 0.7760416666666666, 'score': 0.7760416666666666, 'examples_seen': 91993, 'step': 5800, 'algorithm': 'articulation_points'}
{'is_cut': 0.7593220338983052, 'score': 0.7593220338983052, 'examples_seen': 92776, 'step': 5850, 'algorithm': 'articulation_points'}
{'is_cut': 0.6976744186046512, 'score': 0.6976744186046512, 'examples_seen': 93595, 'step': 5900, 'algorithm': 'articulation_points'}
{'is_cut': 0.7450980392156863, 'score': 0.7450980392156863, 'examples_seen': 94394, 'step': 5950, 'algorithm': 'articulation_points'}
{'is_cut': 0.6538461538461539, 'score': 0.6538461538461539, 'examples_seen': 95185, 'step': 6000, 'algorithm': 'articulation_points'}
{'is_cut': 0.7757255936675462, 'score': 0.7757255936675462, 'examples_seen': 95970, 'step': 6050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7655172413793104, 'score': 0.7655172413793104, 'examples_seen': 96745, 'step': 6100, 'algorithm': 'articulation_points'}
{'is_cut': 0.8231292517006802, 'score': 0.8231292517006802, 'examples_seen': 97528, 'step': 6150, 'algorithm': 'articulation_points'}
{'is_cut': 0.8097826086956522, 'score': 0.8097826086956522, 'examples_seen': 98310, 'step': 6200, 'algorithm': 'articulation_points'}
{'is_cut': 0.7741935483870966, 'score': 0.7741935483870966, 'examples_seen': 99125, 'step': 6250, 'algorithm': 'articulation_points'}
{'is_cut': 0.7697841726618705, 'score': 0.7697841726618705, 'examples_seen': 99930, 'step': 6300, 'algorithm': 'articulation_points'}
{'is_cut': 0.7889273356401383, 'score': 0.7889273356401383, 'examples_seen': 100714, 'step': 6350, 'algorithm': 'articulation_points'}
{'is_cut': 0.8338192419825073, 'score': 0.8338192419825073, 'examples_seen': 101505, 'step': 6400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7999999999999999, 'score': 0.7999999999999999, 'examples_seen': 102293, 'step': 6450, 'algorithm': 'articulation_points'}
{'is_cut': 0.804953560371517, 'score': 0.804953560371517, 'examples_seen': 103075, 'step': 6500, 'algorithm': 'articulation_points'}
{'is_cut': 0.7153846153846154, 'score': 0.7153846153846154, 'examples_seen': 103854, 'step': 6550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7184466019417476, 'score': 0.7184466019417476, 'examples_seen': 104682, 'step': 6600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7835616438356164, 'score': 0.7835616438356164, 'examples_seen': 105484, 'step': 6650, 'algorithm': 'articulation_points'}
{'is_cut': 0.5938864628820961, 'score': 0.5938864628820961, 'examples_seen': 106273, 'step': 6700, 'algorithm': 'articulation_points'}
{'is_cut': 0.7457627118644068, 'score': 0.7457627118644068, 'examples_seen': 107058, 'step': 6750, 'algorithm': 'articulation_points'}
{'is_cut': 0.7383720930232558, 'score': 0.7383720930232558, 'examples_seen': 107837, 'step': 6800, 'algorithm': 'articulation_points'}
{'is_cut': 0.717948717948718, 'score': 0.717948717948718, 'examples_seen': 108619, 'step': 6850, 'algorithm': 'articulation_points'}
{'is_cut': 0.6734006734006734, 'score': 0.6734006734006734, 'examples_seen': 109394, 'step': 6900, 'algorithm': 'articulation_points'}
{'is_cut': 0.7572815533980582, 'score': 0.7572815533980582, 'examples_seen': 110221, 'step': 6950, 'algorithm': 'articulation_points'}
{'is_cut': 0.7625418060200668, 'score': 0.7625418060200668, 'examples_seen': 111023, 'step': 7000, 'algorithm': 'articulation_points'}
{'is_cut': 0.759776536312849, 'score': 0.759776536312849, 'examples_seen': 111818, 'step': 7050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7387387387387387, 'score': 0.7387387387387387, 'examples_seen': 112603, 'step': 7100, 'algorithm': 'articulation_points'}
{'is_cut': 0.7402135231316724, 'score': 0.7402135231316724, 'examples_seen': 113385, 'step': 7150, 'algorithm': 'articulation_points'}
{'is_cut': 0.7456647398843931, 'score': 0.7456647398843931, 'examples_seen': 114163, 'step': 7200, 'algorithm': 'articulation_points'}
{'is_cut': 0.7474747474747474, 'score': 0.7474747474747474, 'examples_seen': 114957, 'step': 7250, 'algorithm': 'articulation_points'}
{'is_cut': 0.7717391304347827, 'score': 0.7717391304347827, 'examples_seen': 115775, 'step': 7300, 'algorithm': 'articulation_points'}
{'is_cut': 0.7692307692307694, 'score': 0.7692307692307694, 'examples_seen': 116585, 'step': 7350, 'algorithm': 'articulation_points'}
{'is_cut': 0.744336569579288, 'score': 0.744336569579288, 'examples_seen': 117369, 'step': 7400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7569060773480663, 'score': 0.7569060773480663, 'examples_seen': 118150, 'step': 7450, 'algorithm': 'articulation_points'}
{'is_cut': 0.7482517482517483, 'score': 0.7482517482517483, 'examples_seen': 118931, 'step': 7500, 'algorithm': 'articulation_points'}
{'is_cut': 0.7738693467336684, 'score': 0.7738693467336684, 'examples_seen': 119715, 'step': 7550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7941176470588236, 'score': 0.7941176470588236, 'examples_seen': 120499, 'step': 7600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7048458149779736, 'score': 0.7048458149779736, 'examples_seen': 121320, 'step': 7650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7669616519174042, 'score': 0.7669616519174042, 'examples_seen': 122120, 'step': 7700, 'algorithm': 'articulation_points'}
{'is_cut': 0.8441558441558441, 'score': 0.8441558441558441, 'examples_seen': 122916, 'step': 7750, 'algorithm': 'articulation_points'}
{'is_cut': 0.6746987951807227, 'score': 0.6746987951807227, 'examples_seen': 123694, 'step': 7800, 'algorithm': 'articulation_points'}
{'is_cut': 0.7835051546391752, 'score': 0.7835051546391752, 'examples_seen': 124473, 'step': 7850, 'algorithm': 'articulation_points'}
{'is_cut': 0.7670454545454547, 'score': 0.7670454545454547, 'examples_seen': 125257, 'step': 7900, 'algorithm': 'articulation_points'}
{'is_cut': 0.761904761904762, 'score': 0.761904761904762, 'examples_seen': 126040, 'step': 7950, 'algorithm': 'articulation_points'}
{'is_cut': 0.8409090909090908, 'score': 0.8409090909090908, 'examples_seen': 126860, 'step': 8000, 'algorithm': 'articulation_points'}
{'is_cut': 0.7687499999999999, 'score': 0.7687499999999999, 'examples_seen': 127654, 'step': 8050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7873563218390804, 'score': 0.7873563218390804, 'examples_seen': 128447, 'step': 8100, 'algorithm': 'articulation_points'}
{'is_cut': 0.7532467532467532, 'score': 0.7532467532467532, 'examples_seen': 129242, 'step': 8150, 'algorithm': 'articulation_points'}
{'is_cut': 0.8037974683544303, 'score': 0.8037974683544303, 'examples_seen': 130027, 'step': 8200, 'algorithm': 'articulation_points'}
{'is_cut': 0.8027842227378191, 'score': 0.8027842227378191, 'examples_seen': 130806, 'step': 8250, 'algorithm': 'articulation_points'}
{'is_cut': 0.7769784172661871, 'score': 0.7769784172661871, 'examples_seen': 131584, 'step': 8300, 'algorithm': 'articulation_points'}
{'is_cut': 0.7455621301775148, 'score': 0.7455621301775148, 'examples_seen': 132407, 'step': 8350, 'algorithm': 'articulation_points'}
{'is_cut': 0.7285714285714285, 'score': 0.7285714285714285, 'examples_seen': 133208, 'step': 8400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7485380116959066, 'score': 0.7485380116959066, 'examples_seen': 133997, 'step': 8450, 'algorithm': 'articulation_points'}
{'is_cut': 0.7272727272727272, 'score': 0.7272727272727272, 'examples_seen': 134780, 'step': 8500, 'algorithm': 'articulation_points'}
{'is_cut': 0.8176795580110497, 'score': 0.8176795580110497, 'examples_seen': 135570, 'step': 8550, 'algorithm': 'articulation_points'}
{'is_cut': 0.8115942028985507, 'score': 0.8115942028985507, 'examples_seen': 136362, 'step': 8600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7388535031847134, 'score': 0.7388535031847134, 'examples_seen': 137135, 'step': 8650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7806267806267806, 'score': 0.7806267806267806, 'examples_seen': 137954, 'step': 8700, 'algorithm': 'articulation_points'}
{'is_cut': 0.8254847645429363, 'score': 0.8254847645429363, 'examples_seen': 138756, 'step': 8750, 'algorithm': 'articulation_points'}
{'is_cut': 0.811188811188811, 'score': 0.811188811188811, 'examples_seen': 139540, 'step': 8800, 'algorithm': 'articulation_points'}
{'is_cut': 0.8275862068965517, 'score': 0.8275862068965517, 'examples_seen': 140330, 'step': 8850, 'algorithm': 'articulation_points'}
{'is_cut': 0.7884615384615384, 'score': 0.7884615384615384, 'examples_seen': 141109, 'step': 8900, 'algorithm': 'articulation_points'}
{'is_cut': 0.793103448275862, 'score': 0.793103448275862, 'examples_seen': 141899, 'step': 8950, 'algorithm': 'articulation_points'}
{'is_cut': 0.7096774193548386, 'score': 0.7096774193548386, 'examples_seen': 142677, 'step': 9000, 'algorithm': 'articulation_points'}
{'is_cut': 0.740506329113924, 'score': 0.740506329113924, 'examples_seen': 143489, 'step': 9050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7362637362637362, 'score': 0.7362637362637362, 'examples_seen': 144301, 'step': 9100, 'algorithm': 'articulation_points'}
{'is_cut': 0.7984790874524714, 'score': 0.7984790874524714, 'examples_seen': 145094, 'step': 9150, 'algorithm': 'articulation_points'}
{'is_cut': 0.8070175438596491, 'score': 0.8070175438596491, 'examples_seen': 145880, 'step': 9200, 'algorithm': 'articulation_points'}
{'is_cut': 0.8269794721407624, 'score': 0.8269794721407624, 'examples_seen': 146666, 'step': 9250, 'algorithm': 'articulation_points'}
{'is_cut': 0.8010335917312662, 'score': 0.8010335917312662, 'examples_seen': 147448, 'step': 9300, 'algorithm': 'articulation_points'}
{'is_cut': 0.7848101265822783, 'score': 0.7848101265822783, 'examples_seen': 148230, 'step': 9350, 'algorithm': 'articulation_points'}
{'is_cut': 0.751918158567775, 'score': 0.751918158567775, 'examples_seen': 149047, 'step': 9400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7327327327327328, 'score': 0.7327327327327328, 'examples_seen': 149855, 'step': 9450, 'algorithm': 'articulation_points'}
{'is_cut': 0.7773584905660376, 'score': 0.7773584905660376, 'examples_seen': 150644, 'step': 9500, 'algorithm': 'articulation_points'}
{'is_cut': 0.8051948051948052, 'score': 0.8051948051948052, 'examples_seen': 151437, 'step': 9550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7148014440433215, 'score': 0.7148014440433215, 'examples_seen': 152222, 'step': 9600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7297297297297296, 'score': 0.7297297297297296, 'examples_seen': 153008, 'step': 9650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7676767676767676, 'score': 0.7676767676767676, 'examples_seen': 153803, 'step': 9700, 'algorithm': 'articulation_points'}
{'is_cut': 0.7492447129909365, 'score': 0.7492447129909365, 'examples_seen': 154616, 'step': 9750, 'algorithm': 'articulation_points'}
{'is_cut': 0.8048048048048048, 'score': 0.8048048048048048, 'examples_seen': 155420, 'step': 9800, 'algorithm': 'articulation_points'}
{'is_cut': 0.8328267477203648, 'score': 0.8328267477203648, 'examples_seen': 156214, 'step': 9850, 'algorithm': 'articulation_points'}
{'is_cut': 0.7956204379562043, 'score': 0.7956204379562043, 'examples_seen': 157002, 'step': 9900, 'algorithm': 'articulation_points'}
{'is_cut': 0.7852760736196318, 'score': 0.7852760736196318, 'examples_seen': 157775, 'step': 9950, 'algorithm': 'articulation_points'}
