I0715 23:08:50.652536 130777306789376 run.py:722] (val) algo jarvis_march step 0: {'in_hull': 0.4866023579849946, 'score': 0.4866023579849946, 'examples_seen': 16, 'step': 0, 'algorithm': 'jarvis_march'}
I0715 23:10:25.150173 130777306789376 run.py:722] (val) algo jarvis_march step 950: {'in_hull': 0.948875255623722, 'score': 0.948875255623722, 'examples_seen': 10804, 'step': 950, 'algorithm': 'jarvis_march'}
I0715 23:10:26.120193 130777306789376 run.py:722] (val) algo jarvis_march step 1000: {'in_hull': 0.9527896995708154, 'score': 0.9527896995708154, 'examples_seen': 11399, 'step': 1000, 'algorithm': 'jarvis_march'}
I0715 23:10:27.124245 130777306789376 run.py:722] (val) algo jarvis_march step 1050: {'in_hull': 0.934984520123839, 'score': 0.934984520123839, 'examples_seen': 11981, 'step': 1050, 'algorithm': 'jarvis_march'}
I0715 23:10:28.095940 130777306789376 run.py:722] (val) algo jarvis_march step 1100: {'in_hull': 0.9308452250274424, 'score': 0.9308452250274424, 'examples_seen': 12537, 'step': 1100, 'algorithm': 'jarvis_march'}
I0715 23:10:29.139724 130777306789376 run.py:722] (val) algo jarvis_march step 1150: {'in_hull': 0.9538461538461539, 'score': 0.9538461538461539, 'examples_seen': 13111, 'step': 1150, 'algorithm': 'jarvis_march'}
I0715 23:10:30.057656 130777306789376 run.py:722] (val) algo jarvis_march step 1200: {'in_hull': 0.9312499999999999, 'score': 0.9312499999999999, 'examples_seen': 13656, 'step': 1200, 'algorithm': 'jarvis_march'}
I0715 23:10:31.141175 130777306789376 run.py:722] (val) algo jarvis_march step 1250: {'in_hull': 0.9473684210526316, 'score': 0.9473684210526316, 'examples_seen': 14229, 'step': 1250, 'algorithm': 'jarvis_march'}
I0715 23:10:32.169799 130777306789376 run.py:722] (val) algo jarvis_march step 1300: {'in_hull': 0.9418837675350702, 'score': 0.9418837675350702, 'examples_seen': 14797, 'step': 1300, 'algorithm': 'jarvis_march'}
I0715 23:10:33.158817 130777306789376 run.py:722] (val) algo jarvis_march step 1350: {'in_hull': 0.9513513513513513, 'score': 0.9513513513513513, 'examples_seen': 15381, 'step': 1350, 'algorithm': 'jarvis_march'}
I0715 23:10:34.122907 130777306789376 run.py:722] (val) algo jarvis_march step 1400: {'in_hull': 0.954206602768903, 'score': 0.954206602768903, 'examples_seen': 15964, 'step': 1400, 'algorithm': 'jarvis_march'}
I0715 23:10:35.155303 130777306789376 run.py:722] (val) algo jarvis_march step 1450: {'in_hull': 0.96, 'score': 0.96, 'examples_seen': 16547, 'step': 1450, 'algorithm': 'jarvis_march'}
I0715 23:10:36.134561 130777306789376 run.py:722] (val) algo jarvis_march step 1500: {'in_hull': 0.9651531151003168, 'score': 0.9651531151003168, 'examples_seen': 17094, 'step': 1500, 'algorithm': 'jarvis_march'}
I0715 23:10:37.146405 130777306789376 run.py:722] (val) algo jarvis_march step 1550: {'in_hull': 0.9472595656670113, 'score': 0.9472595656670113, 'examples_seen': 17665, 'step': 1550, 'algorithm': 'jarvis_march'}
I0715 23:10:38.159177 130777306789376 run.py:722] (val) algo jarvis_march step 1600: {'in_hull': 0.9583333333333334, 'score': 0.9583333333333334, 'examples_seen': 18226, 'step': 1600, 'algorithm': 'jarvis_march'}
I0715 23:10:39.150725 130777306789376 run.py:722] (val) algo jarvis_march step 1650: {'in_hull': 0.9563318777292577, 'score': 0.9563318777292577, 'examples_seen': 18785, 'step': 1650, 'algorithm': 'jarvis_march'}
I0715 23:10:40.224745 130777306789376 run.py:722] (val) algo jarvis_march step 1700: {'in_hull': 0.9564315352697096, 'score': 0.9564315352697096, 'examples_seen': 19404, 'step': 1700, 'algorithm': 'jarvis_march'}
I0715 23:10:41.191183 130777306789376 run.py:722] (val) algo jarvis_march step 1750: {'in_hull': 0.9344432882414151, 'score': 0.9344432882414151, 'examples_seen': 19983, 'step': 1750, 'algorithm': 'jarvis_march'}
I0715 23:10:42.215969 130777306789376 run.py:722] (val) algo jarvis_march step 1800: {'in_hull': 0.9377777777777778, 'score': 0.9377777777777778, 'examples_seen': 20538, 'step': 1800, 'algorithm': 'jarvis_march'}
I0715 23:10:43.210196 130777306789376 run.py:722] (val) algo jarvis_march step 1850: {'in_hull': 0.948875255623722, 'score': 0.948875255623722, 'examples_seen': 21116, 'step': 1850, 'algorithm': 'jarvis_march'}
I0715 23:10:44.213066 130777306789376 run.py:722] (val) algo jarvis_march step 1900: {'in_hull': 0.9494736842105262, 'score': 0.9494736842105262, 'examples_seen': 21688, 'step': 1900, 'algorithm': 'jarvis_march'}
I0715 23:10:45.226634 130777306789376 run.py:722] (val) algo jarvis_march step 1950: {'in_hull': 0.9454545454545455, 'score': 0.9454545454545455, 'examples_seen': 22235, 'step': 1950, 'algorithm': 'jarvis_march'}
I0715 23:10:46.264510 130777306789376 run.py:722] (val) algo jarvis_march step 2000: {'in_hull': 0.9514963880288958, 'score': 0.9514963880288958, 'examples_seen': 22812, 'step': 2000, 'algorithm': 'jarvis_march'}
I0715 23:10:47.274258 130777306789376 run.py:722] (val) algo jarvis_march step 2050: {'in_hull': 0.9562433297758804, 'score': 0.9562433297758804, 'examples_seen': 23387, 'step': 2050, 'algorithm': 'jarvis_march'}
I0715 23:10:48.260168 130777306789376 run.py:722] (val) algo jarvis_march step 2100: {'in_hull': 0.9605963791267307, 'score': 0.9605963791267307, 'examples_seen': 23971, 'step': 2100, 'algorithm': 'jarvis_march'}
I0715 23:10:49.252506 130777306789376 run.py:722] (val) algo jarvis_march step 2150: {'in_hull': 0.9535603715170279, 'score': 0.9535603715170279, 'examples_seen': 24543, 'step': 2150, 'algorithm': 'jarvis_march'}
I0715 23:10:50.269809 130777306789376 run.py:722] (val) algo jarvis_march step 2200: {'in_hull': 0.9622641509433961, 'score': 0.9622641509433961, 'examples_seen': 25097, 'step': 2200, 'algorithm': 'jarvis_march'}
I0715 23:10:51.262201 130777306789376 run.py:722] (val) algo jarvis_march step 2250: {'in_hull': 0.9651162790697674, 'score': 0.9651162790697674, 'examples_seen': 25661, 'step': 2250, 'algorithm': 'jarvis_march'}
I0715 23:10:52.327434 130777306789376 run.py:722] (val) algo jarvis_march step 2300: {'in_hull': 0.9708108108108109, 'score': 0.9708108108108109, 'examples_seen': 26238, 'step': 2300, 'algorithm': 'jarvis_march'}
I0715 23:10:53.327241 130777306789376 run.py:722] (val) algo jarvis_march step 2350: {'in_hull': 0.9514563106796117, 'score': 0.9514563106796117, 'examples_seen': 26782, 'step': 2350, 'algorithm': 'jarvis_march'}
I0715 23:10:54.347830 130777306789376 run.py:722] (val) algo jarvis_march step 2400: {'in_hull': 0.9596602972399151, 'score': 0.9596602972399151, 'examples_seen': 27381, 'step': 2400, 'algorithm': 'jarvis_march'}
I0715 23:10:55.309504 130777306789376 run.py:722] (val) algo jarvis_march step 2450: {'in_hull': 0.9636363636363637, 'score': 0.9636363636363637, 'examples_seen': 27966, 'step': 2450, 'algorithm': 'jarvis_march'}
I0715 23:10:56.223895 130777306789376 run.py:722] (val) algo jarvis_march step 2500: {'in_hull': 0.937178166838311, 'score': 0.937178166838311, 'examples_seen': 28520, 'step': 2500, 'algorithm': 'jarvis_march'}
I0715 23:10:57.222773 130777306789376 run.py:722] (val) algo jarvis_march step 2550: {'in_hull': 0.9486910994764398, 'score': 0.9486910994764398, 'examples_seen': 29093, 'step': 2550, 'algorithm': 'jarvis_march'}
I0715 23:10:58.289947 130777306789376 run.py:722] (val) algo jarvis_march step 2600: {'in_hull': 0.9698924731182795, 'score': 0.9698924731182795, 'examples_seen': 29662, 'step': 2600, 'algorithm': 'jarvis_march'}
I0715 23:10:59.213847 130777306789376 run.py:722] (val) algo jarvis_march step 2650: {'in_hull': 0.9572649572649572, 'score': 0.9572649572649572, 'examples_seen': 30218, 'step': 2650, 'algorithm': 'jarvis_march'}
I0715 23:11:00.207326 130777306789376 run.py:722] (val) algo jarvis_march step 2700: {'in_hull': 0.9544973544973545, 'score': 0.9544973544973545, 'examples_seen': 30783, 'step': 2700, 'algorithm': 'jarvis_march'}
I0715 23:11:01.259896 130777306789376 run.py:722] (val) algo jarvis_march step 2750: {'in_hull': 0.97165991902834, 'score': 0.97165991902834, 'examples_seen': 31371, 'step': 2750, 'algorithm': 'jarvis_march'}
I0715 23:11:02.251306 130777306789376 run.py:722] (val) algo jarvis_march step 2800: {'in_hull': 0.9626467449306296, 'score': 0.9626467449306296, 'examples_seen': 31948, 'step': 2800, 'algorithm': 'jarvis_march'}
I0715 23:11:03.280327 130777306789376 run.py:722] (val) algo jarvis_march step 2850: {'in_hull': 0.9395546129374338, 'score': 0.9395546129374338, 'examples_seen': 32523, 'step': 2850, 'algorithm': 'jarvis_march'}
I0715 23:11:04.264346 130777306789376 run.py:722] (val) algo jarvis_march step 2900: {'in_hull': 0.9737118822292323, 'score': 0.9737118822292323, 'examples_seen': 33097, 'step': 2900, 'algorithm': 'jarvis_march'}
I0715 23:11:05.272793 130777306789376 run.py:722] (val) algo jarvis_march step 2950: {'in_hull': 0.9541088580576307, 'score': 0.9541088580576307, 'examples_seen': 33646, 'step': 2950, 'algorithm': 'jarvis_march'}
I0715 23:11:06.317074 130777306789376 run.py:722] (val) algo jarvis_march step 3000: {'in_hull': 0.9655172413793104, 'score': 0.9655172413793104, 'examples_seen': 34216, 'step': 3000, 'algorithm': 'jarvis_march'}
I0715 23:11:07.327077 130777306789376 run.py:722] (val) algo jarvis_march step 3050: {'in_hull': 0.9628099173553719, 'score': 0.9628099173553719, 'examples_seen': 34771, 'step': 3050, 'algorithm': 'jarvis_march'}
I0715 23:11:08.354763 130777306789376 run.py:722] (val) algo jarvis_march step 3100: {'in_hull': 0.9634408602150538, 'score': 0.9634408602150538, 'examples_seen': 35391, 'step': 3100, 'algorithm': 'jarvis_march'}
I0715 23:11:09.352956 130777306789376 run.py:722] (val) algo jarvis_march step 3150: {'in_hull': 0.9598262757871878, 'score': 0.9598262757871878, 'examples_seen': 35967, 'step': 3150, 'algorithm': 'jarvis_march'}
I0715 23:11:10.323486 130777306789376 run.py:722] (val) algo jarvis_march step 3200: {'in_hull': 0.9602577873254565, 'score': 0.9602577873254565, 'examples_seen': 36524, 'step': 3200, 'algorithm': 'jarvis_march'}
I0715 23:11:11.385288 130777306789376 run.py:722] (val) algo jarvis_march step 3250: {'in_hull': 0.9550321199143469, 'score': 0.9550321199143469, 'examples_seen': 37102, 'step': 3250, 'algorithm': 'jarvis_march'}
I0715 23:11:12.397922 130777306789376 run.py:722] (val) algo jarvis_march step 3300: {'in_hull': 0.9639065817409767, 'score': 0.9639065817409767, 'examples_seen': 37665, 'step': 3300, 'algorithm': 'jarvis_march'}
I0715 23:11:13.360981 130777306789376 run.py:722] (val) algo jarvis_march step 3350: {'in_hull': 0.9657387580299786, 'score': 0.9657387580299786, 'examples_seen': 38220, 'step': 3350, 'algorithm': 'jarvis_march'}
I0715 23:11:14.349611 130777306789376 run.py:722] (val) algo jarvis_march step 3400: {'in_hull': 0.960960960960961, 'score': 0.960960960960961, 'examples_seen': 38785, 'step': 3400, 'algorithm': 'jarvis_march'}
I0715 23:11:15.270654 130777306789376 run.py:722] (val) algo jarvis_march step 3450: {'in_hull': 0.9623430962343096, 'score': 0.9623430962343096, 'examples_seen': 39379, 'step': 3450, 'algorithm': 'jarvis_march'}
I0715 23:11:16.313174 130777306789376 run.py:722] (val) algo jarvis_march step 3500: {'in_hull': 0.9655937846836848, 'score': 0.9655937846836848, 'examples_seen': 39949, 'step': 3500, 'algorithm': 'jarvis_march'}
I0715 23:11:17.297673 130777306789376 run.py:722] (val) algo jarvis_march step 3550: {'in_hull': 0.9682875264270614, 'score': 0.9682875264270614, 'examples_seen': 40527, 'step': 3550, 'algorithm': 'jarvis_march'}
I0715 23:11:18.282296 130777306789376 run.py:722] (val) algo jarvis_march step 3600: {'in_hull': 0.9492227979274611, 'score': 0.9492227979274611, 'examples_seen': 41096, 'step': 3600, 'algorithm': 'jarvis_march'}
I0715 23:11:19.282131 130777306789376 run.py:722] (val) algo jarvis_march step 3650: {'in_hull': 0.9566160520607375, 'score': 0.9566160520607375, 'examples_seen': 41651, 'step': 3650, 'algorithm': 'jarvis_march'}
I0715 23:11:20.268262 130777306789376 run.py:722] (val) algo jarvis_march step 3700: {'in_hull': 0.9544973544973545, 'score': 0.9544973544973545, 'examples_seen': 42216, 'step': 3700, 'algorithm': 'jarvis_march'}
I0715 23:11:21.297844 130777306789376 run.py:722] (val) algo jarvis_march step 3750: {'in_hull': 0.9662447257383967, 'score': 0.9662447257383967, 'examples_seen': 42770, 'step': 3750, 'algorithm': 'jarvis_march'}
I0715 23:11:22.252227 130777306789376 run.py:722] (val) algo jarvis_march step 3800: {'in_hull': 0.9608465608465607, 'score': 0.9608465608465607, 'examples_seen': 43363, 'step': 3800, 'algorithm': 'jarvis_march'}
I0715 23:11:23.240662 130777306789376 run.py:722] (val) algo jarvis_march step 3850: {'in_hull': 0.9521871820956257, 'score': 0.9521871820956257, 'examples_seen': 43941, 'step': 3850, 'algorithm': 'jarvis_march'}
I0715 23:11:24.250586 130777306789376 run.py:722] (val) algo jarvis_march step 3900: {'in_hull': 0.9640591966173361, 'score': 0.9640591966173361, 'examples_seen': 44525, 'step': 3900, 'algorithm': 'jarvis_march'}
I0715 23:11:25.217855 130777306789376 run.py:722] (val) algo jarvis_march step 3950: {'in_hull': 0.9582887700534759, 'score': 0.9582887700534759, 'examples_seen': 45074, 'step': 3950, 'algorithm': 'jarvis_march'}
I0715 23:11:26.187891 130777306789376 run.py:722] (val) algo jarvis_march step 4000: {'in_hull': 0.9658965896589659, 'score': 0.9658965896589659, 'examples_seen': 45644, 'step': 4000, 'algorithm': 'jarvis_march'}
I0715 23:11:27.198966 130777306789376 run.py:722] (val) algo jarvis_march step 4050: {'in_hull': 0.958592132505176, 'score': 0.958592132505176, 'examples_seen': 46198, 'step': 4050, 'algorithm': 'jarvis_march'}
I0715 23:11:28.161417 130777306789376 run.py:722] (val) algo jarvis_march step 4100: {'in_hull': 0.9593852908891328, 'score': 0.9593852908891328, 'examples_seen': 46766, 'step': 4100, 'algorithm': 'jarvis_march'}
I0715 23:11:29.171718 130777306789376 run.py:722] (val) algo jarvis_march step 4150: {'in_hull': 0.9650507328072154, 'score': 0.9650507328072154, 'examples_seen': 47376, 'step': 4150, 'algorithm': 'jarvis_march'}
I0715 23:11:30.152309 130777306789376 run.py:722] (val) algo jarvis_march step 4200: {'in_hull': 0.9652855543113102, 'score': 0.9652855543113102, 'examples_seen': 47945, 'step': 4200, 'algorithm': 'jarvis_march'}
I0715 23:11:31.101730 130777306789376 run.py:722] (val) algo jarvis_march step 4250: {'in_hull': 0.9683544303797469, 'score': 0.9683544303797469, 'examples_seen': 48518, 'step': 4250, 'algorithm': 'jarvis_march'}
I0715 23:11:32.076943 130777306789376 run.py:722] (val) algo jarvis_march step 4300: {'in_hull': 0.9459172852598091, 'score': 0.9459172852598091, 'examples_seen': 49092, 'step': 4300, 'algorithm': 'jarvis_march'}
I0715 23:11:33.060744 130777306789376 run.py:722] (val) algo jarvis_march step 4350: {'in_hull': 0.9551912568306011, 'score': 0.9551912568306011, 'examples_seen': 49642, 'step': 4350, 'algorithm': 'jarvis_march'}
I0715 23:11:34.037916 130777306789376 run.py:722] (val) algo jarvis_march step 4400: {'in_hull': 0.958288770053476, 'score': 0.958288770053476, 'examples_seen': 50210, 'step': 4400, 'algorithm': 'jarvis_march'}
I0715 23:11:35.055230 130777306789376 run.py:722] (val) algo jarvis_march step 4450: {'in_hull': 0.9518716577540107, 'score': 0.9518716577540107, 'examples_seen': 50775, 'step': 4450, 'algorithm': 'jarvis_march'}
I0715 23:11:36.098902 130777306789376 run.py:722] (val) algo jarvis_march step 4500: {'in_hull': 0.9580193756727664, 'score': 0.9580193756727664, 'examples_seen': 51359, 'step': 4500, 'algorithm': 'jarvis_march'}
I0715 23:11:37.051172 130777306789376 run.py:722] (val) algo jarvis_march step 4550: {'in_hull': 0.9665271966527197, 'score': 0.9665271966527197, 'examples_seen': 51936, 'step': 4550, 'algorithm': 'jarvis_march'}
I0715 23:11:38.068648 130777306789376 run.py:722] (val) algo jarvis_march step 4600: {'in_hull': 0.962800875273523, 'score': 0.962800875273523, 'examples_seen': 52517, 'step': 4600, 'algorithm': 'jarvis_march'}
I0715 23:11:39.009133 130777306789376 run.py:722] (val) algo jarvis_march step 4650: {'in_hull': 0.9820864067439411, 'score': 0.9820864067439411, 'examples_seen': 53071, 'step': 4650, 'algorithm': 'jarvis_march'}
I0715 23:11:40.024960 130777306789376 run.py:722] (val) algo jarvis_march step 4700: {'in_hull': 0.9445585215605751, 'score': 0.9445585215605751, 'examples_seen': 53641, 'step': 4700, 'algorithm': 'jarvis_march'}
I0715 23:11:41.028771 130777306789376 run.py:722] (val) algo jarvis_march step 4750: {'in_hull': 0.9493927125506073, 'score': 0.9493927125506073, 'examples_seen': 54197, 'step': 4750, 'algorithm': 'jarvis_march'}
I0715 23:11:42.053978 130777306789376 run.py:722] (val) algo jarvis_march step 4800: {'in_hull': 0.9708108108108109, 'score': 0.9708108108108109, 'examples_seen': 54766, 'step': 4800, 'algorithm': 'jarvis_march'}
I0715 23:11:43.065328 130777306789376 run.py:722] (val) algo jarvis_march step 4850: {'in_hull': 0.9639830508474575, 'score': 0.9639830508474575, 'examples_seen': 55361, 'step': 4850, 'algorithm': 'jarvis_march'}
I0715 23:11:44.066771 130777306789376 run.py:722] (val) algo jarvis_march step 4900: {'in_hull': 0.9588477366255144, 'score': 0.9588477366255144, 'examples_seen': 55944, 'step': 4900, 'algorithm': 'jarvis_march'}
I0715 23:11:45.054479 130777306789376 run.py:722] (val) algo jarvis_march step 4950: {'in_hull': 0.954248366013072, 'score': 0.954248366013072, 'examples_seen': 56498, 'step': 4950, 'algorithm': 'jarvis_march'}
I0715 23:11:46.039928 130777306789376 run.py:722] (val) algo jarvis_march step 5000: {'in_hull': 0.9631236442516269, 'score': 0.9631236442516269, 'examples_seen': 57067, 'step': 5000, 'algorithm': 'jarvis_march'}
I0715 23:11:47.014866 130777306789376 run.py:722] (val) algo jarvis_march step 5050: {'in_hull': 0.9561497326203208, 'score': 0.9561497326203208, 'examples_seen': 57624, 'step': 5050, 'algorithm': 'jarvis_march'}
I0715 23:11:47.971556 130777306789376 run.py:722] (val) algo jarvis_march step 5100: {'in_hull': 0.9615384615384616, 'score': 0.9615384615384616, 'examples_seen': 58187, 'step': 5100, 'algorithm': 'jarvis_march'}
I0715 23:11:49.003956 130777306789376 run.py:722] (val) algo jarvis_march step 5150: {'in_hull': 0.9665178571428571, 'score': 0.9665178571428571, 'examples_seen': 58753, 'step': 5150, 'algorithm': 'jarvis_march'}
I0715 23:11:49.952261 130777306789376 run.py:722] (val) algo jarvis_march step 5200: {'in_hull': 0.9638055842812824, 'score': 0.9638055842812824, 'examples_seen': 59334, 'step': 5200, 'algorithm': 'jarvis_march'}
I0715 23:11:51.002111 130777306789376 run.py:722] (val) algo jarvis_march step 5250: {'in_hull': 0.9672489082969432, 'score': 0.9672489082969432, 'examples_seen': 59915, 'step': 5250, 'algorithm': 'jarvis_march'}
I0715 23:11:51.976550 130777306789376 run.py:722] (val) algo jarvis_march step 5300: {'in_hull': 0.9536560247167868, 'score': 0.9536560247167868, 'examples_seen': 60489, 'step': 5300, 'algorithm': 'jarvis_march'}
I0715 23:11:52.976258 130777306789376 run.py:722] (val) algo jarvis_march step 5350: {'in_hull': 0.9467969598262758, 'score': 0.9467969598262758, 'examples_seen': 61046, 'step': 5350, 'algorithm': 'jarvis_march'}
I0715 23:11:53.978547 130777306789376 run.py:722] (val) algo jarvis_march step 5400: {'in_hull': 0.9570011025358323, 'score': 0.9570011025358323, 'examples_seen': 61616, 'step': 5400, 'algorithm': 'jarvis_march'}
I0715 23:11:54.949486 130777306789376 run.py:722] (val) algo jarvis_march step 5450: {'in_hull': 0.9706180344478216, 'score': 0.9706180344478216, 'examples_seen': 62178, 'step': 5450, 'algorithm': 'jarvis_march'}
I0715 23:11:55.986930 130777306789376 run.py:722] (val) algo jarvis_march step 5500: {'in_hull': 0.9793702497285559, 'score': 0.9793702497285559, 'examples_seen': 62730, 'step': 5500, 'algorithm': 'jarvis_march'}
I0715 23:11:57.007941 130777306789376 run.py:722] (val) algo jarvis_march step 5550: {'in_hull': 0.9614181438998957, 'score': 0.9614181438998957, 'examples_seen': 63344, 'step': 5550, 'algorithm': 'jarvis_march'}
I0715 23:11:57.996456 130777306789376 run.py:722] (val) algo jarvis_march step 5600: {'in_hull': 0.963402571711177, 'score': 0.963402571711177, 'examples_seen': 63930, 'step': 5600, 'algorithm': 'jarvis_march'}
I0715 23:11:58.981709 130777306789376 run.py:722] (val) algo jarvis_march step 5650: {'in_hull': 0.9763948497854077, 'score': 0.9763948497854077, 'examples_seen': 64484, 'step': 5650, 'algorithm': 'jarvis_march'}
I0715 23:11:59.985231 130777306789376 run.py:722] (val) algo jarvis_march step 5700: {'in_hull': 0.9587628865979381, 'score': 0.9587628865979381, 'examples_seen': 65058, 'step': 5700, 'algorithm': 'jarvis_march'}
I0715 23:12:00.968393 130777306789376 run.py:722] (val) algo jarvis_march step 5750: {'in_hull': 0.9767441860465116, 'score': 0.9767441860465116, 'examples_seen': 65607, 'step': 5750, 'algorithm': 'jarvis_march'}
I0715 23:12:01.973148 130777306789376 run.py:722] (val) algo jarvis_march step 5800: {'in_hull': 0.9504741833508957, 'score': 0.9504741833508957, 'examples_seen': 66177, 'step': 5800, 'algorithm': 'jarvis_march'}
I0715 23:12:02.990147 130777306789376 run.py:722] (val) algo jarvis_march step 5850: {'in_hull': 0.9755058572949946, 'score': 0.9755058572949946, 'examples_seen': 66745, 'step': 5850, 'algorithm': 'jarvis_march'}
I0715 23:12:03.992176 130777306789376 run.py:722] (val) algo jarvis_march step 5900: {'in_hull': 0.9540709812108559, 'score': 0.9540709812108559, 'examples_seen': 67328, 'step': 5900, 'algorithm': 'jarvis_march'}
I0715 23:12:04.971909 130777306789376 run.py:722] (val) algo jarvis_march step 5950: {'in_hull': 0.9659574468085106, 'score': 0.9659574468085106, 'examples_seen': 67904, 'step': 5950, 'algorithm': 'jarvis_march'}
I0715 23:12:05.961322 130777306789376 run.py:722] (val) algo jarvis_march step 6000: {'in_hull': 0.9670987038883351, 'score': 0.9670987038883351, 'examples_seen': 68481, 'step': 6000, 'algorithm': 'jarvis_march'}
I0715 23:12:06.972648 130777306789376 run.py:722] (val) algo jarvis_march step 6050: {'in_hull': 0.9755579171094579, 'score': 0.9755579171094579, 'examples_seen': 69035, 'step': 6050, 'algorithm': 'jarvis_march'}
I0715 23:12:07.987402 130777306789376 run.py:722] (val) algo jarvis_march step 6100: {'in_hull': 0.9562433297758806, 'score': 0.9562433297758806, 'examples_seen': 69607, 'step': 6100, 'algorithm': 'jarvis_march'}
I0715 23:12:08.975439 130777306789376 run.py:722] (val) algo jarvis_march step 6150: {'in_hull': 0.9684684684684685, 'score': 0.9684684684684685, 'examples_seen': 70177, 'step': 6150, 'algorithm': 'jarvis_march'}
I0715 23:12:09.978969 130777306789376 run.py:722] (val) algo jarvis_march step 6200: {'in_hull': 0.9620253164556962, 'score': 0.9620253164556962, 'examples_seen': 70730, 'step': 6200, 'algorithm': 'jarvis_march'}
I0715 23:12:11.003941 130777306789376 run.py:722] (val) algo jarvis_march step 6250: {'in_hull': 0.962080173347779, 'score': 0.962080173347779, 'examples_seen': 71323, 'step': 6250, 'algorithm': 'jarvis_march'}
I0715 23:12:12.013146 130777306789376 run.py:722] (val) algo jarvis_march step 6300: {'in_hull': 0.9796791443850267, 'score': 0.9796791443850267, 'examples_seen': 71904, 'step': 6300, 'algorithm': 'jarvis_march'}
