I0715 23:43:00.056048 135181243684352 run.py:722] (val) algo matrix_chain_order step 0: {'s': 0.16259765625, 'score': 0.16259765625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
I0715 23:46:12.198505 135181243684352 run.py:722] (val) algo matrix_chain_order step 1350: {'s': 0.97808837890625, 'score': 0.97808837890625, 'examples_seen': 111037, 'step': 1350, 'algorithm': 'matrix_chain_order'}
I0715 23:46:15.834330 135181243684352 run.py:722] (val) algo matrix_chain_order step 1400: {'s': 0.97265625, 'score': 0.97265625, 'examples_seen': 115202, 'step': 1400, 'algorithm': 'matrix_chain_order'}
I0715 23:46:19.488739 135181243684352 run.py:722] (val) algo matrix_chain_order step 1450: {'s': 0.95867919921875, 'score': 0.95867919921875, 'examples_seen': 119298, 'step': 1450, 'algorithm': 'matrix_chain_order'}
I0715 23:46:23.100899 135181243684352 run.py:722] (val) algo matrix_chain_order step 1500: {'s': 0.96209716796875, 'score': 0.96209716796875, 'examples_seen': 123384, 'step': 1500, 'algorithm': 'matrix_chain_order'}
I0715 23:46:26.685846 135181243684352 run.py:722] (val) algo matrix_chain_order step 1550: {'s': 0.97509765625, 'score': 0.97509765625, 'examples_seen': 127445, 'step': 1550, 'algorithm': 'matrix_chain_order'}
I0715 23:46:30.668852 135181243684352 run.py:722] (val) algo matrix_chain_order step 1600: {'s': 0.97174072265625, 'score': 0.97174072265625, 'examples_seen': 131495, 'step': 1600, 'algorithm': 'matrix_chain_order'}
I0715 23:46:34.679284 135181243684352 run.py:722] (val) algo matrix_chain_order step 1650: {'s': 0.9744873046875, 'score': 0.9744873046875, 'examples_seen': 135557, 'step': 1650, 'algorithm': 'matrix_chain_order'}
I0715 23:46:38.420000 135181243684352 run.py:722] (val) algo matrix_chain_order step 1700: {'s': 0.9703369140625, 'score': 0.9703369140625, 'examples_seen': 139838, 'step': 1700, 'algorithm': 'matrix_chain_order'}
I0715 23:46:42.104217 135181243684352 run.py:722] (val) algo matrix_chain_order step 1750: {'s': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 143998, 'step': 1750, 'algorithm': 'matrix_chain_order'}
I0715 23:46:45.860251 135181243684352 run.py:722] (val) algo matrix_chain_order step 1800: {'s': 0.9654541015625, 'score': 0.9654541015625, 'examples_seen': 148086, 'step': 1800, 'algorithm': 'matrix_chain_order'}
I0715 23:46:49.671213 135181243684352 run.py:722] (val) algo matrix_chain_order step 1850: {'s': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 152162, 'step': 1850, 'algorithm': 'matrix_chain_order'}
I0715 23:46:53.231415 135181243684352 run.py:722] (val) algo matrix_chain_order step 1900: {'s': 0.96661376953125, 'score': 0.96661376953125, 'examples_seen': 156216, 'step': 1900, 'algorithm': 'matrix_chain_order'}
I0715 23:46:56.931657 135181243684352 run.py:722] (val) algo matrix_chain_order step 1950: {'s': 0.98248291015625, 'score': 0.98248291015625, 'examples_seen': 160267, 'step': 1950, 'algorithm': 'matrix_chain_order'}
I0715 23:47:01.012459 135181243684352 run.py:722] (val) algo matrix_chain_order step 2000: {'s': 0.9715576171875, 'score': 0.9715576171875, 'examples_seen': 164321, 'step': 2000, 'algorithm': 'matrix_chain_order'}
I0715 23:47:04.684403 135181243684352 run.py:722] (val) algo matrix_chain_order step 2050: {'s': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 168599, 'step': 2050, 'algorithm': 'matrix_chain_order'}
I0715 23:47:08.381918 135181243684352 run.py:722] (val) algo matrix_chain_order step 2100: {'s': 0.98406982421875, 'score': 0.98406982421875, 'examples_seen': 172761, 'step': 2100, 'algorithm': 'matrix_chain_order'}
I0715 23:47:12.128303 135181243684352 run.py:722] (val) algo matrix_chain_order step 2150: {'s': 0.9764404296875, 'score': 0.9764404296875, 'examples_seen': 176852, 'step': 2150, 'algorithm': 'matrix_chain_order'}
I0715 23:47:15.623641 135181243684352 run.py:722] (val) algo matrix_chain_order step 2200: {'s': 0.9796142578125, 'score': 0.9796142578125, 'examples_seen': 180922, 'step': 2200, 'algorithm': 'matrix_chain_order'}
I0715 23:47:19.295988 135181243684352 run.py:722] (val) algo matrix_chain_order step 2250: {'s': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 184969, 'step': 2250, 'algorithm': 'matrix_chain_order'}
I0715 23:47:23.044941 135181243684352 run.py:722] (val) algo matrix_chain_order step 2300: {'s': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 189014, 'step': 2300, 'algorithm': 'matrix_chain_order'}
I0715 23:47:26.962500 135181243684352 run.py:722] (val) algo matrix_chain_order step 2350: {'s': 0.98162841796875, 'score': 0.98162841796875, 'examples_seen': 193063, 'step': 2350, 'algorithm': 'matrix_chain_order'}
I0715 23:47:30.827634 135181243684352 run.py:722] (val) algo matrix_chain_order step 2400: {'s': 0.98480224609375, 'score': 0.98480224609375, 'examples_seen': 197342, 'step': 2400, 'algorithm': 'matrix_chain_order'}
I0715 23:47:34.591629 135181243684352 run.py:722] (val) algo matrix_chain_order step 2450: {'s': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 201494, 'step': 2450, 'algorithm': 'matrix_chain_order'}
I0715 23:47:38.285979 135181243684352 run.py:722] (val) algo matrix_chain_order step 2500: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 205591, 'step': 2500, 'algorithm': 'matrix_chain_order'}
I0715 23:47:42.054362 135181243684352 run.py:722] (val) algo matrix_chain_order step 2550: {'s': 0.98529052734375, 'score': 0.98529052734375, 'examples_seen': 209661, 'step': 2550, 'algorithm': 'matrix_chain_order'}
I0715 23:47:45.531292 135181243684352 run.py:722] (val) algo matrix_chain_order step 2600: {'s': 0.9886474609375, 'score': 0.9886474609375, 'examples_seen': 213718, 'step': 2600, 'algorithm': 'matrix_chain_order'}
I0715 23:47:49.272701 135181243684352 run.py:722] (val) algo matrix_chain_order step 2650: {'s': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 217770, 'step': 2650, 'algorithm': 'matrix_chain_order'}
I0715 23:47:53.104952 135181243684352 run.py:722] (val) algo matrix_chain_order step 2700: {'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 221820, 'step': 2700, 'algorithm': 'matrix_chain_order'}
I0715 23:47:57.012736 135181243684352 run.py:722] (val) algo matrix_chain_order step 2750: {'s': 0.98638916015625, 'score': 0.98638916015625, 'examples_seen': 226109, 'step': 2750, 'algorithm': 'matrix_chain_order'}
I0715 23:48:00.693389 135181243684352 run.py:722] (val) algo matrix_chain_order step 2800: {'s': 0.98321533203125, 'score': 0.98321533203125, 'examples_seen': 230260, 'step': 2800, 'algorithm': 'matrix_chain_order'}
I0715 23:48:04.473287 135181243684352 run.py:722] (val) algo matrix_chain_order step 2850: {'s': 0.97735595703125, 'score': 0.97735595703125, 'examples_seen': 234363, 'step': 2850, 'algorithm': 'matrix_chain_order'}
I0715 23:48:08.227363 135181243684352 run.py:722] (val) algo matrix_chain_order step 2900: {'s': 0.97760009765625, 'score': 0.97760009765625, 'examples_seen': 238431, 'step': 2900, 'algorithm': 'matrix_chain_order'}
I0715 23:48:11.930010 135181243684352 run.py:722] (val) algo matrix_chain_order step 2950: {'s': 0.9822998046875, 'score': 0.9822998046875, 'examples_seen': 242484, 'step': 2950, 'algorithm': 'matrix_chain_order'}
I0715 23:48:15.806110 135181243684352 run.py:722] (val) algo matrix_chain_order step 3000: {'s': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 246530, 'step': 3000, 'algorithm': 'matrix_chain_order'}
I0715 23:48:19.663289 135181243684352 run.py:722] (val) algo matrix_chain_order step 3050: {'s': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 250584, 'step': 3050, 'algorithm': 'matrix_chain_order'}
I0715 23:48:23.474619 135181243684352 run.py:722] (val) algo matrix_chain_order step 3100: {'s': 0.99090576171875, 'score': 0.99090576171875, 'examples_seen': 254863, 'step': 3100, 'algorithm': 'matrix_chain_order'}
I0715 23:48:27.204384 135181243684352 run.py:722] (val) algo matrix_chain_order step 3150: {'s': 0.9825439453125, 'score': 0.9825439453125, 'examples_seen': 259020, 'step': 3150, 'algorithm': 'matrix_chain_order'}
I0715 23:48:31.082191 135181243684352 run.py:722] (val) algo matrix_chain_order step 3200: {'s': 0.99078369140625, 'score': 0.99078369140625, 'examples_seen': 263114, 'step': 3200, 'algorithm': 'matrix_chain_order'}
I0715 23:48:34.912889 135181243684352 run.py:722] (val) algo matrix_chain_order step 3250: {'s': 0.9888916015625, 'score': 0.9888916015625, 'examples_seen': 267179, 'step': 3250, 'algorithm': 'matrix_chain_order'}
I0715 23:48:38.586958 135181243684352 run.py:722] (val) algo matrix_chain_order step 3300: {'s': 0.9837646484375, 'score': 0.9837646484375, 'examples_seen': 271231, 'step': 3300, 'algorithm': 'matrix_chain_order'}
I0715 23:48:42.283987 135181243684352 run.py:722] (val) algo matrix_chain_order step 3350: {'s': 0.97930908203125, 'score': 0.97930908203125, 'examples_seen': 275293, 'step': 3350, 'algorithm': 'matrix_chain_order'}
I0715 23:48:46.036936 135181243684352 run.py:722] (val) algo matrix_chain_order step 3400: {'s': 0.99249267578125, 'score': 0.99249267578125, 'examples_seen': 279345, 'step': 3400, 'algorithm': 'matrix_chain_order'}
I0715 23:48:49.881206 135181243684352 run.py:722] (val) algo matrix_chain_order step 3450: {'s': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 283635, 'step': 3450, 'algorithm': 'matrix_chain_order'}
I0715 23:48:53.811244 135181243684352 run.py:722] (val) algo matrix_chain_order step 3500: {'s': 0.98980712890625, 'score': 0.98980712890625, 'examples_seen': 287787, 'step': 3500, 'algorithm': 'matrix_chain_order'}
I0715 23:48:57.449842 135181243684352 run.py:722] (val) algo matrix_chain_order step 3550: {'s': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 291887, 'step': 3550, 'algorithm': 'matrix_chain_order'}
I0715 23:49:01.107570 135181243684352 run.py:722] (val) algo matrix_chain_order step 3600: {'s': 0.99176025390625, 'score': 0.99176025390625, 'examples_seen': 295954, 'step': 3600, 'algorithm': 'matrix_chain_order'}
I0715 23:49:05.013359 135181243684352 run.py:722] (val) algo matrix_chain_order step 3650: {'s': 0.99090576171875, 'score': 0.99090576171875, 'examples_seen': 300004, 'step': 3650, 'algorithm': 'matrix_chain_order'}
I0715 23:49:08.868044 135181243684352 run.py:722] (val) algo matrix_chain_order step 3700: {'s': 0.9864501953125, 'score': 0.9864501953125, 'examples_seen': 304060, 'step': 3700, 'algorithm': 'matrix_chain_order'}
I0715 23:49:12.773237 135181243684352 run.py:722] (val) algo matrix_chain_order step 3750: {'s': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 308118, 'step': 3750, 'algorithm': 'matrix_chain_order'}
I0715 23:49:16.462961 135181243684352 run.py:722] (val) algo matrix_chain_order step 3800: {'s': 0.98944091796875, 'score': 0.98944091796875, 'examples_seen': 312409, 'step': 3800, 'algorithm': 'matrix_chain_order'}
I0715 23:49:20.333053 135181243684352 run.py:722] (val) algo matrix_chain_order step 3850: {'s': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 316570, 'step': 3850, 'algorithm': 'matrix_chain_order'}
I0715 23:49:23.905091 135181243684352 run.py:722] (val) algo matrix_chain_order step 3900: {'s': 0.97796630859375, 'score': 0.97796630859375, 'examples_seen': 320654, 'step': 3900, 'algorithm': 'matrix_chain_order'}
I0715 23:49:27.467485 135181243684352 run.py:722] (val) algo matrix_chain_order step 3950: {'s': 0.97467041015625, 'score': 0.97467041015625, 'examples_seen': 324732, 'step': 3950, 'algorithm': 'matrix_chain_order'}
I0715 23:49:31.457849 135181243684352 run.py:722] (val) algo matrix_chain_order step 4000: {'s': 0.99188232421875, 'score': 0.99188232421875, 'examples_seen': 328777, 'step': 4000, 'algorithm': 'matrix_chain_order'}
I0715 23:49:35.290465 135181243684352 run.py:722] (val) algo matrix_chain_order step 4050: {'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 332848, 'step': 4050, 'algorithm': 'matrix_chain_order'}
I0715 23:49:39.135244 135181243684352 run.py:722] (val) algo matrix_chain_order step 4100: {'s': 0.9842529296875, 'score': 0.9842529296875, 'examples_seen': 336897, 'step': 4100, 'algorithm': 'matrix_chain_order'}
I0715 23:49:43.127955 135181243684352 run.py:722] (val) algo matrix_chain_order step 4150: {'s': 0.97821044921875, 'score': 0.97821044921875, 'examples_seen': 341184, 'step': 4150, 'algorithm': 'matrix_chain_order'}
I0715 23:49:46.666404 135181243684352 run.py:722] (val) algo matrix_chain_order step 4200: {'s': 0.9610595703125, 'score': 0.9610595703125, 'examples_seen': 345331, 'step': 4200, 'algorithm': 'matrix_chain_order'}
I0715 23:49:50.457139 135181243684352 run.py:722] (val) algo matrix_chain_order step 4250: {'s': 0.99066162109375, 'score': 0.99066162109375, 'examples_seen': 349423, 'step': 4250, 'algorithm': 'matrix_chain_order'}
I0715 23:49:53.977761 135181243684352 run.py:722] (val) algo matrix_chain_order step 4300: {'s': 0.99066162109375, 'score': 0.99066162109375, 'examples_seen': 353500, 'step': 4300, 'algorithm': 'matrix_chain_order'}
I0715 23:49:57.663852 135181243684352 run.py:722] (val) algo matrix_chain_order step 4350: {'s': 0.9927978515625, 'score': 0.9927978515625, 'examples_seen': 357558, 'step': 4350, 'algorithm': 'matrix_chain_order'}
I0715 23:50:01.476424 135181243684352 run.py:722] (val) algo matrix_chain_order step 4400: {'s': 0.99383544921875, 'score': 0.99383544921875, 'examples_seen': 361607, 'step': 4400, 'algorithm': 'matrix_chain_order'}
I0715 23:50:05.401775 135181243684352 run.py:722] (val) algo matrix_chain_order step 4450: {'s': 0.99176025390625, 'score': 0.99176025390625, 'examples_seen': 365664, 'step': 4450, 'algorithm': 'matrix_chain_order'}
I0715 23:50:09.177213 135181243684352 run.py:722] (val) algo matrix_chain_order step 4500: {'s': 0.99285888671875, 'score': 0.99285888671875, 'examples_seen': 369938, 'step': 4500, 'algorithm': 'matrix_chain_order'}
I0715 23:50:12.833490 135181243684352 run.py:722] (val) algo matrix_chain_order step 4550: {'s': 0.9881591796875, 'score': 0.9881591796875, 'examples_seen': 374079, 'step': 4550, 'algorithm': 'matrix_chain_order'}
I0715 23:50:16.656684 135181243684352 run.py:722] (val) algo matrix_chain_order step 4600: {'s': 0.99017333984375, 'score': 0.99017333984375, 'examples_seen': 378183, 'step': 4600, 'algorithm': 'matrix_chain_order'}
I0715 23:50:20.288341 135181243684352 run.py:722] (val) algo matrix_chain_order step 4650: {'s': 0.98065185546875, 'score': 0.98065185546875, 'examples_seen': 382243, 'step': 4650, 'algorithm': 'matrix_chain_order'}
I0715 23:50:24.069440 135181243684352 run.py:722] (val) algo matrix_chain_order step 4700: {'s': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 386304, 'step': 4700, 'algorithm': 'matrix_chain_order'}
I0715 23:50:27.900338 135181243684352 run.py:722] (val) algo matrix_chain_order step 4750: {'s': 0.99359130859375, 'score': 0.99359130859375, 'examples_seen': 390351, 'step': 4750, 'algorithm': 'matrix_chain_order'}
I0715 23:50:31.736163 135181243684352 run.py:722] (val) algo matrix_chain_order step 4800: {'s': 0.9771728515625, 'score': 0.9771728515625, 'examples_seen': 394402, 'step': 4800, 'algorithm': 'matrix_chain_order'}
I0715 23:50:35.274656 135181243684352 run.py:722] (val) algo matrix_chain_order step 4850: {'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 398680, 'step': 4850, 'algorithm': 'matrix_chain_order'}
I0715 23:50:38.867814 135181243684352 run.py:722] (val) algo matrix_chain_order step 4900: {'s': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 402829, 'step': 4900, 'algorithm': 'matrix_chain_order'}
I0715 23:50:42.543496 135181243684352 run.py:722] (val) algo matrix_chain_order step 4950: {'s': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 406932, 'step': 4950, 'algorithm': 'matrix_chain_order'}
I0715 23:50:46.193413 135181243684352 run.py:722] (val) algo matrix_chain_order step 5000: {'s': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 411000, 'step': 5000, 'algorithm': 'matrix_chain_order'}
I0715 23:50:49.829757 135181243684352 run.py:722] (val) algo matrix_chain_order step 5050: {'s': 0.99420166015625, 'score': 0.99420166015625, 'examples_seen': 415068, 'step': 5050, 'algorithm': 'matrix_chain_order'}
I0715 23:50:53.699128 135181243684352 run.py:722] (val) algo matrix_chain_order step 5100: {'s': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 419122, 'step': 5100, 'algorithm': 'matrix_chain_order'}
I0715 23:50:57.639830 135181243684352 run.py:722] (val) algo matrix_chain_order step 5150: {'s': 0.99432373046875, 'score': 0.99432373046875, 'examples_seen': 423178, 'step': 5150, 'algorithm': 'matrix_chain_order'}
I0715 23:51:01.396958 135181243684352 run.py:722] (val) algo matrix_chain_order step 5200: {'s': 0.99407958984375, 'score': 0.99407958984375, 'examples_seen': 427458, 'step': 5200, 'algorithm': 'matrix_chain_order'}
I0715 23:51:05.152707 135181243684352 run.py:722] (val) algo matrix_chain_order step 5250: {'s': 0.9908447265625, 'score': 0.9908447265625, 'examples_seen': 431606, 'step': 5250, 'algorithm': 'matrix_chain_order'}
I0715 23:51:08.970806 135181243684352 run.py:722] (val) algo matrix_chain_order step 5300: {'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 435714, 'step': 5300, 'algorithm': 'matrix_chain_order'}
I0715 23:51:12.603005 135181243684352 run.py:722] (val) algo matrix_chain_order step 5350: {'s': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 439802, 'step': 5350, 'algorithm': 'matrix_chain_order'}
I0715 23:51:16.332894 135181243684352 run.py:722] (val) algo matrix_chain_order step 5400: {'s': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 443843, 'step': 5400, 'algorithm': 'matrix_chain_order'}
I0715 23:51:20.248782 135181243684352 run.py:722] (val) algo matrix_chain_order step 5450: {'s': 0.98858642578125, 'score': 0.98858642578125, 'examples_seen': 447900, 'step': 5450, 'algorithm': 'matrix_chain_order'}
I0715 23:51:24.138836 135181243684352 run.py:722] (val) algo matrix_chain_order step 5500: {'s': 0.99444580078125, 'score': 0.99444580078125, 'examples_seen': 451937, 'step': 5500, 'algorithm': 'matrix_chain_order'}
I0715 23:51:27.990783 135181243684352 run.py:722] (val) algo matrix_chain_order step 5550: {'s': 0.99322509765625, 'score': 0.99322509765625, 'examples_seen': 456230, 'step': 5550, 'algorithm': 'matrix_chain_order'}
I0715 23:51:31.569390 135181243684352 run.py:722] (val) algo matrix_chain_order step 5600: {'s': 0.9908447265625, 'score': 0.9908447265625, 'examples_seen': 460382, 'step': 5600, 'algorithm': 'matrix_chain_order'}
I0715 23:51:35.214022 135181243684352 run.py:722] (val) algo matrix_chain_order step 5650: {'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 464465, 'step': 5650, 'algorithm': 'matrix_chain_order'}
I0715 23:51:39.005831 135181243684352 run.py:722] (val) algo matrix_chain_order step 5700: {'s': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 468540, 'step': 5700, 'algorithm': 'matrix_chain_order'}
I0715 23:51:42.800327 135181243684352 run.py:722] (val) algo matrix_chain_order step 5750: {'s': 0.9925537109375, 'score': 0.9925537109375, 'examples_seen': 472598, 'step': 5750, 'algorithm': 'matrix_chain_order'}
I0715 23:51:46.646176 135181243684352 run.py:722] (val) algo matrix_chain_order step 5800: {'s': 0.99261474609375, 'score': 0.99261474609375, 'examples_seen': 476650, 'step': 5800, 'algorithm': 'matrix_chain_order'}
I0715 23:51:50.686991 135181243684352 run.py:722] (val) algo matrix_chain_order step 5850: {'s': 0.98956298828125, 'score': 0.98956298828125, 'examples_seen': 480693, 'step': 5850, 'algorithm': 'matrix_chain_order'}
I0715 23:51:54.490278 135181243684352 run.py:722] (val) algo matrix_chain_order step 5900: {'s': 0.99420166015625, 'score': 0.99420166015625, 'examples_seen': 484978, 'step': 5900, 'algorithm': 'matrix_chain_order'}
I0715 23:51:58.255879 135181243684352 run.py:722] (val) algo matrix_chain_order step 5950: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 489138, 'step': 5950, 'algorithm': 'matrix_chain_order'}
I0715 23:52:01.913068 135181243684352 run.py:722] (val) algo matrix_chain_order step 6000: {'s': 0.95526123046875, 'score': 0.95526123046875, 'examples_seen': 493225, 'step': 6000, 'algorithm': 'matrix_chain_order'}
I0715 23:52:05.639907 135181243684352 run.py:722] (val) algo matrix_chain_order step 6050: {'s': 0.98724365234375, 'score': 0.98724365234375, 'examples_seen': 497301, 'step': 6050, 'algorithm': 'matrix_chain_order'}
I0715 23:52:09.451864 135181243684352 run.py:722] (val) algo matrix_chain_order step 6100: {'s': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 501353, 'step': 6100, 'algorithm': 'matrix_chain_order'}
I0715 23:52:13.146049 135181243684352 run.py:722] (val) algo matrix_chain_order step 6150: {'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 505404, 'step': 6150, 'algorithm': 'matrix_chain_order'}
I0715 23:52:17.177408 135181243684352 run.py:722] (val) algo matrix_chain_order step 6200: {'s': 0.99261474609375, 'score': 0.99261474609375, 'examples_seen': 509447, 'step': 6200, 'algorithm': 'matrix_chain_order'}
I0715 23:52:20.914677 135181243684352 run.py:722] (val) algo matrix_chain_order step 6250: {'s': 0.99261474609375, 'score': 0.99261474609375, 'examples_seen': 513729, 'step': 6250, 'algorithm': 'matrix_chain_order'}
I0715 23:52:24.486652 135181243684352 run.py:722] (val) algo matrix_chain_order step 6300: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 517877, 'step': 6300, 'algorithm': 'matrix_chain_order'}
I0715 23:52:28.214125 135181243684352 run.py:722] (val) algo matrix_chain_order step 6350: {'s': 0.99078369140625, 'score': 0.99078369140625, 'examples_seen': 521980, 'step': 6350, 'algorithm': 'matrix_chain_order'}
