{'in_hull': 0.43545279383429675, 'score': 0.43545279383429675, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
{'in_hull': 0.9221183800623053, 'score': 0.9221183800623053, 'examples_seen': 22357, 'step': 750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9329004329004328, 'score': 0.9329004329004328, 'examples_seen': 23848, 'step': 800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9363920750782065, 'score': 0.9363920750782065, 'examples_seen': 25315, 'step': 850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9411764705882353, 'score': 0.9411764705882353, 'examples_seen': 26795, 'step': 900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9412955465587045, 'score': 0.9412955465587045, 'examples_seen': 28253, 'step': 950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9520697167755992, 'score': 0.9520697167755992, 'examples_seen': 29767, 'step': 1000, 'algorithm': 'graham_scan'}
{'in_hull': 0.928721174004193, 'score': 0.928721174004193, 'examples_seen': 31278, 'step': 1050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9427609427609428, 'score': 0.9427609427609428, 'examples_seen': 32763, 'step': 1100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9556962025316456, 'score': 0.9556962025316456, 'examples_seen': 34257, 'step': 1150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9285714285714285, 'score': 0.9285714285714285, 'examples_seen': 35720, 'step': 1200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9592850049652433, 'score': 0.9592850049652433, 'examples_seen': 37198, 'step': 1250, 'algorithm': 'graham_scan'}
{'in_hull': 0.935323383084577, 'score': 0.935323383084577, 'examples_seen': 38661, 'step': 1300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9446808510638297, 'score': 0.9446808510638297, 'examples_seen': 40169, 'step': 1350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9400000000000001, 'score': 0.9400000000000001, 'examples_seen': 41685, 'step': 1400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9544008483563096, 'score': 0.9544008483563096, 'examples_seen': 43173, 'step': 1450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9543568464730291, 'score': 0.9543568464730291, 'examples_seen': 44660, 'step': 1500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9604989604989604, 'score': 0.9604989604989604, 'examples_seen': 46133, 'step': 1550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9218106995884774, 'score': 0.9218106995884774, 'examples_seen': 47603, 'step': 1600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9429494079655543, 'score': 0.9429494079655543, 'examples_seen': 49068, 'step': 1650, 'algorithm': 'graham_scan'}
{'in_hull': 0.945417095777549, 'score': 0.945417095777549, 'examples_seen': 50579, 'step': 1700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9533898305084745, 'score': 0.9533898305084745, 'examples_seen': 52102, 'step': 1750, 'algorithm': 'graham_scan'}
{'in_hull': 0.956887486855941, 'score': 0.956887486855941, 'examples_seen': 53576, 'step': 1800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9432048681541583, 'score': 0.9432048681541583, 'examples_seen': 55070, 'step': 1850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9218274111675127, 'score': 0.9218274111675127, 'examples_seen': 56541, 'step': 1900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9562563580874872, 'score': 0.9562563580874872, 'examples_seen': 58020, 'step': 1950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9497991967871486, 'score': 0.9497991967871486, 'examples_seen': 59479, 'step': 2000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9402228976697061, 'score': 0.9402228976697061, 'examples_seen': 60998, 'step': 2050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9483471074380165, 'score': 0.9483471074380165, 'examples_seen': 62513, 'step': 2100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9327548806941433, 'score': 0.9327548806941433, 'examples_seen': 63994, 'step': 2150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9390243902439023, 'score': 0.9390243902439023, 'examples_seen': 65487, 'step': 2200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9600886917960089, 'score': 0.9600886917960089, 'examples_seen': 66954, 'step': 2250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9400428265524624, 'score': 0.9400428265524624, 'examples_seen': 68427, 'step': 2300, 'algorithm': 'graham_scan'}
{'in_hull': 0.967741935483871, 'score': 0.967741935483871, 'examples_seen': 69890, 'step': 2350, 'algorithm': 'graham_scan'}
{'in_hull': 0.944386149003148, 'score': 0.944386149003148, 'examples_seen': 71400, 'step': 2400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9500000000000001, 'score': 0.9500000000000001, 'examples_seen': 72919, 'step': 2450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9337410805300713, 'score': 0.9337410805300713, 'examples_seen': 74399, 'step': 2500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9421661409043113, 'score': 0.9421661409043113, 'examples_seen': 75887, 'step': 2550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9570552147239263, 'score': 0.9570552147239263, 'examples_seen': 77360, 'step': 2600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9269311064718163, 'score': 0.9269311064718163, 'examples_seen': 78838, 'step': 2650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9497326203208556, 'score': 0.9497326203208556, 'examples_seen': 80301, 'step': 2700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9354518371400199, 'score': 0.9354518371400199, 'examples_seen': 81809, 'step': 2750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9602510460251046, 'score': 0.9602510460251046, 'examples_seen': 83331, 'step': 2800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9482576557550157, 'score': 0.9482576557550157, 'examples_seen': 84814, 'step': 2850, 'algorithm': 'graham_scan'}
{'in_hull': 0.94375, 'score': 0.94375, 'examples_seen': 86299, 'step': 2900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9704641350210971, 'score': 0.9704641350210971, 'examples_seen': 87770, 'step': 2950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9092896174863387, 'score': 0.9092896174863387, 'examples_seen': 89249, 'step': 3000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9443298969072165, 'score': 0.9443298969072165, 'examples_seen': 90708, 'step': 3050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9398340248962657, 'score': 0.9398340248962657, 'examples_seen': 92221, 'step': 3100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9528907922912205, 'score': 0.9528907922912205, 'examples_seen': 93737, 'step': 3150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9453781512605042, 'score': 0.9453781512605042, 'examples_seen': 95227, 'step': 3200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9699570815450643, 'score': 0.9699570815450643, 'examples_seen': 96716, 'step': 3250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9442691903259726, 'score': 0.9442691903259726, 'examples_seen': 98180, 'step': 3300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9407965554359526, 'score': 0.9407965554359526, 'examples_seen': 99665, 'step': 3350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9648946840521565, 'score': 0.9648946840521565, 'examples_seen': 101116, 'step': 3400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9420142421159714, 'score': 0.9420142421159714, 'examples_seen': 102633, 'step': 3450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9462592202318231, 'score': 0.9462592202318231, 'examples_seen': 104145, 'step': 3500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9537512846865365, 'score': 0.9537512846865365, 'examples_seen': 105640, 'step': 3550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9220272904483431, 'score': 0.9220272904483431, 'examples_seen': 107127, 'step': 3600, 'algorithm': 'graham_scan'}
{'in_hull': 0.948936170212766, 'score': 0.948936170212766, 'examples_seen': 108590, 'step': 3650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9609053497942386, 'score': 0.9609053497942386, 'examples_seen': 110071, 'step': 3700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9427402862985685, 'score': 0.9427402862985685, 'examples_seen': 111534, 'step': 3750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9545934530095037, 'score': 0.9545934530095037, 'examples_seen': 113042, 'step': 3800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9373007438894793, 'score': 0.9373007438894793, 'examples_seen': 114558, 'step': 3850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9578059071729956, 'score': 0.9578059071729956, 'examples_seen': 116042, 'step': 3900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9446254071661236, 'score': 0.9446254071661236, 'examples_seen': 117533, 'step': 3950, 'algorithm': 'graham_scan'}
{'in_hull': 0.948314606741573, 'score': 0.948314606741573, 'examples_seen': 119002, 'step': 4000, 'algorithm': 'graham_scan'}
{'in_hull': 0.928, 'score': 0.928, 'examples_seen': 120480, 'step': 4050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9541088580576308, 'score': 0.9541088580576308, 'examples_seen': 121940, 'step': 4100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9485213581599123, 'score': 0.9485213581599123, 'examples_seen': 123454, 'step': 4150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9431072210065645, 'score': 0.9431072210065645, 'examples_seen': 124969, 'step': 4200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9479166666666669, 'score': 0.9479166666666669, 'examples_seen': 126456, 'step': 4250, 'algorithm': 'graham_scan'}
{'in_hull': 0.947261663286004, 'score': 0.947261663286004, 'examples_seen': 127941, 'step': 4300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9603340292275573, 'score': 0.9603340292275573, 'examples_seen': 129408, 'step': 4350, 'algorithm': 'graham_scan'}
{'in_hull': 0.951859956236324, 'score': 0.951859956236324, 'examples_seen': 130885, 'step': 4400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9416666666666667, 'score': 0.9416666666666667, 'examples_seen': 132344, 'step': 4450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9454926624737945, 'score': 0.9454926624737945, 'examples_seen': 133858, 'step': 4500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9438669438669438, 'score': 0.9438669438669438, 'examples_seen': 135374, 'step': 4550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9437500000000001, 'score': 0.9437500000000001, 'examples_seen': 136862, 'step': 4600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9424538545059717, 'score': 0.9424538545059717, 'examples_seen': 138346, 'step': 4650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9485834207764954, 'score': 0.9485834207764954, 'examples_seen': 139817, 'step': 4700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9527720739219712, 'score': 0.9527720739219712, 'examples_seen': 141290, 'step': 4750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9592476489028213, 'score': 0.9592476489028213, 'examples_seen': 142751, 'step': 4800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9410569105691056, 'score': 0.9410569105691056, 'examples_seen': 144262, 'step': 4850, 'algorithm': 'graham_scan'}
{'in_hull': 0.939453125, 'score': 0.939453125, 'examples_seen': 145778, 'step': 4900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9430051813471503, 'score': 0.9430051813471503, 'examples_seen': 147265, 'step': 4950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9400630914826498, 'score': 0.9400630914826498, 'examples_seen': 148755, 'step': 5000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9508547008547009, 'score': 0.9508547008547009, 'examples_seen': 150216, 'step': 5050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9432773109243696, 'score': 0.9432773109243696, 'examples_seen': 151691, 'step': 5100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9341825902335457, 'score': 0.9341825902335457, 'examples_seen': 153156, 'step': 5150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9463019250253293, 'score': 0.9463019250253293, 'examples_seen': 154664, 'step': 5200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9567099567099568, 'score': 0.9567099567099568, 'examples_seen': 156178, 'step': 5250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9605963791267307, 'score': 0.9605963791267307, 'examples_seen': 157664, 'step': 5300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9369183040330921, 'score': 0.9369183040330921, 'examples_seen': 159154, 'step': 5350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9544973544973545, 'score': 0.9544973544973545, 'examples_seen': 160620, 'step': 5400, 'algorithm': 'graham_scan'}
{'in_hull': 0.949685534591195, 'score': 0.949685534591195, 'examples_seen': 162099, 'step': 5450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9439834024896266, 'score': 0.9439834024896266, 'examples_seen': 163567, 'step': 5500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9485834207764953, 'score': 0.9485834207764953, 'examples_seen': 165071, 'step': 5550, 'algorithm': 'graham_scan'}
{'in_hull': 0.955078125, 'score': 0.955078125, 'examples_seen': 166589, 'step': 5600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9482576557550157, 'score': 0.9482576557550157, 'examples_seen': 168073, 'step': 5650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9660144181256437, 'score': 0.9660144181256437, 'examples_seen': 169562, 'step': 5700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9449636552440291, 'score': 0.9449636552440291, 'examples_seen': 171027, 'step': 5750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9625779625779625, 'score': 0.9625779625779625, 'examples_seen': 172509, 'step': 5800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9330453563714903, 'score': 0.9330453563714903, 'examples_seen': 173971, 'step': 5850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9330587023686921, 'score': 0.9330587023686921, 'examples_seen': 175483, 'step': 5900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9612565445026178, 'score': 0.9612565445026178, 'examples_seen': 177000, 'step': 5950, 'algorithm': 'graham_scan'}
{'in_hull': 0.958876629889669, 'score': 0.958876629889669, 'examples_seen': 178480, 'step': 6000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9270729270729271, 'score': 0.9270729270729271, 'examples_seen': 179971, 'step': 6050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9237113402061856, 'score': 0.9237113402061856, 'examples_seen': 181438, 'step': 6100, 'algorithm': 'graham_scan'}
{'in_hull': 0.953713670613563, 'score': 0.953713670613563, 'examples_seen': 182914, 'step': 6150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9605963791267307, 'score': 0.9605963791267307, 'examples_seen': 184374, 'step': 6200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9587301587301587, 'score': 0.9587301587301587, 'examples_seen': 185889, 'step': 6250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9552549427679501, 'score': 0.9552549427679501, 'examples_seen': 187407, 'step': 6300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9650924024640657, 'score': 0.9650924024640657, 'examples_seen': 188890, 'step': 6350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9470338983050848, 'score': 0.9470338983050848, 'examples_seen': 190380, 'step': 6400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9556025369978858, 'score': 0.9556025369978858, 'examples_seen': 191840, 'step': 6450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9219858156028368, 'score': 0.9219858156028368, 'examples_seen': 193326, 'step': 6500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9581993569131834, 'score': 0.9581993569131834, 'examples_seen': 194791, 'step': 6550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9626639757820384, 'score': 0.9626639757820384, 'examples_seen': 196302, 'step': 6600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9397344228804904, 'score': 0.9397344228804904, 'examples_seen': 197816, 'step': 6650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9516648764769066, 'score': 0.9516648764769066, 'examples_seen': 199307, 'step': 6700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9500531349628055, 'score': 0.9500531349628055, 'examples_seen': 200799, 'step': 6750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9650053022269354, 'score': 0.9650053022269354, 'examples_seen': 202260, 'step': 6800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9282945736434108, 'score': 0.9282945736434108, 'examples_seen': 203736, 'step': 6850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9717868338557993, 'score': 0.9717868338557993, 'examples_seen': 205202, 'step': 6900, 'algorithm': 'graham_scan'}
{'in_hull': 0.958817317845829, 'score': 0.958817317845829, 'examples_seen': 206713, 'step': 6950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9595744680851065, 'score': 0.9595744680851065, 'examples_seen': 208235, 'step': 7000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9640591966173362, 'score': 0.9640591966173362, 'examples_seen': 209716, 'step': 7050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9338929695697796, 'score': 0.9338929695697796, 'examples_seen': 211208, 'step': 7100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9591623036649214, 'score': 0.9591623036649214, 'examples_seen': 212671, 'step': 7150, 'algorithm': 'graham_scan'}
{'in_hull': 0.962486602357985, 'score': 0.962486602357985, 'examples_seen': 214153, 'step': 7200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9519743863393811, 'score': 0.9519743863393811, 'examples_seen': 215613, 'step': 7250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9483282674772036, 'score': 0.9483282674772036, 'examples_seen': 217135, 'step': 7300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9281314168377823, 'score': 0.9281314168377823, 'examples_seen': 218641, 'step': 7350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9281314168377823, 'score': 0.9281314168377823, 'examples_seen': 220131, 'step': 7400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9541666666666667, 'score': 0.9541666666666667, 'examples_seen': 221618, 'step': 7450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9403292181069959, 'score': 0.9403292181069959, 'examples_seen': 223086, 'step': 7500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9491173416407062, 'score': 0.9491173416407062, 'examples_seen': 224571, 'step': 7550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9358178053830226, 'score': 0.9358178053830226, 'examples_seen': 226022, 'step': 7600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9495365602471678, 'score': 0.9495365602471678, 'examples_seen': 227535, 'step': 7650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9197651663405088, 'score': 0.9197651663405088, 'examples_seen': 229053, 'step': 7700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9446185997910136, 'score': 0.9446185997910136, 'examples_seen': 230532, 'step': 7750, 'algorithm': 'graham_scan'}
{'in_hull': 0.946058091286307, 'score': 0.946058091286307, 'examples_seen': 232022, 'step': 7800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9566094853683148, 'score': 0.9566094853683148, 'examples_seen': 233493, 'step': 7850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9405405405405406, 'score': 0.9405405405405406, 'examples_seen': 234967, 'step': 7900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9472595656670114, 'score': 0.9472595656670114, 'examples_seen': 236425, 'step': 7950, 'algorithm': 'graham_scan'}
{'in_hull': 0.961337513061651, 'score': 0.961337513061651, 'examples_seen': 237939, 'step': 8000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9505154639175257, 'score': 0.9505154639175257, 'examples_seen': 239454, 'step': 8050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9110671936758894, 'score': 0.9110671936758894, 'examples_seen': 240942, 'step': 8100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9538461538461539, 'score': 0.9538461538461539, 'examples_seen': 242435, 'step': 8150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9525773195876288, 'score': 0.9525773195876288, 'examples_seen': 243898, 'step': 8200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9589041095890412, 'score': 0.9589041095890412, 'examples_seen': 245380, 'step': 8250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9329388560157792, 'score': 0.9329388560157792, 'examples_seen': 246841, 'step': 8300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9486081370449678, 'score': 0.9486081370449678, 'examples_seen': 248358, 'step': 8350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9290187891440501, 'score': 0.9290187891440501, 'examples_seen': 249875, 'step': 8400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9548254620123203, 'score': 0.9548254620123203, 'examples_seen': 251356, 'step': 8450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9557894736842104, 'score': 0.9557894736842104, 'examples_seen': 252846, 'step': 8500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9406688241639699, 'score': 0.9406688241639699, 'examples_seen': 254316, 'step': 8550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9356388088376562, 'score': 0.9356388088376562, 'examples_seen': 255792, 'step': 8600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9180327868852458, 'score': 0.9180327868852458, 'examples_seen': 257258, 'step': 8650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9352226720647773, 'score': 0.9352226720647773, 'examples_seen': 258772, 'step': 8700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9375639713408394, 'score': 0.9375639713408394, 'examples_seen': 260281, 'step': 8750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9536423841059603, 'score': 0.9536423841059603, 'examples_seen': 261772, 'step': 8800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9317507418397627, 'score': 0.9317507418397627, 'examples_seen': 263270, 'step': 8850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9443254817987152, 'score': 0.9443254817987152, 'examples_seen': 264731, 'step': 8900, 'algorithm': 'graham_scan'}
{'in_hull': 0.92725509214355, 'score': 0.92725509214355, 'examples_seen': 266208, 'step': 8950, 'algorithm': 'graham_scan'}
{'in_hull': 0.9425531914893618, 'score': 0.9425531914893618, 'examples_seen': 267671, 'step': 9000, 'algorithm': 'graham_scan'}
{'in_hull': 0.9512670565302144, 'score': 0.9512670565302144, 'examples_seen': 269189, 'step': 9050, 'algorithm': 'graham_scan'}
{'in_hull': 0.9221311475409837, 'score': 0.9221311475409837, 'examples_seen': 270708, 'step': 9100, 'algorithm': 'graham_scan'}
{'in_hull': 0.9529780564263324, 'score': 0.9529780564263324, 'examples_seen': 272188, 'step': 9150, 'algorithm': 'graham_scan'}
{'in_hull': 0.9398797595190381, 'score': 0.9398797595190381, 'examples_seen': 273677, 'step': 9200, 'algorithm': 'graham_scan'}
{'in_hull': 0.9349593495934959, 'score': 0.9349593495934959, 'examples_seen': 275148, 'step': 9250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9661016949152542, 'score': 0.9661016949152542, 'examples_seen': 276632, 'step': 9300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9484752891692956, 'score': 0.9484752891692956, 'examples_seen': 278086, 'step': 9350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9496402877697842, 'score': 0.9496402877697842, 'examples_seen': 279597, 'step': 9400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9660144181256436, 'score': 0.9660144181256436, 'examples_seen': 281116, 'step': 9450, 'algorithm': 'graham_scan'}
{'in_hull': 0.955440414507772, 'score': 0.955440414507772, 'examples_seen': 282596, 'step': 9500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9501039501039501, 'score': 0.9501039501039501, 'examples_seen': 284090, 'step': 9550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9532908704883227, 'score': 0.9532908704883227, 'examples_seen': 285557, 'step': 9600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9522776572668114, 'score': 0.9522776572668114, 'examples_seen': 287036, 'step': 9650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9319796954314721, 'score': 0.9319796954314721, 'examples_seen': 288496, 'step': 9700, 'algorithm': 'graham_scan'}
{'in_hull': 0.9442148760330578, 'score': 0.9442148760330578, 'examples_seen': 290006, 'step': 9750, 'algorithm': 'graham_scan'}
{'in_hull': 0.9471502590673575, 'score': 0.9471502590673575, 'examples_seen': 291528, 'step': 9800, 'algorithm': 'graham_scan'}
{'in_hull': 0.9578059071729959, 'score': 0.9578059071729959, 'examples_seen': 293008, 'step': 9850, 'algorithm': 'graham_scan'}
{'in_hull': 0.9710144927536232, 'score': 0.9710144927536232, 'examples_seen': 294497, 'step': 9900, 'algorithm': 'graham_scan'}
{'in_hull': 0.9518828451882846, 'score': 0.9518828451882846, 'examples_seen': 295963, 'step': 9950, 'algorithm': 'graham_scan'}
