I0716 10:16:03.122539 138429420811776 run.py:722] (val) algo mst_kruskal step 0: {'in_mst': 0.36396946564885496, 'score': 0.36396946564885496, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
I0716 10:20:10.337248 138429420811776 run.py:722] (val) algo mst_kruskal step 2200: {'in_mst': 0.6903225806451613, 'score': 0.6903225806451613, 'examples_seen': 182316, 'step': 2200, 'algorithm': 'mst_kruskal'}
I0716 10:20:13.484257 138429420811776 run.py:722] (val) algo mst_kruskal step 2250: {'in_mst': 0.5907729179149191, 'score': 0.5907729179149191, 'examples_seen': 186367, 'step': 2250, 'algorithm': 'mst_kruskal'}
I0716 10:20:16.761710 138429420811776 run.py:722] (val) algo mst_kruskal step 2300: {'in_mst': 0.5893416927899686, 'score': 0.5893416927899686, 'examples_seen': 190412, 'step': 2300, 'algorithm': 'mst_kruskal'}
I0716 10:20:20.135929 138429420811776 run.py:722] (val) algo mst_kruskal step 2350: {'in_mst': 0.5615384615384617, 'score': 0.5615384615384617, 'examples_seen': 194466, 'step': 2350, 'algorithm': 'mst_kruskal'}
I0716 10:20:23.590513 138429420811776 run.py:722] (val) algo mst_kruskal step 2400: {'in_mst': 0.6049908703590993, 'score': 0.6049908703590993, 'examples_seen': 198751, 'step': 2400, 'algorithm': 'mst_kruskal'}
I0716 10:20:26.947695 138429420811776 run.py:722] (val) algo mst_kruskal step 2450: {'in_mst': 0.6570605187319885, 'score': 0.6570605187319885, 'examples_seen': 202922, 'step': 2450, 'algorithm': 'mst_kruskal'}
I0716 10:20:30.214235 138429420811776 run.py:722] (val) algo mst_kruskal step 2500: {'in_mst': 0.5736800630417652, 'score': 0.5736800630417652, 'examples_seen': 207050, 'step': 2500, 'algorithm': 'mst_kruskal'}
I0716 10:20:33.491393 138429420811776 run.py:722] (val) algo mst_kruskal step 2550: {'in_mst': 0.6815365551425031, 'score': 0.6815365551425031, 'examples_seen': 211121, 'step': 2550, 'algorithm': 'mst_kruskal'}
I0716 10:20:36.655742 138429420811776 run.py:722] (val) algo mst_kruskal step 2600: {'in_mst': 0.710985384252711, 'score': 0.710985384252711, 'examples_seen': 215141, 'step': 2600, 'algorithm': 'mst_kruskal'}
I0716 10:20:39.782732 138429420811776 run.py:722] (val) algo mst_kruskal step 2650: {'in_mst': 0.6721728081321474, 'score': 0.6721728081321474, 'examples_seen': 219120, 'step': 2650, 'algorithm': 'mst_kruskal'}
I0716 10:20:43.032452 138429420811776 run.py:722] (val) algo mst_kruskal step 2700: {'in_mst': 0.682571239231279, 'score': 0.682571239231279, 'examples_seen': 223194, 'step': 2700, 'algorithm': 'mst_kruskal'}
I0716 10:20:46.298808 138429420811776 run.py:722] (val) algo mst_kruskal step 2750: {'in_mst': 0.586456278763971, 'score': 0.586456278763971, 'examples_seen': 227498, 'step': 2750, 'algorithm': 'mst_kruskal'}
I0716 10:20:49.672199 138429420811776 run.py:722] (val) algo mst_kruskal step 2800: {'in_mst': 0.6586695747001091, 'score': 0.6586695747001091, 'examples_seen': 231716, 'step': 2800, 'algorithm': 'mst_kruskal'}
I0716 10:20:52.921389 138429420811776 run.py:722] (val) algo mst_kruskal step 2850: {'in_mst': 0.7345814977973567, 'score': 0.7345814977973567, 'examples_seen': 235735, 'step': 2850, 'algorithm': 'mst_kruskal'}
I0716 10:20:56.299780 138429420811776 run.py:722] (val) algo mst_kruskal step 2900: {'in_mst': 0.6682634730538922, 'score': 0.6682634730538922, 'examples_seen': 239883, 'step': 2900, 'algorithm': 'mst_kruskal'}
I0716 10:20:59.641397 138429420811776 run.py:722] (val) algo mst_kruskal step 2950: {'in_mst': 0.7120954003407154, 'score': 0.7120954003407154, 'examples_seen': 244016, 'step': 2950, 'algorithm': 'mst_kruskal'}
I0716 10:21:03.038558 138429420811776 run.py:722] (val) algo mst_kruskal step 3000: {'in_mst': 0.7070600632244468, 'score': 0.7070600632244468, 'examples_seen': 248024, 'step': 3000, 'algorithm': 'mst_kruskal'}
I0716 10:21:06.494215 138429420811776 run.py:722] (val) algo mst_kruskal step 3050: {'in_mst': 0.6360998258850841, 'score': 0.6360998258850841, 'examples_seen': 252129, 'step': 3050, 'algorithm': 'mst_kruskal'}
I0716 10:21:09.763444 138429420811776 run.py:722] (val) algo mst_kruskal step 3100: {'in_mst': 0.5634861006761834, 'score': 0.5634861006761834, 'examples_seen': 256390, 'step': 3100, 'algorithm': 'mst_kruskal'}
I0716 10:21:13.109832 138429420811776 run.py:722] (val) algo mst_kruskal step 3150: {'in_mst': 0.7788710512687727, 'score': 0.7788710512687727, 'examples_seen': 260590, 'step': 3150, 'algorithm': 'mst_kruskal'}
I0716 10:21:16.752330 138429420811776 run.py:722] (val) algo mst_kruskal step 3200: {'in_mst': 0.6842105263157895, 'score': 0.6842105263157895, 'examples_seen': 264819, 'step': 3200, 'algorithm': 'mst_kruskal'}
I0716 10:21:20.173243 138429420811776 run.py:722] (val) algo mst_kruskal step 3250: {'in_mst': 0.7173601147776183, 'score': 0.7173601147776183, 'examples_seen': 268973, 'step': 3250, 'algorithm': 'mst_kruskal'}
I0716 10:21:23.545949 138429420811776 run.py:722] (val) algo mst_kruskal step 3300: {'in_mst': 0.7401574803149605, 'score': 0.7401574803149605, 'examples_seen': 272965, 'step': 3300, 'algorithm': 'mst_kruskal'}
I0716 10:21:26.669584 138429420811776 run.py:722] (val) algo mst_kruskal step 3350: {'in_mst': 0.7180124223602484, 'score': 0.7180124223602484, 'examples_seen': 276955, 'step': 3350, 'algorithm': 'mst_kruskal'}
I0716 10:21:29.936251 138429420811776 run.py:722] (val) algo mst_kruskal step 3400: {'in_mst': 0.640990371389271, 'score': 0.640990371389271, 'examples_seen': 280943, 'step': 3400, 'algorithm': 'mst_kruskal'}
I0716 10:21:33.267049 138429420811776 run.py:722] (val) algo mst_kruskal step 3450: {'in_mst': 0.6547960941987364, 'score': 0.6547960941987364, 'examples_seen': 285132, 'step': 3450, 'algorithm': 'mst_kruskal'}
I0716 10:21:36.713719 138429420811776 run.py:722] (val) algo mst_kruskal step 3500: {'in_mst': 0.7077694235588973, 'score': 0.7077694235588973, 'examples_seen': 289302, 'step': 3500, 'algorithm': 'mst_kruskal'}
I0716 10:21:40.140606 138429420811776 run.py:722] (val) algo mst_kruskal step 3550: {'in_mst': 0.6610831937465104, 'score': 0.6610831937465104, 'examples_seen': 293568, 'step': 3550, 'algorithm': 'mst_kruskal'}
I0716 10:21:43.601125 138429420811776 run.py:722] (val) algo mst_kruskal step 3600: {'in_mst': 0.7698833510074231, 'score': 0.7698833510074231, 'examples_seen': 297736, 'step': 3600, 'algorithm': 'mst_kruskal'}
I0716 10:21:46.844134 138429420811776 run.py:722] (val) algo mst_kruskal step 3650: {'in_mst': 0.6965357967667437, 'score': 0.6965357967667437, 'examples_seen': 301785, 'step': 3650, 'algorithm': 'mst_kruskal'}
I0716 10:21:50.118896 138429420811776 run.py:722] (val) algo mst_kruskal step 3700: {'in_mst': 0.6926952141057935, 'score': 0.6926952141057935, 'examples_seen': 305887, 'step': 3700, 'algorithm': 'mst_kruskal'}
I0716 10:21:53.423571 138429420811776 run.py:722] (val) algo mst_kruskal step 3750: {'in_mst': 0.7038413878562579, 'score': 0.7038413878562579, 'examples_seen': 309936, 'step': 3750, 'algorithm': 'mst_kruskal'}
I0716 10:21:56.750890 138429420811776 run.py:722] (val) algo mst_kruskal step 3800: {'in_mst': 0.726161369193154, 'score': 0.726161369193154, 'examples_seen': 314216, 'step': 3800, 'algorithm': 'mst_kruskal'}
I0716 10:22:00.066682 138429420811776 run.py:722] (val) algo mst_kruskal step 3850: {'in_mst': 0.7671627460393664, 'score': 0.7671627460393664, 'examples_seen': 318430, 'step': 3850, 'algorithm': 'mst_kruskal'}
I0716 10:22:03.316330 138429420811776 run.py:722] (val) algo mst_kruskal step 3900: {'in_mst': 0.6522972206466251, 'score': 0.6522972206466251, 'examples_seen': 322513, 'step': 3900, 'algorithm': 'mst_kruskal'}
I0716 10:22:06.584026 138429420811776 run.py:722] (val) algo mst_kruskal step 3950: {'in_mst': 0.7712264150943396, 'score': 0.7712264150943396, 'examples_seen': 326603, 'step': 3950, 'algorithm': 'mst_kruskal'}
I0716 10:22:09.822301 138429420811776 run.py:722] (val) algo mst_kruskal step 4000: {'in_mst': 0.7515833919774807, 'score': 0.7515833919774807, 'examples_seen': 330716, 'step': 4000, 'algorithm': 'mst_kruskal'}
I0716 10:22:13.019161 138429420811776 run.py:722] (val) algo mst_kruskal step 4050: {'in_mst': 0.7433124644280024, 'score': 0.7433124644280024, 'examples_seen': 334684, 'step': 4050, 'algorithm': 'mst_kruskal'}
I0716 10:22:16.191269 138429420811776 run.py:722] (val) algo mst_kruskal step 4100: {'in_mst': 0.6028202115158636, 'score': 0.6028202115158636, 'examples_seen': 338743, 'step': 4100, 'algorithm': 'mst_kruskal'}
I0716 10:22:19.518654 138429420811776 run.py:722] (val) algo mst_kruskal step 4150: {'in_mst': 0.7289156626506024, 'score': 0.7289156626506024, 'examples_seen': 343016, 'step': 4150, 'algorithm': 'mst_kruskal'}
I0716 10:22:23.018903 138429420811776 run.py:722] (val) algo mst_kruskal step 4200: {'in_mst': 0.757883484767504, 'score': 0.757883484767504, 'examples_seen': 347254, 'step': 4200, 'algorithm': 'mst_kruskal'}
I0716 10:22:26.496955 138429420811776 run.py:722] (val) algo mst_kruskal step 4250: {'in_mst': 0.7559256886611146, 'score': 0.7559256886611146, 'examples_seen': 351401, 'step': 4250, 'algorithm': 'mst_kruskal'}
I0716 10:22:29.801970 138429420811776 run.py:722] (val) algo mst_kruskal step 4300: {'in_mst': 0.7644628099173554, 'score': 0.7644628099173554, 'examples_seen': 355505, 'step': 4300, 'algorithm': 'mst_kruskal'}
I0716 10:22:33.040727 138429420811776 run.py:722] (val) algo mst_kruskal step 4350: {'in_mst': 0.7875125881168177, 'score': 0.7875125881168177, 'examples_seen': 359596, 'step': 4350, 'algorithm': 'mst_kruskal'}
I0716 10:22:36.501826 138429420811776 run.py:722] (val) algo mst_kruskal step 4400: {'in_mst': 0.7428571428571429, 'score': 0.7428571428571429, 'examples_seen': 363677, 'step': 4400, 'algorithm': 'mst_kruskal'}
I0716 10:22:39.915931 138429420811776 run.py:722] (val) algo mst_kruskal step 4450: {'in_mst': 0.838974358974359, 'score': 0.838974358974359, 'examples_seen': 367777, 'step': 4450, 'algorithm': 'mst_kruskal'}
I0716 10:22:43.330602 138429420811776 run.py:722] (val) algo mst_kruskal step 4500: {'in_mst': 0.7590792838874679, 'score': 0.7590792838874679, 'examples_seen': 372068, 'step': 4500, 'algorithm': 'mst_kruskal'}
I0716 10:22:46.677778 138429420811776 run.py:722] (val) algo mst_kruskal step 4550: {'in_mst': 0.7706885660138977, 'score': 0.7706885660138977, 'examples_seen': 376301, 'step': 4550, 'algorithm': 'mst_kruskal'}
I0716 10:22:50.047197 138429420811776 run.py:722] (val) algo mst_kruskal step 4600: {'in_mst': 0.7810917276308383, 'score': 0.7810917276308383, 'examples_seen': 380462, 'step': 4600, 'algorithm': 'mst_kruskal'}
I0716 10:22:53.410918 138429420811776 run.py:722] (val) algo mst_kruskal step 4650: {'in_mst': 0.6636103151862465, 'score': 0.6636103151862465, 'examples_seen': 384591, 'step': 4650, 'algorithm': 'mst_kruskal'}
I0716 10:22:56.579419 138429420811776 run.py:722] (val) algo mst_kruskal step 4700: {'in_mst': 0.6787383177570093, 'score': 0.6787383177570093, 'examples_seen': 388658, 'step': 4700, 'algorithm': 'mst_kruskal'}
I0716 10:22:59.796903 138429420811776 run.py:722] (val) algo mst_kruskal step 4750: {'in_mst': 0.6458893068242879, 'score': 0.6458893068242879, 'examples_seen': 392694, 'step': 4750, 'algorithm': 'mst_kruskal'}
I0716 10:23:03.363202 138429420811776 run.py:722] (val) algo mst_kruskal step 4800: {'in_mst': 0.6312576312576312, 'score': 0.6312576312576312, 'examples_seen': 396779, 'step': 4800, 'algorithm': 'mst_kruskal'}
I0716 10:23:06.835399 138429420811776 run.py:722] (val) algo mst_kruskal step 4850: {'in_mst': 0.7606635071090047, 'score': 0.7606635071090047, 'examples_seen': 401094, 'step': 4850, 'algorithm': 'mst_kruskal'}
I0716 10:23:10.022371 138429420811776 run.py:722] (val) algo mst_kruskal step 4900: {'in_mst': 0.6973180076628352, 'score': 0.6973180076628352, 'examples_seen': 405307, 'step': 4900, 'algorithm': 'mst_kruskal'}
I0716 10:23:13.296843 138429420811776 run.py:722] (val) algo mst_kruskal step 4950: {'in_mst': 0.8323699421965318, 'score': 0.8323699421965318, 'examples_seen': 409441, 'step': 4950, 'algorithm': 'mst_kruskal'}
I0716 10:23:16.548614 138429420811776 run.py:722] (val) algo mst_kruskal step 5000: {'in_mst': 0.7623363544813695, 'score': 0.7623363544813695, 'examples_seen': 413530, 'step': 5000, 'algorithm': 'mst_kruskal'}
I0716 10:23:19.810865 138429420811776 run.py:722] (val) algo mst_kruskal step 5050: {'in_mst': 0.7379310344827587, 'score': 0.7379310344827587, 'examples_seen': 417587, 'step': 5050, 'algorithm': 'mst_kruskal'}
I0716 10:23:23.232823 138429420811776 run.py:722] (val) algo mst_kruskal step 5100: {'in_mst': 0.7014276846679081, 'score': 0.7014276846679081, 'examples_seen': 421709, 'step': 5100, 'algorithm': 'mst_kruskal'}
I0716 10:23:26.573693 138429420811776 run.py:722] (val) algo mst_kruskal step 5150: {'in_mst': 0.8089579524680073, 'score': 0.8089579524680073, 'examples_seen': 425755, 'step': 5150, 'algorithm': 'mst_kruskal'}
I0716 10:23:30.048716 138429420811776 run.py:722] (val) algo mst_kruskal step 5200: {'in_mst': 0.7165644171779141, 'score': 0.7165644171779141, 'examples_seen': 430070, 'step': 5200, 'algorithm': 'mst_kruskal'}
I0716 10:23:33.329502 138429420811776 run.py:722] (val) algo mst_kruskal step 5250: {'in_mst': 0.7795603089720738, 'score': 0.7795603089720738, 'examples_seen': 434316, 'step': 5250, 'algorithm': 'mst_kruskal'}
I0716 10:23:36.857700 138429420811776 run.py:722] (val) algo mst_kruskal step 5300: {'in_mst': 0.7769703745108999, 'score': 0.7769703745108999, 'examples_seen': 438498, 'step': 5300, 'algorithm': 'mst_kruskal'}
I0716 10:23:39.995532 138429420811776 run.py:722] (val) algo mst_kruskal step 5350: {'in_mst': 0.8174273858921162, 'score': 0.8174273858921162, 'examples_seen': 442498, 'step': 5350, 'algorithm': 'mst_kruskal'}
I0716 10:23:43.333039 138429420811776 run.py:722] (val) algo mst_kruskal step 5400: {'in_mst': 0.7538707955152162, 'score': 0.7538707955152162, 'examples_seen': 446583, 'step': 5400, 'algorithm': 'mst_kruskal'}
I0716 10:23:46.714024 138429420811776 run.py:722] (val) algo mst_kruskal step 5450: {'in_mst': 0.7445983379501384, 'score': 0.7445983379501384, 'examples_seen': 450633, 'step': 5450, 'algorithm': 'mst_kruskal'}
I0716 10:23:49.991575 138429420811776 run.py:722] (val) algo mst_kruskal step 5500: {'in_mst': 0.8189415041782729, 'score': 0.8189415041782729, 'examples_seen': 454692, 'step': 5500, 'algorithm': 'mst_kruskal'}
I0716 10:23:53.406073 138429420811776 run.py:722] (val) algo mst_kruskal step 5550: {'in_mst': 0.8120104438642298, 'score': 0.8120104438642298, 'examples_seen': 458917, 'step': 5550, 'algorithm': 'mst_kruskal'}
I0716 10:23:56.911953 138429420811776 run.py:722] (val) algo mst_kruskal step 5600: {'in_mst': 0.7799304520615997, 'score': 0.7799304520615997, 'examples_seen': 463110, 'step': 5600, 'algorithm': 'mst_kruskal'}
I0716 10:24:00.174294 138429420811776 run.py:722] (val) algo mst_kruskal step 5650: {'in_mst': 0.7295029051000647, 'score': 0.7295029051000647, 'examples_seen': 467240, 'step': 5650, 'algorithm': 'mst_kruskal'}
I0716 10:24:03.460201 138429420811776 run.py:722] (val) algo mst_kruskal step 5700: {'in_mst': 0.7707707707707708, 'score': 0.7707707707707708, 'examples_seen': 471347, 'step': 5700, 'algorithm': 'mst_kruskal'}
I0716 10:24:06.893691 138429420811776 run.py:722] (val) algo mst_kruskal step 5750: {'in_mst': 0.7764942240080361, 'score': 0.7764942240080361, 'examples_seen': 475483, 'step': 5750, 'algorithm': 'mst_kruskal'}
I0716 10:24:10.191126 138429420811776 run.py:722] (val) algo mst_kruskal step 5800: {'in_mst': 0.8343010272443054, 'score': 0.8343010272443054, 'examples_seen': 479534, 'step': 5800, 'algorithm': 'mst_kruskal'}
I0716 10:24:13.544584 138429420811776 run.py:722] (val) algo mst_kruskal step 5850: {'in_mst': 0.7434119278779473, 'score': 0.7434119278779473, 'examples_seen': 483610, 'step': 5850, 'algorithm': 'mst_kruskal'}
I0716 10:24:16.756715 138429420811776 run.py:722] (val) algo mst_kruskal step 5900: {'in_mst': 0.7803860198226394, 'score': 0.7803860198226394, 'examples_seen': 487844, 'step': 5900, 'algorithm': 'mst_kruskal'}
I0716 10:24:20.085965 138429420811776 run.py:722] (val) algo mst_kruskal step 5950: {'in_mst': 0.8026474127557159, 'score': 0.8026474127557159, 'examples_seen': 492003, 'step': 5950, 'algorithm': 'mst_kruskal'}
I0716 10:24:23.464283 138429420811776 run.py:722] (val) algo mst_kruskal step 6000: {'in_mst': 0.7879377431906616, 'score': 0.7879377431906616, 'examples_seen': 496195, 'step': 6000, 'algorithm': 'mst_kruskal'}
I0716 10:24:26.802005 138429420811776 run.py:722] (val) algo mst_kruskal step 6050: {'in_mst': 0.8282828282828284, 'score': 0.8282828282828284, 'examples_seen': 500275, 'step': 6050, 'algorithm': 'mst_kruskal'}
I0716 10:24:30.551844 138429420811776 run.py:722] (val) algo mst_kruskal step 6100: {'in_mst': 0.7401469605878422, 'score': 0.7401469605878422, 'examples_seen': 504380, 'step': 6100, 'algorithm': 'mst_kruskal'}
I0716 10:24:33.902573 138429420811776 run.py:722] (val) algo mst_kruskal step 6150: {'in_mst': 0.7960146827477714, 'score': 0.7960146827477714, 'examples_seen': 508506, 'step': 6150, 'algorithm': 'mst_kruskal'}
