{'pred': 0.08203125, 'score': 0.08203125, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'}
{'pred': 0.5869140625, 'score': 0.5869140625, 'examples_seen': 93671, 'step': 2700, 'algorithm': 'quicksort'}
{'pred': 0.525390625, 'score': 0.525390625, 'examples_seen': 95504, 'step': 2750, 'algorithm': 'quicksort'}
{'pred': 0.5126953125, 'score': 0.5126953125, 'examples_seen': 97264, 'step': 2800, 'algorithm': 'quicksort'}
{'pred': 0.5234375, 'score': 0.5234375, 'examples_seen': 98999, 'step': 2850, 'algorithm': 'quicksort'}
{'pred': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 100705, 'step': 2900, 'algorithm': 'quicksort'}
{'pred': 0.501953125, 'score': 0.501953125, 'examples_seen': 102408, 'step': 2950, 'algorithm': 'quicksort'}
{'pred': 0.59765625, 'score': 0.59765625, 'examples_seen': 104116, 'step': 3000, 'algorithm': 'quicksort'}
{'pred': 0.548828125, 'score': 0.548828125, 'examples_seen': 105816, 'step': 3050, 'algorithm': 'quicksort'}
{'pred': 0.6240234375, 'score': 0.6240234375, 'examples_seen': 107659, 'step': 3100, 'algorithm': 'quicksort'}
{'pred': 0.611328125, 'score': 0.611328125, 'examples_seen': 109424, 'step': 3150, 'algorithm': 'quicksort'}
{'pred': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 111152, 'step': 3200, 'algorithm': 'quicksort'}
{'pred': 0.580078125, 'score': 0.580078125, 'examples_seen': 112866, 'step': 3250, 'algorithm': 'quicksort'}
{'pred': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 114577, 'step': 3300, 'algorithm': 'quicksort'}
{'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 116277, 'step': 3350, 'algorithm': 'quicksort'}
{'pred': 0.578125, 'score': 0.578125, 'examples_seen': 118002, 'step': 3400, 'algorithm': 'quicksort'}
{'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 119823, 'step': 3450, 'algorithm': 'quicksort'}
{'pred': 0.517578125, 'score': 0.517578125, 'examples_seen': 121585, 'step': 3500, 'algorithm': 'quicksort'}
{'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 123312, 'step': 3550, 'algorithm': 'quicksort'}
{'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 125017, 'step': 3600, 'algorithm': 'quicksort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 126734, 'step': 3650, 'algorithm': 'quicksort'}
{'pred': 0.6064453125, 'score': 0.6064453125, 'examples_seen': 128438, 'step': 3700, 'algorithm': 'quicksort'}
{'pred': 0.6259765625, 'score': 0.6259765625, 'examples_seen': 130142, 'step': 3750, 'algorithm': 'quicksort'}
{'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 131959, 'step': 3800, 'algorithm': 'quicksort'}
{'pred': 0.576171875, 'score': 0.576171875, 'examples_seen': 133705, 'step': 3850, 'algorithm': 'quicksort'}
{'pred': 0.611328125, 'score': 0.611328125, 'examples_seen': 135435, 'step': 3900, 'algorithm': 'quicksort'}
{'pred': 0.595703125, 'score': 0.595703125, 'examples_seen': 137144, 'step': 3950, 'algorithm': 'quicksort'}
{'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 138862, 'step': 4000, 'algorithm': 'quicksort'}
{'pred': 0.634765625, 'score': 0.634765625, 'examples_seen': 140556, 'step': 4050, 'algorithm': 'quicksort'}
{'pred': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 142268, 'step': 4100, 'algorithm': 'quicksort'}
{'pred': 0.6484375, 'score': 0.6484375, 'examples_seen': 144091, 'step': 4150, 'algorithm': 'quicksort'}
{'pred': 0.5927734375, 'score': 0.5927734375, 'examples_seen': 145862, 'step': 4200, 'algorithm': 'quicksort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 147587, 'step': 4250, 'algorithm': 'quicksort'}
{'pred': 0.6181640625, 'score': 0.6181640625, 'examples_seen': 149316, 'step': 4300, 'algorithm': 'quicksort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 151017, 'step': 4350, 'algorithm': 'quicksort'}
{'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 152731, 'step': 4400, 'algorithm': 'quicksort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 154438, 'step': 4450, 'algorithm': 'quicksort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 156275, 'step': 4500, 'algorithm': 'quicksort'}
{'pred': 0.66015625, 'score': 0.66015625, 'examples_seen': 158029, 'step': 4550, 'algorithm': 'quicksort'}
{'pred': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 159744, 'step': 4600, 'algorithm': 'quicksort'}
{'pred': 0.6884765625, 'score': 0.6884765625, 'examples_seen': 161468, 'step': 4650, 'algorithm': 'quicksort'}
{'pred': 0.654296875, 'score': 0.654296875, 'examples_seen': 163175, 'step': 4700, 'algorithm': 'quicksort'}
{'pred': 0.6943359375, 'score': 0.6943359375, 'examples_seen': 164879, 'step': 4750, 'algorithm': 'quicksort'}
{'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 166576, 'step': 4800, 'algorithm': 'quicksort'}
{'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 168407, 'step': 4850, 'algorithm': 'quicksort'}
{'pred': 0.6787109375, 'score': 0.6787109375, 'examples_seen': 170160, 'step': 4900, 'algorithm': 'quicksort'}
{'pred': 0.673828125, 'score': 0.673828125, 'examples_seen': 171890, 'step': 4950, 'algorithm': 'quicksort'}
{'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 173599, 'step': 5000, 'algorithm': 'quicksort'}
{'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 175313, 'step': 5050, 'algorithm': 'quicksort'}
{'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 177022, 'step': 5100, 'algorithm': 'quicksort'}
{'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 178730, 'step': 5150, 'algorithm': 'quicksort'}
{'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 180548, 'step': 5200, 'algorithm': 'quicksort'}
{'pred': 0.689453125, 'score': 0.689453125, 'examples_seen': 182320, 'step': 5250, 'algorithm': 'quicksort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 184039, 'step': 5300, 'algorithm': 'quicksort'}
{'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 185749, 'step': 5350, 'algorithm': 'quicksort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 187469, 'step': 5400, 'algorithm': 'quicksort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 189173, 'step': 5450, 'algorithm': 'quicksort'}
{'pred': 0.712890625, 'score': 0.712890625, 'examples_seen': 190881, 'step': 5500, 'algorithm': 'quicksort'}
{'pred': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 192725, 'step': 5550, 'algorithm': 'quicksort'}
{'pred': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 194484, 'step': 5600, 'algorithm': 'quicksort'}
{'pred': 0.71875, 'score': 0.71875, 'examples_seen': 196211, 'step': 5650, 'algorithm': 'quicksort'}
{'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 197927, 'step': 5700, 'algorithm': 'quicksort'}
{'pred': 0.685546875, 'score': 0.685546875, 'examples_seen': 199642, 'step': 5750, 'algorithm': 'quicksort'}
{'pred': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 201346, 'step': 5800, 'algorithm': 'quicksort'}
{'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 203048, 'step': 5850, 'algorithm': 'quicksort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 204883, 'step': 5900, 'algorithm': 'quicksort'}
{'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 206643, 'step': 5950, 'algorithm': 'quicksort'}
{'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 208390, 'step': 6000, 'algorithm': 'quicksort'}
{'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 210109, 'step': 6050, 'algorithm': 'quicksort'}
{'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 211813, 'step': 6100, 'algorithm': 'quicksort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 213516, 'step': 6150, 'algorithm': 'quicksort'}
{'pred': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 215210, 'step': 6200, 'algorithm': 'quicksort'}
{'pred': 0.76953125, 'score': 0.76953125, 'examples_seen': 217031, 'step': 6250, 'algorithm': 'quicksort'}
{'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 218793, 'step': 6300, 'algorithm': 'quicksort'}
{'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 220515, 'step': 6350, 'algorithm': 'quicksort'}
{'pred': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 222232, 'step': 6400, 'algorithm': 'quicksort'}
{'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 223938, 'step': 6450, 'algorithm': 'quicksort'}
{'pred': 0.740234375, 'score': 0.740234375, 'examples_seen': 225652, 'step': 6500, 'algorithm': 'quicksort'}
{'pred': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 227364, 'step': 6550, 'algorithm': 'quicksort'}
{'pred': 0.7529296875, 'score': 0.7529296875, 'examples_seen': 229186, 'step': 6600, 'algorithm': 'quicksort'}
{'pred': 0.75, 'score': 0.75, 'examples_seen': 230947, 'step': 6650, 'algorithm': 'quicksort'}
{'pred': 0.7626953125, 'score': 0.7626953125, 'examples_seen': 232676, 'step': 6700, 'algorithm': 'quicksort'}
{'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 234395, 'step': 6750, 'algorithm': 'quicksort'}
{'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 236102, 'step': 6800, 'algorithm': 'quicksort'}
{'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 237800, 'step': 6850, 'algorithm': 'quicksort'}
{'pred': 0.7529296875, 'score': 0.7529296875, 'examples_seen': 239507, 'step': 6900, 'algorithm': 'quicksort'}
{'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 241329, 'step': 6950, 'algorithm': 'quicksort'}
{'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 243088, 'step': 7000, 'algorithm': 'quicksort'}
{'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 244819, 'step': 7050, 'algorithm': 'quicksort'}
{'pred': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 246526, 'step': 7100, 'algorithm': 'quicksort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 248238, 'step': 7150, 'algorithm': 'quicksort'}
{'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 249948, 'step': 7200, 'algorithm': 'quicksort'}
{'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 251655, 'step': 7250, 'algorithm': 'quicksort'}
{'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 253484, 'step': 7300, 'algorithm': 'quicksort'}
{'pred': 0.6943359375, 'score': 0.6943359375, 'examples_seen': 255246, 'step': 7350, 'algorithm': 'quicksort'}
{'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 256973, 'step': 7400, 'algorithm': 'quicksort'}
{'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 258682, 'step': 7450, 'algorithm': 'quicksort'}
{'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 260394, 'step': 7500, 'algorithm': 'quicksort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 262097, 'step': 7550, 'algorithm': 'quicksort'}
{'pred': 0.810546875, 'score': 0.810546875, 'examples_seen': 263800, 'step': 7600, 'algorithm': 'quicksort'}
{'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 265628, 'step': 7650, 'algorithm': 'quicksort'}
{'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 267397, 'step': 7700, 'algorithm': 'quicksort'}
{'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 269118, 'step': 7750, 'algorithm': 'quicksort'}
{'pred': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 270847, 'step': 7800, 'algorithm': 'quicksort'}
{'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 272555, 'step': 7850, 'algorithm': 'quicksort'}
{'pred': 0.75, 'score': 0.75, 'examples_seen': 274264, 'step': 7900, 'algorithm': 'quicksort'}
{'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 275983, 'step': 7950, 'algorithm': 'quicksort'}
{'pred': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 277816, 'step': 8000, 'algorithm': 'quicksort'}
{'pred': 0.76953125, 'score': 0.76953125, 'examples_seen': 279569, 'step': 8050, 'algorithm': 'quicksort'}
{'pred': 0.810546875, 'score': 0.810546875, 'examples_seen': 281300, 'step': 8100, 'algorithm': 'quicksort'}
{'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 283022, 'step': 8150, 'algorithm': 'quicksort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 284735, 'step': 8200, 'algorithm': 'quicksort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 286446, 'step': 8250, 'algorithm': 'quicksort'}
{'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 288158, 'step': 8300, 'algorithm': 'quicksort'}
{'pred': 0.740234375, 'score': 0.740234375, 'examples_seen': 289996, 'step': 8350, 'algorithm': 'quicksort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 291753, 'step': 8400, 'algorithm': 'quicksort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 293473, 'step': 8450, 'algorithm': 'quicksort'}
{'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 295184, 'step': 8500, 'algorithm': 'quicksort'}
{'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 296902, 'step': 8550, 'algorithm': 'quicksort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 298609, 'step': 8600, 'algorithm': 'quicksort'}
{'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 300315, 'step': 8650, 'algorithm': 'quicksort'}
{'pred': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 302146, 'step': 8700, 'algorithm': 'quicksort'}
{'pred': 0.673828125, 'score': 0.673828125, 'examples_seen': 303912, 'step': 8750, 'algorithm': 'quicksort'}
{'pred': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 305633, 'step': 8800, 'algorithm': 'quicksort'}
{'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 307359, 'step': 8850, 'algorithm': 'quicksort'}
{'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 309070, 'step': 8900, 'algorithm': 'quicksort'}
{'pred': 0.7265625, 'score': 0.7265625, 'examples_seen': 310770, 'step': 8950, 'algorithm': 'quicksort'}
{'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 312478, 'step': 9000, 'algorithm': 'quicksort'}
{'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 314309, 'step': 9050, 'algorithm': 'quicksort'}
{'pred': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 316062, 'step': 9100, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 317790, 'step': 9150, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 319504, 'step': 9200, 'algorithm': 'quicksort'}
{'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 321211, 'step': 9250, 'algorithm': 'quicksort'}
{'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 322938, 'step': 9300, 'algorithm': 'quicksort'}
{'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 324628, 'step': 9350, 'algorithm': 'quicksort'}
{'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 326471, 'step': 9400, 'algorithm': 'quicksort'}
{'pred': 0.81640625, 'score': 0.81640625, 'examples_seen': 328228, 'step': 9450, 'algorithm': 'quicksort'}
{'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 329947, 'step': 9500, 'algorithm': 'quicksort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 331665, 'step': 9550, 'algorithm': 'quicksort'}
{'pred': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 333360, 'step': 9600, 'algorithm': 'quicksort'}
{'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 335069, 'step': 9650, 'algorithm': 'quicksort'}
{'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 336779, 'step': 9700, 'algorithm': 'quicksort'}
{'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 338600, 'step': 9750, 'algorithm': 'quicksort'}
{'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 340344, 'step': 9800, 'algorithm': 'quicksort'}
{'pred': 0.80859375, 'score': 0.80859375, 'examples_seen': 342067, 'step': 9850, 'algorithm': 'quicksort'}
{'pred': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 343779, 'step': 9900, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 345478, 'step': 9950, 'algorithm': 'quicksort'}
