{'s': 0.283447265625, 'score': 0.283447265625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
{'s': 0.96917724609375, 'score': 0.96917724609375, 'examples_seen': 123384, 'step': 1500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98187255859375, 'score': 0.98187255859375, 'examples_seen': 127445, 'step': 1550, 'algorithm': 'matrix_chain_order'}
{'s': 0.9764404296875, 'score': 0.9764404296875, 'examples_seen': 131495, 'step': 1600, 'algorithm': 'matrix_chain_order'}
{'s': 0.98028564453125, 'score': 0.98028564453125, 'examples_seen': 135557, 'step': 1650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 139838, 'step': 1700, 'algorithm': 'matrix_chain_order'}
{'s': 0.982421875, 'score': 0.982421875, 'examples_seen': 143998, 'step': 1750, 'algorithm': 'matrix_chain_order'}
{'s': 0.97186279296875, 'score': 0.97186279296875, 'examples_seen': 148086, 'step': 1800, 'algorithm': 'matrix_chain_order'}
{'s': 0.96343994140625, 'score': 0.96343994140625, 'examples_seen': 152162, 'step': 1850, 'algorithm': 'matrix_chain_order'}
{'s': 0.97515869140625, 'score': 0.97515869140625, 'examples_seen': 156216, 'step': 1900, 'algorithm': 'matrix_chain_order'}
{'s': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 160267, 'step': 1950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9881591796875, 'score': 0.9881591796875, 'examples_seen': 164321, 'step': 2000, 'algorithm': 'matrix_chain_order'}
{'s': 0.98272705078125, 'score': 0.98272705078125, 'examples_seen': 168599, 'step': 2050, 'algorithm': 'matrix_chain_order'}
{'s': 0.98284912109375, 'score': 0.98284912109375, 'examples_seen': 172761, 'step': 2100, 'algorithm': 'matrix_chain_order'}
{'s': 0.98089599609375, 'score': 0.98089599609375, 'examples_seen': 176852, 'step': 2150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9864501953125, 'score': 0.9864501953125, 'examples_seen': 180922, 'step': 2200, 'algorithm': 'matrix_chain_order'}
{'s': 0.98828125, 'score': 0.98828125, 'examples_seen': 184969, 'step': 2250, 'algorithm': 'matrix_chain_order'}
{'s': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 189014, 'step': 2300, 'algorithm': 'matrix_chain_order'}
{'s': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 193063, 'step': 2350, 'algorithm': 'matrix_chain_order'}
{'s': 0.98614501953125, 'score': 0.98614501953125, 'examples_seen': 197342, 'step': 2400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9840087890625, 'score': 0.9840087890625, 'examples_seen': 201494, 'step': 2450, 'algorithm': 'matrix_chain_order'}
{'s': 0.98516845703125, 'score': 0.98516845703125, 'examples_seen': 205591, 'step': 2500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9818115234375, 'score': 0.9818115234375, 'examples_seen': 209661, 'step': 2550, 'algorithm': 'matrix_chain_order'}
{'s': 0.97711181640625, 'score': 0.97711181640625, 'examples_seen': 213718, 'step': 2600, 'algorithm': 'matrix_chain_order'}
{'s': 0.98828125, 'score': 0.98828125, 'examples_seen': 217770, 'step': 2650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9869384765625, 'score': 0.9869384765625, 'examples_seen': 221820, 'step': 2700, 'algorithm': 'matrix_chain_order'}
{'s': 0.98785400390625, 'score': 0.98785400390625, 'examples_seen': 226109, 'step': 2750, 'algorithm': 'matrix_chain_order'}
{'s': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 230260, 'step': 2800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9813232421875, 'score': 0.9813232421875, 'examples_seen': 234363, 'step': 2850, 'algorithm': 'matrix_chain_order'}
{'s': 0.98712158203125, 'score': 0.98712158203125, 'examples_seen': 238431, 'step': 2900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9849853515625, 'score': 0.9849853515625, 'examples_seen': 242484, 'step': 2950, 'algorithm': 'matrix_chain_order'}
{'s': 0.98797607421875, 'score': 0.98797607421875, 'examples_seen': 246530, 'step': 3000, 'algorithm': 'matrix_chain_order'}
{'s': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 250584, 'step': 3050, 'algorithm': 'matrix_chain_order'}
{'s': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 254863, 'step': 3100, 'algorithm': 'matrix_chain_order'}
{'s': 0.98236083984375, 'score': 0.98236083984375, 'examples_seen': 259020, 'step': 3150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99066162109375, 'score': 0.99066162109375, 'examples_seen': 263114, 'step': 3200, 'algorithm': 'matrix_chain_order'}
{'s': 0.9844970703125, 'score': 0.9844970703125, 'examples_seen': 267179, 'step': 3250, 'algorithm': 'matrix_chain_order'}
{'s': 0.97784423828125, 'score': 0.97784423828125, 'examples_seen': 271231, 'step': 3300, 'algorithm': 'matrix_chain_order'}
{'s': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 275293, 'step': 3350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9906005859375, 'score': 0.9906005859375, 'examples_seen': 279345, 'step': 3400, 'algorithm': 'matrix_chain_order'}
{'s': 0.99053955078125, 'score': 0.99053955078125, 'examples_seen': 283635, 'step': 3450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9866943359375, 'score': 0.9866943359375, 'examples_seen': 287787, 'step': 3500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 291887, 'step': 3550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 295954, 'step': 3600, 'algorithm': 'matrix_chain_order'}
{'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 300004, 'step': 3650, 'algorithm': 'matrix_chain_order'}
{'s': 0.98602294921875, 'score': 0.98602294921875, 'examples_seen': 304060, 'step': 3700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9849853515625, 'score': 0.9849853515625, 'examples_seen': 308118, 'step': 3750, 'algorithm': 'matrix_chain_order'}
{'s': 0.98419189453125, 'score': 0.98419189453125, 'examples_seen': 312409, 'step': 3800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 316570, 'step': 3850, 'algorithm': 'matrix_chain_order'}
{'s': 0.98712158203125, 'score': 0.98712158203125, 'examples_seen': 320654, 'step': 3900, 'algorithm': 'matrix_chain_order'}
{'s': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 324732, 'step': 3950, 'algorithm': 'matrix_chain_order'}
{'s': 0.99090576171875, 'score': 0.99090576171875, 'examples_seen': 328777, 'step': 4000, 'algorithm': 'matrix_chain_order'}
{'s': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 332848, 'step': 4050, 'algorithm': 'matrix_chain_order'}
{'s': 0.98504638671875, 'score': 0.98504638671875, 'examples_seen': 336897, 'step': 4100, 'algorithm': 'matrix_chain_order'}
{'s': 0.98309326171875, 'score': 0.98309326171875, 'examples_seen': 341184, 'step': 4150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 345331, 'step': 4200, 'algorithm': 'matrix_chain_order'}
{'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 349423, 'step': 4250, 'algorithm': 'matrix_chain_order'}
{'s': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 353500, 'step': 4300, 'algorithm': 'matrix_chain_order'}
{'s': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 357558, 'step': 4350, 'algorithm': 'matrix_chain_order'}
{'s': 0.99163818359375, 'score': 0.99163818359375, 'examples_seen': 361607, 'step': 4400, 'algorithm': 'matrix_chain_order'}
{'s': 0.98992919921875, 'score': 0.98992919921875, 'examples_seen': 365664, 'step': 4450, 'algorithm': 'matrix_chain_order'}
{'s': 0.99005126953125, 'score': 0.99005126953125, 'examples_seen': 369938, 'step': 4500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9888916015625, 'score': 0.9888916015625, 'examples_seen': 374079, 'step': 4550, 'algorithm': 'matrix_chain_order'}
{'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 378183, 'step': 4600, 'algorithm': 'matrix_chain_order'}
{'s': 0.986328125, 'score': 0.986328125, 'examples_seen': 382243, 'step': 4650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9930419921875, 'score': 0.9930419921875, 'examples_seen': 386304, 'step': 4700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99505615234375, 'score': 0.99505615234375, 'examples_seen': 390351, 'step': 4750, 'algorithm': 'matrix_chain_order'}
{'s': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 394402, 'step': 4800, 'algorithm': 'matrix_chain_order'}
{'s': 0.98919677734375, 'score': 0.98919677734375, 'examples_seen': 398680, 'step': 4850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 402829, 'step': 4900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 406932, 'step': 4950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 411000, 'step': 5000, 'algorithm': 'matrix_chain_order'}
{'s': 0.99371337890625, 'score': 0.99371337890625, 'examples_seen': 415068, 'step': 5050, 'algorithm': 'matrix_chain_order'}
{'s': 0.98980712890625, 'score': 0.98980712890625, 'examples_seen': 419122, 'step': 5100, 'algorithm': 'matrix_chain_order'}
{'s': 0.99273681640625, 'score': 0.99273681640625, 'examples_seen': 423178, 'step': 5150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99359130859375, 'score': 0.99359130859375, 'examples_seen': 427458, 'step': 5200, 'algorithm': 'matrix_chain_order'}
{'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 431606, 'step': 5250, 'algorithm': 'matrix_chain_order'}
{'s': 0.99188232421875, 'score': 0.99188232421875, 'examples_seen': 435714, 'step': 5300, 'algorithm': 'matrix_chain_order'}
{'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 439802, 'step': 5350, 'algorithm': 'matrix_chain_order'}
{'s': 0.98773193359375, 'score': 0.98773193359375, 'examples_seen': 443843, 'step': 5400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9906005859375, 'score': 0.9906005859375, 'examples_seen': 447900, 'step': 5450, 'algorithm': 'matrix_chain_order'}
{'s': 0.99273681640625, 'score': 0.99273681640625, 'examples_seen': 451937, 'step': 5500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9925537109375, 'score': 0.9925537109375, 'examples_seen': 456230, 'step': 5550, 'algorithm': 'matrix_chain_order'}
{'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 460382, 'step': 5600, 'algorithm': 'matrix_chain_order'}
{'s': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 464465, 'step': 5650, 'algorithm': 'matrix_chain_order'}
{'s': 0.98114013671875, 'score': 0.98114013671875, 'examples_seen': 468540, 'step': 5700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9822998046875, 'score': 0.9822998046875, 'examples_seen': 472598, 'step': 5750, 'algorithm': 'matrix_chain_order'}
{'s': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 476650, 'step': 5800, 'algorithm': 'matrix_chain_order'}
{'s': 0.99017333984375, 'score': 0.99017333984375, 'examples_seen': 480693, 'step': 5850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 484978, 'step': 5900, 'algorithm': 'matrix_chain_order'}
{'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 489138, 'step': 5950, 'algorithm': 'matrix_chain_order'}
{'s': 0.98822021484375, 'score': 0.98822021484375, 'examples_seen': 493225, 'step': 6000, 'algorithm': 'matrix_chain_order'}
{'s': 0.9925537109375, 'score': 0.9925537109375, 'examples_seen': 497301, 'step': 6050, 'algorithm': 'matrix_chain_order'}
{'s': 0.99163818359375, 'score': 0.99163818359375, 'examples_seen': 501353, 'step': 6100, 'algorithm': 'matrix_chain_order'}
{'s': 0.99072265625, 'score': 0.99072265625, 'examples_seen': 505404, 'step': 6150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 509447, 'step': 6200, 'algorithm': 'matrix_chain_order'}
{'s': 0.9857177734375, 'score': 0.9857177734375, 'examples_seen': 513729, 'step': 6250, 'algorithm': 'matrix_chain_order'}
{'s': 0.98992919921875, 'score': 0.98992919921875, 'examples_seen': 517877, 'step': 6300, 'algorithm': 'matrix_chain_order'}
{'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 521980, 'step': 6350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9888916015625, 'score': 0.9888916015625, 'examples_seen': 526058, 'step': 6400, 'algorithm': 'matrix_chain_order'}
{'s': 0.98931884765625, 'score': 0.98931884765625, 'examples_seen': 530112, 'step': 6450, 'algorithm': 'matrix_chain_order'}
{'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 534174, 'step': 6500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98687744140625, 'score': 0.98687744140625, 'examples_seen': 538226, 'step': 6550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99249267578125, 'score': 0.99249267578125, 'examples_seen': 542517, 'step': 6600, 'algorithm': 'matrix_chain_order'}
{'s': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 546671, 'step': 6650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9935302734375, 'score': 0.9935302734375, 'examples_seen': 550759, 'step': 6700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99090576171875, 'score': 0.99090576171875, 'examples_seen': 554853, 'step': 6750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 558906, 'step': 6800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 562957, 'step': 6850, 'algorithm': 'matrix_chain_order'}
{'s': 0.98919677734375, 'score': 0.98919677734375, 'examples_seen': 567008, 'step': 6900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 571289, 'step': 6950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9930419921875, 'score': 0.9930419921875, 'examples_seen': 575448, 'step': 7000, 'algorithm': 'matrix_chain_order'}
{'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 579539, 'step': 7050, 'algorithm': 'matrix_chain_order'}
{'s': 0.993896484375, 'score': 0.993896484375, 'examples_seen': 583617, 'step': 7100, 'algorithm': 'matrix_chain_order'}
{'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 587678, 'step': 7150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99200439453125, 'score': 0.99200439453125, 'examples_seen': 591723, 'step': 7200, 'algorithm': 'matrix_chain_order'}
{'s': 0.98211669921875, 'score': 0.98211669921875, 'examples_seen': 595781, 'step': 7250, 'algorithm': 'matrix_chain_order'}
{'s': 0.9945068359375, 'score': 0.9945068359375, 'examples_seen': 600059, 'step': 7300, 'algorithm': 'matrix_chain_order'}
{'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 604225, 'step': 7350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9901123046875, 'score': 0.9901123046875, 'examples_seen': 608318, 'step': 7400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9913330078125, 'score': 0.9913330078125, 'examples_seen': 612400, 'step': 7450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 616466, 'step': 7500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98699951171875, 'score': 0.98699951171875, 'examples_seen': 620522, 'step': 7550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99334716796875, 'score': 0.99334716796875, 'examples_seen': 624568, 'step': 7600, 'algorithm': 'matrix_chain_order'}
{'s': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 628853, 'step': 7650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9879150390625, 'score': 0.9879150390625, 'examples_seen': 633018, 'step': 7700, 'algorithm': 'matrix_chain_order'}
{'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 637118, 'step': 7750, 'algorithm': 'matrix_chain_order'}
{'s': 0.98583984375, 'score': 0.98583984375, 'examples_seen': 641183, 'step': 7800, 'algorithm': 'matrix_chain_order'}
{'s': 0.98895263671875, 'score': 0.98895263671875, 'examples_seen': 645252, 'step': 7850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99468994140625, 'score': 0.99468994140625, 'examples_seen': 649298, 'step': 7900, 'algorithm': 'matrix_chain_order'}
{'s': 0.99249267578125, 'score': 0.99249267578125, 'examples_seen': 653333, 'step': 7950, 'algorithm': 'matrix_chain_order'}
{'s': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 657628, 'step': 8000, 'algorithm': 'matrix_chain_order'}
{'s': 0.98712158203125, 'score': 0.98712158203125, 'examples_seen': 661777, 'step': 8050, 'algorithm': 'matrix_chain_order'}
{'s': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 665870, 'step': 8100, 'algorithm': 'matrix_chain_order'}
{'s': 0.986328125, 'score': 0.986328125, 'examples_seen': 669942, 'step': 8150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9918212890625, 'score': 0.9918212890625, 'examples_seen': 673997, 'step': 8200, 'algorithm': 'matrix_chain_order'}
{'s': 0.9832763671875, 'score': 0.9832763671875, 'examples_seen': 678045, 'step': 8250, 'algorithm': 'matrix_chain_order'}
{'s': 0.9891357421875, 'score': 0.9891357421875, 'examples_seen': 682090, 'step': 8300, 'algorithm': 'matrix_chain_order'}
{'s': 0.9954833984375, 'score': 0.9954833984375, 'examples_seen': 686373, 'step': 8350, 'algorithm': 'matrix_chain_order'}
{'s': 0.99176025390625, 'score': 0.99176025390625, 'examples_seen': 690526, 'step': 8400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9866943359375, 'score': 0.9866943359375, 'examples_seen': 694616, 'step': 8450, 'algorithm': 'matrix_chain_order'}
{'s': 0.99365234375, 'score': 0.99365234375, 'examples_seen': 698698, 'step': 8500, 'algorithm': 'matrix_chain_order'}
{'s': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 702745, 'step': 8550, 'algorithm': 'matrix_chain_order'}
{'s': 0.98919677734375, 'score': 0.98919677734375, 'examples_seen': 706807, 'step': 8600, 'algorithm': 'matrix_chain_order'}
{'s': 0.99237060546875, 'score': 0.99237060546875, 'examples_seen': 710854, 'step': 8650, 'algorithm': 'matrix_chain_order'}
{'s': 0.99188232421875, 'score': 0.99188232421875, 'examples_seen': 715146, 'step': 8700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9942626953125, 'score': 0.9942626953125, 'examples_seen': 719294, 'step': 8750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 723399, 'step': 8800, 'algorithm': 'matrix_chain_order'}
{'s': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 727465, 'step': 8850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99371337890625, 'score': 0.99371337890625, 'examples_seen': 731519, 'step': 8900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9940185546875, 'score': 0.9940185546875, 'examples_seen': 735576, 'step': 8950, 'algorithm': 'matrix_chain_order'}
{'s': 0.99273681640625, 'score': 0.99273681640625, 'examples_seen': 739617, 'step': 9000, 'algorithm': 'matrix_chain_order'}
{'s': 0.99395751953125, 'score': 0.99395751953125, 'examples_seen': 743910, 'step': 9050, 'algorithm': 'matrix_chain_order'}
{'s': 0.9957275390625, 'score': 0.9957275390625, 'examples_seen': 748062, 'step': 9100, 'algorithm': 'matrix_chain_order'}
{'s': 0.99212646484375, 'score': 0.99212646484375, 'examples_seen': 752168, 'step': 9150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9945068359375, 'score': 0.9945068359375, 'examples_seen': 756246, 'step': 9200, 'algorithm': 'matrix_chain_order'}
{'s': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 760304, 'step': 9250, 'algorithm': 'matrix_chain_order'}
{'s': 0.99334716796875, 'score': 0.99334716796875, 'examples_seen': 764357, 'step': 9300, 'algorithm': 'matrix_chain_order'}
{'s': 0.99407958984375, 'score': 0.99407958984375, 'examples_seen': 768397, 'step': 9350, 'algorithm': 'matrix_chain_order'}
{'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 772678, 'step': 9400, 'algorithm': 'matrix_chain_order'}
{'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 776835, 'step': 9450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9942626953125, 'score': 0.9942626953125, 'examples_seen': 780931, 'step': 9500, 'algorithm': 'matrix_chain_order'}
{'s': 0.99371337890625, 'score': 0.99371337890625, 'examples_seen': 785000, 'step': 9550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99456787109375, 'score': 0.99456787109375, 'examples_seen': 789059, 'step': 9600, 'algorithm': 'matrix_chain_order'}
{'s': 0.992431640625, 'score': 0.992431640625, 'examples_seen': 793114, 'step': 9650, 'algorithm': 'matrix_chain_order'}
{'s': 0.98638916015625, 'score': 0.98638916015625, 'examples_seen': 797161, 'step': 9700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 801440, 'step': 9750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99517822265625, 'score': 0.99517822265625, 'examples_seen': 805599, 'step': 9800, 'algorithm': 'matrix_chain_order'}
{'s': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 809693, 'step': 9850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99285888671875, 'score': 0.99285888671875, 'examples_seen': 813773, 'step': 9900, 'algorithm': 'matrix_chain_order'}
{'s': 0.98419189453125, 'score': 0.98419189453125, 'examples_seen': 817821, 'step': 9950, 'algorithm': 'matrix_chain_order'}
