I0716 08:05:20.132418 140312253715968 run.py:722] (val) algo dijkstra step 0: {'pi': 0.4375, 'score': 0.4375, 'examples_seen': 84, 'step': 0, 'algorithm': 'dijkstra'}
I0716 08:07:22.866160 140312253715968 run.py:722] (val) algo dijkstra step 650: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 36817, 'step': 650, 'algorithm': 'dijkstra'}
I0716 08:07:24.739986 140312253715968 run.py:722] (val) algo dijkstra step 700: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 39664, 'step': 700, 'algorithm': 'dijkstra'}
I0716 08:07:26.623190 140312253715968 run.py:722] (val) algo dijkstra step 750: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 42478, 'step': 750, 'algorithm': 'dijkstra'}
I0716 08:07:28.523689 140312253715968 run.py:722] (val) algo dijkstra step 800: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 45235, 'step': 800, 'algorithm': 'dijkstra'}
I0716 08:07:30.378772 140312253715968 run.py:722] (val) algo dijkstra step 850: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 48042, 'step': 850, 'algorithm': 'dijkstra'}
I0716 08:07:32.274355 140312253715968 run.py:722] (val) algo dijkstra step 900: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 50811, 'step': 900, 'algorithm': 'dijkstra'}
I0716 08:07:34.187847 140312253715968 run.py:722] (val) algo dijkstra step 950: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 53579, 'step': 950, 'algorithm': 'dijkstra'}
I0716 08:07:36.029569 140312253715968 run.py:722] (val) algo dijkstra step 1000: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 56461, 'step': 1000, 'algorithm': 'dijkstra'}
I0716 08:07:37.906155 140312253715968 run.py:722] (val) algo dijkstra step 1050: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 59277, 'step': 1050, 'algorithm': 'dijkstra'}
I0716 08:07:39.790341 140312253715968 run.py:722] (val) algo dijkstra step 1100: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 62110, 'step': 1100, 'algorithm': 'dijkstra'}
I0716 08:07:41.622710 140312253715968 run.py:722] (val) algo dijkstra step 1150: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 64932, 'step': 1150, 'algorithm': 'dijkstra'}
I0716 08:07:43.488921 140312253715968 run.py:722] (val) algo dijkstra step 1200: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 67725, 'step': 1200, 'algorithm': 'dijkstra'}
I0716 08:07:45.381375 140312253715968 run.py:722] (val) algo dijkstra step 1250: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 70522, 'step': 1250, 'algorithm': 'dijkstra'}
I0716 08:07:47.321167 140312253715968 run.py:722] (val) algo dijkstra step 1300: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 73301, 'step': 1300, 'algorithm': 'dijkstra'}
I0716 08:07:49.262592 140312253715968 run.py:722] (val) algo dijkstra step 1350: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 76206, 'step': 1350, 'algorithm': 'dijkstra'}
I0716 08:07:51.144504 140312253715968 run.py:722] (val) algo dijkstra step 1400: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 79065, 'step': 1400, 'algorithm': 'dijkstra'}
I0716 08:07:53.026398 140312253715968 run.py:722] (val) algo dijkstra step 1450: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 81899, 'step': 1450, 'algorithm': 'dijkstra'}
I0716 08:07:54.857182 140312253715968 run.py:722] (val) algo dijkstra step 1500: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 84668, 'step': 1500, 'algorithm': 'dijkstra'}
I0716 08:07:56.707792 140312253715968 run.py:722] (val) algo dijkstra step 1550: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 87452, 'step': 1550, 'algorithm': 'dijkstra'}
I0716 08:07:58.599532 140312253715968 run.py:722] (val) algo dijkstra step 1600: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'dijkstra'}
I0716 08:08:00.526786 140312253715968 run.py:722] (val) algo dijkstra step 1650: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'dijkstra'}
I0716 08:08:02.392132 140312253715968 run.py:722] (val) algo dijkstra step 1700: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'dijkstra'}
I0716 08:08:04.246294 140312253715968 run.py:722] (val) algo dijkstra step 1750: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'dijkstra'}
I0716 08:08:06.085638 140312253715968 run.py:722] (val) algo dijkstra step 1800: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'dijkstra'}
I0716 08:08:07.963607 140312253715968 run.py:722] (val) algo dijkstra step 1850: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'dijkstra'}
I0716 08:08:09.792923 140312253715968 run.py:722] (val) algo dijkstra step 1900: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'dijkstra'}
I0716 08:08:11.670026 140312253715968 run.py:722] (val) algo dijkstra step 1950: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'dijkstra'}
I0716 08:08:13.601299 140312253715968 run.py:722] (val) algo dijkstra step 2000: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'dijkstra'}
I0716 08:08:15.459784 140312253715968 run.py:722] (val) algo dijkstra step 2050: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'dijkstra'}
I0716 08:08:17.268696 140312253715968 run.py:722] (val) algo dijkstra step 2100: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'dijkstra'}
I0716 08:08:19.123859 140312253715968 run.py:722] (val) algo dijkstra step 2150: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'dijkstra'}
I0716 08:08:20.964507 140312253715968 run.py:722] (val) algo dijkstra step 2200: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'dijkstra'}
I0716 08:08:22.865962 140312253715968 run.py:722] (val) algo dijkstra step 2250: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'dijkstra'}
I0716 08:08:24.721137 140312253715968 run.py:722] (val) algo dijkstra step 2300: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'dijkstra'}
I0716 08:08:26.597066 140312253715968 run.py:722] (val) algo dijkstra step 2350: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'dijkstra'}
I0716 08:08:28.466902 140312253715968 run.py:722] (val) algo dijkstra step 2400: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'dijkstra'}
I0716 08:08:30.319750 140312253715968 run.py:722] (val) algo dijkstra step 2450: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'dijkstra'}
I0716 08:08:32.273525 140312253715968 run.py:722] (val) algo dijkstra step 2500: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'dijkstra'}
I0716 08:08:34.060281 140312253715968 run.py:722] (val) algo dijkstra step 2550: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'dijkstra'}
I0716 08:08:35.898685 140312253715968 run.py:722] (val) algo dijkstra step 2600: {'pi': 0.88671875, 'score': 0.88671875, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'dijkstra'}
I0716 08:08:37.692692 140312253715968 run.py:722] (val) algo dijkstra step 2650: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'dijkstra'}
I0716 08:08:39.578196 140312253715968 run.py:722] (val) algo dijkstra step 2700: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'dijkstra'}
I0716 08:08:41.492359 140312253715968 run.py:722] (val) algo dijkstra step 2750: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'dijkstra'}
I0716 08:08:43.351839 140312253715968 run.py:722] (val) algo dijkstra step 2800: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'dijkstra'}
I0716 08:08:45.236272 140312253715968 run.py:722] (val) algo dijkstra step 2850: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'dijkstra'}
I0716 08:08:47.088581 140312253715968 run.py:722] (val) algo dijkstra step 2900: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'dijkstra'}
I0716 08:08:48.967460 140312253715968 run.py:722] (val) algo dijkstra step 2950: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'dijkstra'}
I0716 08:08:50.858225 140312253715968 run.py:722] (val) algo dijkstra step 3000: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'dijkstra'}
I0716 08:08:52.807329 140312253715968 run.py:722] (val) algo dijkstra step 3050: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'dijkstra'}
I0716 08:08:54.732765 140312253715968 run.py:722] (val) algo dijkstra step 3100: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'dijkstra'}
I0716 08:08:56.608614 140312253715968 run.py:722] (val) algo dijkstra step 3150: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'dijkstra'}
I0716 08:08:58.473994 140312253715968 run.py:722] (val) algo dijkstra step 3200: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'dijkstra'}
I0716 08:09:00.327189 140312253715968 run.py:722] (val) algo dijkstra step 3250: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'dijkstra'}
I0716 08:09:02.216686 140312253715968 run.py:722] (val) algo dijkstra step 3300: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'dijkstra'}
I0716 08:09:04.078753 140312253715968 run.py:722] (val) algo dijkstra step 3350: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'dijkstra'}
I0716 08:09:05.912517 140312253715968 run.py:722] (val) algo dijkstra step 3400: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'dijkstra'}
I0716 08:09:07.849246 140312253715968 run.py:722] (val) algo dijkstra step 3450: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'dijkstra'}
I0716 08:09:09.715242 140312253715968 run.py:722] (val) algo dijkstra step 3500: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'dijkstra'}
I0716 08:09:11.560705 140312253715968 run.py:722] (val) algo dijkstra step 3550: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'dijkstra'}
I0716 08:09:13.455572 140312253715968 run.py:722] (val) algo dijkstra step 3600: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'dijkstra'}
I0716 08:09:15.331527 140312253715968 run.py:722] (val) algo dijkstra step 3650: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'dijkstra'}
I0716 08:09:17.146839 140312253715968 run.py:722] (val) algo dijkstra step 3700: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'dijkstra'}
I0716 08:09:18.999621 140312253715968 run.py:722] (val) algo dijkstra step 3750: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'dijkstra'}
I0716 08:09:20.911341 140312253715968 run.py:722] (val) algo dijkstra step 3800: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'dijkstra'}
I0716 08:09:22.793112 140312253715968 run.py:722] (val) algo dijkstra step 3850: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'dijkstra'}
I0716 08:09:24.658738 140312253715968 run.py:722] (val) algo dijkstra step 3900: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'dijkstra'}
I0716 08:09:26.492588 140312253715968 run.py:722] (val) algo dijkstra step 3950: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'dijkstra'}
I0716 08:09:28.328989 140312253715968 run.py:722] (val) algo dijkstra step 4000: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'dijkstra'}
I0716 08:09:30.127080 140312253715968 run.py:722] (val) algo dijkstra step 4050: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'dijkstra'}
I0716 08:09:32.046948 140312253715968 run.py:722] (val) algo dijkstra step 4100: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'dijkstra'}
I0716 08:09:33.979444 140312253715968 run.py:722] (val) algo dijkstra step 4150: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'dijkstra'}
I0716 08:09:35.841324 140312253715968 run.py:722] (val) algo dijkstra step 4200: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'dijkstra'}
I0716 08:09:37.738537 140312253715968 run.py:722] (val) algo dijkstra step 4250: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'dijkstra'}
I0716 08:09:39.613920 140312253715968 run.py:722] (val) algo dijkstra step 4300: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'dijkstra'}
I0716 08:09:41.468771 140312253715968 run.py:722] (val) algo dijkstra step 4350: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'dijkstra'}
I0716 08:09:43.345957 140312253715968 run.py:722] (val) algo dijkstra step 4400: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'dijkstra'}
I0716 08:09:45.219794 140312253715968 run.py:722] (val) algo dijkstra step 4450: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'dijkstra'}
I0716 08:09:47.138335 140312253715968 run.py:722] (val) algo dijkstra step 4500: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'dijkstra'}
I0716 08:09:49.002351 140312253715968 run.py:722] (val) algo dijkstra step 4550: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'dijkstra'}
I0716 08:09:50.803352 140312253715968 run.py:722] (val) algo dijkstra step 4600: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'dijkstra'}
I0716 08:09:52.684953 140312253715968 run.py:722] (val) algo dijkstra step 4650: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'dijkstra'}
I0716 08:09:54.535339 140312253715968 run.py:722] (val) algo dijkstra step 4700: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'dijkstra'}
I0716 08:09:56.394499 140312253715968 run.py:722] (val) algo dijkstra step 4750: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'dijkstra'}
I0716 08:09:58.301670 140312253715968 run.py:722] (val) algo dijkstra step 4800: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'dijkstra'}
I0716 08:10:00.174831 140312253715968 run.py:722] (val) algo dijkstra step 4850: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'dijkstra'}
I0716 08:10:02.050512 140312253715968 run.py:722] (val) algo dijkstra step 4900: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'dijkstra'}
I0716 08:10:03.928262 140312253715968 run.py:722] (val) algo dijkstra step 4950: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'dijkstra'}
I0716 08:10:05.779053 140312253715968 run.py:722] (val) algo dijkstra step 5000: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'dijkstra'}
I0716 08:10:07.603091 140312253715968 run.py:722] (val) algo dijkstra step 5050: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'dijkstra'}
I0716 08:10:09.510744 140312253715968 run.py:722] (val) algo dijkstra step 5100: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'dijkstra'}
I0716 08:10:11.433681 140312253715968 run.py:722] (val) algo dijkstra step 5150: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'dijkstra'}
I0716 08:10:13.299574 140312253715968 run.py:722] (val) algo dijkstra step 5200: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'dijkstra'}
I0716 08:10:15.216563 140312253715968 run.py:722] (val) algo dijkstra step 5250: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'dijkstra'}
I0716 08:10:17.058700 140312253715968 run.py:722] (val) algo dijkstra step 5300: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'dijkstra'}
I0716 08:10:18.920732 140312253715968 run.py:722] (val) algo dijkstra step 5350: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'dijkstra'}
I0716 08:10:20.776215 140312253715968 run.py:722] (val) algo dijkstra step 5400: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'dijkstra'}
I0716 08:10:22.663901 140312253715968 run.py:722] (val) algo dijkstra step 5450: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'dijkstra'}
I0716 08:10:24.588946 140312253715968 run.py:722] (val) algo dijkstra step 5500: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'dijkstra'}
I0716 08:10:26.449510 140312253715968 run.py:722] (val) algo dijkstra step 5550: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'dijkstra'}
I0716 08:10:28.325062 140312253715968 run.py:722] (val) algo dijkstra step 5600: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'dijkstra'}
I0716 08:10:30.195842 140312253715968 run.py:722] (val) algo dijkstra step 5650: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'dijkstra'}
I0716 08:10:32.079659 140312253715968 run.py:722] (val) algo dijkstra step 5700: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'dijkstra'}
I0716 08:10:33.983616 140312253715968 run.py:722] (val) algo dijkstra step 5750: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'dijkstra'}
I0716 08:10:35.888197 140312253715968 run.py:722] (val) algo dijkstra step 5800: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'dijkstra'}
I0716 08:10:37.726879 140312253715968 run.py:722] (val) algo dijkstra step 5850: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'dijkstra'}
I0716 08:10:39.671034 140312253715968 run.py:722] (val) algo dijkstra step 5900: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'dijkstra'}
I0716 08:10:41.573136 140312253715968 run.py:722] (val) algo dijkstra step 5950: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'dijkstra'}
I0716 08:10:43.449052 140312253715968 run.py:722] (val) algo dijkstra step 6000: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'dijkstra'}
I0716 08:10:45.310717 140312253715968 run.py:722] (val) algo dijkstra step 6050: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'dijkstra'}
I0716 08:10:47.174814 140312253715968 run.py:722] (val) algo dijkstra step 6100: {'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'dijkstra'}
I0716 08:10:49.144340 140312253715968 run.py:722] (val) algo dijkstra step 6150: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'dijkstra'}
I0716 08:10:51.033666 140312253715968 run.py:722] (val) algo dijkstra step 6200: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'dijkstra'}
I0716 08:10:52.973188 140312253715968 run.py:722] (val) algo dijkstra step 6250: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'dijkstra'}
I0716 08:10:54.874666 140312253715968 run.py:722] (val) algo dijkstra step 6300: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'dijkstra'}
I0716 08:10:56.700828 140312253715968 run.py:722] (val) algo dijkstra step 6350: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'dijkstra'}
I0716 08:10:58.588129 140312253715968 run.py:722] (val) algo dijkstra step 6400: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'dijkstra'}
I0716 08:11:00.481673 140312253715968 run.py:722] (val) algo dijkstra step 6450: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'dijkstra'}
I0716 08:11:02.337621 140312253715968 run.py:722] (val) algo dijkstra step 6500: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'dijkstra'}
I0716 08:11:04.215852 140312253715968 run.py:722] (val) algo dijkstra step 6550: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'dijkstra'}
I0716 08:11:06.116395 140312253715968 run.py:722] (val) algo dijkstra step 6600: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'dijkstra'}
I0716 08:11:07.988729 140312253715968 run.py:722] (val) algo dijkstra step 6650: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 375604, 'step': 6650, 'algorithm': 'dijkstra'}
I0716 08:11:09.809931 140312253715968 run.py:722] (val) algo dijkstra step 6700: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 378391, 'step': 6700, 'algorithm': 'dijkstra'}
I0716 08:11:11.752565 140312253715968 run.py:722] (val) algo dijkstra step 6750: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 381191, 'step': 6750, 'algorithm': 'dijkstra'}
I0716 08:11:13.702110 140312253715968 run.py:722] (val) algo dijkstra step 6800: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 383982, 'step': 6800, 'algorithm': 'dijkstra'}
I0716 08:11:15.529851 140312253715968 run.py:722] (val) algo dijkstra step 6850: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 386754, 'step': 6850, 'algorithm': 'dijkstra'}
