I0716 07:57:25.194106 132989137683968 run.py:722] (val) algo dfs step 0: {'pi': 0.1103515625, 'score': 0.1103515625, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
I0716 08:00:44.993838 132989137683968 run.py:722] (val) algo dfs step 3400: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 58272, 'step': 3400, 'algorithm': 'dfs'}
I0716 08:00:46.411793 132989137683968 run.py:722] (val) algo dfs step 3450: {'pi': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 59152, 'step': 3450, 'algorithm': 'dfs'}
I0716 08:00:47.745913 132989137683968 run.py:722] (val) algo dfs step 3500: {'pi': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 60016, 'step': 3500, 'algorithm': 'dfs'}
I0716 08:00:49.136635 132989137683968 run.py:722] (val) algo dfs step 3550: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 60880, 'step': 3550, 'algorithm': 'dfs'}
I0716 08:00:50.481135 132989137683968 run.py:722] (val) algo dfs step 3600: {'pi': 0.583984375, 'score': 0.583984375, 'examples_seen': 61744, 'step': 3600, 'algorithm': 'dfs'}
I0716 08:00:51.857851 132989137683968 run.py:722] (val) algo dfs step 3650: {'pi': 0.5703125, 'score': 0.5703125, 'examples_seen': 62576, 'step': 3650, 'algorithm': 'dfs'}
I0716 08:00:53.248051 132989137683968 run.py:722] (val) algo dfs step 3700: {'pi': 0.568359375, 'score': 0.568359375, 'examples_seen': 63424, 'step': 3700, 'algorithm': 'dfs'}
I0716 08:00:54.645758 132989137683968 run.py:722] (val) algo dfs step 3750: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 64288, 'step': 3750, 'algorithm': 'dfs'}
I0716 08:00:55.992370 132989137683968 run.py:722] (val) algo dfs step 3800: {'pi': 0.5546875, 'score': 0.5546875, 'examples_seen': 65168, 'step': 3800, 'algorithm': 'dfs'}
I0716 08:00:57.350030 132989137683968 run.py:722] (val) algo dfs step 3850: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 66032, 'step': 3850, 'algorithm': 'dfs'}
I0716 08:00:58.695160 132989137683968 run.py:722] (val) algo dfs step 3900: {'pi': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 66880, 'step': 3900, 'algorithm': 'dfs'}
I0716 08:01:00.066857 132989137683968 run.py:722] (val) algo dfs step 3950: {'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 67728, 'step': 3950, 'algorithm': 'dfs'}
I0716 08:01:01.460459 132989137683968 run.py:722] (val) algo dfs step 4000: {'pi': 0.556640625, 'score': 0.556640625, 'examples_seen': 68576, 'step': 4000, 'algorithm': 'dfs'}
I0716 08:01:02.853754 132989137683968 run.py:722] (val) algo dfs step 4050: {'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 69424, 'step': 4050, 'algorithm': 'dfs'}
I0716 08:01:04.279289 132989137683968 run.py:722] (val) algo dfs step 4100: {'pi': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 70272, 'step': 4100, 'algorithm': 'dfs'}
I0716 08:01:05.642095 132989137683968 run.py:722] (val) algo dfs step 4150: {'pi': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 71168, 'step': 4150, 'algorithm': 'dfs'}
I0716 08:01:07.029708 132989137683968 run.py:722] (val) algo dfs step 4200: {'pi': 0.4833984375, 'score': 0.4833984375, 'examples_seen': 72032, 'step': 4200, 'algorithm': 'dfs'}
I0716 08:01:08.388113 132989137683968 run.py:722] (val) algo dfs step 4250: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 72880, 'step': 4250, 'algorithm': 'dfs'}
I0716 08:01:09.749245 132989137683968 run.py:722] (val) algo dfs step 4300: {'pi': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 73760, 'step': 4300, 'algorithm': 'dfs'}
I0716 08:01:11.099319 132989137683968 run.py:722] (val) algo dfs step 4350: {'pi': 0.541015625, 'score': 0.541015625, 'examples_seen': 74592, 'step': 4350, 'algorithm': 'dfs'}
I0716 08:01:12.442134 132989137683968 run.py:722] (val) algo dfs step 4400: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 75456, 'step': 4400, 'algorithm': 'dfs'}
I0716 08:01:13.836066 132989137683968 run.py:722] (val) algo dfs step 4450: {'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 76272, 'step': 4450, 'algorithm': 'dfs'}
I0716 08:01:15.214558 132989137683968 run.py:722] (val) algo dfs step 4500: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 77152, 'step': 4500, 'algorithm': 'dfs'}
I0716 08:01:16.590257 132989137683968 run.py:722] (val) algo dfs step 4550: {'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 78048, 'step': 4550, 'algorithm': 'dfs'}
I0716 08:01:17.935865 132989137683968 run.py:722] (val) algo dfs step 4600: {'pi': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 78880, 'step': 4600, 'algorithm': 'dfs'}
I0716 08:01:19.290112 132989137683968 run.py:722] (val) algo dfs step 4650: {'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 79744, 'step': 4650, 'algorithm': 'dfs'}
I0716 08:01:20.632174 132989137683968 run.py:722] (val) algo dfs step 4700: {'pi': 0.57421875, 'score': 0.57421875, 'examples_seen': 80576, 'step': 4700, 'algorithm': 'dfs'}
I0716 08:01:22.052513 132989137683968 run.py:722] (val) algo dfs step 4750: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 81424, 'step': 4750, 'algorithm': 'dfs'}
I0716 08:01:23.466905 132989137683968 run.py:722] (val) algo dfs step 4800: {'pi': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 82288, 'step': 4800, 'algorithm': 'dfs'}
I0716 08:01:24.874709 132989137683968 run.py:722] (val) algo dfs step 4850: {'pi': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 83152, 'step': 4850, 'algorithm': 'dfs'}
I0716 08:01:26.259477 132989137683968 run.py:722] (val) algo dfs step 4900: {'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 84032, 'step': 4900, 'algorithm': 'dfs'}
I0716 08:01:27.597782 132989137683968 run.py:722] (val) algo dfs step 4950: {'pi': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 84896, 'step': 4950, 'algorithm': 'dfs'}
I0716 08:01:28.947970 132989137683968 run.py:722] (val) algo dfs step 5000: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 85728, 'step': 5000, 'algorithm': 'dfs'}
I0716 08:01:30.334641 132989137683968 run.py:722] (val) algo dfs step 5050: {'pi': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 86592, 'step': 5050, 'algorithm': 'dfs'}
I0716 08:01:31.730411 132989137683968 run.py:722] (val) algo dfs step 5100: {'pi': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 87424, 'step': 5100, 'algorithm': 'dfs'}
I0716 08:01:33.144073 132989137683968 run.py:722] (val) algo dfs step 5150: {'pi': 0.5439453125, 'score': 0.5439453125, 'examples_seen': 88288, 'step': 5150, 'algorithm': 'dfs'}
I0716 08:01:34.535352 132989137683968 run.py:722] (val) algo dfs step 5200: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 89152, 'step': 5200, 'algorithm': 'dfs'}
I0716 08:01:35.920316 132989137683968 run.py:722] (val) algo dfs step 5250: {'pi': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 90048, 'step': 5250, 'algorithm': 'dfs'}
I0716 08:01:37.272447 132989137683968 run.py:722] (val) algo dfs step 5300: {'pi': 0.423828125, 'score': 0.423828125, 'examples_seen': 90880, 'step': 5300, 'algorithm': 'dfs'}
I0716 08:01:38.636498 132989137683968 run.py:722] (val) algo dfs step 5350: {'pi': 0.578125, 'score': 0.578125, 'examples_seen': 91728, 'step': 5350, 'algorithm': 'dfs'}
I0716 08:01:40.031680 132989137683968 run.py:722] (val) algo dfs step 5400: {'pi': 0.517578125, 'score': 0.517578125, 'examples_seen': 92576, 'step': 5400, 'algorithm': 'dfs'}
I0716 08:01:41.391875 132989137683968 run.py:722] (val) algo dfs step 5450: {'pi': 0.5244140625, 'score': 0.5244140625, 'examples_seen': 93456, 'step': 5450, 'algorithm': 'dfs'}
I0716 08:01:42.793119 132989137683968 run.py:722] (val) algo dfs step 5500: {'pi': 0.537109375, 'score': 0.537109375, 'examples_seen': 94272, 'step': 5500, 'algorithm': 'dfs'}
I0716 08:01:44.189394 132989137683968 run.py:722] (val) algo dfs step 5550: {'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 95136, 'step': 5550, 'algorithm': 'dfs'}
I0716 08:01:45.564398 132989137683968 run.py:722] (val) algo dfs step 5600: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 96032, 'step': 5600, 'algorithm': 'dfs'}
I0716 08:01:46.935139 132989137683968 run.py:722] (val) algo dfs step 5650: {'pi': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 96880, 'step': 5650, 'algorithm': 'dfs'}
I0716 08:01:48.276328 132989137683968 run.py:722] (val) algo dfs step 5700: {'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 97744, 'step': 5700, 'algorithm': 'dfs'}
I0716 08:01:49.651958 132989137683968 run.py:722] (val) algo dfs step 5750: {'pi': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 98608, 'step': 5750, 'algorithm': 'dfs'}
I0716 08:01:51.014389 132989137683968 run.py:722] (val) algo dfs step 5800: {'pi': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 99440, 'step': 5800, 'algorithm': 'dfs'}
I0716 08:01:52.404212 132989137683968 run.py:722] (val) algo dfs step 5850: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 100288, 'step': 5850, 'algorithm': 'dfs'}
I0716 08:01:53.809333 132989137683968 run.py:722] (val) algo dfs step 5900: {'pi': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 101184, 'step': 5900, 'algorithm': 'dfs'}
I0716 08:01:55.146913 132989137683968 run.py:722] (val) algo dfs step 5950: {'pi': 0.5439453125, 'score': 0.5439453125, 'examples_seen': 102032, 'step': 5950, 'algorithm': 'dfs'}
I0716 08:01:56.505793 132989137683968 run.py:722] (val) algo dfs step 6000: {'pi': 0.541015625, 'score': 0.541015625, 'examples_seen': 102912, 'step': 6000, 'algorithm': 'dfs'}
I0716 08:01:57.883357 132989137683968 run.py:722] (val) algo dfs step 6050: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 103728, 'step': 6050, 'algorithm': 'dfs'}
I0716 08:01:59.271803 132989137683968 run.py:722] (val) algo dfs step 6100: {'pi': 0.546875, 'score': 0.546875, 'examples_seen': 104608, 'step': 6100, 'algorithm': 'dfs'}
I0716 08:02:00.624655 132989137683968 run.py:722] (val) algo dfs step 6150: {'pi': 0.5615234375, 'score': 0.5615234375, 'examples_seen': 105440, 'step': 6150, 'algorithm': 'dfs'}
I0716 08:02:02.076120 132989137683968 run.py:722] (val) algo dfs step 6200: {'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 106272, 'step': 6200, 'algorithm': 'dfs'}
I0716 08:02:03.489516 132989137683968 run.py:722] (val) algo dfs step 6250: {'pi': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 107168, 'step': 6250, 'algorithm': 'dfs'}
I0716 08:02:04.880025 132989137683968 run.py:722] (val) algo dfs step 6300: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 108032, 'step': 6300, 'algorithm': 'dfs'}
I0716 08:02:06.219794 132989137683968 run.py:722] (val) algo dfs step 6350: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 108896, 'step': 6350, 'algorithm': 'dfs'}
I0716 08:02:07.575724 132989137683968 run.py:722] (val) algo dfs step 6400: {'pi': 0.5546875, 'score': 0.5546875, 'examples_seen': 109744, 'step': 6400, 'algorithm': 'dfs'}
I0716 08:02:08.958036 132989137683968 run.py:722] (val) algo dfs step 6450: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 110592, 'step': 6450, 'algorithm': 'dfs'}
I0716 08:02:10.302049 132989137683968 run.py:722] (val) algo dfs step 6500: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 111440, 'step': 6500, 'algorithm': 'dfs'}
I0716 08:02:11.713657 132989137683968 run.py:722] (val) algo dfs step 6550: {'pi': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 112272, 'step': 6550, 'algorithm': 'dfs'}
I0716 08:02:13.105446 132989137683968 run.py:722] (val) algo dfs step 6600: {'pi': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 113168, 'step': 6600, 'algorithm': 'dfs'}
I0716 08:02:14.484691 132989137683968 run.py:722] (val) algo dfs step 6650: {'pi': 0.576171875, 'score': 0.576171875, 'examples_seen': 114048, 'step': 6650, 'algorithm': 'dfs'}
I0716 08:02:15.837676 132989137683968 run.py:722] (val) algo dfs step 6700: {'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 114880, 'step': 6700, 'algorithm': 'dfs'}
I0716 08:02:17.202919 132989137683968 run.py:722] (val) algo dfs step 6750: {'pi': 0.6083984375, 'score': 0.6083984375, 'examples_seen': 115744, 'step': 6750, 'algorithm': 'dfs'}
I0716 08:02:18.570719 132989137683968 run.py:722] (val) algo dfs step 6800: {'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 116576, 'step': 6800, 'algorithm': 'dfs'}
I0716 08:02:20.006704 132989137683968 run.py:722] (val) algo dfs step 6850: {'pi': 0.5859375, 'score': 0.5859375, 'examples_seen': 117456, 'step': 6850, 'algorithm': 'dfs'}
I0716 08:02:21.387664 132989137683968 run.py:722] (val) algo dfs step 6900: {'pi': 0.5166015625, 'score': 0.5166015625, 'examples_seen': 118288, 'step': 6900, 'algorithm': 'dfs'}
I0716 08:02:22.830154 132989137683968 run.py:722] (val) algo dfs step 6950: {'pi': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 119168, 'step': 6950, 'algorithm': 'dfs'}
I0716 08:02:24.234272 132989137683968 run.py:722] (val) algo dfs step 7000: {'pi': 0.548828125, 'score': 0.548828125, 'examples_seen': 120032, 'step': 7000, 'algorithm': 'dfs'}
I0716 08:02:25.618511 132989137683968 run.py:722] (val) algo dfs step 7050: {'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 120896, 'step': 7050, 'algorithm': 'dfs'}
I0716 08:02:27.016638 132989137683968 run.py:722] (val) algo dfs step 7100: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 121760, 'step': 7100, 'algorithm': 'dfs'}
