{'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
{'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 56461, 'step': 1000, 'algorithm': 'mst_prim'}
{'pi': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 59277, 'step': 1050, 'algorithm': 'mst_prim'}
{'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 62110, 'step': 1100, 'algorithm': 'mst_prim'}
{'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 64932, 'step': 1150, 'algorithm': 'mst_prim'}
{'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 67725, 'step': 1200, 'algorithm': 'mst_prim'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 70522, 'step': 1250, 'algorithm': 'mst_prim'}
{'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 73301, 'step': 1300, 'algorithm': 'mst_prim'}
{'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 76206, 'step': 1350, 'algorithm': 'mst_prim'}
{'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 79065, 'step': 1400, 'algorithm': 'mst_prim'}
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 81899, 'step': 1450, 'algorithm': 'mst_prim'}
{'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 84668, 'step': 1500, 'algorithm': 'mst_prim'}
{'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 87452, 'step': 1550, 'algorithm': 'mst_prim'}
{'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'mst_prim'}
{'pi': 0.916015625, 'score': 0.916015625, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'mst_prim'}
{'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'mst_prim'}
{'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'mst_prim'}
{'pi': 0.921875, 'score': 0.921875, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'mst_prim'}
{'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'mst_prim'}
{'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'mst_prim'}
{'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'mst_prim'}
{'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'mst_prim'}
{'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'mst_prim'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'mst_prim'}
{'pi': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'mst_prim'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'mst_prim'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'mst_prim'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'mst_prim'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'mst_prim'}
{'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'mst_prim'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'mst_prim'}
{'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'mst_prim'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'mst_prim'}
{'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'mst_prim'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'mst_prim'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'mst_prim'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'mst_prim'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'mst_prim'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'mst_prim'}
{'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'mst_prim'}
{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'mst_prim'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'mst_prim'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'mst_prim'}
{'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'mst_prim'}
{'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'mst_prim'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'mst_prim'}
{'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'mst_prim'}
{'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'mst_prim'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'mst_prim'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'mst_prim'}
{'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'mst_prim'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'mst_prim'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'mst_prim'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'mst_prim'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'mst_prim'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'mst_prim'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'mst_prim'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'mst_prim'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'mst_prim'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'mst_prim'}
{'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'mst_prim'}
{'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'mst_prim'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'mst_prim'}
{'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'mst_prim'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'mst_prim'}
{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'mst_prim'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'mst_prim'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'mst_prim'}
{'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'mst_prim'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'mst_prim'}
{'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'mst_prim'}
{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'mst_prim'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'mst_prim'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'mst_prim'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'mst_prim'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'mst_prim'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'mst_prim'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'mst_prim'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'mst_prim'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'mst_prim'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'mst_prim'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'mst_prim'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'mst_prim'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'mst_prim'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'mst_prim'}
{'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'mst_prim'}
{'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'mst_prim'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'mst_prim'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'mst_prim'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'mst_prim'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'mst_prim'}
{'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'mst_prim'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'mst_prim'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'mst_prim'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'mst_prim'}
{'pi': 0.984375, 'score': 0.984375, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'mst_prim'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'mst_prim'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'mst_prim'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'mst_prim'}
{'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'mst_prim'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'mst_prim'}
{'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'mst_prim'}
{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'mst_prim'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 375604, 'step': 6650, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 378391, 'step': 6700, 'algorithm': 'mst_prim'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 381191, 'step': 6750, 'algorithm': 'mst_prim'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 383982, 'step': 6800, 'algorithm': 'mst_prim'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 386754, 'step': 6850, 'algorithm': 'mst_prim'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 389507, 'step': 6900, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 392435, 'step': 6950, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 395323, 'step': 7000, 'algorithm': 'mst_prim'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 398132, 'step': 7050, 'algorithm': 'mst_prim'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 400911, 'step': 7100, 'algorithm': 'mst_prim'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 403707, 'step': 7150, 'algorithm': 'mst_prim'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 406508, 'step': 7200, 'algorithm': 'mst_prim'}
{'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 409318, 'step': 7250, 'algorithm': 'mst_prim'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 412205, 'step': 7300, 'algorithm': 'mst_prim'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 415058, 'step': 7350, 'algorithm': 'mst_prim'}
{'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 417912, 'step': 7400, 'algorithm': 'mst_prim'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 420715, 'step': 7450, 'algorithm': 'mst_prim'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 423528, 'step': 7500, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 426306, 'step': 7550, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 429096, 'step': 7600, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 431991, 'step': 7650, 'algorithm': 'mst_prim'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 434881, 'step': 7700, 'algorithm': 'mst_prim'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 437695, 'step': 7750, 'algorithm': 'mst_prim'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 440510, 'step': 7800, 'algorithm': 'mst_prim'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 443292, 'step': 7850, 'algorithm': 'mst_prim'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 446072, 'step': 7900, 'algorithm': 'mst_prim'}
{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 448868, 'step': 7950, 'algorithm': 'mst_prim'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 451752, 'step': 8000, 'algorithm': 'mst_prim'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 454601, 'step': 8050, 'algorithm': 'mst_prim'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 457450, 'step': 8100, 'algorithm': 'mst_prim'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 460254, 'step': 8150, 'algorithm': 'mst_prim'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 463060, 'step': 8200, 'algorithm': 'mst_prim'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 465871, 'step': 8250, 'algorithm': 'mst_prim'}
{'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 468672, 'step': 8300, 'algorithm': 'mst_prim'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 471526, 'step': 8350, 'algorithm': 'mst_prim'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 474409, 'step': 8400, 'algorithm': 'mst_prim'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 477268, 'step': 8450, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 480081, 'step': 8500, 'algorithm': 'mst_prim'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 482868, 'step': 8550, 'algorithm': 'mst_prim'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 485664, 'step': 8600, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 488441, 'step': 8650, 'algorithm': 'mst_prim'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 491333, 'step': 8700, 'algorithm': 'mst_prim'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 494213, 'step': 8750, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 497025, 'step': 8800, 'algorithm': 'mst_prim'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 499850, 'step': 8850, 'algorithm': 'mst_prim'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 502637, 'step': 8900, 'algorithm': 'mst_prim'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 505392, 'step': 8950, 'algorithm': 'mst_prim'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 508139, 'step': 9000, 'algorithm': 'mst_prim'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 511068, 'step': 9050, 'algorithm': 'mst_prim'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 513951, 'step': 9100, 'algorithm': 'mst_prim'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 516763, 'step': 9150, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 519585, 'step': 9200, 'algorithm': 'mst_prim'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 522382, 'step': 9250, 'algorithm': 'mst_prim'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 525200, 'step': 9300, 'algorithm': 'mst_prim'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 527972, 'step': 9350, 'algorithm': 'mst_prim'}
{'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 530840, 'step': 9400, 'algorithm': 'mst_prim'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 533704, 'step': 9450, 'algorithm': 'mst_prim'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 536567, 'step': 9500, 'algorithm': 'mst_prim'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 539410, 'step': 9550, 'algorithm': 'mst_prim'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 542217, 'step': 9600, 'algorithm': 'mst_prim'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 545004, 'step': 9650, 'algorithm': 'mst_prim'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 547822, 'step': 9700, 'algorithm': 'mst_prim'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 550670, 'step': 9750, 'algorithm': 'mst_prim'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 553548, 'step': 9800, 'algorithm': 'mst_prim'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 556410, 'step': 9850, 'algorithm': 'mst_prim'}
{'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 559220, 'step': 9900, 'algorithm': 'mst_prim'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 561977, 'step': 9950, 'algorithm': 'mst_prim'}
